Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.19565158	0.10862726	0.5524418	0.079522036	500.0	0.26464462	0.019377261	0.33952004	0.18962628	16000	2.0861626e-07	0.037080556	-0.008746483	-0.035062328	1.3564423	0.0075995205	0.0803125	127.0	22.351488828659058	0.0	0.0	0.0	0.0	0.0
1	0.26117605	0.21358114	1.2558498	0.05285668	500.0	0.090825275	0.03803628	0.21041098	0.009613901	32000	1.8626451e-09	0.0025382324	-0.006773971	-0.0010703304	1.3564423	0.0061767343	0.0514375	127.0	41.3348331451416	0.0	0.0	0.0	0.0	0.0
2	0.58193004	0.33656177	1.5120873	0.157868	500.0	0.0925968	0.030155633	0.17472388	0.0070741065	48000	-5.2154064e-08	0.0066086785	-0.007366648	-0.0023402	1.3564423	0.005389533	0.064	127.0	60.04135513305664	0.0	0.0	0.0	0.0	0.0
3	0.72789866	0.51472616	2.02219	0.09003605	500.0	0.12648553	0.01644663	0.18868956	0.0657938	64000	7.450581e-09	0.01095595	-0.006303302	-0.0037417137	1.3564423	0.006983372	0.063125	127.0	80.96138906478882	0.0	0.0	0.0	0.0	0.0
4	1.5046518	1.029392	4.433238	0.28079	500.0	0.19169883	0.05165746	0.3265583	0.07817162	80000	-2.2351742e-08	0.06552252	-0.0065721385	-0.02495883	1.3564423	0.0058816373	0.056187503	127.0	101.25023913383484	0.0	0.0	0.0	0.0	0.0
5	2.5874164	2.2459767	9.293211	0.5737492	500.0	0.35387233	0.073568724	0.5465664	0.15564613	96000	-1.4901161e-08	0.2805751	-0.00583236	-0.12991543	1.3564423	0.0075026117	0.063250005	127.0	120.79101204872131	0.0	0.0	0.0	0.0	0.0
6	5.472599	3.465247	13.913694	0.68122166	500.0	0.7825411	0.341689	1.7920713	-0.061714645	112000	2.2351742e-08	0.80107105	-0.007014462	-0.3751824	1.3564423	0.0058303354	0.0795625	127.0	141.80405521392822	0.0	0.0	0.0	0.0	0.0
7	8.064871	4.375088	17.788845	1.556327	500.0	1.6294429	0.6586859	3.115011	-0.19259268	128000	-2.2351742e-08	1.2534977	-0.0074197515	-0.43955097	1.3564423	0.005763402	0.075937495	127.0	162.47147011756897	0.0	0.0	0.0	0.0	0.0
8	12.137037	4.888301	19.668793	1.7763149	500.0	2.274619	1.0100418	3.991314	-0.2792526	144000	0.0	1.6123724	-0.010875353	-0.6936726	1.3564423	0.0089073535	0.12225	127.0	181.42416214942932	0.0	0.0	0.0	0.0	0.0
9	17.396309	5.7390585	30.610071	4.054853	500.0	3.6653287	1.4935762	6.0806637	-0.76770735	160000	0.0	2.188438	-0.010162009	-0.48479325	1.3564423	0.008799051	0.093187496	127.0	202.3810052871704	0.0	0.0	0.0	0.0	0.0
10	17.727394	4.224033	26.168598	7.0946155	500.0	5.0033197	1.8654817	7.4318953	-0.48186898	176000	7.450581e-09	2.2735775	-0.00842219	-0.46152443	1.3564423	0.0060716826	0.0650625	127.0	224.63573741912842	0.0	0.0	0.0	0.0	0.0
11	18.27105	7.033062	35.813686	7.280553	500.0	4.830712	1.4414191	6.434944	0.1551302	192000	0.0	3.414775	-0.0052691326	-0.38610223	1.3564423	0.004241073	0.0435	127.0	247.1242172718048	0.0	0.0	0.0	0.0	0.0
12	21.801353	6.4624095	36.45256	8.196542	500.0	4.5874457	1.2317833	5.805838	0.68972546	208000	1.1175871e-08	2.9133196	-0.0059326896	-0.40721583	1.3564423	0.0035526648	0.045375	127.0	266.6460373401642	0.0	0.0	0.0	0.0	0.0
13	20.917065	5.50226	35.599022	7.346011	500.0	5.246393	1.2540123	6.4777966	0.58301216	224000	0.0	2.0326002	-0.0064898888	-0.088450156	1.3564423	0.004319097	0.0495625	127.0	286.47332739830017	0.0	0.0	0.0	0.0	0.0
14	22.270857	6.02934	36.45442	12.151985	500.0	5.1087284	1.0959338	6.0323143	1.1111791	240000	0.0	2.374031	-0.0073350477	-0.06476205	1.3564423	0.006104129	0.0543125	127.0	308.82926511764526	0.0	0.0	0.0	0.0	0.0
15	22.466187	3.1548786	31.517122	16.156326	500.0	5.287163	0.99822813	5.96775	1.4386438	256000	3.7252903e-09	0.904551	-0.007597105	-0.06925871	1.3564423	0.0060535157	0.0625	127.0	331.60433864593506	0.0	0.0	0.0	0.0	0.0
16	25.964895	5.8052597	40.282234	14.613458	500.0	5.2574415	0.8191621	5.873835	1.6112252	272000	0.0	2.7575555	-0.0078066345	-0.40038463	1.3564423	0.0054171607	0.0665	127.0	356.1750819683075	0.0	0.0	0.0	0.0	0.0
17	25.872618	6.0463524	44.42934	16.403517	500.0	5.8328366	0.94527775	6.449333	1.8451753	288000	-1.1175871e-08	2.1346927	-0.007585667	-0.09004974	1.3564423	0.0056945686	0.0678125	127.0	377.84687089920044	0.0	0.0	0.0	0.0	0.0
18	29.041079	6.377133	43.596905	19.870377	500.0	5.9476733	0.9654481	6.671955	1.6634231	304000	1.1175871e-08	2.6422973	-0.007267057	-0.4700568	1.3564423	0.006368541	0.058375	127.0	401.27039766311646	0.0	0.0	0.0	0.0	0.0
19	27.251652	5.9073586	41.451904	17.419682	500.0	6.5016475	1.0316911	7.3345447	1.606832	320000	-1.4901161e-08	1.9356825	-0.0065533686	-0.16496661	1.3564423	0.0045153755	0.0535625	127.0	424.5161306858063	0.0	0.0	0.0	0.0	0.0
20	30.941097	7.3144517	45.418804	20.650852	500.0	6.3448377	1.0349172	7.3562536	1.6322142	336000	-2.2351742e-08	3.0196102	-0.007596219	-0.51834613	1.3564423	0.006639954	0.068875	127.0	447.7414228916168	0.0	0.0	0.0	0.0	0.0
