Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20816612	0.14472763	0.7139899	0.047976114	500.0	0.2983349	0.017217029	0.36831474	0.21457222	16000	5.9604645e-08	0.04759834	-0.008698981	-0.04498916	1.3564423	0.006873344	0.075312495	127.0	22.19013285636902	0.0	0.0	0.0	0.0	0.0
1	0.30954584	0.26605025	1.4445727	0.058397584	500.0	0.10494701	0.042683326	0.22440293	0.0093995035	32000	1.1175871e-08	0.0036765528	-0.006706345	-0.0013311675	1.3564423	0.006662454	0.0550625	127.0	42.91503167152405	0.0	0.0	0.0	0.0	0.0
2	0.4864875	0.38014415	1.779943	0.087617986	500.0	0.09922888	0.031243583	0.17849024	0.013196804	48000	1.4901161e-08	0.006603203	-0.006124111	-0.0013482431	1.3564423	0.005810955	0.0634375	127.0	61.83649921417236	0.0	0.0	0.0	0.0	0.0
3	0.65758795	0.45800114	1.9793991	0.1854486	500.0	0.12104784	0.024646621	0.1896391	0.057482336	64000	1.4901161e-08	0.0083276	-0.0060551865	-0.0019806996	1.3564423	0.007628605	0.0639375	127.0	80.69461226463318	0.0	0.0	0.0	0.0	0.0
4	2.0364447	1.6227117	7.15994	0.56130433	500.0	0.16987637	0.03089993	0.25378796	0.07448268	80000	0.0	0.17395073	-0.0062153726	-0.073535845	1.3564423	0.0074106185	0.055687502	127.0	99.94542002677917	0.0	0.0	0.0	0.0	0.0
5	1.9582071	1.5791056	9.235657	0.3974788	500.0	0.42179003	0.07998721	0.6377449	0.13741466	96000	3.7252903e-09	0.11926998	-0.006618321	-0.030240819	1.3564423	0.006930411	0.0658125	127.0	120.17250490188599	0.0	0.0	0.0	0.0	0.0
6	5.3365107	3.6495821	15.907408	1.2539588	500.0	0.5543899	0.2098171	1.0622566	-0.04156734	112000	-7.450581e-09	1.0825276	-0.0057666292	-0.51712775	1.3564423	0.0053887675	0.059499998	127.0	138.2092170715332	0.0	0.0	0.0	0.0	0.0
7	9.462351	5.957282	22.324526	1.654323	500.0	1.3718117	0.5780042	2.780847	-0.10053575	128000	2.6077032e-08	2.6346068	-0.007235374	-1.0662007	1.3564423	0.0060557537	0.0763125	127.0	157.65585231781006	0.0	0.0	0.0	0.0	0.0
8	14.728682	5.449671	27.091642	4.6926937	500.0	2.5641582	1.1470432	4.593225	-0.087172985	144000	-6.3329935e-08	2.9025626	-0.008043051	-1.4172385	1.3564423	0.0071404693	0.0758125	127.0	176.42555332183838	0.0	0.0	0.0	0.0	0.0
9	18.669134	6.3181996	35.9422	7.2348447	500.0	4.0520625	1.7158003	6.3818984	-0.4438604	160000	2.2351742e-08	2.4297998	-0.007822698	-0.5104334	1.3564423	0.0070200283	0.081999995	127.0	196.228609085083	0.0	0.0	0.0	0.0	0.0
10	18.564667	5.617359	33.601986	8.721094	500.0	5.129629	1.7999147	7.186851	0.029491823	176000	-1.8626451e-08	2.5643864	-0.0075660143	-0.32458586	1.3564423	0.006256505	0.0650625	127.0	214.82007384300232	0.0	0.0	0.0	0.0	0.0
11	19.440815	5.96947	36.186092	9.180331	500.0	4.943176	1.4253697	6.4930925	0.47455838	192000	1.3038516e-08	2.526927	-0.005472673	-0.23999202	1.3564423	0.0056593884	0.0533125	127.0	234.74489879608154	0.0	0.0	0.0	0.0	0.0
12	22.331696	8.971663	41.978935	10.26497	500.0	4.8683486	1.1319177	5.909954	0.94249445	208000	-1.4901161e-08	4.409372	-0.0065597375	-0.26178303	1.3564423	0.005871179	0.052	127.0	254.92535996437073	0.0	0.0	0.0	0.0	0.0
13	23.630388	7.1116033	39.291626	13.07447	500.0	5.3043256	1.09096	6.1807075	0.9039672	224000	-2.9802322e-08	3.3013883	-0.0066525107	-0.12319752	1.3564423	0.0059368326	0.0516875	127.0	274.94122767448425	0.0	0.0	0.0	0.0	0.0
