Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20816612	0.14472763	0.7139899	0.047976114	500.0	0.2983349	0.017217029	0.36831474	0.21457222	16000	5.9604645e-08	0.04759834	-0.008698981	-0.04498916	1.3564423	0.006873344	0.075312495	127.0	27.694947481155396	0.0	0.0	0.0	0.0	0.0
1	0.30954584	0.26605025	1.4445727	0.058397584	500.0	0.10494701	0.042683326	0.22440293	0.0093995035	32000	1.1175871e-08	0.0036765528	-0.006706345	-0.0013311675	1.3564423	0.006662454	0.0550625	127.0	54.171796560287476	0.0	0.0	0.0	0.0	0.0
2	0.4864875	0.38014415	1.779943	0.087617986	500.0	0.09922888	0.031243583	0.17849024	0.013196804	48000	1.4901161e-08	0.006603203	-0.006124111	-0.0013482431	1.3564423	0.005810955	0.0634375	127.0	78.45582485198975	0.0	0.0	0.0	0.0	0.0
3	0.65758795	0.45800114	1.9793991	0.1854486	500.0	0.12104784	0.024646621	0.1896391	0.057482336	64000	1.4901161e-08	0.0083276	-0.0060551865	-0.0019806996	1.3564423	0.007628605	0.0639375	127.0	101.48167896270752	0.0	0.0	0.0	0.0	0.0
4	2.0369303	1.622658	7.15994	0.56130433	500.0	0.16987225	0.030898705	0.25378796	0.07448268	80000	3.3527613e-08	0.1739901	-0.006214782	-0.07358064	1.3564423	0.0074039944	0.0556875	127.0	127.36910438537598	0.0	0.0	0.0	0.0	0.0
5	1.9474889	1.5615647	9.115953	0.39663348	500.0	0.42130274	0.079765506	0.6363377	0.13714704	96000	-3.7252903e-09	0.116469994	-0.0067138327	-0.029725838	1.3564423	0.0069967015	0.0673125	127.0	151.091796875	0.0	0.0	0.0	0.0	0.0
6	5.3268323	3.6651466	15.948106	1.2682939	500.0	0.5524582	0.20921999	1.0704606	-0.040978532	112000	-7.450581e-09	1.0876215	-0.0057941754	-0.51901096	1.3564423	0.0054523107	0.06075	127.0	176.29381823539734	0.0	0.0	0.0	0.0	0.0
7	9.528336	5.9624295	21.842405	1.6382796	500.0	1.3778163	0.57760227	2.7989373	-0.09770099	128000	2.6077032e-08	2.6340275	-0.0071858848	-1.0721164	1.3564423	0.0063121477	0.0786875	127.0	200.50334334373474	0.0	0.0	0.0	0.0	0.0
8	14.803379	5.4026904	27.07735	5.139538	500.0	2.5666718	1.1332252	4.577599	-0.06312156	144000	3.1664968e-08	2.9007325	-0.007887081	-1.4203906	1.3564423	0.006962654	0.075312495	127.0	224.3380310535431	0.0	0.0	0.0	0.0	0.0
9	18.781925	6.573335	36.007977	7.479178	500.0	4.058077	1.7048622	6.436262	-0.43470848	160000	0.0	2.6117458	-0.007864428	-0.5074721	1.3564423	0.0071013644	0.081875	127.0	250.11634182929993	0.0	0.0	0.0	0.0	0.0
10	18.754837	5.921181	34.162056	8.29504	500.0	5.1424966	1.7851236	7.1517034	0.031517655	176000	0.0	2.802834	-0.0077305217	-0.32993618	1.3564423	0.0063357647	0.065125	127.0	274.6936857700348	0.0	0.0	0.0	0.0	0.0
11	19.098494	6.046423	36.36201	8.81807	500.0	4.983167	1.4108168	6.485049	0.5697711	192000	-2.6077032e-08	2.6593573	-0.005590754	-0.2875729	1.3564423	0.0052026985	0.055	127.0	300.21039175987244	0.0	0.0	0.0	0.0	0.0
12	22.438843	9.382951	40.621113	10.656542	500.0	4.794729	1.0890709	5.8060694	0.8281117	208000	0.0	4.9496484	-0.0057402626	-0.35437182	1.3564423	0.0051440955	0.045125	127.0	324.35782623291016	0.0	0.0	0.0	0.0	0.0
13	23.28503	6.581537	36.71059	13.07649	500.0	5.298703	1.0637515	6.0896354	0.90457255	224000	0.0	3.1060784	-0.0070388904	-0.111073345	1.3564423	0.0059049735	0.055125	127.0	349.07769536972046	0.0	0.0	0.0	0.0	0.0
