Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09616514	0.045481928	0.18987383	0.033785965	500.0	0.32741264	0.02344389	0.4198227	0.25901094	16000	-1.9278377e-07	0.06543013	-0.008559444	-0.062093675	1.3564423	0.007180269	0.080625005	127.0	25.68230414390564	0.0	0.0	0.0	0.0	0.0
1	0.10841641	0.04959488	0.2629598	0.039007753	500.0	0.10666968	0.051742945	0.23035648	-0.009699872	32000	3.0733645e-08	0.0042299484	-0.006432704	-0.003692589	1.3564423	0.0060058255	0.056375	127.0	47.4769344329834	0.0	0.0	0.0	0.0	0.0
2	0.099078625	0.04123452	0.2306973	0.035762623	500.0	0.06354447	0.04148027	0.17445576	-0.036458377	48000	-2.3283064e-08	0.0012814589	-0.0076304525	-0.00093817146	1.3564423	0.0058114408	0.0641875	127.0	69.51806926727295	0.0	0.0	0.0	0.0	0.0
3	0.105292246	0.04694737	0.24829093	0.04475037	500.0	0.05034803	0.025103755	0.123502165	-0.024805445	64000	1.4901161e-08	0.00071901595	-0.007566562	-0.0005071455	1.3564423	0.0045583467	0.0608125	127.0	91.99572682380676	0.0	0.0	0.0	0.0	0.0
4	0.14112322	0.0625023	0.38949767	0.0654605	500.0	0.03892079	0.014856226	0.09182398	-0.019167691	80000	0.0	0.00034565642	-0.009574484	-0.00018756365	1.3564423	0.0076937536	0.078375	127.0	114.99160027503967	0.0	0.0	0.0	0.0	0.0
5	0.13761783	0.04528353	0.24815899	0.05870908	500.0	0.03523477	0.010866692	0.089694954	-0.016401248	96000	-7.450581e-09	0.00019398742	-0.010176045	-8.8921144e-05	1.3564423	0.009466376	0.0971875	127.0	136.4597508907318	0.0	0.0	0.0	0.0	0.0
6	0.34251097	0.21478167	1.1135024	0.097104594	500.0	0.038777202	0.009071313	0.07724575	-0.0057396404	112000	-3.7252903e-08	0.002720036	-0.007536792	-0.0014320307	1.3564423	0.007599813	0.074062504	127.0	158.48271369934082	0.0	0.0	0.0	0.0	0.0
7	0.5582893	0.2734499	1.062317	0.08666651	500.0	0.07567018	0.023556	0.14537416	0.0060855635	128000	2.9802322e-08	0.0042685657	-0.008433431	-0.0018341484	1.3564423	0.0067709647	0.077250004	127.0	181.2363212108612	0.0	0.0	0.0	0.0	0.0
8	1.1823759	0.7721937	4.4072747	0.27920964	500.0	0.13197318	0.03344446	0.22516467	0.0478296	144000	-1.8626451e-08	0.03901939	-0.0070253275	-0.018835466	1.3564423	0.0066046896	0.067499995	127.0	207.77032089233398	0.0	0.0	0.0	0.0	0.0
9	1.4404442	0.8200825	3.9147725	0.54122204	500.0	0.29022637	0.09164642	0.54223186	0.09025079	160000	0.0	0.031978827	-0.006127824	-0.011408012	1.3564423	0.00583116	0.067125	127.0	232.40564227104187	0.0	0.0	0.0	0.0	0.0
