Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.19902319	0.11074138	0.5635163	0.08080803	500.0	0.26783586	0.019403113	0.3428353	0.19505456	16000	6.146729e-08	0.037832804	-0.008613266	-0.035767965	1.3564423	0.007336133	0.079937495	127.0	17.85504174232483	0.0	0.0	0.0	0.0	0.0
1	0.2605862	0.21225092	1.2477515	0.051819995	500.0	0.09137564	0.038080763	0.21419689	0.011123262	32000	-2.9802322e-08	0.002557674	-0.0073164133	-0.0011182821	1.3564423	0.006540808	0.057125	127.0	34.78635287284851	0.0	0.0	0.0	0.0	0.0
2	0.5883969	0.35310858	1.6154047	0.15760513	500.0	0.09367115	0.030539976	0.17852826	0.0051185675	48000	-1.8626451e-08	0.006898836	-0.007249905	-0.0024289545	1.3564423	0.005471263	0.0661875	127.0	51.438005447387695	0.0	0.0	0.0	0.0	0.0
3	0.7306578	0.52206284	2.1336288	0.081063	500.0	0.1271904	0.018912207	0.186194	0.071949854	64000	2.6077032e-08	0.01112632	-0.006306514	-0.0038540456	1.3564423	0.0069972854	0.0650625	127.0	68.33715629577637	0.0	0.0	0.0	0.0	0.0
4	1.5307364	1.0836332	4.624044	0.2642317	500.0	0.19689053	0.055696987	0.35745147	0.07360779	80000	0.0	0.07220655	-0.0066135875	-0.028007856	1.3564423	0.006053725	0.060625	127.0	84.76774382591248	0.0	0.0	0.0	0.0	0.0
5	2.7189958	2.3870363	10.073471	0.64324886	500.0	0.3842632	0.08999438	0.60133046	0.14179301	96000	-7.450581e-09	0.3182865	-0.005846341	-0.14633912	1.3564423	0.007561055	0.0669375	127.0	100.52567672729492	0.0	0.0	0.0	0.0	0.0
6	6.073248	3.771042	15.324644	0.71436346	500.0	0.84339	0.39088896	1.9933921	-0.10031882	112000	-2.2351742e-08	1.0384991	-0.006485626	-0.49054736	1.3564423	0.005517564	0.073374994	127.0	118.94177865982056	0.0	0.0	0.0	0.0	0.0
7	8.443555	4.5711	18.806894	1.2356626	500.0	1.7816628	0.7472806	3.4850073	-0.20680757	128000	0.0	1.3691165	-0.0069042896	-0.45581466	1.3564423	0.0058549303	0.076875	127.0	135.895663022995	0.0	0.0	0.0	0.0	0.0
8	12.330138	4.762245	19.606522	1.5573056	500.0	2.3855927	1.0741644	4.2074137	-0.2992786	144000	3.1664968e-08	1.5515897	-0.01031482	-0.64895856	1.3564423	0.008733883	0.11543749	127.0	153.0762505531311	0.0	0.0	0.0	0.0	0.0
9	17.386501	5.496105	28.18662	3.3205945	500.0	3.7018921	1.5108607	6.0938454	-0.7318439	160000	2.6077032e-08	2.0435376	-0.010719844	-0.46824428	1.3564423	0.008666465	0.093812495	127.0	170.11168575286865	0.0	0.0	0.0	0.0	0.0
