Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.06846878	0.029679518	0.13088492	0.026888384	500.0	0.31960478	0.024688726	0.41243485	0.26585314	16000	2.7753413e-07	0.06427983	-0.008611275	-0.061042245	1.3564423	0.007575278	0.084562495	127.0	23.364206075668335	0.0	0.0	0.0	0.0	0.0
1	0.07422337	0.03094782	0.1478995	0.030194804	500.0	0.10143392	0.052327797	0.22964528	-0.018312639	32000	-7.683411e-08	0.004208683	-0.0066599455	-0.0037104369	1.3564423	0.006402109	0.061187502	127.0	41.75667762756348	0.0	0.0	0.0	0.0	0.0
2	0.07827237	0.028241225	0.15528943	0.030340143	500.0	0.05815567	0.0424084	0.16998412	-0.026880255	48000	1.9557774e-08	0.001202621	-0.007707975	-0.00090095954	1.3564423	0.00578588	0.0636875	127.0	60.91066789627075	0.0	0.0	0.0	0.0	0.0
3	0.07958505	0.032702215	0.17633125	0.036259573	500.0	0.046266396	0.025372405	0.11933223	-0.017261837	64000	2.2351742e-08	0.00065768586	-0.0075517735	-0.0004950638	1.3564423	0.0044193817	0.0630625	127.0	80.1308650970459	0.0	0.0	0.0	0.0	0.0
4	0.106393844	0.038835216	0.22900084	0.05178797	500.0	0.035217658	0.015986824	0.092246085	-0.0009937584	80000	0.0	0.00025862487	-0.010317218	-0.00016789453	1.3564423	0.008161658	0.08831251	127.0	98.96404552459717	0.0	0.0	0.0	0.0	0.0
5	0.09579991	0.0403225	0.26379025	0.036160454	500.0	0.030102376	0.01142393	0.06644054	-0.00037617236	96000	7.450581e-09	0.00016629012	-0.011189082	-8.473803e-05	1.3564423	0.009013383	0.101375	127.0	117.86758255958557	0.0	0.0	0.0	0.0	0.0
6	0.23557205	0.14491977	0.5210481	0.057544164	500.0	0.033567198	0.011007873	0.07188384	0.004139684	112000	3.7252903e-09	0.0010840102	-0.008499393	-0.00053843856	1.3564423	0.00754327	0.083375	127.0	136.39960551261902	0.0	0.0	0.0	0.0	0.0
7	0.49501684	0.34494546	1.4156184	0.07853008	500.0	0.059868842	0.020381544	0.10461206	0.003935367	128000	-7.450581e-09	0.0076336125	-0.00835981	-0.0031694476	1.3564423	0.006655491	0.073437504	127.0	155.60879707336426	0.0	0.0	0.0	0.0	0.0
8	0.9653341	0.50235283	2.9107609	0.30746686	500.0	0.12443289	0.045078125	0.21680345	0.010664258	144000	-1.8626451e-08	0.021018628	-0.0061322134	-0.010621924	1.3564423	0.006254988	0.0679375	127.0	178.54116296768188	0.0	0.0	0.0	0.0	0.0
9	1.7851554	1.648348	8.308427	0.5600131	500.0	0.24163279	0.07588119	0.39155048	-0.0016493648	160000	0.0	0.16605721	-0.0051011294	-0.062042765	1.3564423	0.007458467	0.068937495	127.0	199.4166305065155	0.0	0.0	0.0	0.0	0.0
10	4.720497	2.5778635	11.087031	0.5423551	500.0	0.521406	0.24854517	1.0620698	-0.018279016	176000	7.450581e-09	0.8302281	-0.005671458	-0.48140132	1.3564423	0.00590374	0.062875	127.0	218.70852637290955	0.0	0.0	0.0	0.0	0.0
