Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.12766191	0.07732045	0.38992506	0.037589043	500.0	0.29569665	0.01682938	0.3653622	0.24275708	16000	-4.246831e-07	0.051966026	-0.008963613	-0.04949232	1.3564423	0.007467632	0.0888125	127.0	26.03156805038452	0.0	0.0	0.0	0.0	0.0
1	0.1807584	0.1302733	0.74033666	0.0474054	500.0	0.09126322	0.0441665	0.21915427	0.0038931035	32000	-5.2154064e-08	0.0023320643	-0.006732605	-0.0015326322	1.3564423	0.0069112685	0.0571875	127.0	49.798410415649414	0.0	0.0	0.0	0.0	0.0
2	0.25788802	0.16436368	0.7551795	0.06709715	500.0	0.07682953	0.035473164	0.17301129	0.012237266	48000	-3.7252903e-09	0.0017862907	-0.007050209	-0.00064311025	1.3564423	0.005404057	0.060312502	127.0	74.92169857025146	0.0	0.0	0.0	0.0	0.0
3	0.30614984	0.16795778	0.7904324	0.11678872	500.0	0.07549091	0.02090946	0.12649307	0.033150814	64000	1.1175871e-08	0.0013515201	-0.0066143866	-0.00040070212	1.3564423	0.005770823	0.063625	127.0	101.15625071525574	0.0	0.0	0.0	0.0	0.0
4	0.6840047	0.39463994	1.7785286	0.22491583	500.0	0.07882346	0.013426233	0.12984948	0.043159083	80000	-2.6077032e-08	0.01026894	-0.0056785094	-0.004725086	1.3564423	0.006659361	0.0529375	127.0	125.65696811676025	0.0	0.0	0.0	0.0	0.0
5	0.93750787	0.76716405	4.332254	0.13294825	500.0	0.14575785	0.026948847	0.2118459	0.06656278	96000	-2.2351742e-08	0.02967183	-0.0057187974	-0.008898592	1.3564423	0.006724719	0.067125	127.0	150.73614287376404	0.0	0.0	0.0	0.0	0.0
6	2.7989101	1.781297	6.4852657	0.20988066	500.0	0.24960476	0.07377313	0.38496354	0.037722066	112000	1.4901161e-08	0.31427297	-0.0047759158	-0.16898218	1.3564423	0.0042838566	0.04625	127.0	175.496572971344	0.0	0.0	0.0	0.0	0.0
7	6.051982	4.1516976	14.456047	0.8498752	500.0	0.6511763	0.27868173	1.2273519	-0.032049358	128000	-2.2351742e-08	1.6136165	-0.006856912	-0.72349197	1.3564423	0.006187525	0.064375	127.0	200.41935110092163	0.0	0.0	0.0	0.0	0.0
8	10.040701	4.0948095	17.062895	2.8479636	500.0	1.5396998	0.7296817	2.9240143	-0.032820184	144000	3.7252903e-08	1.9289851	-0.0071374653	-1.1050394	1.3564423	0.0069434354	0.0748125	127.0	223.8889365196228	0.0	0.0	0.0	0.0	0.0
9	14.631493	4.723192	24.256733	5.797013	500.0	2.7325206	1.3066567	4.8209486	-0.4501957	160000	3.7252903e-08	2.1744132	-0.008557635	-1.0385404	1.3564423	0.007568868	0.0883125	127.0	247.11773920059204	0.0	0.0	0.0	0.0	0.0
10	16.704063	5.246068	24.948238	3.9934916	500.0	4.0413947	1.7301954	6.1892533	-0.39470795	176000	1.8626451e-08	2.0318284	-0.008351166	-0.24544828	1.3564423	0.006395994	0.074687496	127.0	272.09677386283875	0.0	0.0	0.0	0.0	0.0
