Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.12809178	0.06398722	0.34249383	0.05728273	500.0	0.2649231	0.018858226	0.33862817	0.2104707	16000	6.7055225e-08	0.041212786	-0.00972365	-0.03922792	1.3564423	0.007837122	0.0931875	127.0	24.768977403640747	0.0	0.0	0.0	0.0	0.0
1	0.17723556	0.11947174	0.70761114	0.042904943	500.0	0.081370756	0.038818546	0.21042241	0.009486325	32000	1.8626451e-08	0.0017312735	-0.0076812683	-0.0011327113	1.3564423	0.006736283	0.063125	127.0	46.01418471336365	0.0	0.0	0.0	0.0	0.0
2	0.34331733	0.1844484	0.9198024	0.11485269	500.0	0.07804457	0.03414797	0.1703128	0.01652952	48000	-2.4214387e-08	0.00199791	-0.008180455	-0.00067428703	1.3564423	0.005565961	0.069749996	127.0	66.6476788520813	0.0	0.0	0.0	0.0	0.0
3	0.41763413	0.25074	1.0514748	0.073194854	500.0	0.08829325	0.02056439	0.15112597	0.039539166	64000	-3.7252903e-09	0.0025643916	-0.0071329204	-0.00075848645	1.3564423	0.006683263	0.06856251	127.0	86.3260989189148	0.0	0.0	0.0	0.0	0.0
4	0.8204021	0.49462473	2.156046	0.21257287	500.0	0.108164646	0.025767732	0.20930211	0.05589732	80000	1.4901161e-08	0.016043842	-0.006438077	-0.0062431023	1.3564423	0.0065777777	0.059562497	127.0	107.56529307365417	0.0	0.0	0.0	0.0	0.0
5	1.4608705	1.3049376	5.617501	0.32040468	500.0	0.19052817	0.034447223	0.2809318	0.09837368	96000	7.450581e-09	0.09611732	-0.005114712	-0.043251466	1.3564423	0.007215691	0.061187502	127.0	128.35613465309143	0.0	0.0	0.0	0.0	0.0
6	3.4003673	2.2542787	9.915578	0.4431971	500.0	0.43920264	0.16521735	0.88331336	0.022350121	112000	-7.450581e-09	0.3590203	-0.006363851	-0.17641562	1.3564423	0.0054633114	0.07125	127.0	149.27220249176025	0.0	0.0	0.0	0.0	0.0
7	5.4821434	3.3080819	13.654775	1.3563509	500.0	1.0043731	0.40991172	2.1977336	-0.029265556	128000	-2.2351742e-08	0.7527691	-0.00749025	-0.31978545	1.3564423	0.0063410504	0.078062505	127.0	168.47020196914673	0.0	0.0	0.0	0.0	0.0
8	8.934563	4.714982	18.51074	0.84946966	500.0	1.4825894	0.66361034	2.7777767	-0.08990242	144000	1.8626451e-08	1.6461415	-0.008404366	-0.84385896	1.3564423	0.0083512785	0.109125	127.0	189.666823387146	0.0	0.0	0.0	0.0	0.0
9	14.582834	5.202761	27.483488	1.9884766	500.0	2.9266295	1.3617047	5.4106965	-0.8279514	160000	0.0	1.7292355	-0.012003049	-0.61386335	1.3564423	0.009457155	0.1151875	127.0	211.48109579086304	0.0	0.0	0.0	0.0	0.0
