Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.05760483	0.026931884	0.124114275	0.022651209	500.0	0.31840923	0.024645392	0.41157508	0.2633751	16000	2.8312206e-07	0.06469048	-0.008620643	-0.06143662	1.3564423	0.0076034795	0.085250005	127.0	21.48301100730896	0.0	0.0	0.0	0.0	0.0
1	0.06410945	0.031963263	0.16870256	0.020489294	500.0	0.09998043	0.052767072	0.2299932	-0.02079352	32000	-4.4703484e-08	0.004204021	-0.0065451832	-0.003709015	1.3564423	0.006497206	0.059750002	127.0	40.14512395858765	0.0	0.0	0.0	0.0	0.0
2	0.066228	0.02893172	0.15026997	0.025536722	500.0	0.05744564	0.043588717	0.17168768	-0.029195245	48000	-3.1199306e-08	0.0012321075	-0.007687728	-0.0009315803	1.3564423	0.0056542493	0.0638125	127.0	61.583414793014526	0.0	0.0	0.0	0.0	0.0
3	0.06711966	0.028774498	0.13013706	0.024689786	500.0	0.045096394	0.026968554	0.12028077	-0.02006978	64000	-3.3527613e-08	0.0006398444	-0.008053652	-0.00048571563	1.3564423	0.004526848	0.0684375	127.0	82.71467852592468	0.0	0.0	0.0	0.0	0.0
4	0.09115577	0.040966462	0.24355693	0.03669749	500.0	0.034441706	0.017636461	0.09128405	-0.0043755434	80000	3.7252903e-08	0.00030579756	-0.00927133	-0.00019846157	1.3564423	0.007485643	0.079375	127.0	100.86133527755737	0.0	0.0	0.0	0.0	0.0
5	0.075890444	0.032655172	0.20057608	0.029830735	500.0	0.028438168	0.012352676	0.06699118	-0.0053660274	96000	1.3038516e-08	0.0001697384	-0.010708897	-0.00010337203	1.3564423	0.008408524	0.0948125	127.0	120.48339438438416	0.0	0.0	0.0	0.0	0.0
6	0.17346959	0.115555674	0.41112542	0.036347322	500.0	0.029044453	0.011305377	0.07050112	-0.0009617992	112000	-2.3748726e-08	0.00057719904	-0.009629703	-0.00027368384	1.3564423	0.008059668	0.08706249	127.0	138.9688003063202	0.0	0.0	0.0	0.0	0.0
7	0.4058472	0.298783	0.9856087	0.0387184	500.0	0.04870168	0.018297	0.08919579	-0.00045599043	128000	-1.4901161e-08	0.0054597966	-0.0084932335	-0.002344351	1.3564423	0.006742742	0.069625	127.0	159.3936891555786	0.0	0.0	0.0	0.0	0.0
8	0.72370136	0.46695554	2.0174298	0.0872645	500.0	0.10150544	0.03882598	0.18143596	0.0022515878	144000	-5.2154064e-08	0.012980146	-0.0063575357	-0.0061906613	1.3564423	0.007184429	0.075	127.0	178.92720222473145	0.0	0.0	0.0	0.0	0.0
9	1.2382092	0.88331366	4.263082	0.30568162	500.0	0.19817352	0.06598052	0.33126262	-0.025793524	160000	7.450581e-09	0.04632886	-0.00562605	-0.016232423	1.3564423	0.0075947396	0.06675	127.0	200.62885546684265	0.0	0.0	0.0	0.0	0.0
