Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.056361012	0.026545092	0.122582965	0.021445448	500.0	0.32355523	0.023940867	0.4141522	0.26834574	16000	3.7252903e-08	0.06714399	-0.008643426	-0.06374016	1.3564423	0.007674919	0.0861875	127.0	26.088374376296997	0.0	0.0	0.0	0.0	0.0
1	0.06277611	0.031175995	0.16057922	0.019897029	500.0	0.101290405	0.052324433	0.22913712	-0.021913568	32000	-1.21071935e-08	0.0043627983	-0.0062921373	-0.0038696348	1.3564423	0.006272941	0.06075	127.0	49.32442355155945	0.0	0.0	0.0	0.0	0.0
2	0.0643001	0.0284893	0.14891756	0.025835851	500.0	0.058003083	0.04420908	0.17364126	-0.029383821	48000	9.778887e-09	0.0012909302	-0.007652641	-0.0009830296	1.3564423	0.0057623945	0.0658125	127.0	72.92265963554382	0.0	0.0	0.0	0.0	0.0
3	0.066889465	0.02796167	0.12695673	0.024944967	500.0	0.044465408	0.0268505	0.12068677	-0.019628324	64000	2.8871e-08	0.00063309947	-0.008146252	-0.00048130885	1.3564423	0.004644893	0.073125005	127.0	95.51698064804077	0.0	0.0	0.0	0.0	0.0
4	0.09262816	0.04189967	0.25155377	0.03524367	500.0	0.033850946	0.016299887	0.091086544	-0.0019832887	80000	2.2351742e-08	0.00026782296	-0.009617582	-0.00017153882	1.3564423	0.0079033235	0.0856875	127.0	117.28597569465637	0.0	0.0	0.0	0.0	0.0
5	0.0763374	0.029600699	0.18119733	0.032446295	500.0	0.027506081	0.0120940525	0.06756744	-0.0035262369	96000	-2.2351742e-08	0.0001559564	-0.011117455	-9.5437645e-05	1.3564423	0.008995041	0.102625	127.0	140.54917001724243	0.0	0.0	0.0	0.0	0.0
6	0.16474816	0.09723966	0.3675301	0.043967575	500.0	0.02938776	0.011071588	0.070185274	0.0023299903	112000	1.0011718e-08	0.0004365809	-0.009840938	-0.00018040912	1.3564423	0.00752211	0.0885	127.0	163.07943892478943	0.0	0.0	0.0	0.0	0.0
7	0.38128397	0.29749802	1.3866842	0.040231157	500.0	0.045538217	0.014213028	0.07963213	0.0076100193	128000	7.450581e-09	0.0054375185	-0.007885909	-0.0021392705	1.3564423	0.006353829	0.06525	127.0	186.1925277709961	0.0	0.0	0.0	0.0	0.0
8	0.7312082	0.42465785	2.0215614	0.11719374	500.0	0.09071431	0.039351415	0.172461	0.0040435605	144000	-2.9802322e-08	0.01255582	-0.0064352527	-0.0067940163	1.3564423	0.0062465174	0.0674375	127.0	209.02885246276855	0.0	0.0	0.0	0.0	0.0
9	1.2365766	0.8125859	4.575736	0.24702898	500.0	0.19056794	0.064305425	0.31853163	0.0019831508	160000	7.450581e-09	0.04407659	-0.005328904	-0.015616661	1.3564423	0.0073121465	0.0608125	127.0	233.67233538627625	0.0	0.0	0.0	0.0	0.0
