Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2781534	0.20590967	0.95402616	0.052715804	500.0	0.008879501	0.029256254	0.09737025	-0.060996965	16000	-1.8626451e-09	0.0035352611	-0.007823933	-0.0018564959	1.3564423	0.008286716	0.08325	127.0	27.84230136871338	0.0	0.0	0.0	0.0	0.0
1	0.30852076	0.27288017	1.4720829	0.050620615	500.0	0.051673487	0.01942535	0.12678729	0.0022649616	32000	-1.8626451e-08	0.002674135	-0.0066782543	-0.00067239546	1.3564423	0.010214686	0.1065625	127.0	49.28367590904236	0.0	0.0	0.0	0.0	0.0
2	0.8030343	0.4532059	1.8713474	0.17959484	500.0	0.0818573	0.022071049	0.15341675	0.017624564	48000	-3.3527613e-08	0.013004805	-0.0066913487	-0.00651108	1.3564423	0.006936622	0.0775	127.0	74.42215609550476	0.0	0.0	0.0	0.0	0.0
3	0.97543293	0.6497258	3.3463025	0.1352728	500.0	0.14359345	0.06530384	0.32107225	-0.048648182	64000	0.0	0.014742239	-0.00807786	-0.0043556197	1.3564423	0.0075360145	0.09281249	127.0	95.61009073257446	0.0	0.0	0.0	0.0	0.0
4	1.7887197	1.3934969	5.9561877	0.44983888	500.0	0.23911163	0.07881951	0.5069228	-0.03977681	80000	-1.4901161e-08	0.06808083	-0.007832276	-0.039402112	1.3564423	0.008269722	0.086625	127.0	116.74730324745178	0.0	0.0	0.0	0.0	0.0
5	3.212853	2.3947442	9.252492	0.69622374	500.0	0.5054937	0.17400675	0.9173647	0.077229515	96000	-4.656613e-08	0.15766753	-0.009892914	-0.07499021	1.3564423	0.0078061274	0.102625	127.0	137.85094141960144	0.0	0.0	0.0	0.0	0.0
6	5.418425	3.7283459	15.134318	0.5432919	500.0	0.81213826	0.36693302	1.8357844	-0.34505862	112000	3.7252903e-09	0.50295985	-0.010956729	-0.2026284	1.3564423	0.009049454	0.117249995	127.0	162.46449875831604	0.0	0.0	0.0	0.0	0.0
7	11.850285	7.993809	34.440773	2.1364262	500.0	1.5991458	0.6095699	3.1082852	-0.59172165	128000	4.4703484e-08	3.274508	-0.00992043	-1.70612	1.3564423	0.006163186	0.092374995	127.0	183.91676235198975	0.0	0.0	0.0	0.0	0.0
8	19.253742	8.261288	35.273674	4.53072	500.0	3.1679325	1.2519529	5.9672494	-0.7944862	144000	-5.2154064e-08	3.8707407	-0.011266939	-2.165001	1.3564423	0.007479284	0.107875004	127.0	208.70973324775696	0.0	0.0	0.0	0.0	0.0
9	23.281048	8.703721	43.90878	6.840286	500.0	4.8646035	1.7090652	7.8423367	-1.7681619	160000	-2.6077032e-08	4.121085	-0.010081347	-1.2259747	1.3564423	0.0070378087	0.084875	127.0	233.68555164337158	0.0	0.0	0.0	0.0	0.0
10	25.603231	7.3070464	36.671112	8.399324	500.0	6.0585566	2.289683	9.639261	-1.4632685	176000	-2.2351742e-08	3.7658067	-0.010156364	-0.9080382	1.3564423	0.007929925	0.080125004	127.0	256.872273683548	0.0	0.0	0.0	0.0	0.0
11	27.361523	8.156567	59.411095	11.134012	500.0	6.965466	1.9215748	9.540757	-0.93630445	192000	-5.5879354e-09	5.148838	-0.0075564906	-0.5497363	1.3564423	0.005402071	0.0519375	127.0	278.6179254055023	0.0	0.03125	0.0	0.0	0.0
12	29.264343	5.6281343	39.57648	19.882734	500.0	6.793802	1.6087292	8.498535	0.3494636	208000	-1.4901161e-08	3.0074005	-0.0087520825	-0.4970284	1.3564423	0.0069491956	0.0775625	127.0	301.69594645500183	0.0	0.0	0.0	0.0	0.0
13	35.393806	7.2532763	55.630653	25.911818	500.0	6.9240265	0.9706757	8.108799	1.4299496	224000	-1.8626451e-08	4.8370757	-0.008425184	-1.0021584	1.3564423	0.006833737	0.0678125	127.0	325.23616456985474	0.0	0.0625	0.0	0.0	0.0
14	34.51846	8.731763	53.558895	18.666399	500.0	7.828867	0.94801044	8.932326	1.9284004	240000	-3.7252903e-08	4.122674	-0.0097717745	-0.15621772	1.3564423	0.006911576	0.07412499	127.0	347.29167580604553	0.0	0.03125	0.0	0.0	0.0
15	39.690308	7.961476	55.647255	24.534334	500.0	7.812505	0.9781931	9.014853	2.5053947	256000	-1.4901161e-08	4.651436	-0.0091410475	-0.84287643	1.3564423	0.0059755836	0.06975	127.0	374.1828100681305	0.0	0.0625	0.0	0.0	0.0
16	40.38379	12.1318	93.97974	24.959684	500.0	8.587582	0.736342	9.318835	3.1683118	272000	9.313226e-09	8.683489	-0.008797361	-0.3831743	1.3564423	0.008191669	0.078499995	127.0	400.8420307636261	0.0	0.125	0.0	0.0	0.0
17	45.509098	17.858381	123.05802	25.637398	500.0	8.875764	1.072307	10.050766	1.5369754	288000	1.1175871e-08	14.481195	-0.008396495	-1.201317	1.3564423	0.0065078298	0.079625	127.0	424.53717827796936	0.0	0.1875	0.0	0.0	0.0
18	44.79415	11.058525	98.121704	32.89198	500.0	9.808191	1.1243167	10.769139	1.9525633	304000	-1.4901161e-08	6.6987615	-0.007952903	-0.37007695	1.3564423	0.0071406337	0.075875	127.0	448.5939190387726	0.0	0.125	0.0	0.0	0.0
19	41.21291	7.9935822	54.59357	21.75963	500.0	9.786654	1.0703228	10.718499	3.751244	320000	-1.8626451e-08	3.7236295	-0.010067758	-0.56711745	1.3564423	0.006321147	0.0741875	127.0	470.34715366363525	0.0	0.0625	0.0	0.0	0.0
20	43.12452	6.7263007	57.853924	30.312363	500.0	9.176744	0.9401491	10.064977	4.0583134	336000	-1.4901161e-08	2.63874	-0.009077965	-0.19886504	1.3564423	0.0063991575	0.0731875	127.0	493.5096061229706	0.0	0.03125	0.0	0.0	0.0
21	45.894394	6.7543683	64.18821	36.160183	500.0	9.423341	0.8632527	10.24986	3.1052544	352000	-2.9802322e-08	3.886248	-0.010034697	-0.56555593	1.3564423	0.007967651	0.0755	127.0	517.6710178852081	0.0	0.28125	0.0	0.0	0.0
22	50.64634	13.015474	104.821495	36.98266	500.0	9.950217	0.9637997	10.829725	4.1611924	368000	-7.450581e-09	10.442068	-0.0075225006	-1.5635358	1.3564423	0.008918517	0.08125	127.0	543.5380036830902	0.0	0.21875	0.0	0.0	0.0
23	48.04314	9.3770275	83.27141	33.728577	500.0	10.619426	1.3876874	12.244751	3.306477	384000	2.2351742e-08	4.77588	-0.008936156	-0.35509402	1.3564423	0.0066871867	0.0765625	127.0	567.5825886726379	0.0	0.25	0.0	0.0	0.0
24	52.743874	15.613776	120.36843	32.811195	500.0	10.741788	1.2813289	12.0553465	4.059857	400000	0.0	11.502936	-0.0077217515	-0.9223754	1.3564423	0.00890546	0.07925	127.0	593.2137498855591	0.0	0.4375	0.0	0.0	0.0
25	48.746887	6.758094	69.87893	35.92923	500.0	11.208351	1.4316778	12.901098	5.028912	416000	-1.4901161e-08	3.4722824	-0.0084873885	-0.48474914	1.3564423	0.005727562	0.0740625	127.0	616.2723042964935	0.0	0.40625	0.0	0.0	0.0
26	51.861137	12.080761	108.59113	39.57964	500.0	10.940457	1.2700334	12.521677	5.5525274	432000	7.450581e-09	7.2924566	-0.009014385	-0.5062657	1.3564423	0.007843237	0.070374995	127.0	636.759191274643	0.0	0.4375	0.0	0.0	0.0
27	51.228004	11.551134	100.40006	36.415768	500.0	11.362175	1.3711907	13.122746	6.072403	448000	3.7252903e-08	6.3255863	-0.008735418	-0.6279655	1.3564423	0.008452588	0.0960625	127.0	662.1736152172089	0.0	0.25	0.0	0.0	0.0
28	51.691174	9.371457	80.73375	37.731647	500.0	10.966389	1.3144351	13.197651	3.8730586	464000	-7.450581e-09	5.564599	-0.009026012	-0.8723631	1.3564423	0.008496344	0.0820625	127.0	687.0686001777649	0.0	0.46875	0.0	0.0	0.0
29	55.52645	8.736997	88.330894	46.058	500.0	11.479015	1.4626331	13.464293	5.704001	480000	2.2351742e-08	5.529255	-0.008760167	-0.73753124	1.3564423	0.00813009	0.086687505	127.0	713.8381702899933	0.0	0.5	0.0	0.0	0.0
30	60.445007	14.536827	101.01887	42.080997	500.0	12.274164	1.571625	13.989057	5.591676	496000	1.6763806e-08	14.43629	-0.00728373	-2.2901192	1.3564423	0.0076788906	0.0819375	127.0	742.0162658691406	0.0	0.6875	0.0	0.0	0.0
31	56.84494	14.700993	124.35063	44.167706	500.0	13.229485	1.7732478	14.593776	5.320582	512000	-1.4901161e-08	11.395568	-0.00804159	-0.67535925	1.3564423	0.009388819	0.0769375	127.0	766.8481132984161	0.0	0.5625	0.0	0.0	0.0
