Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.32605696	0.2297339	0.9299242	0.06769427	500.0	0.12916845	0.017157784	0.18109605	0.06937356	16000	-1.3038516e-08	0.0054799905	-0.005784396	-0.003804659	1.3564423	0.0058819978	0.046375	127.0	19.959981441497803	0.0	0.0	0.0	0.0	0.0
1	0.35707325	0.26236182	1.1862402	0.10803397	500.0	0.076404996	0.013286899	0.11697314	0.043019585	32000	3.7252903e-09	0.0021566257	-0.0065828254	-0.0006795373	1.3564423	0.0075265504	0.066125	127.0	38.00622892379761	0.0	0.0	0.0	0.0	0.0
2	0.5599841	0.32697347	1.4007716	0.15995891	500.0	0.08265869	0.021571236	0.1421652	0.027598914	48000	1.6763806e-08	0.004032859	-0.009392869	-0.0016503076	1.3564423	0.006875067	0.088125005	127.0	56.36436724662781	0.0	0.0	0.0	0.0	0.0
3	0.8200069	0.4687554	1.9987061	0.2639275	500.0	0.11556392	0.03573139	0.2095419	-0.0060738064	64000	0.0	0.008685282	-0.008437122	-0.0038118868	1.3564423	0.0070305187	0.085250005	127.0	74.22802782058716	0.0	0.0	0.0	0.0	0.0
4	1.9113684	0.99896705	5.0607376	0.7300953	500.0	0.21258846	0.04492256	0.3626225	0.08227402	80000	-7.450581e-09	0.07254206	-0.007687191	-0.035993323	1.3564423	0.008499252	0.08625	127.0	92.93342018127441	0.0	0.0	0.0	0.0	0.0
5	3.1479726	2.9648943	15.2540865	0.40436053	500.0	0.41673377	0.12832846	0.92738265	0.15184538	96000	-1.4901161e-08	0.46412075	-0.0073071737	-0.21352956	1.3564423	0.008822148	0.0845	127.0	111.05480742454529	0.0	0.0	0.0	0.0	0.0
6	7.021027	4.935346	24.222277	1.5227553	500.0	0.94530666	0.49284124	2.3914783	-0.035212252	112000	-2.6077032e-08	1.7829587	-0.007638028	-0.9500069	1.3564423	0.0071466845	0.081687495	127.0	131.64255452156067	0.0	0.0	0.0	0.0	0.0
7	9.363653	5.3162403	21.133102	0.61669827	500.0	2.0065248	1.1098546	4.259097	-0.2411583	128000	-1.1175871e-08	1.5901296	-0.008360995	-0.52712333	1.3564423	0.008156234	0.079625	127.0	151.28314065933228	0.0	0.0	0.0	0.0	0.0
8	14.976114	4.8130875	26.596956	3.118408	500.0	3.0029533	1.5790447	6.0882697	-0.27768677	144000	0.0	2.384409	-0.0094039915	-1.044045	1.3564423	0.01009444	0.091	127.0	169.72905564308167	0.0	0.0	0.0	0.0	0.0
9	20.438684	6.418424	32.748608	7.2962685	500.0	4.428306	2.1357777	7.6106772	-0.105160385	160000	3.7252903e-09	3.459885	-0.008350933	-1.0219967	1.3564423	0.0061813826	0.085625	127.0	189.59152579307556	0.0	0.0	0.0	0.0	0.0
10	22.185488	6.3660946	34.689278	9.914509	500.0	5.5582266	2.510673	8.738798	-0.27688676	176000	0.0	2.9501543	-0.009193777	-0.25420424	1.3564423	0.008383871	0.082625	127.0	207.92349004745483	0.0	0.0	0.0	0.0	0.0
11	27.269901	6.0387344	40.898724	18.893967	500.0	6.313502	2.2781026	8.647182	-0.14221558	192000	-1.4901161e-08	3.045858	-0.008712469	-0.3681777	1.3564423	0.0073021473	0.077374995	127.0	226.85309505462646	0.0	0.0	0.0	0.0	0.0
12	28.74737	8.500255	49.147972	16.233154	500.0	6.9606104	2.2552745	8.996545	0.11030895	208000	5.5879354e-09	3.6728706	-0.007209069	-0.16521189	1.3564423	0.005896037	0.0581875	127.0	245.62394881248474	0.0	0.0	0.0	0.0	0.0
13	28.580746	9.299487	48.736794	12.361228	500.0	7.181945	2.0170639	8.889678	0.41804996	224000	-1.1175871e-08	4.9599843	-0.006449832	-0.2729937	1.3564423	0.005121585	0.046375	127.0	265.2373046875	0.0	0.125	0.0	0.0	0.0
14	30.777287	8.551986	46.622337	14.57001	500.0	6.9655995	1.8870708	8.593092	0.5429918	240000	-2.6077032e-08	4.2782803	-0.009124156	-0.3066467	1.3564423	0.0062985546	0.0655625	127.0	284.5206780433655	0.0	0.0625	0.0	0.0	0.0
15	33.05013	9.574024	50.813187	17.734983	500.0	7.3610106	1.8881859	8.944258	1.0791949	256000	-5.5879354e-09	4.0810356	-0.008982718	-0.67395663	1.3564423	0.0071518114	0.068	127.0	304.00313353538513	0.0	0.0	0.0	0.0	0.0
16	33.48828	11.465824	51.01281	14.570627	500.0	8.065542	1.896065	9.864378	1.2449414	272000	-1.1175871e-08	6.2068415	-0.008930089	-0.73865545	1.3564423	0.0061902422	0.0709375	127.0	322.6492440700531	0.0	0.0625	0.0	0.0	0.0
17	37.874863	9.911096	50.5958	17.449005	500.0	7.795335	2.1827528	9.958197	-3.1300328	288000	-3.7252903e-08	5.220339	-0.008183413	-1.3115017	1.3564423	0.005935545	0.054875	127.0	341.7337532043457	0.0	0.0625	0.0	0.0	0.0
18	38.734818	8.088301	50.544563	20.14485	500.0	8.603184	2.3583157	11.291592	-1.4523405	304000	-9.313226e-09	3.303475	-0.007353614	-0.42525268	1.3564423	0.0061209183	0.0584375	127.0	361.3218193054199	0.0	0.0625	0.0	0.0	0.0
19	40.529747	10.231153	53.303043	19.635296	500.0	9.009539	2.1239338	11.376224	1.529176	320000	1.8626451e-08	4.631427	-0.009141508	-0.5675742	1.3564423	0.0056858473	0.070250005	127.0	380.1012182235718	0.0	0.0	0.0	0.0	0.0
20	41.421783	11.863716	69.617455	13.145041	500.0	9.502449	2.1672575	11.735066	-0.28934324	336000	0.0	5.5430717	-0.007912714	-1.3029721	1.3564423	0.007199073	0.0800625	127.0	399.11720967292786	0.0	0.09375	0.0	0.0	0.0
21	42.295185	9.997443	58.549915	17.610271	500.0	9.557906	2.1271856	12.530436	2.4990892	352000	-3.7252903e-09	3.8807235	-0.008127848	-0.8243545	1.3564423	0.00806389	0.0684375	127.0	418.3316111564636	0.0	0.15625	0.0	0.0	0.0
22	38.38916	10.656569	55.68442	19.14353	500.0	9.7646475	2.2208166	12.493947	2.4582922	368000	0.0	5.059892	-0.009590592	-1.8209605	1.3564423	0.007726494	0.073125005	127.0	438.5083017349243	0.0	0.25	0.0	0.0	0.0
23	37.336838	12.081244	54.45684	16.895092	500.0	8.462039	2.2730663	12.206022	2.5930293	384000	1.8626451e-09	3.5838265	-0.008136854	-0.9368746	1.3564423	0.0071214726	0.064624995	127.0	457.3522427082062	0.0	0.09375	0.0	0.0	0.0
24	45.577618	18.377546	95.1905	15.455984	500.0	8.940152	3.069546	12.756102	-1.4800056	400000	1.8626451e-09	10.354692	-0.008519808	-2.7003245	1.3564423	0.008496361	0.0881875	127.0	476.70538210868835	0.0	0.28125	0.0	0.0	0.0
25	46.680656	15.04109	91.185135	17.065926	500.0	10.357273	3.2531939	14.85847	0.11780025	416000	-1.4901161e-08	6.531335	-0.008239977	-0.35295868	1.3564423	0.005833626	0.0616875	127.0	497.6757233142853	0.0	0.21875	0.0	0.0	0.0
26	46.599464	14.14732	102.44414	13.360978	500.0	10.7024	3.27941	15.270337	0.99172884	432000	0.0	6.5066795	-0.008237062	-0.5076896	1.3564423	0.006707179	0.0678125	127.0	526.122567653656	0.0	0.1875	0.0	0.0	0.0
27	47.3411	6.187528	56.278267	29.021774	500.0	10.994289	2.635354	14.323261	2.0054948	448000	-7.450581e-09	1.7546202	-0.009265816	-0.32809496	1.3564423	0.0066987453	0.06325	127.0	554.4982233047485	0.0	0.1875	0.0	0.0	0.0
28	47.144318	9.095317	64.75678	12.418322	500.0	10.711893	2.700846	13.805745	0.057953753	464000	-1.1175871e-08	2.8107023	-0.009658717	-0.9422837	1.3564423	0.005992701	0.0628125	127.0	574.6268465518951	0.0	0.1875	0.0	0.0	0.0
29	46.74684	8.41241	56.843666	20.655548	500.0	10.736158	2.5459015	13.615228	2.6161592	480000	9.313226e-09	1.8175321	-0.0093410695	-0.29543123	1.3564423	0.0073396065	0.0755625	127.0	593.4649434089661	0.0	0.09375	0.0	0.0	0.0
30	48.425636	9.8300495	70.19308	25.476746	500.0	10.676279	2.611377	13.448568	1.1161909	496000	-7.450581e-09	3.3633385	-0.008246731	-0.5749466	1.3564423	0.0074488423	0.073375	127.0	612.3120608329773	0.0	0.1875	0.0	0.0	0.0
31	44.879387	10.65574	59.60362	19.976898	500.0	10.596346	2.5522947	13.804236	3.2754824	512000	0.0	2.6799853	-0.00886634	-0.55342466	1.3564423	0.005814622	0.075187504	127.0	631.3156890869141	0.0	0.21875	0.0	0.0	0.0
32	47.027386	8.807812	57.517	24.132427	500.0	10.584049	2.5240738	14.037237	3.3336275	528000	-1.4901161e-08	1.7160137	-0.0098465	-0.26289922	1.3564423	0.0073283254	0.0774375	127.0	651.0579361915588	0.0	0.25	0.0	0.0	0.0
33	51.995426	10.973004	88.75572	24.705578	500.0	11.047757	2.5505733	14.1692915	3.135342	544000	8.381903e-09	4.7698913	-0.008157146	-0.84876776	1.3564423	0.008063843	0.073874995	127.0	670.6741526126862	0.0	0.21875	0.0	0.0	0.0
34	53.240494	12.622319	83.88145	30.183475	500.0	11.675352	2.3998425	14.200296	3.8279383	560000	-3.7252903e-09	7.0486884	-0.008088858	-0.6868294	1.3564423	0.0077400813	0.0798125	127.0	690.0522720813751	0.0	0.5	0.0	0.0	0.0
35	53.812927	15.909798	102.80204	17.564362	500.0	11.693667	3.2360258	15.148768	1.8326296	576000	0.0	8.16706	-0.008153464	-0.7888392	1.3564423	0.0051867766	0.0698125	127.0	709.6850500106812	0.0	0.40625	0.0	0.0	0.0
36	51.939545	15.520016	109.139465	27.97876	500.0	12.276664	3.049834	15.661653	3.6605535	592000	0.0	7.6618342	-0.007844429	-0.5267401	1.3564423	0.008755041	0.085187495	127.0	729.6338083744049	0.0	0.28125	0.0	0.0	0.0
37	51.34876	13.570307	87.45656	18.204393	500.0	11.776545	3.0666916	15.564496	3.2845616	608000	-1.4901161e-08	5.747608	-0.009619808	-0.5669216	1.3564423	0.00821303	0.0866875	127.0	749.3096992969513	0.0	0.25	0.0	0.0	0.0
38	53.39715	8.573881	82.84383	35.536385	500.0	12.106379	2.805029	15.984557	4.0229945	624000	0.0	3.8158183	-0.008991233	-0.61092985	1.3564423	0.0075902417	0.0720625	127.0	768.3772287368774	0.0	0.34375	0.0	0.0	0.0
