Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.31879115	0.23979758	0.97540605	0.06769427	500.0	0.12936795	0.017184786	0.18109605	0.06937356	16000	7.450581e-09	0.0057084872	-0.005820252	-0.00392191	1.3564423	0.005952212	0.04575	127.0	20.8289475440979	0.0	0.0	0.0	0.0	0.0
1	0.38040435	0.29002458	1.2152419	0.11101705	500.0	0.07625625	0.013406623	0.118159726	0.042545818	32000	-1.5832484e-08	0.0027072402	-0.006480965	-0.00086584734	1.3564423	0.007548877	0.06825	127.0	37.54955530166626	0.0	0.0	0.0	0.0	0.0
2	0.5217169	0.27958196	1.1850191	0.16263117	500.0	0.086457185	0.022521485	0.15450765	0.028865129	48000	-7.450581e-09	0.002541862	-0.010782756	-0.0009593766	1.3564423	0.00767051	0.0969375	127.0	55.88512301445007	0.0	0.0	0.0	0.0	0.0
3	0.73925894	0.35552463	1.5673876	0.2827619	500.0	0.11447547	0.029418403	0.18146472	0.017903171	64000	2.6077032e-08	0.0043559875	-0.0099416375	-0.0019593388	1.3564423	0.006731484	0.093624994	127.0	75.17033505439758	0.0	0.0	0.0	0.0	0.0
4	1.4807228	1.0685469	5.372872	0.5461314	500.0	0.17800799	0.047972508	0.3607008	0.038116954	80000	-7.8231096e-08	0.051742557	-0.0058771996	-0.02929577	1.3564423	0.008451764	0.07975	127.0	93.55384659767151	0.0	0.0	0.0	0.0	0.0
5	2.1714945	2.9977183	14.873103	0.40651897	500.0	0.329831	0.18475895	1.2225816	-0.087699115	96000	1.4901161e-08	0.45785007	-0.006732841	-0.22772314	1.3564423	0.009450305	0.113812506	127.0	114.2471194267273	0.0	0.0	0.0	0.0	0.0
6	3.0598247	4.553513	20.37491	0.36668375	500.0	0.70555246	0.6428588	3.5997949	-0.10585359	112000	-7.450581e-09	0.5892072	-0.008228082	-0.26677886	1.3564423	0.0069378954	0.1069375	127.0	133.34918808937073	0.0	0.0625	0.0	0.0	0.0
7	6.421206	7.3011928	30.467697	0.32865754	500.0	1.5308846	1.4321659	6.2526393	-0.6783574	128000	-1.4901161e-08	1.5952125	-0.00889921	-0.4897648	1.3564423	0.009362979	0.093812495	127.0	152.26163029670715	0.0	0.0	0.0	0.0	0.0
8	9.766878	7.726573	30.607672	0.78057903	500.0	2.6781993	2.2564526	8.013292	-1.1824703	144000	7.450581e-09	1.7486626	-0.008490804	-0.2917174	1.3564423	0.008285447	0.08175	127.0	172.49017667770386	0.0	0.0	0.0	0.0	0.0
9	12.386826	8.59158	33.37161	0.76229537	500.0	3.6037529	2.6408317	8.401233	-1.3529531	160000	7.450581e-09	2.3594086	-0.008749807	-0.33239025	1.3564423	0.005193617	0.065625	127.0	191.7592830657959	0.0	0.03125	0.0	0.0	0.0
10	16.388454	8.6519985	43.0955	1.2797017	500.0	4.137799	2.3866642	8.352767	-1.226458	176000	7.450581e-09	3.1943135	-0.007262808	-0.52083075	1.3564423	0.0068671564	0.068875	127.0	212.26412653923035	0.0	0.0625	0.0	0.0	0.0
11	18.960028	6.1625643	33.82323	7.8727202	500.0	4.964662	2.4154398	7.9307175	-1.3105835	192000	2.4214387e-08	3.3529108	-0.0085795205	-0.38717163	1.3564423	0.0057805516	0.0649375	127.0	231.14377617835999	0.0	0.0	0.0	0.0	0.0
12	20.123077	7.4352207	44.24454	6.002402	500.0	5.3124576	2.076574	7.631258	-1.2002486	208000	7.450581e-09	5.106885	-0.0074826498	-0.4833991	1.3564423	0.006630905	0.058562502	127.0	250.6675477027893	0.0	0.03125	0.0	0.0	0.0
13	20.165787	8.068589	45.393772	8.652529	500.0	5.221363	1.6965401	6.7397985	-0.9677586	224000	0.0	4.911263	-0.008036656	-0.47646728	1.3564423	0.0061100023	0.0576875	127.0	269.2950563430786	0.0	0.0	0.0	0.0	0.0
14	22.73436	13.2085285	68.925255	5.1794353	500.0	4.992999	1.4916955	6.2874265	-0.81585085	240000	-7.450581e-09	9.366743	-0.007194851	-0.7367612	1.3564423	0.006400291	0.0729375	127.0	287.33290004730225	0.0	0.09375	0.0	0.0	0.0
15	26.856668	10.302498	51.640438	13.970148	500.0	5.525944	1.5887061	7.1612206	-0.9715121	256000	-7.450581e-09	6.9649715	-0.007876074	-1.4347975	1.3564423	0.0055873464	0.068124995	127.0	308.4444167613983	0.0	0.09375	0.0	0.0	0.0
16	21.379898	9.267884	48.12435	10.822074	500.0	6.001466	1.5295904	7.9964585	-0.14594862	272000	2.2351742e-08	6.0230274	-0.008183458	-1.7672592	1.3564423	0.0060001635	0.05775	127.0	329.2500832080841	0.0	0.0	0.0	0.0	0.0
17	28.748943	12.309535	53.830452	11.621927	500.0	5.271559	1.6018041	7.495507	0.5240334	288000	0.0	7.019104	-0.007511697	-2.1783423	1.3564423	0.006991405	0.056687497	127.0	348.30909156799316	0.0	0.09375	0.0	0.0	0.0
18	31.91375	13.335017	64.363075	13.164338	500.0	6.604338	2.1885638	9.156377	1.0668658	304000	-7.450581e-09	6.1108284	-0.008861814	-1.0793539	1.3564423	0.0048090136	0.06875	127.0	366.38080620765686	0.0	0.125	0.0	0.0	0.0
19	30.181515	10.48543	54.013027	13.900649	500.0	6.6336837	2.7474332	10.29353	-1.0754594	320000	7.450581e-09	5.7816496	-0.0072799185	-1.2030969	1.3564423	0.005042777	0.057937503	127.0	386.1549217700958	0.0	0.09375	0.0	0.0	0.0
20	31.994177	11.301743	55.531273	15.80532	500.0	6.9466057	2.5709822	10.246787	1.179378	336000	3.7252903e-09	4.4353065	-0.010690503	-0.79975855	1.3564423	0.008512729	0.0859375	127.0	405.41864371299744	0.0	0.21875	0.0	0.0	0.0
21	36.78952	12.513588	75.860466	20.105951	500.0	7.5821853	2.576414	10.653855	1.1709484	352000	3.1664968e-08	7.9810934	-0.0067740325	-1.0924675	1.3564423	0.0060689882	0.061562497	127.0	424.12818217277527	0.0	0.15625	0.0	0.0	0.0
22	37.54364	11.382697	63.84808	17.547266	500.0	8.201489	2.5128078	11.312943	1.5514739	368000	2.7939677e-09	3.5506818	-0.008327244	-0.5921271	1.3564423	0.00704527	0.0656875	127.0	442.87325048446655	0.0	0.3125	0.0	0.0	0.0
23	40.182613	13.080983	86.20508	17.175293	500.0	8.480967	2.7375853	11.54564	0.10635376	384000	-1.21071935e-08	7.1557474	-0.0081991395	-1.0872498	1.3564423	0.0060039833	0.058	127.0	461.7626359462738	0.0	0.28125	0.0	0.0	0.0
24	37.258747	8.099984	57.96862	23.002022	500.0	8.708148	2.6848178	12.091335	0.94082	400000	1.3038516e-08	2.9388413	-0.008741887	-0.7276612	1.3564423	0.005938625	0.0601875	127.0	481.653048992157	0.0	0.09375	0.0	0.0	0.0
25	41.598396	17.367508	112.62084	17.39219	500.0	8.394165	2.3529205	11.384799	1.1823028	416000	2.2351742e-08	9.670012	-0.009508633	-1.5264058	1.3564423	0.008701727	0.0855	127.0	500.5598578453064	0.0	0.25	0.0	0.0	0.0
26	42.425964	10.524825	61.14196	14.819261	500.0	9.769567	2.7959955	12.913314	0.24758947	432000	-3.7252903e-09	2.9187398	-0.008065695	-0.38081622	1.3564423	0.0044952617	0.066437505	127.0	519.0106732845306	0.0	0.1875	0.0	0.0	0.0
27	43.937576	10.329072	73.96788	16.84869	500.0	9.603192	2.8984628	12.769713	1.6138343	448000	7.450581e-09	4.2593565	-0.009120022	-0.76236546	1.3564423	0.008210316	0.065875	127.0	538.931919336319	0.0	0.375	0.0	0.0	0.0
28	42.77587	10.653215	66.298	19.311476	500.0	9.88963	2.6498632	13.152084	2.1412349	464000	-7.450581e-09	3.1009293	-0.00929511	-0.46543998	1.3564423	0.006521439	0.071687505	127.0	559.4809992313385	0.0	0.25	0.0	0.0	0.0
29	42.936924	10.405678	76.91133	26.889091	500.0	10.075699	2.362618	12.835409	2.0731134	480000	7.450581e-09	4.0747824	-0.008277988	-0.70146966	1.3564423	0.006310475	0.057312503	127.0	578.8009994029999	0.0	0.21875	0.0	0.0	0.0
30	43.06723	8.231641	59.670116	28.48069	500.0	9.530239	2.2384536	12.646046	2.3112283	496000	0.0	1.7029667	-0.00977754	-0.22030477	1.3564423	0.0060237017	0.076124996	127.0	597.9260320663452	0.0	0.09375	0.0	0.0	0.0
31	43.444904	10.377842	59.49615	17.049198	500.0	9.730713	2.41044	12.883847	2.145987	512000	7.450581e-09	2.3545845	-0.008774142	-0.32886368	1.3564423	0.005526562	0.067499995	127.0	617.4167778491974	0.0	0.25	0.0	0.0	0.0
32	45.42112	8.843264	62.573997	24.435387	500.0	10.194355	2.5861673	12.976179	1.8022537	528000	9.313226e-09	2.0603426	-0.010563791	-0.69392425	1.3564423	0.00845439	0.078062505	127.0	637.0651597976685	0.0	0.34375	0.0	0.0	0.0
33	45.964737	10.293656	71.494965	26.765491	500.0	10.205764	2.658257	13.322627	1.6369792	544000	1.1175871e-08	3.0664787	-0.009123689	-0.45682812	1.3564423	0.005761821	0.065375	127.0	656.0227444171906	0.0	0.3125	0.0	0.0	0.0
34	47.49459	6.6664076	59.948845	34.018135	500.0	10.7579	2.495447	13.846994	2.2898765	560000	-4.0978193e-08	1.3282478	-0.010356449	-0.2895974	1.3564423	0.0059358906	0.080625	127.0	675.7146732807159	0.0	0.3125	0.0	0.0	0.0
35	49.452843	11.510077	79.51596	28.150408	500.0	10.881006	2.349453	13.462944	1.9302291	576000	1.4901161e-08	4.300151	-0.009484172	-0.51960135	1.3564423	0.0080219135	0.0801875	127.0	696.4211554527283	0.0	0.5	0.0	0.0	0.0
36	48.77979	9.422303	72.135475	25.46149	500.0	11.273197	2.8101122	13.934258	1.9404882	592000	-3.7252903e-09	2.6751442	-0.009484367	-0.5252549	1.3564423	0.0064440537	0.07412501	127.0	716.8163568973541	0.0	0.34375	0.0	0.0	0.0
37	50.17308	8.083817	64.85019	33.514923	500.0	11.231664	2.3068604	14.223453	2.3915827	608000	-1.6763806e-08	2.3456707	-0.011602892	-0.445943	1.3564423	0.0063630026	0.0805625	127.0	736.8607869148254	0.0	0.4375	0.0	0.0	0.0
38	48.728004	9.274803	69.49688	21.832441	500.0	11.300013	2.6166716	14.862573	2.5508645	624000	0.0	3.8094957	-0.00937373	-0.60325205	1.3564423	0.005521943	0.0705	127.0	756.6797189712524	0.0	0.40625	0.0	0.0	0.0
39	54.453075	10.230019	83.06163	38.60356	500.0	11.624549	2.6112912	15.36481	2.1825416	640000	-7.450581e-09	5.189751	-0.00983014	-0.9554161	1.3564423	0.006934321	0.0720625	127.0	775.6512203216553	0.0	0.5625	0.0	0.0	0.0
40	50.119312	9.047745	78.11709	34.411823	500.0	12.1037245	2.810089	16.218294	3.0877473	656000	3.3527613e-08	3.1349163	-0.008718538	-0.48126817	1.3564423	0.00735802	0.0649375	127.0	795.3305127620697	0.0	0.5	0.0	0.0	0.0
41	54.76971	11.151837	77.63438	25.950047	500.0	12.175054	2.782345	16.309006	2.7001128	672000	7.450581e-09	4.911459	-0.010324635	-0.88142	1.3564423	0.0071425843	0.0805	127.0	814.125899553299	0.0	0.59375	0.0	0.0	0.0
42	54.640152	7.9298344	76.225494	41.230305	500.0	12.795518	2.9394882	16.753675	2.5797148	688000	0.0	2.8554215	-0.009034872	-0.4673322	1.3564423	0.006786004	0.064125	127.0	832.6957275867462	0.0	0.625	0.0	0.0	0.0
43	50.91993	12.093335	76.59998	25.898449	500.0	11.927783	2.897997	16.426613	2.7103636	704000	-2.9802322e-08	5.501947	-0.009697767	-0.7916302	1.3564423	0.0057179527	0.075937495	127.0	851.057207107544	0.0	0.5	0.0	0.0	0.0
44	54.91546	15.783204	87.11344	20.779608	500.0	11.814744	3.062791	16.291912	2.3628173	720000	-1.1175871e-08	9.267695	-0.009413355	-1.8715082	1.3564423	0.008226268	0.081	127.0	870.8810799121857	0.0	0.625	0.0	0.0	0.0
45	57.108505	12.075006	84.853485	38.147953	500.0	13.051364	3.1774447	17.86036	2.2793472	736000	-2.0489097e-08	5.449275	-0.009524656	-0.45168334	1.3564423	0.007202143	0.0731875	127.0	889.1423950195312	0.0	0.53125	0.0	0.0	0.0
46	60.626568	13.284183	87.96982	38.238205	500.0	13.212995	3.142858	17.796928	2.815016	752000	-2.9802322e-08	7.3654504	-0.009055848	-0.9620335	1.3564423	0.006696848	0.068875	127.0	909.8433628082275	0.0	0.71875	0.0	0.0	0.0
47	59.39535	15.085678	97.70962	35.858494	500.0	13.623138	3.2253966	17.580906	3.227493	768000	-4.1909516e-09	7.9590397	-0.010953892	-0.86408913	1.3564423	0.006733138	0.075875	127.0	929.112316608429	0.0	0.78125	0.0	0.0	0.0
48	57.91339	19.39291	98.83652	20.07893	500.0	13.114999	3.3471177	17.768791	3.5119753	784000	7.450581e-09	10.47803	-0.010194559	-1.317833	1.3564423	0.0074768392	0.0880625	127.0	949.449490070343	0.0	0.6875	0.0	0.0	0.0
49	66.20039	19.38127	102.68493	31.969	500.0	14.061936	3.7093146	18.510576	3.0330338	800000	2.2351742e-08	16.91072	-0.0100322515	-3.292561	1.3564423	0.009177109	0.0890625	127.0	968.2427368164062	0.0	0.90625	0.0	0.0	0.0
50	55.894226	17.515045	105.46583	23.883404	500.0	13.811781	3.8678496	20.58851	3.510926	816000	0.0	11.200409	-0.009476773	-3.3863122	1.3564423	0.007196659	0.076500006	127.0	986.552488565445	0.0	0.5625	0.0	0.0	0.0
51	61.519535	16.991018	109.68548	30.412733	500.0	13.099366	3.4781566	19.937387	2.1749482	832000	-1.1175871e-08	10.016115	-0.010230573	-1.0868318	1.3564423	0.0055704243	0.072312504	127.0	1006.1149668693542	0.0	0.6875	0.0	0.0	0.0
52	56.317795	17.841333	99.32486	19.431746	500.0	13.293877	4.162671	19.735472	1.2413293	848000	-2.7939677e-09	10.160383	-0.009318259	-2.6204047	1.3564423	0.006030483	0.0640625	127.0	1024.9969527721405	0.0	0.59375	0.0	0.0	0.0
53	65.92143	17.131575	99.53523	38.987507	500.0	13.720838	3.211849	19.432169	3.5135329	864000	-3.7252903e-09	14.3841095	-0.008526642	-3.5780165	1.3564423	0.004011332	0.058250003	127.0	1045.8667767047882	0.0	0.78125	0.0	0.0	0.0
54	64.232796	17.960634	97.588684	39.413933	500.0	14.400424	3.869485	20.885723	2.1885977	880000	1.4901161e-08	11.532612	-0.009370072	-1.2143593	1.3564423	0.007109414	0.072312504	127.0	1065.3954141139984	0.0	0.90625	0.0	0.0	0.0
