Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.28870374	0.2846855	1.3268634	0.024930742	500.0	0.03569651	0.028089464	0.124420896	-0.03932028	16000	5.5879354e-09	0.0036600898	-0.006888058	-0.0014063375	1.3564423	0.008261107	0.078499995	127.0	29.95741844177246	0.0	0.0	0.0	0.0	0.0
1	0.41832447	0.39769673	1.7744843	0.03490867	500.0	0.061773337	0.022922227	0.14214706	-0.009154122	32000	-1.1175871e-08	0.0055066966	-0.00665728	-0.0016223236	1.3564423	0.00903154	0.0883125	127.0	50.82787251472473	0.0	0.0	0.0	0.0	0.0
2	0.7121228	0.618274	2.9152699	0.109498605	500.0	0.093526885	0.03906286	0.22541317	-0.016256053	48000	2.0489097e-08	0.012107778	-0.00874231	-0.0045503406	1.3564423	0.009162063	0.115875	127.0	71.78243803977966	0.0	0.0	0.0	0.0	0.0
3	1.2456448	0.90242195	4.7161546	0.21746796	500.0	0.19517814	0.08745451	0.4336064	-0.04180897	64000	-1.1175871e-08	0.027461212	-0.008970735	-0.00987772	1.3564423	0.009225404	0.0983125	127.0	94.73220467567444	0.0	0.0	0.0	0.0	0.0
4	2.8622475	2.0080702	7.541135	0.4426631	500.0	0.43083435	0.14097416	0.9287798	0.065119885	80000	2.2351742e-08	0.17162865	-0.0076454966	-0.0751818	1.3564423	0.007946626	0.078875	127.0	116.98065972328186	0.0	0.0	0.0	0.0	0.0
5	3.7207944	2.0810645	9.549038	0.466018	500.0	0.67516273	0.19185111	1.2134297	0.06666237	96000	0.0	0.14632162	-0.010964706	-0.05402773	1.3564423	0.008014296	0.107812494	127.0	138.8031415939331	0.0	0.0	0.0	0.0	0.0
6	9.524168	7.234838	29.174349	2.3109946	500.0	1.099057	0.43876106	2.3902056	-0.050907813	112000	-4.8428774e-08	2.7315598	-0.007200326	-1.343005	1.3564423	0.0070461472	0.08337501	127.0	161.89760971069336	0.0	0.0	0.0	0.0	0.0
7	16.942888	9.173222	32.913193	2.5804253	500.0	2.737198	1.073954	5.5138025	-0.74577934	128000	3.8184226e-08	3.9900322	-0.009416167	-1.7448344	1.3564423	0.006881164	0.0920625	127.0	185.84698057174683	0.0	0.0	0.0	0.0	0.0
8	20.807215	6.9319263	34.708225	6.2910495	500.0	4.6351275	1.6680278	7.7039723	-1.1313057	144000	-7.450581e-09	3.3646894	-0.010230474	-0.53886306	1.3564423	0.007347921	0.087125	127.0	207.04278206825256	0.0	0.0	0.0	0.0	0.0
9	22.789818	6.659548	40.0044	11.373658	500.0	5.6928144	1.7019325	8.376549	-0.3207772	160000	-3.7252903e-09	3.2771137	-0.007461682	-0.44137356	1.3564423	0.005473216	0.052	127.0	230.81625127792358	0.0	0.0	0.0	0.0	0.0
10	25.224695	14.234256	91.52671	12.85466	500.0	5.9701295	1.57832	7.940946	0.27468055	176000	2.9802322e-08	11.697723	-0.006435975	-0.6624259	1.3564423	0.006650315	0.063125	127.0	257.34836316108704	0.0	0.15625	0.0	0.0	0.0
11	28.870165	9.018745	53.50304	13.786245	500.0	6.090538	1.2517306	7.30271	0.43330067	192000	-7.450581e-09	5.309107	-0.0071003297	-0.461169	1.3564423	0.005499701	0.062750004	127.0	284.96355295181274	0.0	0.09375	0.0	0.0	0.0
12	33.11328	6.897782	49.027733	23.194805	500.0	6.5746427	1.0784069	7.694263	1.5247617	208000	-1.1175871e-08	4.022643	-0.009232899	-0.8856017	1.3564423	0.005772909	0.0725625	127.0	309.63839411735535	0.0	0.0625	0.0	0.0	0.0
