Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5738882	0.33728462	1.4222015	0.13654523	500.0	0.08183949	0.0134508815	0.12693422	0.04433062	16000	2.2351742e-08	0.0053047193	-0.005403366	-0.002045272	1.3564423	0.006011187	0.043875	127.0	22.615601062774658	0.0	0.0	0.0	0.0	0.0
1	0.8477982	0.9351866	4.5837474	0.0848625	500.0	0.097916424	0.02824055	0.1684005	-0.0010612048	32000	-7.450581e-09	0.027510747	-0.0057965475	-0.012275279	1.3564423	0.007563747	0.06625	127.0	41.63106393814087	0.0	0.0	0.0	0.0	0.0
2	1.8766874	1.0340238	4.120437	0.3058238	500.0	0.24850601	0.06709453	0.44061208	0.058141567	48000	-7.450581e-09	0.051159617	-0.007657655	-0.024134647	1.3564423	0.0064117964	0.0661875	127.0	62.848663568496704	0.0	0.0	0.0	0.0	0.0
3	3.6175833	2.9611158	13.233499	0.55245006	500.0	0.4081499	0.13174258	0.8479535	0.093158424	64000	2.6077032e-08	0.40967178	-0.0065349606	-0.20004779	1.3564423	0.0069691534	0.0693125	127.0	82.615877866745	0.0	0.0	0.0	0.0	0.0
4	7.1600533	5.1110983	20.98147	0.80339974	500.0	1.1103027	0.33503404	1.9317024	0.25676546	80000	-1.1175871e-08	1.5728225	-0.0066835945	-0.6790634	1.3564423	0.0066476297	0.062562495	127.0	102.95255756378174	0.0	0.0	0.0	0.0	0.0
5	11.423328	7.157262	33.77692	0.48226225	500.0	1.8924015	0.94399774	5.4085517	-0.08304242	96000	3.7252903e-09	2.702986	-0.010840107	-0.94940054	1.3564423	0.009888222	0.113562495	127.0	125.46575260162354	0.0	0.0	0.0	0.0	0.0
6	18.00721	8.1069145	34.631233	2.38312	500.0	3.470711	1.2885194	6.0309143	-0.0042505246	112000	-2.9802322e-08	4.0936337	-0.007685437	-1.4114808	1.3564423	0.006506675	0.07906251	127.0	146.10664772987366	0.0	0.0	0.0	0.0	0.0
7	21.831402	7.6416154	37.363903	4.6242647	500.0	4.734966	1.6968993	7.4533243	-0.3221683	128000	0.0	4.108727	-0.010267428	-0.82600904	1.3564423	0.007785273	0.0854375	127.0	165.2607798576355	0.0	0.0	0.0	0.0	0.0
8	24.435347	6.6306787	36.77011	8.525417	500.0	5.6654816	1.8050696	8.11218	-0.19957119	144000	-1.4901161e-08	3.751924	-0.007921039	-0.42819327	1.3564423	0.0062173186	0.063999996	127.0	186.44186401367188	0.0	0.0	0.0	0.0	0.0
9	29.611397	10.5816965	53.655132	8.296837	500.0	6.1985426	1.4836469	7.9530554	0.55233157	160000	3.7252903e-09	7.3864584	-0.0061725313	-0.8994593	1.3564423	0.0039905077	0.0495625	127.0	206.7548565864563	0.0	0.0625	0.0	0.0	0.0
