Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.33031815	0.23299074	0.9389146	0.068095215	500.0	0.1318266	0.016994381	0.18336439	0.07228362	16000	-1.8626451e-08	0.0056740777	-0.005698651	-0.003963577	1.3564423	0.005995655	0.0454375	127.0	23.606841564178467	0.0	0.0	0.0	0.0	0.0
1	0.3737218	0.2708899	1.2280798	0.11178884	500.0	0.07769936	0.013469354	0.12051455	0.04371193	32000	-7.450581e-09	0.0022679141	-0.0066870386	-0.00069500844	1.3564423	0.0074912235	0.0678125	127.0	43.656933546066284	0.0	0.0	0.0	0.0	0.0
2	0.5718647	0.32437742	1.4146191	0.17471036	500.0	0.08653599	0.022227341	0.14644486	0.030347597	48000	-7.450581e-09	0.0040226476	-0.009211965	-0.0016228477	1.3564423	0.0067165233	0.0848125	127.0	64.03024125099182	0.0	0.0	0.0	0.0	0.0
3	0.8568963	0.59086275	3.1079154	0.267814	500.0	0.1182449	0.034522537	0.21904978	-0.004276689	64000	1.1175871e-08	0.0142875165	-0.006941662	-0.006428118	1.3564423	0.0066604633	0.07925001	127.0	85.70633482933044	0.0	0.0	0.0	0.0	0.0
4	1.8767338	1.0103844	4.822114	0.634097	500.0	0.23540841	0.05601596	0.43524894	0.093740255	80000	1.1175871e-08	0.06425045	-0.007791139	-0.029585281	1.3564423	0.00825269	0.085125	127.0	106.80126690864563	0.0	0.0	0.0	0.0	0.0
5	3.1373234	3.0582855	15.948049	0.43405825	500.0	0.44047633	0.15010434	1.0494714	0.10813314	96000	-7.450581e-09	0.47203958	-0.007559048	-0.21600462	1.3564423	0.009779083	0.094624996	127.0	127.90702939033508	0.0	0.0	0.0	0.0	0.0
6	7.244963	5.019549	22.347178	1.5687908	500.0	1.0066497	0.5420282	2.6047688	-0.0808376	112000	-1.4901161e-08	1.8458672	-0.0069147437	-1.0584614	1.3564423	0.0067470116	0.0755625	127.0	150.3603105545044	0.0	0.0	0.0	0.0	0.0
7	9.65621	5.784694	21.171568	0.91049266	500.0	2.0740473	1.1964077	4.64968	-0.24462408	128000	-5.9604645e-08	1.9032141	-0.008696057	-0.6451724	1.3564423	0.007943888	0.0803125	127.0	171.6787428855896	0.0	0.0	0.0	0.0	0.0
8	14.686895	5.13954	28.284927	3.9124668	500.0	3.1551998	1.7167895	6.3636394	-0.3226599	144000	7.450581e-09	2.0828638	-0.009918444	-0.73355985	1.3564423	0.009574328	0.0956875	127.0	194.29249548912048	0.0	0.0	0.0	0.0	0.0
9	20.560795	6.6151342	33.993366	7.5273685	500.0	4.4080477	2.1787071	8.018138	-0.1584521	160000	-1.1175871e-08	3.54661	-0.008589465	-1.1118114	1.3564423	0.0064116307	0.08475	127.0	215.93979620933533	0.0	0.0	0.0	0.0	0.0
10	22.517284	6.3984356	35.429268	11.262384	500.0	5.475408	2.5630932	8.878914	-0.5074662	176000	-1.4901161e-08	3.0736377	-0.0092461575	-0.3251368	1.3564423	0.0082610175	0.0891875	127.0	239.18138813972473	0.0	0.0	0.0	0.0	0.0
11	27.965824	5.8886795	41.059593	18.950676	500.0	6.4315	2.3790126	8.833733	-0.25650334	192000	1.8626451e-09	3.2413592	-0.00905177	-0.46789083	1.3564423	0.007308135	0.078062505	127.0	260.97534012794495	0.0	0.03125	0.0	0.0	0.0
12	29.001064	10.756791	72.11915	16.803837	500.0	7.162914	2.5199	9.290228	-0.41823164	208000	-7.450581e-09	6.148642	-0.0070220055	-0.19027273	1.3564423	0.0063666897	0.057625	127.0	284.39385628700256	0.0	0.0625	0.0	0.0	0.0
13	28.914429	8.730379	44.613842	14.296328	500.0	7.369132	2.157844	9.140298	0.24898335	224000	2.6077032e-08	4.742838	-0.0075555043	-0.25247952	1.3564423	0.006638803	0.0606875	127.0	307.0211193561554	0.0	0.0625	0.0	0.0	0.0
14	30.573755	8.071729	47.001183	14.97159	500.0	7.085507	1.9620179	8.644853	0.50065994	240000	1.6763806e-08	4.1396255	-0.00812206	-0.13171867	1.3564423	0.005955487	0.065500006	127.0	329.615225315094	0.0	0.0	0.0	0.0	0.0
15	34.604126	8.748738	47.639996	19.741581	500.0	7.4738274	1.8714494	8.748186	0.52767503	256000	-2.7939677e-09	4.157196	-0.0077846567	-0.49713314	1.3564423	0.006839063	0.069875	127.0	353.3496096134186	0.0	0.03125	0.0	0.0	0.0
16	31.485504	10.992305	50.56675	11.699996	500.0	8.213056	1.9172667	9.504501	0.3209727	272000	0.0	6.7527456	-0.007994348	-0.68055224	1.3564423	0.003896377	0.060437497	127.0	373.7453806400299	0.0	0.03125	0.0	0.0	0.0
17	35.303574	10.533647	51.380096	20.162392	500.0	7.6573253	1.4518726	8.551357	1.4035232	288000	2.2351742e-08	6.026382	-0.009423165	-0.43753067	1.3564423	0.0067189606	0.06731251	127.0	394.11657071113586	0.0	0.0	0.0	0.0	0.0
18	35.023376	8.64722	48.077694	18.44597	500.0	8.082182	1.656264	9.187449	1.2052124	304000	-1.4901161e-08	4.477399	-0.007381199	-0.05582358	1.3564423	0.006244804	0.059812497	127.0	416.0173580646515	0.0	0.0625	0.0	0.0	0.0
19	39.550068	12.401749	76.16166	18.620687	500.0	8.212344	1.668778	9.2349615	0.85318965	320000	0.0	9.078276	-0.008380579	-0.81227577	1.3564423	0.005415853	0.06575	127.0	435.92571806907654	0.0	0.09375	0.0	0.0	0.0
20	43.22496	16.95494	101.3437	18.656607	500.0	9.011825	1.9062169	10.143627	1.1969527	336000	2.2351742e-08	14.565053	-0.0071066106	-1.4923612	1.3564423	0.006210465	0.0616875	127.0	456.50810742378235	0.0	0.3125	0.0	0.0	0.0
21	38.836296	8.617334	51.88657	24.544447	500.0	9.784813	1.9586564	11.164823	2.401908	352000	-1.4901161e-08	4.0466404	-0.009235436	-0.5472128	1.3564423	0.0075135943	0.064687505	127.0	476.9046959877014	0.0	0.125	0.0	0.0	0.0
22	38.258335	9.343322	51.04277	20.902988	500.0	9.057695	2.160393	10.708825	0.007555415	368000	-1.1175871e-08	4.2047195	-0.009349899	-0.33153257	1.3564423	0.007646058	0.078250006	127.0	497.2382595539093	0.0	0.125	0.0	0.0	0.0
23	36.468384	10.921652	52.22925	18.043371	500.0	8.76015	1.8655126	10.507743	1.8168753	384000	1.1175871e-08	5.8499937	-0.009207929	-0.7357991	1.3564423	0.0061843665	0.0670625	127.0	519.1990144252777	0.0	0.15625	0.0	0.0	0.0
24	37.302834	10.864066	53.253624	17.831202	500.0	8.65782	1.5763532	10.209756	2.8153327	400000	1.1175871e-08	6.266986	-0.0075902995	-0.46576348	1.3564423	0.006981169	0.0586875	127.0	543.5094666481018	0.0	0.15625	0.0	0.0	0.0
