Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.89430153	0.7159533	2.9618697	0.17218348	500.0	0.10380897	0.013120945	0.17245404	0.031546466	16000	-3.7252903e-09	0.0223734	-0.005843019	-0.007958598	1.3564423	0.0058398284	0.039125003	127.0	20.976537942886353	0.0	0.0	0.0	0.0	0.0
1	1.207183	1.0138819	4.6416764	0.29672486	500.0	0.15665774	0.04383423	0.27114305	0.014792018	32000	-1.3038516e-08	0.03413525	-0.006677671	-0.010402786	1.3564423	0.0083147865	0.074562505	127.0	39.188626766204834	0.0	0.0	0.0	0.0	0.0
2	2.259467	1.8644754	8.430354	0.49399185	500.0	0.26402852	0.06717567	0.48344254	0.009880476	48000	-2.2351742e-08	0.1468128	-0.0077074547	-0.058341496	1.3564423	0.006350376	0.072375	127.0	60.243186235427856	0.0	0.0	0.0	0.0	0.0
3	4.180523	2.6117208	9.648339	0.9317958	500.0	0.55832016	0.16767	1.0358086	0.087913826	64000	-1.3038516e-08	0.3633315	-0.008152491	-0.14707035	1.3564423	0.007945685	0.087187506	127.0	77.49939632415771	0.0	0.0	0.0	0.0	0.0
4	13.380308	6.596607	25.171389	3.268509	500.0	1.275103	0.31264225	2.1791897	0.43938333	80000	1.1175871e-08	4.560912	-0.007272142	-2.367616	1.3564423	0.007346788	0.0599375	127.0	98.00343322753906	0.0	0.0	0.0	0.0	0.0
5	14.368937	6.1499343	28.537447	3.8011117	500.0	2.780215	0.5358845	4.0656204	1.1650605	96000	-2.6077032e-08	2.8543515	-0.007854922	-0.6545044	1.3564423	0.0065857684	0.0643125	127.0	116.50183057785034	0.0	0.0	0.0	0.0	0.0
6	21.95977	6.2367973	35.99069	12.107422	500.0	3.6166852	0.92384934	5.4230533	0.59764695	112000	1.4901161e-08	4.5767317	-0.006987947	-2.1045368	1.3564423	0.0063902186	0.0609375	127.0	134.90214443206787	0.0	0.0	0.0	0.0	0.0
7	21.360268	5.815522	33.579994	10.93003	500.0	5.1185856	1.2520248	6.9171762	0.76604205	128000	1.8626451e-08	2.0297196	-0.0094341505	-0.059677035	1.3564423	0.008282797	0.08400001	127.0	156.58534359931946	0.0	0.0	0.0	0.0	0.0
8	23.98304	5.195145	38.93583	17.080086	500.0	5.4200726	1.2786784	7.1014996	0.82817817	144000	7.450581e-09	2.8158314	-0.00662743	-0.38952518	1.3564423	0.007152582	0.055687502	127.0	174.80382919311523	0.0	0.0	0.0	0.0	0.0
9	27.561407	8.724411	41.550415	11.909257	500.0	5.814385	0.8022686	6.8391023	1.7847561	160000	-7.450581e-09	5.2676954	-0.0056222337	-0.4227959	1.3564423	0.0028860501	0.0419375	127.0	194.65902757644653	0.0	0.0	0.0	0.0	0.0
