Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.7284976	0.34840578	1.6700941	0.22162375	500.0	0.083000444	0.013194782	0.14746058	0.012878254	16000	2.9802322e-08	0.007933208	-0.005834479	-0.0035294676	1.3564423	0.006155885	0.0425	127.0	29.22278141975403	0.0	0.0	0.0	0.0	0.0
1	1.0734216	0.92288834	4.242308	0.15850762	500.0	0.12290504	0.026315436	0.20470162	0.02872241	32000	-1.4901161e-08	0.031812914	-0.0059338044	-0.011977272	1.3564423	0.0071573597	0.0651875	127.0	53.780632734298706	0.0	0.0	0.0	0.0	0.0
2	2.38594	1.2163544	6.187329	0.48911753	500.0	0.25737903	0.049534548	0.4297774	0.11293127	48000	7.450581e-09	0.100067586	-0.007560121	-0.05113589	1.3564423	0.0062460396	0.0636875	127.0	77.57846117019653	0.0	0.0	0.0	0.0	0.0
3	4.1418467	2.7301726	13.629882	1.0264691	500.0	0.4870172	0.117470495	0.8184763	0.12864055	64000	2.2351742e-08	0.40587842	-0.0068627917	-0.17419882	1.3564423	0.0077267485	0.0748125	127.0	103.10945224761963	0.0	0.0	0.0	0.0	0.0
4	8.641924	5.203121	21.33165	1.169865	500.0	1.1760603	0.2596563	1.8009086	0.48736194	80000	-1.4901161e-08	2.0678444	-0.00732103	-0.8682231	1.3564423	0.0065417094	0.0645	127.0	128.51997923851013	0.0	0.0	0.0	0.0	0.0
5	11.716589	5.7686033	27.053816	1.9218242	500.0	2.089995	0.8188604	4.7541003	0.33139315	96000	1.4901161e-08	1.9498694	-0.010536406	-0.6172104	1.3564423	0.008506851	0.0979375	127.0	152.9994900226593	0.0	0.0	0.0	0.0	0.0
6	18.215647	6.341742	29.62116	4.6975083	500.0	3.2712276	0.9557124	5.1448293	0.68735963	112000	0.0	3.2420287	-0.007190643	-1.17066	1.3564423	0.006670655	0.070062496	127.0	178.72620940208435	0.0	0.0	0.0	0.0	0.0
7	20.830406	6.0476613	35.52759	6.507425	500.0	4.493923	1.2378663	6.3541856	0.782886	128000	-1.8626451e-09	2.6232924	-0.009367567	-0.41511673	1.3564423	0.008294467	0.0789375	127.0	204.94630002975464	0.0	0.0	0.0	0.0	0.0
8	22.716904	6.236923	35.970863	13.291531	500.0	5.292162	1.3194661	7.0188375	0.87772274	144000	2.9802322e-08	2.736186	-0.006972025	-0.22616905	1.3564423	0.0060837874	0.0585	127.0	232.93196034431458	0.0	0.0	0.0	0.0	0.0
9	24.193342	7.713891	40.81254	10.719969	500.0	5.555503	1.0105226	6.6770124	1.5196338	160000	0.0	3.4449701	-0.0065983427	-0.22837949	1.3564423	0.0035858718	0.053187497	127.0	258.85057163238525	0.0	0.0	0.0	0.0	0.0
10	25.604675	6.0011215	42.799152	15.365212	500.0	5.5870905	0.77141523	6.283836	1.8683572	176000	1.1175871e-08	2.3836856	-0.0074476926	-0.09178629	1.3564423	0.0053940215	0.0593125	127.0	285.4669280052185	0.0	0.0	0.0	0.0	0.0
11	27.035091	5.7406898	40.4608	18.133205	500.0	5.8913465	0.7778323	6.659249	2.0720465	192000	-2.2351742e-08	2.394105	-0.007802164	-0.078689076	1.3564423	0.005665768	0.07875	127.0	309.5175156593323	0.0	0.0	0.0	0.0	0.0
12	32.118202	9.284784	49.182743	18.290064	500.0	6.0445957	0.6814854	6.5955877	1.9309556	208000	-1.4901161e-08	5.4389935	-0.0060399515	-0.9489325	1.3564423	0.0069058156	0.052375	127.0	335.76518058776855	0.0	0.0	0.0	0.0	0.0
13	31.728678	9.362038	46.812084	19.828253	500.0	7.0034637	0.6739435	7.4310036	1.9434956	224000	1.4901161e-08	4.367566	-0.007295831	-0.1858634	1.3564423	0.0069441684	0.054125	127.0	363.7320861816406	0.0	0.0	0.0	0.0	0.0
14	35.288277	7.5721445	51.306004	24.02612	500.0	7.061142	0.82869637	7.738548	2.0954108	240000	2.2351742e-08	3.508513	-0.008190614	-0.4613303	1.3564423	0.0067081954	0.065375	127.0	391.8125903606415	0.0	0.0	0.0	0.0	0.0
15	36.686897	8.5528145	53.627563	24.065739	500.0	7.6650124	0.87168294	8.424253	2.964054	256000	-1.4901161e-08	3.3360345	-0.008051513	-0.41855326	1.3564423	0.005643825	0.0580625	127.0	429.3186719417572	0.0	0.0	0.0	0.0	0.0
16	38.53921	7.843844	51.69626	24.214209	500.0	8.032712	0.8545745	9.122591	2.6903665	272000	7.450581e-09	3.299268	-0.008304795	-0.35633224	1.3564423	0.0062214015	0.054375	127.0	466.0502917766571	0.0	0.0	0.0	0.0	0.0
17	38.89381	9.2759	53.689022	23.815042	500.0	8.3681965	0.94486356	9.687056	2.9193435	288000	3.7252903e-09	4.233344	-0.007901659	-0.49220505	1.3564423	0.0054306444	0.05725	127.0	493.81639194488525	0.0	0.0	0.0	0.0	0.0
18	42.416245	8.238854	54.792175	25.252743	500.0	8.426612	1.0589875	10.176936	3.6300192	304000	1.4901161e-08	3.6445782	-0.007908869	-0.74646133	1.3564423	0.0062208837	0.050375	127.0	521.3829386234283	0.0	0.0	0.0	0.0	0.0
19	39.437767	8.637257	52.517357	23.080814	500.0	9.187084	1.130209	10.661273	3.8845656	320000	-7.450581e-09	3.8775327	-0.0083886925	-0.47143713	1.3564423	0.0076745492	0.061312504	127.0	548.0085692405701	0.0	0.0	0.0	0.0	0.0
20	44.01555	8.339161	56.610325	27.533323	500.0	8.909795	0.8976411	10.184071	4.5419736	336000	0.0	3.178841	-0.009501436	-0.5965609	1.3564423	0.0055985423	0.077625	127.0	576.822675704956	0.0	0.0	0.0	0.0	0.0
21	42.83277	7.7467885	57.610847	28.411158	500.0	9.420922	1.0458183	10.8705845	4.4769998	352000	-1.3969839e-08	3.05908	-0.010169551	-0.55229616	1.3564423	0.009377524	0.0809375	127.0	602.4455027580261	0.0	0.0	0.0	0.0	0.0
22	45.202206	7.468299	59.94241	27.350615	500.0	9.543754	1.1288052	10.940137	4.699077	368000	-2.2351742e-08	4.2280927	-0.009157333	-1.5152006	1.3564423	0.007494053	0.0705625	127.0	628.2128133773804	0.0	0.0	0.0	0.0	0.0
23	47.987194	8.843044	57.151752	24.437403	500.0	9.906579	1.2117443	11.175892	5.00586	384000	-1.4901161e-08	2.9709554	-0.010109874	-0.5669087	1.3564423	0.006783787	0.0731875	127.0	655.965235710144	0.0	0.0	0.0	0.0	0.0
24	50.00185	6.5277424	57.44689	31.651697	500.0	10.60365	1.2593675	11.794991	5.4737344	400000	7.450581e-09	1.986424	-0.008951161	-0.34993514	1.3564423	0.007920517	0.060687505	127.0	685.1702239513397	0.0	0.0	0.0	0.0	0.0
25	51.274967	7.615409	60.285202	31.161346	500.0	10.966146	1.3350465	12.27537	5.394497	416000	-2.2351742e-08	2.1152928	-0.010135709	-0.32503685	1.3564423	0.007323961	0.065249994	127.0	711.2960710525513	0.0	0.0	0.0	0.0	0.0
26	50.857483	7.5132384	61.001286	30.43946	500.0	11.26021	1.2325848	12.619833	5.4398136	432000	7.450581e-09	1.6630464	-0.009811202	-0.53112906	1.3564423	0.005566336	0.077125	127.0	735.7320640087128	0.0	0.03125	0.0	0.0	0.0
27	50.666016	7.4317417	59.202972	35.041275	500.0	11.109194	1.6348395	13.084894	4.4975076	448000	5.122274e-09	2.1931071	-0.011289638	-0.7325498	1.3564423	0.0076306914	0.085374996	127.0	761.1525049209595	0.0	0.0	0.0	0.0	0.0
28	54.204773	4.424874	60.266346	38.992218	500.0	11.142112	1.6094286	13.1901	4.2931623	464000	1.4901161e-08	1.5587415	-0.0101566315	-0.7790327	1.3564423	0.0074975328	0.089125	127.0	787.007926940918	0.0	0.0	0.0	0.0	0.0
29	54.430397	5.943827	60.633877	31.367846	500.0	11.927899	1.7094868	13.616532	4.8126616	480000	7.450581e-09	1.1242349	-0.012783563	-0.23406833	1.3564423	0.010455414	0.0975	127.0	813.6799349784851	0.0	0.0	0.0	0.0	0.0
30	54.749588	8.519627	62.060192	31.269506	500.0	12.085265	1.3851507	13.430654	4.9206853	496000	1.8626451e-08	2.2704716	-0.012144225	-0.6643927	1.3564423	0.00738912	0.086812496	127.0	840.650895357132	0.0	0.0	0.0	0.0	0.0
31	52.953403	9.458412	60.978554	30.13672	500.0	11.975787	1.6731197	13.875698	4.795214	512000	-3.7252903e-09	1.8924072	-0.008445334	-0.6152698	1.3564423	0.0069417786	0.0540625	127.0	867.7567203044891	0.0	0.0	0.0	0.0	0.0
32	53.75708	9.521636	65.85313	30.645582	500.0	11.552822	2.2061992	14.022926	3.626351	528000	0.0	1.5141377	-0.009449223	-0.26331893	1.3564423	0.0070915716	0.075187504	127.0	895.1701312065125	0.0	0.0	0.0	0.0	0.0
33	54.429466	10.329648	66.48792	31.374556	500.0	11.989063	2.077365	14.0892515	4.700056	544000	1.1175871e-08	1.6241393	-0.008609006	-0.40297595	1.3564423	0.006260187	0.075125	127.0	920.9432964324951	0.0	0.0	0.0	0.0	0.0
34	57.38127	9.004892	71.63315	31.251486	500.0	12.29792	2.0133636	14.257758	4.0680723	560000	1.8626451e-08	2.0636675	-0.009856181	-0.25007904	1.3564423	0.0067831776	0.08075	127.0	950.0020287036896	0.0	0.15625	0.0	0.0	0.0
35	54.951324	12.3638115	74.65151	26.579607	500.0	11.949824	2.4865348	14.438937	3.8811336	576000	7.450581e-09	3.788864	-0.008390931	-1.0177827	1.3564423	0.0050650644	0.0615625	127.0	976.2881617546082	0.0	0.125	0.0	0.0	0.0
36	59.903107	5.572366	76.741844	37.843864	500.0	12.839156	1.7969028	14.361468	3.37184	592000	-7.450581e-09	1.3124132	-0.00813194	-0.24123982	1.3564423	0.0066479826	0.079500005	127.0	1001.9520707130432	0.0	0.03125	0.0	0.0	0.0
37	55.71331	11.792499	67.96	27.72526	500.0	12.67451	2.312123	14.515074	3.3098094	608000	7.450581e-09	2.6816435	-0.009434519	-0.87627316	1.3564423	0.007881932	0.073	127.0	1027.3543078899384	0.0	0.0625	0.0	0.0	0.0
38	55.26188	13.148164	68.75621	27.532066	500.0	12.0521	2.8755853	14.546483	3.7811296	624000	-7.450581e-09	1.3772469	-0.0075937556	-0.406937	1.3564423	0.0062956433	0.058125004	127.0	1053.0715918540955	0.0	0.0625	0.0	0.0	0.0
39	57.645847	15.269092	92.704956	23.179564	500.0	12.428033	3.1420763	14.961559	2.4749894	640000	-2.2351742e-08	3.4689326	-0.008639481	-0.40596902	1.3564423	0.0062364573	0.07287499	127.0	1079.5525307655334	0.0	0.03125	0.0	0.0	0.0
40	61.927128	11.36857	82.915405	26.983446	500.0	13.161604	2.9316833	15.462093	-6.06258	656000	1.8626451e-08	3.9647691	-0.008387839	-1.3214859	1.3564423	0.0047428864	0.066375	127.0	1104.423279285431	0.0	0.4375	0.0625	0.0	0.0
41	59.487335	12.271426	83.3501	27.40834	500.0	13.363389	3.2718458	16.156757	3.1213448	672000	7.450581e-09	2.628089	-0.00856711	-0.50970495	1.3564423	0.006928001	0.0789375	127.0	1131.866091966629	0.0	0.125	0.0	0.0	0.0
42	59.187622	10.636466	78.342	29.919212	500.0	13.314144	2.8474727	15.514738	2.3208768	688000	-2.7939677e-09	2.2862053	-0.009973341	-0.32752836	1.3564423	0.008237025	0.08768751	127.0	1159.088122844696	0.0	0.1875	0.0625	0.0	0.0
43	62.30272	10.1403	89.92616	29.538303	500.0	13.613868	2.5558913	15.4422	-0.14430432	704000	-2.7939677e-09	3.2373672	-0.008897654	-0.5743498	1.3564423	0.009939517	0.0815	127.0	1187.0215058326721	0.0	0.125	0.0	0.0	0.0
44	63.805443	3.0121531	69.1937	56.01295	500.0	14.308088	1.8000703	15.69481	4.2998424	720000	-3.7252903e-09	0.8618927	-0.008370181	-0.20945543	1.3564423	0.0066728974	0.09525	127.0	1213.7816762924194	0.0	0.125	0.0	0.0	0.0
45	64.66107	6.9433823	78.85871	32.566925	500.0	14.2725	1.9135056	15.531451	4.3351717	736000	5.5879354e-09	1.9674066	-0.009032832	-0.55267555	1.3564423	0.0070135985	0.088625	127.0	1241.7533783912659	0.0	0.125	0.0	0.0	0.0
46	64.88002	12.813225	104.45847	24.72236	500.0	14.07742	2.3906813	15.817401	4.9837236	752000	1.8626451e-09	5.56311	-0.0071308217	-0.7707812	1.3564423	0.008566193	0.087375	127.0	1281.5249738693237	0.0	0.25	0.0	0.0	0.0
47	68.00546	8.945612	103.82331	49.463074	500.0	14.820536	2.1655092	16.631289	4.4371414	768000	-1.1175871e-08	6.6249866	-0.008653727	-1.9937048	1.3564423	0.008031187	0.077625	127.0	1319.900101184845	0.0	0.4375	0.0	0.0	0.0
48	63.565716	17.709696	113.627464	28.127771	500.0	14.660116	2.9348414	17.550821	1.5740968	784000	-2.9802322e-08	13.192078	-0.0096427705	-4.9847465	1.3564423	0.009980933	0.089125	127.0	1346.795603275299	0.0	0.375	0.0	0.0	0.0
49	68.00127	5.714813	83.24873	59.645382	500.0	15.270428	2.5356824	17.83077	5.2590404	800000	7.450581e-09	2.588232	-0.0077495854	-0.40655833	1.3564423	0.0076088803	0.071875	127.0	1374.314970254898	0.0	0.46875	0.0	0.0	0.0
50	68.19308	12.821985	92.96282	27.688517	500.0	15.232096	2.6392305	18.008139	5.4986796	816000	-7.450581e-09	6.766405	-0.008897562	-1.3197126	1.3564423	0.009461481	0.097187504	127.0	1400.8706872463226	0.0	0.625	0.0	0.0	0.0
51	70.42197	14.682415	99.02638	25.634708	500.0	15.777284	3.102734	19.063564	5.062468	832000	-1.4901161e-08	9.967899	-0.0072373757	-2.4181032	1.3564423	0.0057947766	0.0571875	127.0	1432.4710574150085	0.0	0.78125	0.0	0.0	0.0
52	69.37909	17.029955	115.250946	26.444252	500.0	15.684645	3.2799804	20.216637	4.9844847	848000	0.0	12.598133	-0.009759132	-2.8431907	1.3564423	0.0078098485	0.088125005	127.0	1470.5586867332458	0.0	0.625	0.0	0.0	0.0
53	71.964584	19.302639	121.2398	22.653183	500.0	15.945883	3.6050935	20.63448	3.6076002	864000	3.7252903e-09	13.767909	-0.0077399593	-1.8875117	1.3564423	0.007347401	0.070125	127.0	1514.3672814369202	0.0	0.59375	0.0	0.0	0.0
54	70.59417	18.79674	122.57692	22.953243	500.0	16.332144	3.8669326	22.269646	4.3866005	880000	0.0	12.298672	-0.0069713853	-1.3421317	1.3564423	0.0067342194	0.0625	127.0	1547.0281364917755	0.0	0.625	0.0	0.0	0.0
55	72.96627	19.445864	123.86856	35.11462	500.0	16.924667	3.8932052	23.603624	5.155361	896000	-9.313226e-10	19.876339	-0.0077714743	-2.688179	1.3564423	0.0069450475	0.065749995	127.0	1571.719083070755	0.0	0.46875	0.0	0.0	0.0
56	70.75607	16.423277	113.09291	25.520039	500.0	16.910133	3.9809275	23.311266	5.1173697	912000	1.4901161e-08	12.09275	-0.007938951	-2.7100668	1.3564423	0.0066416804	0.0656875	127.0	1599.1342515945435	0.0	0.40625	0.0	0.0	0.0
57	75.48335	24.27945	126.59944	20.955362	500.0	16.72289	4.5020957	24.458893	3.560821	928000	-7.450581e-09	19.745926	-0.007930888	-3.6956081	1.3564423	0.0097149145	0.075625	127.0	1624.735375881195	0.0	0.53125	0.0	0.0	0.0
58	75.85616	28.193157	129.72537	21.468704	500.0	17.29449	5.34832	25.75477	2.3782084	944000	-1.4901161e-08	18.820877	-0.007921402	-3.61502	1.3564423	0.0072748386	0.069875	127.0	1653.3978447914124	0.0	0.625	0.0	0.0	0.0
59	80.594315	27.445375	126.88125	15.644482	500.0	17.60082	6.986886	27.183903	-10.602885	960000	4.8428774e-08	23.299772	-0.008165785	-4.5711265	1.3564423	0.006705087	0.063	127.0	1679.612426996231	0.0	0.78125	0.0	0.0	0.0
60	82.20557	26.892496	126.76049	23.154753	500.0	19.517422	5.97631	28.568117	3.822197	976000	1.4901161e-08	19.991276	-0.00969002	-4.735362	1.3564423	0.0074809417	0.07093751	127.0	1705.6442744731903	0.0	0.625	0.0	0.0	0.0
61	86.851135	30.30216	134.95554	22.04674	500.0	18.693913	7.0823874	30.03381	0.14372826	992000	2.2351742e-08	20.949062	-0.0080923475	-5.437257	1.3564423	0.0072749695	0.07975	127.0	1735.1190783977509	0.0	0.78125	0.0	0.0	0.0
62	82.9783	27.085527	127.14421	22.921736	500.0	21.282566	7.451898	31.296474	0.5672091	1008000	-3.3527613e-08	26.636951	-0.008248985	-6.446519	1.3564423	0.005925198	0.06325	127.0	1761.8592550754547	0.0	0.78125	0.0	0.0	0.0
63	84.19043	31.132915	132.85646	21.344702	500.0	20.256672	6.9976497	31.779459	1.9175062	1024000	2.9802322e-08	36.207012	-0.007941388	-14.422735	1.3564423	0.0070864637	0.06175	127.0	1790.1707255840302	0.0	0.71875	0.0	0.0	0.0
64	98.256714	31.7529	138.75023	21.14177	500.0	21.5677	8.945246	32.22971	-1.457157	1040000	-9.313226e-09	18.573956	-0.008545833	-5.927574	1.3564423	0.005196006	0.0773125	127.0	1815.5997092723846	0.0	0.90625	0.0	0.0	0.0
65	97.4361	32.139694	136.6271	22.244427	500.0	22.657188	7.82885	33.45423	1.0282466	1056000	7.450581e-09	25.361197	-0.008320572	-4.97018	1.3564423	0.008006703	0.071375	127.0	1842.330246925354	0.0	0.84375	0.0	0.0	0.0
66	104.44015	28.223553	138.93651	23.106499	500.0	24.557362	7.9029856	34.462116	0.069978684	1072000	-7.450581e-09	19.42476	-0.008008867	-3.2971888	1.3564423	0.0069086133	0.062375	127.0	1869.8952975273132	0.0	0.90625	0.0	0.0	0.0
67	102.82683	35.00566	137.20296	18.778658	500.0	23.430012	8.963585	35.19423	1.8591064	1088000	1.4901161e-08	16.546917	-0.00844905	-4.27246	1.3564423	0.007927423	0.084562495	127.0	1897.3863015174866	0.0	0.90625	0.0	0.0	0.0
68	104.061195	32.751175	139.17464	17.028622	500.0	26.212221	8.669945	35.783062	6.1927276	1104000	1.6763806e-08	22.701494	-0.010941947	-4.8419685	1.3564423	0.00795555	0.076	127.0	1923.0794291496277	0.0	0.96875	0.09375	0.0	0.0
69	112.99077	23.602888	141.40167	49.576405	500.0	25.690636	8.168091	35.992363	2.1487837	1120000	0.0	22.191832	-0.009051919	-6.808391	1.3564423	0.006939011	0.073875	127.0	1948.8969235420227	0.0	1.0	0.03125	0.0	0.0
70	104.270195	38.288292	138.23096	14.000484	500.0	24.997246	9.417616	35.979794	0.38618553	1136000	1.1175871e-08	20.039444	-0.008914925	-3.2456996	1.3564423	0.00788516	0.0814375	127.0	1974.2631831169128	0.0	0.90625	0.0	0.0	0.0
71	104.47954	38.075138	140.55516	18.630627	500.0	24.126175	10.214671	36.111767	-2.2731962	1152000	1.3038516e-08	13.701813	-0.009568767	-3.1237411	1.3564423	0.006145753	0.0765	127.0	2002.0278189182281	0.0	0.875	0.0625	0.0	0.0
72	107.92838	34.56932	140.02156	17.022491	500.0	25.937695	9.635994	36.140343	-0.14856821	1168000	0.0	26.07047	-0.010290711	-5.9398203	1.3564423	0.0063236305	0.0946875	127.0	2030.646410703659	0.0	0.90625	0.0	0.0	0.0
73	114.52905	31.77318	138.89142	23.28343	500.0	26.771126	8.158186	36.4484	6.1975284	1184000	2.2351742e-08	24.218502	-0.009968715	-4.6737022	1.3564423	0.007668952	0.077125	127.0	2060.2377030849457	0.0	0.90625	0.0	0.0	0.0
74	121.66344	20.956642	142.30148	58.94638	500.0	27.369207	8.142625	36.402954	4.13143	1200000	9.313226e-09	23.767174	-0.008672339	-11.431649	1.3564423	0.006672239	0.08337501	127.0	2087.0605075359344	0.0	0.96875	0.0625	0.0	0.0
75	106.879555	35.23493	142.9659	18.503801	500.0	27.525555	8.244589	36.306957	8.175254	1216000	-3.3527613e-08	30.937284	-0.010201389	-14.835136	1.3564423	0.007328336	0.0641875	127.0	2115.795066356659	0.0	0.84375	0.03125	0.0	0.0
76	108.60999	30.057127	143.26134	49.096092	500.0	26.389742	8.132816	36.71725	0.14925796	1232000	7.450581e-09	43.84292	-0.006645119	-11.729286	1.3564423	0.0051432634	0.0621875	127.0	2144.2968497276306	0.0	0.84375	0.0625	0.0	0.0
77	115.255196	25.469042	139.82481	38.516563	500.0	25.813015	8.999253	36.87535	-33.054165	1248000	-9.313226e-09	27.50238	-0.009683404	-6.0526366	1.3564423	0.008209368	0.0820625	127.0	2173.8045077323914	0.0	0.9375	0.21875	0.0	0.0
78	121.49295	20.675348	140.81287	56.29799	500.0	27.628466	8.65839	36.96067	-0.44631022	1264000	-3.7252903e-09	12.794264	-0.01024653	-3.2044797	1.3564423	0.008052965	0.077250004	127.0	2200.6852185726166	0.0	0.9375	0.03125	0.0	0.0
79	109.48677	34.3022	142.80545	17.804106	500.0	27.455198	8.502448	37.012215	7.2859297	1280000	-1.8626451e-08	31.156223	-0.009648248	-11.754391	1.3564423	0.0059381886	0.0721875	127.0	2228.1342313289642	0.0	0.90625	0.03125	0.0	0.0
80	107.517624	33.406704	142.50131	46.800053	500.0	24.973331	8.716934	37.135708	-3.3385153	1296000	1.3038516e-08	26.686728	-0.009848662	-9.671972	1.3564423	0.0053841835	0.0635625	127.0	2255.945564031601	0.0	0.90625	0.0625	0.0	0.0
81	107.67243	30.670742	142.59244	28.982965	500.0	26.088608	9.204055	37.533707	7.2279067	1312000	1.8626451e-09	25.871119	-0.007541542	-4.532607	1.3564423	0.007196147	0.076812506	127.0	2284.322785615921	0.0	0.9375	0.0	0.0	0.0
82	111.919174	31.109108	141.052	18.393286	500.0	26.503847	8.485689	37.430298	8.582394	1328000	-4.4703484e-08	26.58249	-0.00892777	-4.3656607	1.3564423	0.007877158	0.076875	127.0	2312.151749610901	0.0	0.84375	0.0	0.0	0.0
83	111.41371	26.711058	139.14961	33.333977	500.0	27.128063	8.162478	37.24234	7.6317687	1344000	3.7252903e-09	20.21019	-0.008303796	-6.5708027	1.3564423	0.008256309	0.075625	127.0	2340.783151626587	0.0	0.96875	0.0625	0.0	0.0
84	116.067085	31.884853	142.9176	15.521725	500.0	27.440073	9.715288	37.81918	7.760282	1360000	-1.8626451e-08	20.597836	-0.007705691	-11.632489	1.3564423	0.006036356	0.071625	127.0	2368.771943092346	0.0	0.9375	0.0625	0.0	0.0
85	116.94142	29.928665	142.15862	14.799144	500.0	27.728672	9.089009	37.933365	2.723895	1376000	-7.450581e-09	20.631886	-0.008713033	-1.7832723	1.3564423	0.006664276	0.08368751	127.0	2395.169221639633	0.0	0.90625	0.09375	0.0	0.0
86	103.822235	35.878292	137.08554	26.29117	500.0	28.330837	8.537921	37.859528	4.8701806	1392000	3.7252903e-09	55.298107	-0.008509184	-33.990036	1.3564423	0.004586369	0.0586875	127.0	2422.4463305473328	0.0	0.8125	0.0	0.0	0.0
87	115.298225	30.760012	142.00336	14.133508	500.0	26.736942	8.836623	36.8042	5.1244287	1408000	2.9802322e-08	23.996016	-0.008901597	-4.9156566	1.3564423	0.0060606436	0.072375	127.0	2447.2481842041016	0.0	0.96875	0.03125	0.0	0.0
88	120.192894	25.812178	143.94984	19.432743	500.0	28.13834	8.406364	37.695595	6.6158924	1424000	1.1175871e-08	16.157606	-0.009020135	-2.2544024	1.3564423	0.005393739	0.080874994	127.0	2473.5836791992188	0.0	0.9375	0.0	0.0	0.0
89	118.32161	31.343779	140.02104	5.924552	500.0	27.575762	10.494292	37.323162	-11.106955	1440000	-1.4901161e-08	16.572273	-0.008639367	-6.4228234	1.3564423	0.0074007493	0.0696875	127.0	2500.003422498703	0.0	0.96875	0.03125	0.0	0.0
90	115.25571	36.073555	140.79126	12.843872	500.0	28.168621	9.623033	37.496838	0.9302764	1456000	2.9802322e-08	25.769619	-0.008339431	-12.912553	1.3564423	0.0063200053	0.077374995	127.0	2526.841274499893	0.0	0.90625	0.15625	0.0	0.0
