Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.9070382	0.7269897	3.0146933	0.17332985	500.0	0.106407106	0.012958843	0.17037307	0.034388483	16000	3.9115548e-08	0.022803858	-0.0059398264	-0.008010498	1.3564423	0.005889803	0.039562497	127.0	29.46369457244873	0.0	0.0	0.0	0.0	0.0
1	1.223215	1.030653	4.7223325	0.3020281	500.0	0.15998589	0.043626133	0.27819085	0.01518818	32000	1.3038516e-08	0.03531596	-0.0066682594	-0.01072479	1.3564423	0.008238725	0.075312495	127.0	54.866899728775024	0.0	0.0	0.0	0.0	0.0
2	2.3030496	1.9164257	8.724477	0.49948794	500.0	0.2694405	0.06890587	0.49621773	0.009182736	48000	7.450581e-09	0.15480417	-0.007702238	-0.061250657	1.3564423	0.00615165	0.071875	127.0	79.6815893650055	0.0	0.0	0.0	0.0	0.0
3	4.361357	2.707247	10.001837	0.9625011	500.0	0.57521	0.17319325	1.0769753	0.09490083	64000	-7.4505806e-08	0.40185586	-0.0081437295	-0.16373017	1.3564423	0.007760628	0.088	127.0	103.78824043273926	0.0	0.0	0.0	0.0	0.0
4	13.733927	6.7521834	26.573221	3.4789627	500.0	1.3164994	0.31910026	2.2474353	0.44167402	80000	-1.8626451e-08	4.772291	-0.007353722	-2.4864378	1.3564423	0.007133429	0.0546875	127.0	126.86266899108887	0.0	0.0	0.0	0.0	0.0
5	14.521059	6.2154183	28.52057	3.8500202	500.0	2.85794	0.5607176	4.2498465	1.1732978	96000	1.8626451e-09	2.8797064	-0.0077890297	-0.6556463	1.3564423	0.0065325852	0.063062504	127.0	150.95851135253906	0.0	0.0	0.0	0.0	0.0
6	21.951605	6.1992836	35.88204	12.008047	500.0	3.6677036	0.9696588	5.5479383	0.42652038	112000	-1.4901161e-08	4.366389	-0.0073796995	-2.0028372	1.3564423	0.0071363132	0.065312505	127.0	177.39982533454895	0.0	0.0	0.0	0.0	0.0
7	21.518787	6.542587	33.946564	10.085553	500.0	5.101514	1.3131592	7.0415506	0.6770707	128000	-7.450581e-09	2.3189836	-0.009205864	-0.08561598	1.3564423	0.008212959	0.084875	127.0	205.87330889701843	0.0	0.0	0.0	0.0	0.0
8	23.22216	5.6830134	40.72502	15.597067	500.0	5.5467157	1.3810822	7.2980947	0.54916143	144000	1.4901161e-08	3.1499577	-0.0067726076	-0.46384853	1.3564423	0.007126239	0.0570625	127.0	232.1157169342041	0.0	0.0	0.0	0.0	0.0
9	26.171684	8.929557	44.441475	11.389802	500.0	5.711546	0.7823449	6.6560135	1.8186351	160000	1.8626451e-08	5.8052497	-0.0051569007	-0.3977341	1.3564423	0.0032802564	0.04425	127.0	260.51765489578247	0.0	0.0	0.0	0.0	0.0
10	25.058262	7.9330316	40.181606	11.648909	500.0	5.8887463	0.4356243	6.41136	3.1570551	176000	-1.4901161e-08	4.4415803	-0.0068174503	-0.22356217	1.3564423	0.0054445704	0.047	127.0	285.1259014606476	0.0	0.0	0.0	0.0	0.0
11	26.997341	8.120174	42.60751	13.231334	500.0	5.581718	0.2995518	6.030259	3.093122	192000	0.0	4.587371	-0.007105325	-0.23010787	1.3564423	0.0054153753	0.0526875	127.0	310.91713094711304	0.0	0.0	0.0	0.0	0.0
12	27.178871	8.8784485	46.108994	13.952618	500.0	5.8739057	0.3698014	6.484674	2.760034	208000	1.4901161e-08	4.6005306	-0.00690633	-0.50033355	1.3564423	0.004999017	0.0555	127.0	335.9354808330536	0.0	0.0	0.0	0.0	0.0
13	30.35098	10.515509	46.062233	15.196305	500.0	5.9387336	0.42489564	7.025459	2.4657218	224000	-7.450581e-09	6.141391	-0.00539963	-1.7074182	1.3564423	0.005550887	0.0400625	127.0	360.53028893470764	0.0	0.0	0.0	0.0	0.0
14	33.404068	8.5951185	45.956734	16.267546	500.0	6.2869425	0.95846784	8.317391	1.2657435	240000	-2.6077032e-08	4.1278276	-0.0069500147	-1.3484257	1.3564423	0.0058167935	0.050499998	127.0	386.5253486633301	0.0	0.03125	0.0	0.0	0.0
15	34.790703	7.8636193	47.159187	22.065044	500.0	7.1522593	1.3788979	9.86533	0.8459356	256000	-1.4901161e-08	2.5083735	-0.00828184	-0.43689305	1.3564423	0.0058333823	0.069437504	127.0	410.89912486076355	0.0	0.0	0.0	0.0	0.0
16	33.19348	8.347222	49.033066	20.848316	500.0	7.379554	1.5532548	10.491433	1.5446174	272000	1.3038516e-08	3.3912416	-0.01055958	-0.6374841	1.3564423	0.007085745	0.09375	127.0	434.6623032093048	0.0	0.0	0.0	0.0	0.0
17	37.70201	6.685442	50.721867	24.269688	500.0	7.676679	1.7175647	10.695983	1.0863825	288000	-5.5879354e-09	2.4086785	-0.010112179	-0.26394048	1.3564423	0.008003734	0.0863125	127.0	460.58064365386963	0.0	0.09375	0.0	0.0	0.0
18	40.794075	5.5033627	53.83177	28.698124	500.0	8.312207	1.4657682	10.838526	2.3880968	304000	-1.4901161e-08	1.7671437	-0.009944694	-0.26459	1.3564423	0.0072464757	0.0780625	127.0	487.3743522167206	0.0	0.0	0.0	0.0	0.0
19	41.346497	7.109476	56.611126	25.731167	500.0	8.797389	1.5582821	10.968068	3.179452	320000	-3.7252903e-09	2.3288033	-0.009645337	-0.14787646	1.3564423	0.0069496585	0.078687504	127.0	511.56514382362366	0.0	0.0625	0.0	0.0	0.0
20	41.97227	7.2183137	65.91773	27.595493	500.0	8.978571	1.5832081	11.208914	2.6659842	336000	-2.2351742e-08	3.0842733	-0.010034688	-0.29200017	1.3564423	0.0061848876	0.07574999	127.0	536.8264336585999	0.0	0.0625	0.0	0.0	0.0
21	45.766666	5.462119	56.44573	33.21005	500.0	9.415561	1.411443	11.399778	2.7371385	352000	-1.8626451e-09	2.547911	-0.009043565	-0.48146227	1.3564423	0.0057948204	0.069000006	127.0	560.8835251331329	0.0	0.09375	0.0	0.0	0.0
22	49.729523	18.549192	115.092155	28.34778	500.0	9.785091	1.5109571	11.557455	4.227185	368000	7.450581e-09	14.648928	-0.00708457	-3.1833508	1.3564423	0.0073179053	0.0619375	127.0	588.455007314682	0.0	0.21875	0.0	0.0	0.0
23	48.683388	11.190846	84.072624	30.36364	500.0	10.331285	2.5053594	13.962381	0.7454116	384000	-1.4901161e-08	5.1775007	-0.008852061	-0.6800855	1.3564423	0.005575496	0.0674375	127.0	615.0003426074982	0.0	0.28125	0.0	0.0	0.0
24	49.68469	19.632128	98.648384	26.011965	500.0	9.942084	3.1447496	13.695121	-1.5501645	400000	1.1175871e-08	13.134958	-0.008156933	-2.8760982	1.3564423	0.0071332813	0.068749994	127.0	641.3711471557617	0.0	0.34375	0.0	0.0	0.0
25	50.14507	16.168497	86.90416	25.399784	500.0	11.229335	3.3008487	15.501	3.0720434	416000	0.0	10.493128	-0.010296708	-0.6843378	1.3564423	0.008560119	0.0933125	127.0	665.3785364627838	0.0	0.4375	0.0	0.0	0.0
26	51.89458	20.049742	103.081535	27.203543	500.0	11.11888	2.7366314	14.880629	4.5891027	432000	-7.450581e-09	14.458216	-0.008348442	-0.71012676	1.3564423	0.006359727	0.083312504	127.0	689.2270267009735	0.0	0.34375	0.0	0.0	0.0
27	55.41269	16.985497	96.35156	32.28358	500.0	11.911806	3.018045	15.503797	4.510159	448000	0.0	11.597966	-0.008692407	-0.84931815	1.3564423	0.008510278	0.066250004	127.0	714.3673150539398	0.0	0.4375	0.0	0.0	0.0
28	52.155228	17.446129	101.13124	24.685812	500.0	12.02675	2.8100746	15.739213	0.6468384	464000	1.4901161e-08	11.879238	-0.008228785	-1.2486548	1.3564423	0.008909263	0.067125	127.0	739.8159008026123	0.0	0.375	0.0	0.0	0.0
29	52.549316	18.492825	102.32273	26.765148	500.0	10.557994	3.2143793	16.030115	-0.5129044	480000	1.8626451e-09	12.657658	-0.008439891	-2.4755251	1.3564423	0.0064336164	0.0770625	127.0	767.877114534378	0.0	0.375	0.0	0.0	0.0
