Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.51090187	0.21667309	1.1802717	0.20358501	500.0	0.07583491	0.013098499	0.12142852	0.03797242	16000	2.4214387e-08	0.0029703537	-0.0065097488	-0.0014742821	1.3564423	0.0061140023	0.0484375	127.0	23.328394412994385	0.0	0.0	0.0	0.0	0.0
1	0.6648617	0.48533553	2.1870189	0.13363284	500.0	0.08994793	0.025149632	0.1452378	-0.015466128	32000	-1.8626451e-08	0.0077194464	-0.008164268	-0.003228437	1.3564423	0.008287806	0.0904375	127.0	42.763569593429565	0.0	0.0	0.0	0.0	0.0
2	1.5708649	0.9185239	4.775996	0.38786206	500.0	0.1896189	0.04464442	0.33557615	0.05522841	48000	-1.4901161e-08	0.04728577	-0.0080804005	-0.025054805	1.3564423	0.0066067376	0.079187505	127.0	63.03932547569275	0.0	0.0	0.0	0.0	0.0
3	2.9822736	2.1066737	9.899504	0.8010888	500.0	0.35825482	0.11062466	0.7159372	0.039932687	64000	1.1175871e-08	0.21941316	-0.0076601435	-0.11167836	1.3564423	0.008067208	0.085625	127.0	83.08426308631897	0.0	0.0	0.0	0.0	0.0
4	7.904439	4.6362767	16.61317	1.4831618	500.0	0.9929683	0.31062797	1.8313856	0.3114241	80000	0.0	1.813664	-0.0073880376	-0.83333105	1.3564423	0.006871137	0.0621875	127.0	103.8794424533844	0.0	0.0	0.0	0.0	0.0
5	10.05567	5.3244166	23.852917	1.0090054	500.0	1.898885	0.79749244	4.7140846	0.15845317	96000	-7.450581e-09	1.6474135	-0.010253841	-0.52816224	1.3564423	0.009386666	0.108062506	127.0	123.60182499885559	0.0	0.0	0.0	0.0	0.0
6	16.77532	6.8239	29.5932	2.8954363	500.0	2.994618	0.99525815	4.952807	0.43128118	112000	-5.2154064e-08	3.4145842	-0.0074498313	-1.341882	1.3564423	0.005581204	0.0710625	127.0	145.5030815601349	0.0	0.03125	0.0	0.0	0.0
7	20.136059	5.3559217	31.99346	7.7428155	500.0	4.247546	1.3632745	6.288869	0.36383682	128000	9.313226e-09	2.2872524	-0.010402391	-0.55008715	1.3564423	0.008831114	0.09375	127.0	165.82894325256348	0.0	0.0	0.0	0.0	0.0
8	23.136341	5.1045117	32.588127	12.254978	500.0	5.1574364	1.396468	7.0768747	0.62243307	144000	-7.450581e-09	2.1524441	-0.00862862	-0.34385604	1.3564423	0.0074014585	0.071187496	127.0	186.72868871688843	0.0	0.0	0.0	0.0	0.0
9	24.381483	5.1823473	32.744602	13.017992	500.0	5.6191883	1.1131219	6.9775653	1.1573433	160000	1.4901161e-08	1.9872743	-0.007078264	-0.19629043	1.3564423	0.004277909	0.0575	127.0	207.96933245658875	0.0	0.0	0.0	0.0	0.0
10	27.091904	3.6528602	35.3661	16.155241	500.0	5.709764	0.8850653	6.5833163	1.9478229	176000	3.3527613e-08	1.6033418	-0.008312423	-0.24791643	1.3564423	0.006511678	0.060374998	127.0	229.28621435165405	0.0	0.0	0.0	0.0	0.0
11	29.02734	4.3838887	39.48039	20.406164	500.0	6.212828	0.8861536	7.0815363	2.09449	192000	-1.1175871e-08	1.8842402	-0.00876905	-0.17033438	1.3564423	0.006339303	0.0730625	127.0	249.35819792747498	0.0	0.03125	0.0	0.0	0.0
12	30.866087	4.996952	41.918095	18.861485	500.0	6.484015	0.7740629	7.25085	2.0357778	208000	1.4901161e-08	2.0111768	-0.0068014064	-0.18878572	1.3564423	0.0060362527	0.0564375	127.0	270.36670207977295	0.0	0.09375	0.0	0.0	0.0
13	29.364338	4.176751	35.5953	21.121994	500.0	6.901904	0.7270599	7.5263553	2.2459364	224000	-1.8626451e-09	1.3513666	-0.008649988	-0.12230407	1.3564423	0.006500232	0.0650625	127.0	291.3538999557495	0.0	0.0	0.0	0.0	0.0
14	32.961166	3.8612626	40.36879	24.297598	500.0	6.619813	0.6698252	7.13328	3.0753782	240000	2.7939677e-08	1.5877286	-0.0087978095	-0.32329822	1.3564423	0.006899583	0.071187496	127.0	312.5839524269104	0.0	0.125	0.0	0.0	0.0
15	34.00652	3.6817951	40.524197	26.207043	500.0	7.140762	0.56312513	7.58347	3.5214572	256000	0.0	1.2008841	-0.0073632067	-0.08979757	1.3564423	0.0047720294	0.068812504	127.0	334.0003821849823	0.0	0.03125	0.0	0.0	0.0
16	36.179855	4.0121903	43.0582	25.171146	500.0	7.3551373	0.56878704	7.86469	3.507548	272000	-4.0978193e-08	1.7098951	-0.010869022	-0.28889114	1.3564423	0.0075303046	0.08625001	127.0	355.55406188964844	0.0	0.125	0.0	0.0	0.0
17	37.12395	3.5168736	45.707405	30.409962	500.0	7.8098416	0.73510474	8.398781	3.4605637	288000	-2.6077032e-08	1.1921387	-0.008983309	-0.11161757	1.3564423	0.0053418456	0.072000004	127.0	376.1145191192627	0.0	0.0	0.0	0.0	0.0
18	37.548553	3.8070247	46.99381	31.304579	500.0	8.091709	0.7686274	8.6882105	3.3998976	304000	-1.6763806e-08	1.0732397	-0.0074727894	-0.051934406	1.3564423	0.0073453574	0.06525	127.0	396.9122157096863	0.0	0.03125	0.0	0.0	0.0
19	37.372524	4.023824	45.911667	30.325369	500.0	8.204601	0.80254346	8.947184	3.723813	320000	1.6763806e-08	1.0418222	-0.007715236	-0.14063722	1.3564423	0.0062944507	0.05725	127.0	416.672208070755	0.0	0.0	0.0	0.0	0.0
20	38.227966	3.7521367	46.745026	26.659163	500.0	8.143856	0.72998697	9.108885	4.3960752	336000	3.7252903e-09	0.9471023	-0.009297393	-0.04644433	1.3564423	0.0074815843	0.0780625	127.0	438.1213307380676	0.0	0.03125	0.0	0.0	0.0
21	39.99138	3.3889022	46.959095	35.060978	500.0	8.267638	0.73047125	9.31316	4.4386897	352000	1.9557774e-08	0.9116936	-0.008907261	-0.18436652	1.3564423	0.0055062575	0.065500006	127.0	458.12397050857544	0.0	0.03125	0.0	0.0	0.0
22	40.3612	3.5969605	49.39465	35.055904	500.0	8.654822	0.8410091	9.988736	4.407867	368000	-7.450581e-09	1.1091155	-0.008357237	-0.07961692	1.3564423	0.0063362736	0.0634375	127.0	481.0700845718384	0.0	0.09375	0.0	0.0	0.0
23	39.6882	4.644069	48.55689	29.212341	500.0	8.741256	0.8901411	9.9710655	4.2917533	384000	-3.1664968e-08	1.2208183	-0.00818259	-0.13525733	1.3564423	0.0068960404	0.0614375	127.0	502.12739634513855	0.0	0.0	0.0	0.0	0.0
24	41.161236	4.0626783	48.874176	32.648167	500.0	8.628096	0.78257304	9.683933	4.1374216	400000	-3.7252903e-08	0.90701395	-0.007950127	-0.103798196	1.3564423	0.007050127	0.059249997	127.0	521.7333779335022	0.0	0.0	0.0	0.0	0.0
25	42.55333	4.2489424	49.95291	34.17159	500.0	8.99498	0.8537429	10.126998	4.5321836	416000	-2.2351742e-08	0.8314995	-0.007950129	-0.17235032	1.3564423	0.005779168	0.060125	127.0	542.8307793140411	0.0	0.125	0.0	0.0	0.0
26	41.814262	4.392945	50.432747	35.97103	500.0	8.95479	0.9381377	10.45533	4.631215	432000	-1.4901161e-08	0.7045873	-0.007486741	-0.047394127	1.3564423	0.0074071493	0.060375	127.0	563.0739858150482	0.0	0.0625	0.0	0.0	0.0
27	40.35996	4.3714595	48.048317	34.44233	500.0	9.040701	0.94853824	10.595234	4.630186	448000	2.4214387e-08	0.89506626	-0.007775457	-0.19230674	1.3564423	0.0042081648	0.066625	127.0	584.7741944789886	0.0	0.0625	0.0	0.0	0.0
28	42.45366	4.9733496	49.89165	33.058495	500.0	8.901842	0.9852149	10.377778	4.3180118	464000	-3.7252903e-09	0.9773792	-0.007916465	-0.17414749	1.3564423	0.0062728203	0.068187505	127.0	606.3823635578156	0.0	0.03125	0.0	0.0	0.0
29	45.7618	4.2007456	50.751713	36.07342	500.0	9.413698	1.1491685	10.893406	4.1962485	480000	3.7252903e-09	0.9785265	-0.008179345	-0.33186775	1.3564423	0.007935472	0.0690625	127.0	628.2720248699188	0.0	0.1875	0.0	0.0	0.0
