Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.57726437	0.38433337	1.624074	0.15401846	500.0	0.10290114	0.01226898	0.14097898	0.06266719	16000	1.6763806e-08	0.0063690646	-0.0062938607	-0.0029569396	1.3564423	0.005991293	0.042937502	127.0	24.2152361869812	0.0	0.0	0.0	0.0	0.0
1	0.782637	0.55517	2.7111003	0.26610935	500.0	0.117384166	0.03552276	0.20782787	-0.021326281	32000	1.1175871e-08	0.008793206	-0.009701142	-0.003323959	1.3564423	0.009470577	0.106125	127.0	46.428980588912964	0.0	0.0	0.0	0.0	0.0
2	1.7421741	1.2795104	5.794236	0.36707777	500.0	0.22391611	0.07012239	0.4155468	-0.034705184	48000	0.0	0.07204825	-0.008600168	-0.029298464	1.3564423	0.0064354963	0.0835	127.0	68.70844578742981	0.0	0.0	0.0	0.0	0.0
3	3.6061983	2.1732469	8.040603	0.6988789	500.0	0.4766376	0.14865877	0.971418	0.0814192	64000	-1.8626451e-09	0.2796505	-0.008662881	-0.1301009	1.3564423	0.008109337	0.088374995	127.0	89.79752087593079	0.0	0.0	0.0	0.0	0.0
4	12.108112	5.579053	21.72838	3.8352127	500.0	1.1929922	0.3209415	2.1132295	0.38696548	80000	-2.2351742e-08	3.676045	-0.006538555	-2.0052557	1.3564423	0.006942887	0.05275	127.0	111.43080878257751	0.0	0.0	0.0	0.0	0.0
5	13.706249	5.381812	23.836834	4.121792	500.0	2.5975993	0.67570347	4.23362	0.79532933	96000	1.8626451e-09	2.449482	-0.008958975	-0.7940767	1.3564423	0.006518969	0.069875	127.0	135.451486825943	0.0	0.0	0.0	0.0	0.0
6	19.820686	3.8595817	27.260813	11.102106	500.0	3.5024703	1.0097945	5.397296	0.45982468	112000	-2.2351742e-08	2.8356042	-0.008692956	-1.4012933	1.3564423	0.0058836825	0.0695	127.0	154.88488173484802	0.0	0.0	0.0	0.0	0.0
7	20.894571	4.7432003	32.009823	10.728421	500.0	4.7615128	1.2407794	6.564577	0.97686774	128000	2.2351742e-08	1.7359703	-0.0094501935	-0.17097293	1.3564423	0.008324578	0.0859375	127.0	176.1782124042511	0.0	0.0	0.0	0.0	0.0
8	22.457092	4.89459	31.53362	14.033754	500.0	5.2754874	1.2613378	6.9478374	1.1488116	144000	7.450581e-09	2.0742254	-0.008424221	-0.26595291	1.3564423	0.008271726	0.06725	127.0	197.17645049095154	0.0	0.0	0.0	0.0	0.0
9	25.37436	6.0274205	35.14459	13.993691	500.0	5.4992275	0.85356474	6.826722	2.0353844	160000	3.7252903e-09	2.9756877	-0.0076420074	-0.31251675	1.3564423	0.004156693	0.0518125	127.0	217.93967390060425	0.0	0.0	0.0	0.0	0.0
10	25.365938	6.0933995	34.88981	14.371986	500.0	5.752873	0.56065655	6.387954	2.9426901	176000	-7.450581e-09	2.9116955	-0.0071664816	-0.12555315	1.3564423	0.005100977	0.051562503	127.0	240.2472803592682	0.0	0.0	0.0	0.0	0.0
11	27.392584	5.6108327	38.69621	16.344112	500.0	5.6501203	0.43508798	6.1607404	2.8242939	192000	-1.1175871e-08	2.5385199	-0.0073790103	-0.29354054	1.3564423	0.0039199297	0.049375	127.0	263.66400694847107	0.0	0.0	0.0	0.0	0.0
12	27.272423	5.5740995	38.423172	17.750563	500.0	5.993409	0.62480044	6.7558093	2.039092	208000	1.4901161e-08	2.3641572	-0.0077287434	-0.36010438	1.3564423	0.00558591	0.058875	127.0	286.8444275856018	0.0	0.0625	0.0	0.0	0.0
13	27.713959	5.0500364	36.210247	18.862585	500.0	6.0694504	0.5785685	7.409614	2.265367	224000	9.313226e-09	2.1324918	-0.009062855	-0.6219286	1.3564423	0.0074362294	0.057625003	127.0	310.71449398994446	0.0	0.0625	0.0	0.0	0.0
14	30.63887	5.029448	40.3928	16.822767	500.0	6.2260885	0.7388637	7.7260222	2.4032638	240000	-1.1175871e-08	1.9691037	-0.0082333395	-0.41012773	1.3564423	0.003941684	0.054124996	127.0	336.07078075408936	0.0	0.0625	0.0	0.0	0.0
15	32.55503	4.9972887	50.418953	24.83027	500.0	6.8364854	1.0574336	8.481422	2.086765	256000	4.656613e-09	2.8311596	-0.006949603	-0.30622533	1.3564423	0.0051803575	0.0551875	127.0	358.3506484031677	0.0	0.1875	0.0	0.0	0.0
16	32.381927	4.0287824	42.15315	23.019281	500.0	6.825691	0.8846522	8.231921	2.5268683	272000	0.0	1.4398942	-0.008806203	-0.1757063	1.3564423	0.0051866765	0.0634375	127.0	380.09053778648376	0.0	0.125	0.0	0.0	0.0
17	32.98139	4.7048955	47.852882	25.373627	500.0	7.207563	0.9664802	8.506206	3.3925464	288000	3.7252903e-09	1.5045086	-0.009640368	-0.16825004	1.3564423	0.0067576636	0.080874994	127.0	401.4582815170288	0.0	0.3125	0.0	0.0	0.0
18	34.832573	3.3701613	42.95204	29.540287	500.0	7.099257	1.0458896	8.663068	3.3180385	304000	7.450581e-09	1.1242721	-0.00802999	-0.2155955	1.3564423	0.006799454	0.0635	127.0	422.08301973342896	0.0	0.125	0.0	0.0	0.0
19	35.55926	3.9484296	44.785988	26.005209	500.0	7.6090026	0.9156309	8.868271	3.5801497	320000	-3.7252903e-09	1.1085334	-0.008072242	-0.188081	1.3564423	0.0065655345	0.06125	127.0	445.9258372783661	0.0	0.15625	0.0	0.0	0.0
20	35.20806	3.783987	46.26579	25.501858	500.0	7.89435	0.9670535	9.352542	3.7846103	336000	9.313226e-09	0.91981536	-0.009744929	-0.12017587	1.3564423	0.006942738	0.0676875	127.0	470.28994727134705	0.0	0.15625	0.0	0.0	0.0
21	36.383083	3.4797406	43.712166	30.060116	500.0	7.688553	0.94231796	9.154961	3.8806348	352000	-3.7252903e-09	1.1519012	-0.008970788	-0.15427393	1.3564423	0.005481017	0.0715	127.0	493.963987827301	0.0	0.1875	0.0	0.0	0.0
22	38.144123	3.7266867	46.195904	27.91572	500.0	7.9118943	0.94421476	9.066016	3.7344513	368000	-1.4901161e-08	1.2472322	-0.009076252	-0.3211154	1.3564423	0.005412648	0.071125	127.0	517.5225703716278	0.0	0.15625	0.0	0.0	0.0
23	38.995277	5.2378883	47.286667	23.30698	500.0	8.31584	1.0148526	9.530272	4.1317434	384000	0.0	1.5551186	-0.010856651	-0.37706584	1.3564423	0.008223882	0.080937505	127.0	540.758978843689	0.0	0.125	0.0	0.0	0.0
24	41.783997	3.6552532	46.413235	31.589224	500.0	8.51777	1.1492727	10.212752	4.1947384	400000	1.6763806e-08	1.1506174	-0.0098236	-0.3103434	1.3564423	0.007379503	0.070875004	127.0	562.802218914032	0.0	0.21875	0.0	0.0	0.0
25	42.282776	4.1719127	49.32935	35.144203	500.0	9.2126045	1.1736127	10.728423	4.7113295	416000	2.0489097e-08	1.0313001	-0.010145063	-0.07918264	1.3564423	0.005501471	0.0781875	127.0	587.0526666641235	0.0	0.25	0.0	0.0	0.0
26	44.208878	3.4442856	50.15817	36.069546	500.0	9.265799	1.158104	10.742951	4.773632	432000	-3.1664968e-08	1.0947526	-0.007868411	-0.21825263	1.3564423	0.005683688	0.059625	127.0	610.7625844478607	0.0	0.28125	0.0	0.0	0.0
27	43.149784	4.5574117	49.376675	33.835888	500.0	9.698763	1.1872185	11.1352215	5.0845075	448000	7.450581e-09	0.99104184	-0.008104969	-0.08741681	1.3564423	0.0063710315	0.0646875	127.0	632.1529014110565	0.0	0.3125	0.0	0.0	0.0
28	46.105453	7.145175	71.14703	33.8838	500.0	9.70478	1.1375257	11.054089	5.172642	464000	-1.6763806e-08	3.2124429	-0.0080663	-0.45742345	1.3564423	0.0075535085	0.079875	127.0	656.7312965393066	0.0	0.5	0.0	0.0	0.0
29	45.320778	5.219958	61.585827	36.08157	500.0	10.132838	1.1194185	11.017169	4.865984	480000	-1.4901161e-08	2.1393232	-0.008416235	-0.064205244	1.3564423	0.0065119592	0.081625	127.0	679.5536947250366	0.0	0.40625	0.0	0.0	0.0
30	48.342705	9.137087	88.23614	32.52346	500.0	10.062364	1.0822808	10.934933	5.2864175	496000	1.4901161e-08	4.383525	-0.0071076173	-0.39299977	1.3564423	0.0067388793	0.0803125	127.0	701.2615873813629	0.0	0.15625	0.0	0.0	0.0
31	45.85973	5.5283785	58.826252	33.00093	500.0	10.641903	1.2362866	11.756568	5.3597913	512000	-2.4214387e-08	1.9582077	-0.00770473	-0.40272722	1.3564423	0.00675813	0.0633125	127.0	725.2027053833008	0.0	0.40625	0.0	0.0	0.0
32	47.88095	6.845402	75.84805	38.1709	500.0	10.205313	1.1153338	11.47945	5.5045505	528000	-7.450581e-09	2.9300714	-0.0069469484	-0.20087898	1.3564423	0.0070221806	0.072875	127.0	747.9951205253601	0.0	0.3125	0.0	0.0	0.0
33	51.675327	12.043098	95.792015	34.65326	500.0	10.539924	1.1868271	11.969031	5.43759	544000	1.3038516e-08	8.848023	-0.0063414397	-1.101608	1.3564423	0.0071062413	0.085875005	127.0	771.1753787994385	0.0	0.25	0.0	0.0	0.0
34	46.46038	6.321773	56.563446	35.30752	500.0	11.405235	1.3418753	13.069639	5.5410943	560000	-1.4901161e-08	2.8831215	-0.00848776	-1.2592268	1.3564423	0.006801956	0.06775	127.0	793.551854133606	0.0	0.1875	0.0	0.0	0.0
