Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.23426571	0.15013547	0.7005427	0.07820569	500.0	0.13033627	0.016891746	0.18218283	0.06609303	16000	-1.13621354e-07	0.0061977506	-0.006891093	-0.005209926	1.3564423	0.005787025	0.0569375	127.0	22.325556993484497	0.0	0.0	0.0	0.0	0.0
1	0.27632684	0.1500196	0.6886221	0.08970535	500.0	0.065017745	0.015594371	0.11757631	0.024313081	32000	1.8626451e-09	0.0011857005	-0.0063770534	-0.00052491785	1.3564423	0.007307489	0.0541875	127.0	41.17950797080994	0.0	0.0	0.0	0.0	0.0
2	0.41552228	0.21532936	1.0328571	0.11398946	500.0	0.06513043	0.012930977	0.11443262	0.02359499	48000	7.450581e-09	0.0019146381	-0.008551823	-0.0008924378	1.3564423	0.0072026816	0.078875	127.0	61.66599416732788	0.0	0.0	0.0	0.0	0.0
3	0.54207754	0.2834416	1.2722745	0.19163415	500.0	0.07916976	0.024828926	0.15084018	0.0005629845	64000	1.4901161e-08	0.0026842027	-0.008420457	-0.0011107676	1.3564423	0.006517413	0.0829375	127.0	78.87037372589111	0.0	0.0	0.0	0.0	0.0
4	0.86653745	0.38154608	1.4577205	0.20654355	500.0	0.13033698	0.032937635	0.23570499	0.052586034	80000	-1.1175871e-08	0.0054871473	-0.008851046	-0.002963489	1.3564423	0.008553133	0.082625	127.0	99.16356015205383	0.0	0.0	0.0	0.0	0.0
5	1.9668114	2.99167	14.934524	0.45025057	500.0	0.18803282	0.06567417	0.49220684	-0.002622161	96000	1.4901161e-08	0.49408975	-0.0055734683	-0.30046716	1.3564423	0.00871913	0.0725625	127.0	119.09877157211304	0.0	0.0	0.0	0.0	0.0
6	1.7812617	2.7430494	14.441606	0.46593925	500.0	0.392719	0.40751213	2.5363219	-0.40796152	112000	1.1175871e-08	0.2103868	-0.009352171	-0.10473582	1.3564423	0.0067208977	0.1054375	127.0	138.00400137901306	0.0	0.0	0.0	0.0	0.0
7	3.6553633	5.067053	20.475443	0.4366627	500.0	0.8892651	0.99845773	4.5184	-0.34101248	128000	-2.9802322e-08	0.5406195	-0.009716526	-0.17337528	1.3564423	0.009732196	0.110625	127.0	158.84651947021484	0.0	0.0	0.0	0.0	0.0
8	4.757595	6.0461774	19.46224	0.5385811	500.0	1.5385064	1.7342432	6.2219725	-0.5584405	144000	9.313226e-09	0.7659735	-0.00827528	-0.14955688	1.3564423	0.006461383	0.085062504	127.0	176.61530113220215	0.0	0.0	0.0	0.0	0.0
9	6.0140543	5.1683006	18.669033	0.46680093	500.0	2.1420217	1.8272629	6.3269835	-0.5915524	160000	7.450581e-09	0.8684696	-0.007965835	-0.23129267	1.3564423	0.0069261217	0.06725	127.0	199.81347966194153	0.0	0.0	0.0	0.0	0.0
10	9.740619	6.8099675	23.603199	0.671748	500.0	2.308436	1.8162678	5.884127	-0.62996215	176000	-7.450581e-09	1.169921	-0.008920956	-0.3714231	1.3564423	0.008361112	0.079812504	127.0	221.1865589618683	0.0	0.0	0.0	0.0	0.0
11	10.739039	6.2525835	26.979904	0.80643576	500.0	3.1545374	1.8452916	6.572864	-0.5661241	192000	-3.7252903e-09	1.3482311	-0.007672729	-0.29277277	1.3564423	0.005984719	0.062062502	127.0	240.02564334869385	0.0	0.0	0.0	0.0	0.0
12	11.795103	4.317089	21.427097	0.88084203	500.0	3.3863492	1.4784596	5.6935096	-0.4343756	208000	-7.450581e-09	1.2378144	-0.006632688	-0.37707677	1.3564423	0.006044834	0.049999997	127.0	261.5006105899811	0.0	0.0	0.0	0.0	0.0
13	12.410717	4.5629287	26.853771	1.4714694	500.0	3.269529	1.0900351	5.105407	-0.31852892	224000	1.1175871e-08	1.5914233	-0.0085831005	-0.34146476	1.3564423	0.0066051288	0.075500004	127.0	285.2718451023102	0.0	0.0	0.0	0.0	0.0
14	12.93688	4.2863636	26.23488	6.118709	500.0	3.1890993	0.76044536	4.706578	0.0533141	240000	-1.4901161e-08	1.675114	-0.008540195	-0.22980058	1.3564423	0.008337613	0.075625	127.0	304.61819219589233	0.0	0.0	0.0	0.0	0.0
15	14.887013	4.412659	29.251368	6.9284315	500.0	3.0001786	0.70001805	4.4141345	0.16292936	256000	0.0	1.7958084	-0.0073995497	-0.38390288	1.3564423	0.0045753694	0.062	127.0	322.8089830875397	0.0	0.0	0.0	0.0	0.0
16	14.813036	3.8857403	27.77524	4.6997547	500.0	3.3698618	0.8432527	5.1571455	0.42478877	272000	0.0	1.2184463	-0.008995406	-0.45852464	1.3564423	0.0069836434	0.0741875	127.0	344.22301721572876	0.0	0.0	0.0	0.0	0.0
17	18.272287	5.438175	29.337227	8.371408	500.0	3.5990102	1.0679475	5.4967036	0.14547524	288000	-2.9802322e-08	1.3635055	-0.008296628	-0.48153746	1.3564423	0.007184036	0.084625006	127.0	363.67368268966675	0.0	0.0	0.0	0.0	0.0
18	17.575241	6.385751	33.502537	8.100578	500.0	3.7445502	1.32051	6.747586	0.3512873	304000	0.0	0.9231454	-0.010102566	-0.21522185	1.3564423	0.0075946343	0.0906875	127.0	384.24666714668274	0.0	0.0	0.0	0.0	0.0
19	18.386454	5.0421953	35.09741	11.567479	500.0	3.814538	1.3337446	6.8080935	0.38262936	320000	0.0	0.66397357	-0.0106052235	-0.18984145	1.3564423	0.008108848	0.0900625	127.0	405.3395392894745	0.0	0.0	0.0	0.0	0.0
20	22.070663	6.3054805	38.473072	14.939935	500.0	4.4510145	1.3842173	7.2043796	0.7619397	336000	5.5879354e-09	1.1559312	-0.009846762	-0.29742077	1.3564423	0.007812927	0.077250004	127.0	424.7500808238983	0.0	0.0	0.0	0.0	0.0
21	25.481056	6.8447013	37.688503	13.454364	500.0	5.39424	1.4882379	7.984225	1.1726451	352000	-1.3038516e-08	1.2102214	-0.009762499	-0.29003423	1.3564423	0.007427822	0.0863125	127.0	444.81568598747253	0.0	0.0	0.0	0.0	0.0
22	25.476099	8.020545	39.781578	14.673016	500.0	5.4476438	1.6755822	8.740288	1.4366578	368000	2.9802322e-08	0.9461557	-0.012395026	-0.2503364	1.3564423	0.0095565915	0.1165625	127.0	467.6161108016968	0.0	0.0	0.0	0.0	0.0
23	28.660713	8.68574	42.86287	14.280315	500.0	5.713954	1.8180063	9.259684	1.4221163	384000	1.1175871e-08	1.1511183	-0.012447014	-0.42873973	1.3564423	0.008141328	0.1046875	127.0	490.05370020866394	0.0	0.0	0.0	0.0	0.0
24	28.693844	8.814791	45.501785	14.776284	500.0	6.053139	1.9881555	10.117297	1.5494603	400000	-1.4901161e-08	0.87076795	-0.0108408	-0.22251421	1.3564423	0.009848971	0.09625	127.0	510.17435932159424	0.0	0.0	0.0	0.0	0.0
25	34.762123	10.626364	49.12409	13.984777	500.0	7.24475	2.2101264	10.239174	1.6140172	416000	2.9802322e-08	1.1933769	-0.011302147	-0.53472257	1.3564423	0.008756544	0.0916875	127.0	529.8633804321289	0.0	0.0	0.0	0.0	0.0
26	34.774265	10.4407	48.280895	21.296795	500.0	7.6344543	2.4117308	11.093756	1.5590105	432000	-4.656613e-09	0.7556859	-0.010870712	-0.32993066	1.3564423	0.008718688	0.0885625	127.0	549.4162313938141	0.0	0.0	0.0	0.0	0.0
27	34.52799	11.587428	49.26505	12.396655	500.0	7.801494	2.720303	11.552886	1.9758172	448000	2.2351742e-08	0.6965262	-0.010438334	-0.108716235	1.3564423	0.0065073506	0.0814375	127.0	571.0064761638641	0.0	0.0625	0.0	0.0	0.0
28	36.073772	12.237434	50.331715	7.481962	500.0	8.312461	2.8672152	12.196379	1.6627569	464000	3.7252903e-09	0.88377756	-0.00899411	-0.25844735	1.3564423	0.0065642423	0.065312505	127.0	592.6103897094727	0.0	0.0	0.0	0.0	0.0
29	38.643032	10.42769	51.19148	22.102463	500.0	8.367445	2.7915628	11.937954	1.2206085	480000	2.4214387e-08	0.635874	-0.009481918	-0.1918729	1.3564423	0.007254895	0.081125	127.0	611.4714643955231	0.0	0.0	0.0	0.0	0.0
30	36.133133	12.008943	51.431477	0.62563354	500.0	7.819549	2.7792711	11.740595	1.96518	496000	5.5879354e-09	0.6918665	-0.009728774	-0.20689948	1.3564423	0.008340759	0.0853125	127.0	632.6607930660248	0.0	0.03125	0.0	0.0	0.0
31	38.317024	10.310168	51.564613	21.510048	500.0	8.652899	2.705128	12.221812	1.4531844	512000	3.7252903e-09	0.6943431	-0.008662494	-0.31723922	1.3564423	0.0074732555	0.07275	127.0	652.5654010772705	0.0	0.0625	0.0	0.0	0.0
32	41.377373	10.629754	52.37828	17.526352	500.0	9.503061	2.6548004	12.342796	2.7734406	528000	-1.3038516e-08	0.60318553	-0.008266138	-0.11607994	1.3564423	0.006998871	0.067125	127.0	674.2236721515656	0.0	0.0	0.0	0.0	0.0
33	41.503098	10.403211	52.30348	18.889448	500.0	9.075537	2.7063317	12.159836	2.4123762	544000	-1.4901161e-08	0.75932795	-0.010784697	-0.21004134	1.3564423	0.00808492	0.0814375	127.0	693.9363102912903	0.0	0.0	0.0	0.0	0.0
34	33.817142	12.359942	51.74562	0.7561761	500.0	8.089173	2.6931236	12.414899	1.371688	560000	0.0	1.3298674	-0.008827248	-0.4841175	1.3564423	0.007151374	0.074875	127.0	714.1716032028198	0.0	0.03125	0.0	0.0	0.0
35	41.2051	11.832516	52.841618	0.86343455	500.0	9.045076	2.8257341	12.36666	1.3354317	576000	-3.7252903e-08	0.82074094	-0.007942902	-0.17560416	1.3564423	0.006094846	0.0644375	127.0	736.0146579742432	0.0	0.0	0.0	0.0	0.0
36	38.980453	10.281051	50.834515	21.552765	500.0	8.817804	2.7980983	12.575707	1.1269566	592000	-5.5879354e-09	0.83612347	-0.0075953873	-0.22916189	1.3564423	0.0064778635	0.0626875	127.0	756.5371644496918	0.0	0.0625	0.0	0.0	0.0
37	41.33871	7.698829	53.477585	21.812984	500.0	9.054399	2.3065124	12.158284	1.4492934	608000	-1.1175871e-08	0.6844089	-0.009241157	-0.1748924	1.3564423	0.007648658	0.078875	127.0	778.0688931941986	0.0	0.03125	0.0	0.0	0.0
38	44.503906	7.1006665	52.435158	24.532244	500.0	9.88192	2.1216683	12.4232645	2.206565	624000	-2.2351742e-08	0.7299613	-0.008560248	-0.17647456	1.3564423	0.006829513	0.0721875	127.0	800.1266770362854	0.0	0.0625	0.0	0.0	0.0
39	41.44559	11.370099	52.905304	0.815168	500.0	9.606881	2.2930863	12.197344	2.3113194	640000	0.0	1.2278324	-0.0076766307	-0.42069313	1.3564423	0.0052712103	0.058	127.0	822.4729471206665	0.0	0.0	0.0	0.0	0.0
40	42.198353	10.56312	53.321884	0.9111245	500.0	9.252571	2.6663733	12.41642	1.2245468	656000	1.6763806e-08	0.8702215	-0.0077037467	-0.2774676	1.3564423	0.0051896325	0.0548125	127.0	841.9606599807739	0.0	0.0	0.0	0.0	0.0
41	43.932693	9.435919	52.989445	25.281519	500.0	10.103422	2.5492191	13.066864	1.6453922	672000	-4.656613e-09	0.4995407	-0.007385486	-0.20180298	1.3564423	0.005442558	0.0574375	127.0	862.4706981182098	0.0	0.03125	0.0	0.0	0.0
42	44.482094	10.497805	52.713745	0.57261616	500.0	9.926	2.4873579	12.524664	1.3942473	688000	-9.313226e-10	0.9727495	-0.0070209606	-0.33621523	1.3564423	0.0044808257	0.056	127.0	883.4100921154022	0.0	0.0	0.0	0.0	0.0
43	45.86011	5.6623955	52.821003	36.200657	500.0	10.390276	2.072885	12.803366	1.50864	704000	1.0244548e-08	0.42431688	-0.009530377	-0.114393815	1.3564423	0.0066649253	0.0795625	127.0	905.5408034324646	0.0	0.0	0.0	0.0	0.0
44	43.96585	7.7289968	52.68675	17.55911	500.0	9.981426	2.0777514	12.536812	2.238092	720000	-3.7252903e-09	0.40465128	-0.007498719	-0.052224927	1.3564423	0.005479612	0.0535625	127.0	926.1149189472198	0.0	0.0	0.0	0.0	0.0
45	46.347855	5.3613577	53.09596	30.873325	500.0	10.386967	2.0894346	12.722207	2.0727506	736000	1.8626451e-09	0.2910756	-0.009288643	-0.064533666	1.3564423	0.006319698	0.074625	127.0	946.6402053833008	0.0	0.03125	0.0	0.0	0.0
46	44.0116	7.2734127	52.75317	21.763712	500.0	10.172255	2.0739346	12.515969	2.3465085	752000	0.0	0.39621404	-0.009109361	-0.08801962	1.3564423	0.0057550594	0.0638125	127.0	967.9623498916626	0.0	0.03125	0.0	0.0	0.0
47	47.426193	4.7796025	53.095005	36.927574	500.0	10.727625	1.9522758	12.839969	2.2352319	768000	-1.8626451e-08	0.2841854	-0.0085781785	-0.07243895	1.3564423	0.0059673944	0.066874996	127.0	989.7555963993073	0.0	0.03125	0.0	0.0	0.0
48	45.291916	4.9611173	52.62561	36.021423	500.0	10.418807	1.9474033	12.548565	2.6995704	784000	0.0	0.37373596	-0.009713784	-0.14074107	1.3564423	0.0068113455	0.061437503	127.0	1007.972659111023	0.0	0.0	0.0	0.0	0.0
49	46.02944	4.2377353	52.782692	38.231346	500.0	10.368518	1.898	12.319265	2.5468888	800000	9.313226e-09	0.16970527	-0.009209255	-0.03224547	1.3564423	0.0047577904	0.064812504	127.0	1030.9109020233154	0.0	0.0625	0.0	0.0	0.0
50	46.26644	6.42814	53.543365	15.999743	500.0	10.523029	1.937554	12.351072	2.8466747	816000	1.4901161e-08	0.5448719	-0.008098093	-0.22350676	1.3564423	0.005591887	0.05925	127.0	1052.5664522647858	0.0	0.0	0.0	0.0	0.0
