Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5026059	0.21061248	1.1215614	0.2011345	500.0	0.07367471	0.012183473	0.115868196	0.03753425	16000	1.8626451e-09	0.0028974747	-0.006450855	-0.0014849906	1.3564423	0.006011747	0.0480625	127.0	34.78250765800476	0.0	0.0	0.0	0.0	0.0
1	0.6283176	0.4255471	1.9289591	0.11883697	500.0	0.08866887	0.024749663	0.14437158	-0.0057567824	32000	5.5879354e-09	0.0058366815	-0.008483106	-0.002152345	1.3564423	0.0080790315	0.0884375	127.0	56.98807907104492	0.0	0.0	0.0	0.0	0.0
2	1.4603198	0.70208704	3.3979688	0.38354784	500.0	0.17169504	0.034913845	0.28682804	0.05569648	48000	0.0	0.03066882	-0.009063359	-0.017671913	1.3564423	0.006695631	0.0820625	127.0	79.25940728187561	0.0	0.0	0.0	0.0	0.0
3	2.835386	2.2031126	11.199996	0.7820021	500.0	0.31987047	0.0851466	0.6542305	0.08554263	64000	2.7939677e-08	0.23745552	-0.0073974775	-0.12443832	1.3564423	0.007988467	0.0889375	127.0	98.04781031608582	0.0	0.0	0.0	0.0	0.0
4	7.416749	4.0129585	15.625689	1.919152	500.0	0.9977915	0.29887196	1.9654808	0.33359203	80000	-2.6077032e-08	1.3462851	-0.008141305	-0.58294	1.3564423	0.007045555	0.07268751	127.0	117.31325459480286	0.0	0.0	0.0	0.0	0.0
5	10.094635	5.426555	22.150564	1.2805699	500.0	1.8748738	0.72316396	4.427207	0.27505323	96000	-7.450581e-09	1.7293315	-0.010396857	-0.58592093	1.3564423	0.009696268	0.11449999	127.0	137.61628913879395	0.0	0.0	0.0	0.0	0.0
6	16.74745	6.1570134	27.548285	3.5686917	500.0	2.8915033	0.9291582	4.7442927	0.44377038	112000	7.0780516e-08	3.2567062	-0.007824475	-1.4316729	1.3564423	0.005091299	0.069437504	127.0	161.12717509269714	0.0	0.0	0.0	0.0	0.0
7	19.770676	5.621984	28.462337	4.1438494	500.0	4.2378135	1.2969874	6.4796085	0.6581264	128000	-7.450581e-09	2.1484113	-0.009624356	-0.5643817	1.3564423	0.008199792	0.0865625	127.0	184.83328223228455	0.0	0.0	0.0	0.0	0.0
8	23.328886	5.6722336	34.27349	10.797032	500.0	5.0627947	1.4315836	7.1456356	0.9001364	144000	-6.3329935e-08	2.6334531	-0.008858418	-0.53965795	1.3564423	0.00803764	0.079625	127.0	204.2544617652893	0.0	0.0	0.0	0.0	0.0
9	24.13525	4.91084	33.348656	13.369016	500.0	5.7199287	1.1049562	6.9973	1.2122726	160000	-2.2351742e-08	1.7129772	-0.0074070236	-0.13318396	1.3564423	0.004605728	0.0533125	127.0	223.32393097877502	0.0	0.0	0.0	0.0	0.0
10	27.272245	3.6069484	34.890167	18.056547	500.0	5.635276	0.8822791	6.5842237	2.0169284	176000	-1.4901161e-08	1.612363	-0.008668607	-0.32655385	1.3564423	0.0065147947	0.069	127.0	244.23921918869019	0.0	0.0	0.0	0.0	0.0
11	29.865143	4.842868	39.928234	20.602415	500.0	6.211466	0.93999875	7.1678996	1.9699534	192000	-6.519258e-09	2.205524	-0.009340004	-0.29885882	1.3564423	0.006776274	0.0820625	127.0	265.6919174194336	0.0	0.0	0.0	0.0	0.0
12	32.01823	5.3491774	41.33624	19.548643	500.0	6.661619	0.85119176	7.404287	2.2851458	208000	7.450581e-09	2.171218	-0.007623994	-0.2568652	1.3564423	0.0066859145	0.062875	127.0	290.70304346084595	0.0	0.0	0.0	0.0	0.0
13	29.981544	4.6640124	38.134624	21.35699	500.0	7.1679015	0.8068793	7.805922	2.5102158	224000	7.450581e-09	1.6038868	-0.009132163	-0.23873095	1.3564423	0.0063834004	0.0738125	127.0	312.1284501552582	0.0	0.0	0.0	0.0	0.0
