Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5142971	0.40527752	1.7605081	0.10167103	500.0	0.10205013	0.0123848	0.1394674	0.06192963	16000	-1.8626451e-09	0.006404856	-0.006038232	-0.0027038741	1.3564423	0.005748359	0.040062502	127.0	21.990440368652344	0.0	0.0	0.0	0.0	0.0
1	0.6750079	0.58446884	2.6168356	0.15625992	500.0	0.10301413	0.0298403	0.18402499	0.0027635358	32000	1.1175871e-08	0.009364436	-0.007992327	-0.0037338291	1.3564423	0.009130115	0.0940625	127.0	40.861347913742065	0.0	0.0	0.0	0.0	0.0
2	1.377087	1.1778886	5.08839	0.25615475	500.0	0.18440814	0.06937443	0.3600215	-0.05694011	48000	0.0	0.05194588	-0.008832294	-0.02016726	1.3564423	0.0067885723	0.086375	127.0	60.03083825111389	0.0	0.0	0.0	0.0	0.0
3	2.9090314	1.935352	6.958334	0.58734316	500.0	0.40249097	0.14607857	0.8581497	0.059079543	64000	1.6763806e-08	0.1891006	-0.008743831	-0.088489994	1.3564423	0.008054047	0.093687505	127.0	78.7922670841217	0.0	0.0	0.0	0.0	0.0
4	11.205597	6.3305025	24.447447	2.6663606	500.0	1.0352306	0.31328508	1.8157662	0.19550836	80000	5.2154064e-08	3.6829715	-0.0062131453	-2.0159237	1.3564423	0.0073144846	0.05575	127.0	99.79797053337097	0.0	0.0	0.0	0.0	0.0
5	11.944951	5.1737933	22.687262	3.0429718	500.0	2.3839629	0.6798009	3.8128953	0.4217991	96000	-1.8626451e-08	1.924406	-0.00835169	-0.5417092	1.3564423	0.006563465	0.0670625	127.0	121.37925171852112	0.0	0.0	0.0	0.0	0.0
6	19.06137	5.5991926	38.593937	11.462925	500.0	3.0824103	0.9664143	4.9183936	0.11650225	112000	7.450581e-09	3.6695123	-0.007218389	-1.9586436	1.3564423	0.0061700945	0.05975	127.0	140.98776483535767	0.0	0.03125	0.0	0.0	0.0
7	20.133137	8.816344	58.71711	8.873941	500.0	4.5001006	1.3892493	6.7311454	0.33402443	128000	1.4901161e-08	3.9550471	-0.0074844416	-0.37661234	1.3564423	0.008221544	0.08	127.0	161.41220498085022	0.0	0.0625	0.0	0.0	0.0
8	22.055653	5.0582037	32.992416	14.545203	500.0	5.1978483	1.5517383	7.2922063	0.19725586	144000	-5.5879354e-09	1.8170887	-0.0073708845	-0.21939686	1.3564423	0.006935416	0.0589375	127.0	180.63200783729553	0.0	0.0	0.0	0.0	0.0
9	23.208122	7.0799885	38.601364	11.323438	500.0	5.594451	1.2257296	7.690661	0.45285052	160000	-1.1175871e-08	4.0218773	-0.0072438624	-0.5246407	1.3564423	0.004405193	0.0535	127.0	201.94412350654602	0.0	0.09375	0.0	0.0	0.0
