Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5063325	0.4036353	1.78182	0.09539276	500.0	0.101129726	0.012458076	0.14001761	0.06289145	16000	-2.4214387e-08	0.0063435263	-0.0059196176	-0.002717909	1.3564423	0.0058937976	0.041562498	127.0	23.335050582885742	0.0	0.0	0.0	0.0	0.0
1	0.651545	0.5468561	2.3817725	0.14390785	500.0	0.10130872	0.02860708	0.1773611	0.0030861981	32000	7.450581e-09	0.007997886	-0.008111615	-0.0030062112	1.3564423	0.00907214	0.0935625	127.0	43.75008201599121	0.0	0.0	0.0	0.0	0.0
2	1.2962618	1.0672158	4.5789175	0.26736888	500.0	0.17594236	0.065005675	0.37647673	-0.030328438	48000	-7.450581e-09	0.041172426	-0.009010615	-0.017085101	1.3564423	0.0070599196	0.090624996	127.0	62.85892343521118	0.0	0.0	0.0	0.0	0.0
3	2.7126114	1.8157675	6.3242574	0.50598454	500.0	0.3753275	0.14164357	0.7969622	0.010227501	64000	-1.4901161e-08	0.1597683	-0.008594485	-0.07522857	1.3564423	0.008283503	0.093	127.0	83.48973274230957	0.0	0.0	0.0	0.0	0.0
4	10.695278	6.0328016	24.102928	2.425596	500.0	0.97629845	0.2848613	1.710933	0.23979864	80000	3.3527613e-08	3.3530989	-0.0060918503	-1.8209927	1.3564423	0.0072819004	0.054624997	127.0	104.28105044364929	0.0	0.0625	0.0	0.0	0.0
5	11.847586	5.3495817	23.136358	2.7692163	500.0	2.2407765	0.5891662	3.436952	0.55878955	96000	-7.450581e-09	2.1582198	-0.008116934	-0.6935992	1.3564423	0.0068260315	0.06725	127.0	125.92987084388733	0.0	0.0	0.0	0.0	0.0
6	18.317135	4.748294	30.586243	9.42235	500.0	2.9960601	0.9244384	4.972985	0.31342617	112000	-8.568168e-08	2.9850197	-0.007137199	-1.6981577	1.3564423	0.0067400485	0.0591875	127.0	147.42981386184692	0.0	0.0	0.0	0.0	0.0
7	18.03145	5.438632	28.262085	6.9751763	500.0	4.3449	1.3302846	6.4638186	0.22165251	128000	0.0	1.527739	-0.0084559545	-0.104047336	1.3564423	0.008358464	0.0836875	127.0	167.274804353714	0.0	0.0	0.0	0.0	0.0
8	21.598501	5.112782	32.4144	12.91057	500.0	4.7363663	1.4495496	6.809438	0.062448204	144000	5.2154064e-08	1.8286394	-0.007470191	-0.37669253	1.3564423	0.0072706435	0.062499996	127.0	187.7528076171875	0.0	0.0	0.0	0.0	0.0
9	23.006079	5.7042093	35.1132	12.89384	500.0	5.42924	1.1344392	7.58108	0.75153196	160000	0.0	2.6984959	-0.0074393665	-0.3445412	1.3564423	0.003445681	0.05625	127.0	208.82868576049805	0.0	0.09375	0.0	0.0	0.0
10	27.146908	12.586343	88.87526	12.0300455	500.0	5.4178996	0.78550667	6.669459	1.8250393	176000	0.0	8.280962	-0.005784454	-0.77226514	1.3564423	0.0069403653	0.0565625	127.0	231.07600092887878	0.0	0.0625	0.0	0.0	0.0
11	24.39225	6.107101	33.463257	14.225507	500.0	6.1518016	0.94042146	7.8214126	0.88162583	192000	3.7252903e-09	2.8054547	-0.0057003796	-0.5091773	1.3564423	0.005109614	0.04375	127.0	253.7065188884735	0.0	0.1875	0.0	0.0	0.0
12	25.448824	5.9465165	35.8582	15.304329	500.0	5.852405	1.1750206	7.6454005	0.80309653	208000	0.0	1.8300767	-0.0073456266	-0.09725996	1.3564423	0.0047040004	0.059875	127.0	276.2889838218689	0.0	0.125	0.0	0.0	0.0
13	28.067936	5.177207	37.390987	14.610579	500.0	6.082669	1.2369225	8.016317	0.8633076	224000	-7.450581e-09	1.8327285	-0.006991447	-0.19625685	1.3564423	0.005631554	0.0483125	127.0	297.83153104782104	0.0	0.21875	0.0	0.0	0.0
14	27.960106	5.1667995	37.6146	13.050259	500.0	6.3791523	1.3666716	8.654818	0.7991305	240000	3.7252903e-09	1.4389899	-0.008397903	-0.13864458	1.3564423	0.0061525665	0.0584375	127.0	320.8235948085785	0.0	0.0625	0.0	0.0	0.0
15	29.978271	4.049767	36.611164	23.094858	500.0	6.773666	1.4047899	8.735033	0.8824693	256000	-7.450581e-09	1.2916288	-0.006996725	-0.14068234	1.3564423	0.005876757	0.055437498	127.0	342.77480149269104	0.0	0.03125	0.0	0.0	0.0
16	31.95489	4.043818	39.39817	19.5468	500.0	7.058195	1.4628506	8.865962	0.6162135	272000	-2.9802322e-08	1.2152398	-0.008816242	-0.16730118	1.3564423	0.0067028217	0.06793749	127.0	366.1860568523407	0.0	0.1875	0.0	0.0	0.0
17	32.807575	4.273305	43.474728	24.051937	500.0	7.350503	1.3602657	9.211014	1.4591273	288000	-3.7252903e-08	1.1675107	-0.007213599	-0.079979174	1.3564423	0.005787648	0.052375004	127.0	389.0213556289673	0.0	0.15625	0.0	0.0	0.0
18	34.63096	3.3697214	41.289223	24.361343	500.0	7.58042	1.4811226	9.332124	1.0045819	304000	0.0	0.82171774	-0.007977143	-0.18004172	1.3564423	0.0056410516	0.07175	127.0	411.3954448699951	0.0	0.375	0.0	0.0	0.0
19	35.74482	4.9999795	43.59508	13.990852	500.0	7.9670568	1.40189	9.447483	1.4109346	320000	0.0	1.5664029	-0.0089064725	-0.098035574	1.3564423	0.0075379205	0.074	127.0	433.92304706573486	0.0	0.25	0.0	0.0	0.0
20	35.72448	6.5327	50.350533	16.242086	500.0	8.213746	1.2791184	9.457639	2.0844862	336000	9.313226e-09	2.2469056	-0.008158606	-0.06355356	1.3564423	0.005582892	0.047375	127.0	455.54662442207336	0.0	0.375	0.0	0.0	0.0
21	38.081734	7.253834	62.9541	16.224035	500.0	8.109442	1.1856941	9.195219	2.4044385	352000	2.6077032e-08	2.9891202	-0.0069122524	-0.28325596	1.3564423	0.005326338	0.049624998	127.0	477.0555067062378	0.0	0.25	0.0	0.0	0.0
22	39.391495	9.299244	60.150673	10.882138	500.0	8.657074	1.3103604	9.819572	1.6124924	368000	-2.2351742e-08	5.1665225	-0.007335468	-0.19841512	1.3564423	0.0055826306	0.061937496	127.0	499.82493019104004	0.0	0.375	0.0	0.0	0.0
23	35.842438	8.124204	46.87112	13.645738	500.0	8.887852	1.4059637	9.885871	1.5230657	384000	-3.7252903e-09	3.6285362	-0.0069643697	-0.80465794	1.3564423	0.0055326903	0.050625	127.0	521.7991876602173	0.0	0.375	0.0	0.0	0.0
24	34.9962	11.924855	68.01583	10.810084	500.0	8.303651	1.3025743	9.812046	2.3556938	400000	-7.450581e-09	6.9744816	-0.0068249167	-2.0006695	1.3564423	0.006118203	0.0564375	127.0	545.3630976676941	0.0	0.4375	0.0	0.0	0.0
25	38.05911	8.227391	52.993965	13.611563	500.0	8.575422	1.4139489	10.500729	2.5259736	416000	7.450581e-09	2.987642	-0.0081288675	-0.60679764	1.3564423	0.0073069213	0.065125	127.0	568.0938210487366	0.0	0.59375	0.0	0.0	0.0
26	39.04828	8.951543	71.86673	10.656426	500.0	8.506394	2.0275826	10.88342	-2.9403226	432000	-1.8626451e-09	3.6394439	-0.008522563	-0.41071045	1.3564423	0.007815719	0.0709375	127.0	589.8728790283203	0.0	0.5	0.0	0.0	0.0
27	37.99835	4.4932394	47.951725	26.16756	500.0	9.238779	1.5014892	10.828667	2.328035	448000	-1.4901161e-08	1.925824	-0.008144345	-0.6317502	1.3564423	0.0053520473	0.059750002	127.0	612.6015167236328	0.0	0.5	0.0	0.0	0.0
28	37.596222	7.0899835	60.607258	19.413078	500.0	8.731799	1.3488071	9.877652	2.731456	464000	-1.4901161e-08	2.9028015	-0.005927357	-0.31284145	1.3564423	0.007517309	0.051125	127.0	633.3932273387909	0.0	0.5625	0.0	0.0	0.0
29	42.150658	9.883942	63.69269	19.485043	500.0	8.735713	1.5991944	10.381196	2.1385283	480000	-1.8626451e-08	6.448137	-0.0066014067	-0.8026384	1.3564423	0.005081204	0.0400625	127.0	658.3151519298553	0.0	0.71875	0.0	0.0	0.0
30	39.712704	7.0970783	52.10585	10.108613	500.0	9.454363	1.6387911	11.334119	3.1755729	496000	7.450581e-09	2.313705	-0.0073670787	-0.43074462	1.3564423	0.006241456	0.0538125	127.0	682.3802936077118	0.0	0.6875	0.0	0.0	0.0
31	40.30905	14.734427	80.91432	8.18068	500.0	8.475724	2.0375614	11.236989	1.0030239	512000	-1.4901161e-08	10.04207	-0.007505621	-2.3362403	1.3564423	0.0052668042	0.0663125	127.0	704.6614389419556	0.0	0.6875	0.0	0.0	0.0
32	39.393867	12.045254	64.04375	14.282707	500.0	8.721861	2.8182387	12.019183	-7.192853	528000	0.0	6.913437	-0.007893549	-0.8247775	1.3564423	0.005973421	0.05275	127.0	727.9312403202057	0.0	0.53125	0.0	0.0	0.0
33	42.855152	7.4344172	60.37048	32.577274	500.0	9.614841	1.9936557	12.050985	2.2399049	544000	1.8626451e-08	4.2674932	-0.0068389606	-0.3813141	1.3564423	0.0067266016	0.056375	127.0	751.4154343605042	0.0	0.625	0.0	0.0	0.0
34	43.796745	10.963005	78.412575	29.437601	500.0	9.421952	1.9598913	11.650474	1.2260019	560000	-1.3038516e-08	6.983442	-0.0068474263	-0.39676887	1.3564423	0.007000478	0.0660625	127.0	773.6671733856201	0.0	0.71875	0.0	0.0	0.0
35	46.085457	13.249097	88.778145	28.202307	500.0	9.7589245	2.1372645	12.291401	0.9609203	576000	7.450581e-09	10.300139	-0.00812397	-0.65528727	1.3564423	0.0060600787	0.063374996	127.0	796.444363117218	0.0	0.6875	0.0	0.0	0.0
36	39.20485	9.67699	71.34156	22.94827	500.0	10.037288	2.143885	12.484854	3.7251265	592000	2.2351742e-08	6.0060062	-0.0078061097	-1.5249591	1.3564423	0.007358286	0.0625	127.0	820.1921775341034	0.0	0.75	0.0	0.0	0.0
37	45.793533	15.222878	86.226974	10.696252	500.0	8.87702	2.1370149	12.1450205	0.16609958	608000	0.0	12.247091	-0.008543573	-2.1918406	1.3564423	0.00774741	0.063	127.0	843.2675297260284	0.0	0.78125	0.0	0.0	0.0
38	43.220604	12.70233	76.68509	28.738195	500.0	9.846598	2.421852	13.086867	0.45600072	624000	1.1175871e-08	9.862923	-0.007364575	-0.78516597	1.3564423	0.0073915226	0.0730625	127.0	865.4111104011536	0.0	0.6875	0.0	0.0	0.0
39	43.618797	11.296216	66.06101	10.867256	500.0	10.022019	2.167785	12.856888	2.3559384	640000	1.6763806e-08	7.2763143	-0.007460298	-0.44945383	1.3564423	0.0074262777	0.0639375	127.0	887.3740487098694	0.0	0.8125	0.0	0.0	0.0
40	41.51407	11.204223	84.21859	24.20746	500.0	9.945756	2.3417404	13.296495	3.497528	656000	-7.450581e-09	5.834451	-0.010624962	-0.91946554	1.3564423	0.005552002	0.0765	127.0	909.769125699997	0.0	0.65625	0.0	0.0	0.0
