Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.42458653	0.20692214	0.9751935	0.14087947	500.0	0.08006221	0.012967285	0.12440272	0.043944187	16000	1.1175871e-08	0.0022237115	-0.006293239	-0.0009790885	1.3564423	0.0060988106	0.051249996	127.0	21.78128480911255	0.0	0.0	0.0	0.0	0.0
1	0.5671697	0.5082944	2.4425812	0.08563476	500.0	0.07859836	0.02332099	0.13156779	-0.01352438	32000	-4.0978193e-08	0.0075960592	-0.0075144297	-0.003569037	1.3564423	0.0081079975	0.083000004	127.0	43.86355257034302	0.0	0.0	0.0	0.0	0.0
2	1.3317091	0.7487669	3.5085468	0.28940594	500.0	0.18028921	0.046659317	0.31150118	0.04795726	48000	3.7252903e-09	0.027583256	-0.00823891	-0.014013741	1.3564423	0.0068399585	0.0775	127.0	62.25016212463379	0.0	0.0	0.0	0.0	0.0
3	2.4575715	1.9915622	10.225768	0.50263727	500.0	0.30663037	0.101369984	0.6548509	0.061351012	64000	-9.313226e-09	0.17560783	-0.0073361	-0.08180869	1.3564423	0.008371688	0.091874994	127.0	81.71159172058105	0.0	0.0	0.0	0.0	0.0
4	6.638311	4.5262265	18.760868	1.1179441	500.0	0.8800428	0.27636042	1.6068224	0.22012651	80000	7.450581e-09	1.4538485	-0.0073339725	-0.61345255	1.3564423	0.0072172554	0.06362499	127.0	101.10008335113525	0.0	0.0	0.0	0.0	0.0
5	8.689206	5.008945	22.937096	0.46171218	500.0	1.7060015	0.801777	4.7163863	0.13232814	96000	9.313226e-09	1.2329642	-0.011311663	-0.41749817	1.3564423	0.009783303	0.11575	127.0	121.71792888641357	0.0	0.0	0.0	0.0	0.0
6	13.7540455	5.531633	25.065708	2.1017323	500.0	2.74567	1.0082109	4.9863496	0.09251898	112000	-2.9802322e-08	1.824133	-0.0080520995	-0.6482277	1.3564423	0.0066971555	0.08175	127.0	142.94503116607666	0.0	0.0	0.0	0.0	0.0
7	16.831337	5.759968	33.466404	4.2719646	500.0	3.7701955	1.2134088	5.721622	0.10265162	128000	-1.4901161e-08	1.9335185	-0.008295277	-0.38709453	1.3564423	0.0069296453	0.0735	127.0	164.8424072265625	0.0	0.0	0.0	0.0	0.0
8	19.835838	5.841663	30.592566	7.609336	500.0	4.352854	1.2768173	6.311363	0.48524204	144000	-1.4901161e-08	2.47579	-0.00735372	-0.39594546	1.3564423	0.0064042625	0.06425001	127.0	185.0137906074524	0.0	0.0	0.0	0.0	0.0
9	22.062973	5.997638	33.919968	8.816109	500.0	4.84377	0.96130615	6.2729473	0.6112213	160000	3.7252903e-08	2.3799582	-0.005902801	-0.2846011	1.3564423	0.0029582584	0.0419375	127.0	205.69572067260742	0.0	0.0625	0.0	0.0	0.0
10	24.858868	5.336443	35.800507	13.726487	500.0	5.154322	1.0947659	6.454855	1.1305331	176000	3.7252903e-08	2.0725822	-0.008294964	-0.42866564	1.3564423	0.007971372	0.0783125	127.0	224.44008612632751	0.0	0.0	0.0	0.0	0.0
