Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5075057	0.40105733	1.7654858	0.09833922	500.0	0.1074073	0.012350854	0.14582014	0.06876535	16000	3.7252903e-09	0.00635886	-0.0061286916	-0.0025920477	1.3564423	0.0057124915	0.0401875	127.0	29.163485050201416	0.0	0.0	0.0	0.0	0.0
1	0.6716323	0.57300144	2.6184423	0.14843813	500.0	0.10233597	0.026909962	0.17533822	0.012336869	32000	-1.1175871e-08	0.009286629	-0.007697449	-0.0035605566	1.3564423	0.008662535	0.087375	127.0	53.85657620429993	0.0	0.0	0.0	0.0	0.0
2	1.2817006	1.0777019	4.553899	0.2440318	500.0	0.17270032	0.065795735	0.35579368	-0.054603025	48000	-5.9604645e-08	0.041914135	-0.008841113	-0.0162257	1.3564423	0.006899349	0.089499995	127.0	79.4146375656128	0.0	0.0	0.0	0.0	0.0
3	2.63546	1.7474488	6.1900663	0.54194134	500.0	0.3699519	0.1344119	0.7861496	0.046575297	64000	-9.313226e-09	0.14770052	-0.008570636	-0.067485735	1.3564423	0.0081560435	0.0915625	127.0	102.30717015266418	0.0	0.0	0.0	0.0	0.0
4	10.487718	5.8669977	22.343222	2.5277116	500.0	0.9407039	0.28195325	1.6862022	0.22524258	80000	3.7252903e-09	3.249784	-0.006155438	-1.7994053	1.3564423	0.0069942214	0.052687503	127.0	127.89037370681763	0.0	0.0	0.0	0.0	0.0
5	11.420708	5.1492653	22.420944	2.7879808	500.0	2.2213461	0.61528003	3.6999118	0.48651254	96000	1.8626451e-08	1.9214468	-0.007964443	-0.5653205	1.3564423	0.0063329097	0.063999996	127.0	155.54717206954956	0.0	0.0	0.0	0.0	0.0
6	18.19299	4.7942686	30.836504	9.807935	500.0	2.9324064	0.91514736	4.898012	0.18340516	112000	3.7252903e-08	3.2263055	-0.0070540393	-1.7876344	1.3564423	0.006732826	0.063	127.0	191.04237151145935	0.0	0.0	0.0	0.0	0.0
7	18.613747	5.89236	28.924988	7.2330155	500.0	4.33091	1.3145888	6.5300493	0.36009872	128000	1.4901161e-08	1.8825598	-0.007828868	-0.20181386	1.3564423	0.0075627347	0.0753125	127.0	226.88685941696167	0.0	0.0	0.0	0.0	0.0
8	21.306362	5.145746	35.211933	14.004587	500.0	4.8207765	1.4881788	7.245772	0.29483384	144000	3.7252903e-09	1.882824	-0.008184394	-0.2481656	1.3564423	0.0075734677	0.0615625	127.0	249.63364553451538	0.0	0.0	0.0	0.0	0.0
9	22.85807	6.2119184	36.43881	12.188853	500.0	5.414755	1.2040565	7.1132154	0.62499225	160000	-7.450581e-09	3.014802	-0.0076098153	-0.4353059	1.3564423	0.0037385533	0.0533125	127.0	272.48033905029297	0.0	0.0	0.0	0.0	0.0
10	26.874035	13.212143	91.13432	11.617845	500.0	5.414943	0.81380695	6.6811805	1.7257934	176000	-1.4901161e-08	8.830399	-0.005815635	-0.924206	1.3564423	0.006265493	0.050375	127.0	297.8482286930084	0.0	0.0625	0.0	0.0	0.0
11	24.813541	6.41698	38.63635	14.139885	500.0	6.1709776	1.0419085	7.922799	0.5777654	192000	2.0489097e-08	3.24687	-0.006883379	-0.44380325	1.3564423	0.005384138	0.0589375	127.0	322.0676610469818	0.0	0.15625	0.0	0.0	0.0
