Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.30414313	0.30652392	1.2874764	0.02727362	500.0	0.0364713	0.02682665	0.110374406	-0.028366536	16000	-1.8626451e-09	0.0039311764	-0.0062189084	-0.0015651826	1.3564423	0.007860418	0.078125	127.0	23.7628071308136	0.0	0.0	0.0	0.0	0.0
1	0.41435736	0.48280653	2.5991752	0.031785596	500.0	0.06067339	0.032700446	0.17671105	-0.005900074	32000	-1.1175871e-08	0.0066890856	-0.0066186897	-0.0017292401	1.3564423	0.0098270755	0.103375	127.0	44.151172399520874	0.0	0.0	0.0	0.0	0.0
2	0.7654556	0.69711584	3.4691813	0.122931786	500.0	0.11209629	0.056561112	0.2887049	-0.020938993	48000	1.5832484e-08	0.013485683	-0.010328004	-0.004770737	1.3564423	0.011052656	0.1456875	127.0	64.68569922447205	0.0	0.0	0.0	0.0	0.0
3	1.4020699	1.0647751	4.6129456	0.14828755	500.0	0.25237548	0.101366125	0.6234251	0.00043700822	64000	1.1175871e-08	0.033109885	-0.009390677	-0.015833449	1.3564423	0.008385097	0.0959375	127.0	84.47869372367859	0.0	0.0	0.0	0.0	0.0
4	1.9334269	1.3765011	5.496897	0.43012813	500.0	0.47934473	0.17156263	1.0944878	0.013075702	80000	-1.1175871e-08	0.07011431	-0.009542163	-0.030600965	1.3564423	0.009229975	0.0978125	127.0	104.59967160224915	0.0	0.0	0.0	0.0	0.0
5	2.0714579	1.3446829	5.3431664	0.27832323	500.0	0.43823227	0.1626391	0.8956884	0.0071895514	96000	1.8626451e-09	0.039880686	-0.01084015	-0.015528999	1.3564423	0.006720025	0.11275	127.0	125.215092420578	0.0	0.0	0.0	0.0	0.0
6	4.5734816	2.8745468	11.320294	0.5585867	500.0	0.61722374	0.27753666	1.3552989	-0.112154655	112000	0.0	0.32261825	-0.009647816	-0.15793508	1.3564423	0.007819662	0.097500004	127.0	145.6400761604309	0.0	0.0	0.0	0.0	0.0
7	7.9193935	4.806501	18.880672	1.4029962	500.0	1.3050346	0.5117159	2.5497005	-0.106441885	128000	-2.2351742e-08	1.1380184	-0.008456166	-0.50939196	1.3564423	0.00659848	0.0948125	127.0	165.83854246139526	0.0	0.0	0.0	0.0	0.0
8	11.875779	6.585776	25.977901	2.8310065	500.0	2.2374883	1.0104748	4.9308715	-0.13825256	144000	-7.450581e-09	2.024818	-0.009348093	-0.91061753	1.3564423	0.007244795	0.091749996	127.0	186.63561296463013	0.0	0.0625	0.0	0.0	0.0
9	20.246265	8.839687	34.09387	4.485511	500.0	3.607475	1.3352046	6.568727	-0.75606304	160000	-2.9802322e-08	3.5849981	-0.009107841	-1.7095759	1.3564423	0.0060514165	0.080874994	127.0	206.8275110721588	0.0	0.0	0.0	0.0	0.0
10	26.264711	8.9264965	40.29908	11.0948	500.0	5.2048435	1.7428461	8.374222	-1.1339296	176000	-2.142042e-08	3.4780824	-0.010063745	-1.3006812	1.3564423	0.0059061665	0.080375	127.0	226.6418581008911	0.0	0.0	0.0	0.0	0.0
11	27.933653	8.275465	47.258236	15.287322	500.0	6.224461	2.0610738	9.602442	-1.8891784	192000	-3.7252903e-09	3.4303997	-0.00863158	-0.6283173	1.3564423	0.005350637	0.062	127.0	248.4219081401825	0.0	0.0	0.0	0.0	0.0
12	32.898834	14.525058	95.42913	14.424911	500.0	6.9186845	2.1421676	10.031321	-0.28107956	208000	-1.1175871e-08	11.538746	-0.007954385	-1.8327689	1.3564423	0.006807737	0.069749996	127.0	268.8553228378296	0.0	0.1875	0.0	0.0	0.0
13	34.60358	11.712069	87.36884	22.993391	500.0	8.062067	2.2345986	10.929379	-0.6077586	224000	1.21071935e-08	7.948384	-0.008630197	-0.9982545	1.3564423	0.007508245	0.074	127.0	291.9189512729645	0.0	0.125	0.0	0.0	0.0
14	30.166256	7.063277	45.99972	13.891878	500.0	8.30619	2.1837368	11.038095	0.12421711	240000	2.2351742e-08	4.3934193	-0.010058305	-1.3197603	1.3564423	0.01027211	0.072625	127.0	313.3992576599121	0.0	0.0	0.0	0.0	0.0
15	35.114407	9.4903345	68.07177	22.424978	500.0	7.721755	1.9559997	10.19759	0.60889673	256000	-7.450581e-09	6.0719724	-0.009393875	-0.5440147	1.3564423	0.0073827137	0.0806875	127.0	334.7789046764374	0.0	0.125	0.0	0.0	0.0
16	34.821518	7.5088887	51.581123	23.358547	500.0	8.414033	1.407633	9.927581	1.7966571	272000	0.0	3.7753973	-0.008723151	-0.2956478	1.3564423	0.006876473	0.064125	127.0	359.92433166503906	0.0	0.03125	0.0	0.0	0.0
17	35.98232	7.5220795	54.774937	21.667679	500.0	8.0210905	1.3092123	9.325726	1.6480031	288000	-3.7252903e-09	3.7723317	-0.008089531	-0.3108757	1.3564423	0.004696452	0.0536875	127.0	382.06806921958923	0.0	0.09375	0.0	0.0	0.0
18	39.825176	13.827324	109.41298	23.000896	500.0	8.299984	1.5272405	9.7464695	1.2043657	304000	7.450581e-09	9.37261	-0.00771344	-0.692798	1.3564423	0.007466148	0.071624994	127.0	403.20142912864685	0.0	0.09375	0.0	0.0	0.0
19	37.945118	9.350988	83.21912	28.430334	500.0	9.141443	1.614333	10.551681	0.48627436	320000	-5.5879354e-09	6.205222	-0.0074883364	-0.31633994	1.3564423	0.0057045724	0.0623125	127.0	425.8452887535095	0.0	0.09375	0.0	0.0	0.0
20	38.241653	6.505236	50.928997	17.764313	500.0	8.4745035	1.915822	10.33364	0.88061595	336000	7.450581e-09	3.2737632	-0.00834421	-0.51637137	1.3564423	0.0076959254	0.06506249	127.0	447.6692385673523	0.0	0.09375	0.0	0.0	0.0
21	41.150776	7.0905437	53.493587	26.500431	500.0	8.612336	1.6352322	9.948893	1.3341883	352000	-3.7252903e-09	3.1831298	-0.009343272	-0.5619559	1.3564423	0.0053450502	0.068	127.0	468.6377923488617	0.0	0.09375	0.0	0.0	0.0
22	39.977367	6.010361	52.61868	26.643188	500.0	9.509527	1.5746754	10.831637	0.77096933	368000	5.5879354e-09	2.7410493	-0.009764808	-0.2445833	1.3564423	0.005703734	0.0754375	127.0	489.6558723449707	0.0	0.0625	0.0	0.0	0.0
