Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2038233	0.14191528	0.5883227	0.045241535	500.0	0.052869227	0.017922005	0.13022374	-0.0081525985	16000	1.8626451e-09	0.0014541475	-0.007258121	-0.00069696235	1.3564423	0.006337351	0.0651875	127.0	24.77979016304016	0.0	0.0	0.0	0.0	0.0
1	0.2862849	0.18045165	0.83389896	0.05643588	500.0	0.045282103	0.017531462	0.12371712	-0.0073737428	32000	1.4901161e-08	0.0014255409	-0.008285996	-0.0005110587	1.3564423	0.008973585	0.093375	127.0	45.267704486846924	0.0	0.0	0.0	0.0	0.0
2	0.3892806	0.21834916	0.9635531	0.056726616	500.0	0.064162545	0.023057915	0.1483736	-0.0067118667	48000	-1.8626451e-08	0.0018561026	-0.010696078	-0.000630848	1.3564423	0.009645294	0.1168125	127.0	67.433509349823	0.0	0.0	0.0	0.0	0.0
3	0.62978524	0.2459759	1.21888	0.19375722	500.0	0.09583479	0.02951433	0.1688024	0.01673359	64000	-7.450581e-09	0.003478291	-0.008833557	-0.0014000133	1.3564423	0.007884869	0.083125	127.0	89.08153939247131	0.0	0.0	0.0	0.0	0.0
4	1.1112945	0.871942	4.302366	0.36756104	500.0	0.1503728	0.039207995	0.27407545	0.04454291	80000	-2.9802322e-08	0.03478951	-0.0070536504	-0.021934992	1.3564423	0.0081962105	0.0844375	127.0	109.20779848098755	0.0	0.0	0.0	0.0	0.0
5	1.4010198	0.74335796	3.8330724	0.6286376	500.0	0.32455242	0.12005737	0.77248675	-0.015351705	96000	-3.7252903e-09	0.016328488	-0.013792552	-0.006085173	1.3564423	0.009272508	0.124125004	127.0	133.6321017742157	0.0	0.0	0.0	0.0	0.0
6	3.0961738	2.2525444	9.401118	0.62904376	500.0	0.43460035	0.17518692	0.8712996	0.093450055	112000	-1.8626451e-08	0.26401806	-0.006070925	-0.15053125	1.3564423	0.0054927636	0.0726875	127.0	156.50006294250488	0.0	0.0	0.0	0.0	0.0
7	7.418775	4.7222433	18.554617	0.6302547	500.0	0.9997057	0.5261179	2.2893603	-0.08301047	128000	-6.7055225e-08	1.4614763	-0.006316674	-0.67028093	1.3564423	0.007157054	0.07287499	127.0	177.35291504859924	0.0	0.0	0.0	0.0	0.0
8	11.489592	4.9586253	24.056585	1.9467063	500.0	2.1039345	0.9159463	3.7705076	-0.10583739	144000	-1.7695129e-08	1.404858	-0.0074950363	-0.53152955	1.3564423	0.006309176	0.082625	127.0	200.1528446674347	0.0	0.0	0.0	0.0	0.0
9	13.182926	5.5658607	21.863264	1.0206503	500.0	2.8589811	1.3083342	5.2997904	-0.23853621	160000	-1.5832484e-08	0.9974815	-0.0095007755	-0.29351655	1.3564423	0.008809066	0.0923125	127.0	222.37531852722168	0.0	0.0	0.0	0.0	0.0
10	14.506591	6.043796	33.3382	1.6628494	500.0	3.9485395	1.7695233	6.481865	-0.39693314	176000	0.0	1.6828262	-0.008446997	-0.30670285	1.3564423	0.0057938127	0.0733125	127.0	243.22685432434082	0.0	0.0	0.0	0.0	0.0
11	16.147423	4.064672	22.77502	1.3523943	500.0	4.138375	1.6205565	6.5235176	-0.32361028	192000	-7.450581e-09	1.0633869	-0.0072994726	-0.14919506	1.3564423	0.0049007265	0.0558125	127.0	264.8750538825989	0.0	0.0	0.0	0.0	0.0
12	18.314615	4.232722	31.482557	9.759872	500.0	4.394998	1.505788	6.324544	-0.047437504	208000	3.7252903e-09	1.5844257	-0.007475005	-0.30264196	1.3564423	0.004346423	0.064500004	127.0	290.5615909099579	0.0	0.0	0.0	0.0	0.0
13	19.32433	5.9215446	38.442165	1.3171583	500.0	4.469002	1.104282	5.779456	0.9790448	224000	-7.450581e-09	1.4629806	-0.0075882673	-0.14374585	1.3564423	0.006364194	0.0675	127.0	314.82922625541687	0.0	0.0	0.0	0.0	0.0
14	23.144157	6.2645936	36.615456	9.093416	500.0	4.7562947	1.0426743	5.9109282	-0.099359006	240000	-1.4901161e-08	2.7869241	-0.008664031	-0.4266855	1.3564423	0.0070707556	0.081750005	127.0	339.98939776420593	0.0	0.0	0.0	0.0	0.0
15	24.36098	5.2509503	40.06932	15.585244	500.0	5.3347597	0.7863249	6.258698	0.53252584	256000	-1.4901161e-08	1.7193942	-0.007681105	-0.11343385	1.3564423	0.0066664284	0.0565	127.0	363.8899440765381	0.0	0.0	0.0	0.0	0.0
16	27.301573	5.7771926	38.88796	19.11174	500.0	5.539344	0.7925587	6.3474255	0.6014084	272000	-3.7252903e-08	2.8267965	-0.008624751	-0.45863083	1.3564423	0.006302271	0.06675	127.0	387.11127376556396	0.0	0.0	0.0	0.0	0.0
17	26.90492	6.7092023	45.099037	18.03575	500.0	6.105384	0.83408356	6.933245	1.3806037	288000	0.0	2.8141298	-0.0071086185	-0.34150767	1.3564423	0.006557797	0.0556875	127.0	411.0208389759064	0.0	0.0	0.0	0.0	0.0
18	30.308752	5.004302	43.440063	22.4146	500.0	6.0550165	0.8237432	6.891491	0.5398734	304000	0.0	2.0523398	-0.008692966	-0.631991	1.3564423	0.008056374	0.081625	127.0	439.4672923088074	0.0	0.0	0.0	0.0	0.0
19	29.315502	7.5623183	45.985886	18.360132	500.0	6.7892785	1.0114671	7.910654	0.41123894	320000	-7.450581e-09	2.7917433	-0.00820811	-0.33448946	1.3564423	0.0062608924	0.053687498	127.0	466.7851800918579	0.0	0.0	0.0	0.0	0.0
