Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.3831255	0.4212506	1.5873723	0.027823413	500.0	0.05230783	0.023946742	0.11729567	-0.018804189	16000	-1.1175871e-08	0.007948583	-0.0059459545	-0.0032871105	1.3564423	0.008198248	0.0761875	127.0	24.346518754959106	0.0	0.0	0.0	0.0	0.0
1	0.47388688	0.5015881	2.679577	0.03137709	500.0	0.07254867	0.038642664	0.22337501	-0.012195887	32000	4.656613e-09	0.0067636142	-0.006741968	-0.0017440317	1.3564423	0.010106092	0.110750005	127.0	43.50953197479248	0.0	0.0	0.0	0.0	0.0
2	0.94753754	0.9342617	4.9599915	0.1468435	500.0	0.12377881	0.058372468	0.31969252	-0.010733496	48000	3.7252903e-09	0.023442427	-0.009604713	-0.008945547	1.3564423	0.009934004	0.122062504	127.0	65.57588362693787	0.0	0.0	0.0	0.0	0.0
3	1.5526845	1.2546301	5.1771083	0.082113415	500.0	0.2983915	0.11633063	0.8676174	0.03346848	64000	0.0	0.044684343	-0.009092875	-0.027063156	1.3564423	0.008575395	0.09	127.0	91.3273138999939	0.0	0.0	0.0	0.0	0.0
4	2.081678	1.6555022	7.5671797	0.33387703	500.0	0.55045825	0.20748104	1.3526661	-0.059194244	80000	-7.450581e-09	0.09583602	-0.009925414	-0.042032197	1.3564423	0.009385729	0.100999996	127.0	121.85250687599182	0.0	0.0	0.0	0.0	0.0
5	2.2640233	1.5592002	5.9779	0.24687877	500.0	0.480554	0.20933188	1.044731	-0.13658537	96000	1.1175871e-08	0.052873597	-0.011459601	-0.022279497	1.3564423	0.006970256	0.119375	127.0	151.01802682876587	0.0	0.0	0.0	0.0	0.0
6	4.6389685	2.978188	11.69666	0.50049484	500.0	0.7127422	0.33113825	1.6619577	-0.20682302	112000	6.146729e-08	0.3237251	-0.010286363	-0.122572914	1.3564423	0.008216542	0.1075	127.0	171.91610264778137	0.0	0.0	0.0	0.0	0.0
7	8.494688	5.2810216	21.146555	1.1416235	500.0	1.4009686	0.5368708	2.745376	-0.21946572	128000	2.7939677e-08	1.4272882	-0.00876885	-0.65080905	1.3564423	0.006831458	0.09775	127.0	196.40245294570923	0.0	0.0	0.0	0.0	0.0
8	11.072678	5.8811193	25.64479	3.2101486	500.0	2.3581934	1.0094995	5.1302323	-0.150846	144000	2.2351742e-08	1.5307662	-0.009822242	-0.432816	1.3564423	0.006887994	0.092625	127.0	218.04474186897278	0.0	0.0625	0.0	0.0	0.0
9	19.412466	7.2006927	33.344902	7.2381825	500.0	3.3743863	1.2304628	5.9412355	-0.68990594	160000	3.3527613e-08	3.2653875	-0.011302292	-1.4700866	1.3564423	0.007063975	0.0941875	127.0	239.70673489570618	0.0	0.0	0.0	0.0	0.0
