Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.35163647	0.30176747	1.3436208	0.054585226	500.0	0.03824315	0.026642567	0.11159584	-0.030421337	16000	6.519258e-09	0.004437775	-0.006886001	-0.0017612498	1.3564423	0.007873101	0.077562496	127.0	29.427953720092773	0.0	0.0	0.0	0.0	0.0
1	0.49379548	0.46363306	2.51271	0.066748284	500.0	0.07028258	0.03335947	0.1924521	-0.001509916	32000	-1.8626451e-08	0.0072500063	-0.007112642	-0.0021750662	1.3564423	0.009754159	0.10125	127.0	55.06257653236389	0.0	0.0	0.0	0.0	0.0
2	0.9744381	0.67260396	3.1080313	0.15996525	500.0	0.13490607	0.05814874	0.29554993	-0.01756322	48000	-1.7695129e-08	0.015560128	-0.010815915	-0.0061016968	1.3564423	0.010550447	0.137875	127.0	77.24130153656006	0.0	0.0	0.0	0.0	0.0
3	1.7142363	1.0017995	4.4717035	0.46055886	500.0	0.3002358	0.09042766	0.67083544	0.071259305	64000	2.9802322e-08	0.03927996	-0.00967602	-0.014502844	1.3564423	0.008723618	0.094375	127.0	98.54455065727234	0.0	0.0	0.0	0.0	0.0
4	2.4499967	1.1970066	5.0237675	0.83392835	500.0	0.52298707	0.11688381	0.9247872	0.12158904	80000	-1.4901161e-08	0.07711881	-0.009351313	-0.031627715	1.3564423	0.008310385	0.086500004	127.0	120.67323970794678	0.0	0.0	0.0	0.0	0.0
5	2.6831005	1.3866647	6.0459266	0.6331231	500.0	0.5640429	0.10474576	0.88454044	0.2708032	96000	-9.313226e-09	0.062942415	-0.010929301	-0.03199123	1.3564423	0.0064984774	0.106874995	127.0	143.15635323524475	0.0	0.0	0.0	0.0	0.0
6	6.415835	3.6541095	16.083899	1.1915908	500.0	0.7732985	0.24542601	1.4032496	0.11531764	112000	-3.3527613e-08	0.71698374	-0.009548351	-0.3964687	1.3564423	0.007615157	0.0979375	127.0	168.62695860862732	0.0	0.0	0.0	0.0	0.0
7	10.386315	4.6586304	20.5647	2.7142866	500.0	1.8587625	0.58241886	3.215836	0.04320145	128000	-1.1175871e-08	1.206297	-0.009622455	-0.57338905	1.3564423	0.006739158	0.094437495	127.0	190.04144406318665	0.0	0.0	0.0	0.0	0.0
8	11.838615	4.6121497	20.658699	4.0403323	500.0	2.784502	0.982575	5.0737705	0.095587716	144000	0.0	1.0650083	-0.009376975	-0.43148136	1.3564423	0.006729058	0.086875	127.0	212.50935244560242	0.0	0.0	0.0	0.0	0.0
9	19.358492	4.902335	28.616888	10.295813	500.0	3.4897447	1.1779623	5.839004	-0.50417	160000	1.8626451e-08	2.0479438	-0.011877026	-1.062813	1.3564423	0.0062254183	0.09424999	127.0	235.01888179779053	0.0	0.0	0.0	0.0	0.0
10	23.825752	4.867075	34.02579	14.948668	500.0	4.9286046	1.3008558	7.201223	0.3747623	176000	3.3527613e-08	1.9030128	-0.011613993	-0.50728	1.3564423	0.0077127926	0.09025	127.0	257.52841234207153	0.0	0.0	0.0	0.0	0.0
11	25.85674	5.441055	40.102962	17.890833	500.0	5.742254	1.2337773	7.48828	0.39132896	192000	-2.2351742e-08	2.2156124	-0.008710519	-0.23032597	1.3564423	0.0048854193	0.0648125	127.0	281.16499376296997	0.0	0.0	0.0	0.0	0.0
12	30.040222	7.6024923	45.19799	14.972866	500.0	6.170862	1.2274909	7.820797	1.7218448	208000	-3.7252903e-09	3.9006467	-0.007992127	-0.66499496	1.3564423	0.0067672483	0.0664375	127.0	304.47650718688965	0.0	0.0	0.0	0.0	0.0
13	32.27331	5.8185153	43.40171	22.43105	500.0	6.9505334	1.3615543	8.902975	1.5100622	224000	1.4901161e-08	2.6304111	-0.009640055	-0.35664475	1.3564423	0.0066815065	0.07225	127.0	326.4062249660492	0.0	0.0	0.0	0.0	0.0
14	30.491222	9.08068	48.47015	14.242746	500.0	7.508418	1.4391701	9.342375	1.4955214	240000	1.4901161e-08	4.281899	-0.008749081	-0.39108372	1.3564423	0.007510943	0.056625	127.0	349.84411668777466	0.0	0.0	0.0	0.0	0.0
15	34.239677	8.518232	48.305027	22.896332	500.0	7.20229	1.4062845	9.263465	2.2458417	256000	4.0978193e-08	4.2371144	-0.007833169	-0.48539475	1.3564423	0.0054019047	0.062750004	127.0	374.3156797885895	0.0	0.0	0.0	0.0	0.0
16	33.23945	7.55718	48.29577	23.707941	500.0	7.884355	1.179303	9.446883	2.923306	272000	-1.3038516e-08	3.6977532	-0.008540594	-0.40299264	1.3564423	0.0061798384	0.060062498	127.0	397.6284580230713	0.0	0.03125	0.0	0.0	0.0
17	34.75786	8.623564	50.452	22.438702	500.0	7.7268887	1.0977148	9.137522	3.1071627	288000	7.450581e-09	3.8777535	-0.0075270943	-0.27738222	1.3564423	0.006230374	0.0589375	127.0	419.6693799495697	0.0	0.0	0.0	0.0	0.0
18	35.65343	9.006053	51.272575	19.655836	500.0	7.653979	1.0078068	9.388934	-0.22842985	304000	-3.7252903e-09	4.0606103	-0.008557556	-0.41679093	1.3564423	0.007416141	0.0656875	127.0	442.43723011016846	0.0	0.03125	0.0	0.0	0.0
19	33.553303	6.8694606	47.472706	23.93118	500.0	7.8984113	1.0886176	9.952633	2.758045	320000	-1.8626451e-09	2.9437468	-0.00834804	-0.3851642	1.3564423	0.0055346205	0.0598125	127.0	465.8929855823517	0.0	0.0	0.0	0.0	0.0
