Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2419034	0.1753727	0.8673198	0.034881763	500.0	0.071404435	0.013173289	0.12447752	0.023068447	16000	2.6077032e-08	0.002433964	-0.005994546	-0.0013816725	1.3564423	0.006848214	0.0599375	127.0	26.141775846481323	0.0	0.0	0.0	0.0	0.0
1	0.35716712	0.22589023	0.973031	0.06057186	500.0	0.057792794	0.016885472	0.11930076	0.013026204	32000	-2.0023435e-08	0.002104347	-0.007862214	-0.0007619276	1.3564423	0.009180125	0.087124996	127.0	47.22568464279175	0.0	0.0	0.0	0.0	0.0
2	0.63178205	0.27969536	1.2390969	0.10574591	500.0	0.09219255	0.028100913	0.17250906	-0.00020959601	48000	-1.8626451e-08	0.002866765	-0.011456899	-0.0015113596	1.3564423	0.008874039	0.1079375	127.0	69.11916375160217	0.0	0.0	0.0	0.0	0.0
3	0.86148286	0.3043178	1.5165673	0.32617962	500.0	0.16634628	0.036771208	0.3090032	0.043177027	64000	1.4901161e-08	0.004798888	-0.009072959	-0.0017388922	1.3564423	0.0073394924	0.079125	127.0	93.06289076805115	0.0	0.0	0.0	0.0	0.0
4	1.1139444	0.33699584	1.8801161	0.62405354	500.0	0.2231788	0.033784557	0.3153984	0.108042374	80000	3.7252903e-09	0.009404921	-0.009295782	-0.0034293286	1.3564423	0.0074927974	0.07924999	127.0	118.24453330039978	0.0	0.0	0.0	0.0	0.0
5	1.8618411	0.6592253	4.0652747	0.8650195	500.0	0.24833484	0.03562159	0.34180897	0.12374632	96000	2.2351742e-08	0.038953565	-0.00971082	-0.018603671	1.3564423	0.0063563404	0.10025	127.0	155.84484028816223	0.0	0.0	0.0	0.0	0.0
6	2.722906	0.928653	5.144678	1.2680073	500.0	0.40676084	0.063980244	0.65143824	0.19830579	112000	7.450581e-09	0.077211015	-0.009056412	-0.037891574	1.3564423	0.006462308	0.0764375	127.0	186.3885519504547	0.0	0.0	0.0	0.0	0.0
7	4.2892056	2.2520533	11.857588	1.1507674	500.0	0.6375659	0.17513146	1.1856356	0.19826528	128000	2.7939677e-08	0.38210538	-0.006063577	-0.23200518	1.3564423	0.004873851	0.0518125	127.0	213.54724526405334	0.0	0.0	0.0	0.0	0.0
8	6.1197023	2.3378067	11.805004	2.303609	500.0	1.210897	0.5319693	2.5758958	0.07792084	144000	7.450581e-09	0.35704452	-0.010163419	-0.16739246	1.3564423	0.0066676284	0.112	127.0	241.29396510124207	0.0	0.0	0.0	0.0	0.0
9	10.862689	5.118399	25.162348	3.6020155	500.0	1.9037628	0.7325755	3.2431607	0.1462592	160000	-9.313226e-09	1.7708851	-0.00734579	-0.85134494	1.3564423	0.0077104345	0.0849375	127.0	264.09297227859497	0.0	0.0	0.0	0.0	0.0
10	13.896023	5.047213	24.527805	5.5902243	500.0	2.887778	1.2614776	5.10694	-0.17947492	176000	4.8428774e-08	1.6243129	-0.008179031	-0.41610762	1.3564423	0.0074222144	0.0906875	127.0	289.47889709472656	0.0	0.0	0.0	0.0	0.0
11	18.615252	5.8858323	30.136045	6.330819	500.0	3.9370685	1.553431	6.1738	0.17561577	192000	3.7252903e-09	2.6723611	-0.0076020225	-0.8937781	1.3564423	0.004639402	0.0750625	127.0	313.0554127693176	0.0	0.0	0.0	0.0	0.0
12	21.340849	6.0428033	33.28529	6.402014	500.0	5.0620365	1.974932	7.9372115	0.16040465	208000	-2.2351742e-08	2.627748	-0.007537558	-0.6190487	1.3564423	0.0070968093	0.063625	127.0	337.62400102615356	0.0	0.0	0.0	0.0	0.0
13	19.74358	9.836791	35.551132	3.86891	500.0	5.5987906	2.302741	8.682243	-0.15262018	224000	1.1175871e-08	4.3615646	-0.007178192	-1.905303	1.3564423	0.0061319005	0.0495625	127.0	363.05649638175964	0.0	0.0	0.0	0.0	0.0
14	21.061684	9.079841	39.78438	5.1706805	500.0	5.5190334	2.9097579	9.9245615	-0.79949635	240000	-2.2351742e-08	2.6885467	-0.00868326	-0.27151614	1.3564423	0.0063080317	0.0623125	127.0	389.3566961288452	0.0	0.0	0.0	0.0	0.0
15	28.189442	6.5257397	40.9066	10.029416	500.0	6.296503	2.809817	9.937605	-1.4432057	256000	3.7252903e-09	2.6754649	-0.009759532	-0.8772209	1.3564423	0.0067655705	0.080125004	127.0	413.9679548740387	0.0	0.0	0.0	0.0	0.0
16	25.382816	8.338373	39.215042	8.932467	500.0	7.4853497	2.8111632	10.821763	-0.47787014	272000	-1.4901161e-08	4.644563	-0.0090114465	-1.4710042	1.3564423	0.0073016435	0.0703125	127.0	439.32292199134827	0.0	0.0	0.0	0.0	0.0
17	26.684399	8.968496	43.20841	9.940584	500.0	6.8950324	2.2756984	10.522793	1.1588663	288000	7.450581e-09	4.6318355	-0.0077595836	-0.85327953	1.3564423	0.0073032584	0.05775	127.0	464.54216504096985	0.0	0.0	0.0	0.0	0.0
