Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.24978313	0.17339835	0.85500294	0.03562987	500.0	0.07864659	0.013401541	0.13201962	0.027018577	16000	3.7252903e-09	0.0026800127	-0.0061424067	-0.0015861071	1.3564423	0.0070072813	0.062124997	127.0	23.581514835357666	0.0	0.0	0.0	0.0	0.0
1	0.37094826	0.22548072	0.9414474	0.06277921	500.0	0.061161913	0.01632567	0.12520324	0.017395172	32000	-4.656613e-10	0.0021371758	-0.007958671	-0.00078799215	1.3564423	0.00914768	0.085999995	127.0	43.60974073410034	0.0	0.0	0.0	0.0	0.0
2	0.65656847	0.28289765	1.2271907	0.12275384	500.0	0.09572377	0.02712482	0.17418382	0.0062819794	48000	2.2351742e-08	0.0030761282	-0.011555762	-0.0016648943	1.3564423	0.008904275	0.1081875	127.0	63.578407764434814	0.0	0.0	0.0	0.0	0.0
3	0.85806096	0.29698354	1.4553009	0.3792251	500.0	0.1659416	0.03406145	0.3018162	0.04936062	64000	2.2351742e-08	0.004814187	-0.008476516	-0.0017536096	1.3564423	0.0070001464	0.074499995	127.0	85.02192521095276	0.0	0.0	0.0	0.0	0.0
4	1.1403303	0.343947	1.9874339	0.63248825	500.0	0.21816961	0.032101005	0.30386665	0.11178692	80000	-1.1175871e-08	0.009078534	-0.009653145	-0.0031509888	1.3564423	0.0073670987	0.082375	127.0	105.61951017379761	0.0	0.0	0.0	0.0	0.0
5	1.9992568	0.6792489	4.1595774	0.9962484	500.0	0.2567374	0.036280364	0.35774058	0.12990566	96000	-4.8428774e-08	0.048423544	-0.009646921	-0.024297038	1.3564423	0.0065219784	0.1015625	127.0	126.15719318389893	0.0	0.0	0.0	0.0	0.0
6	2.8438506	1.0321506	5.8467464	1.0330198	500.0	0.43058807	0.06779437	0.67221	0.19743833	112000	1.1175871e-08	0.09095446	-0.008464282	-0.045185316	1.3564423	0.0065795593	0.0739375	127.0	145.5801248550415	0.0	0.0	0.0	0.0	0.0
7	4.446564	2.1294491	12.037654	1.2392218	500.0	0.69001734	0.21317627	1.3347924	0.18911773	128000	-3.7252903e-09	0.3480814	-0.006628139	-0.18960845	1.3564423	0.004968284	0.05725	127.0	167.85100603103638	0.0	0.0	0.0	0.0	0.0
8	6.8573637	2.5887434	14.060859	2.6702201	500.0	1.2764541	0.5697578	2.7148004	0.0770217	144000	-4.0978193e-08	0.49873656	-0.008404827	-0.25190002	1.3564423	0.0056373356	0.0884375	127.0	190.36778044700623	0.0	0.0	0.0	0.0	0.0
9	10.496734	4.5411386	25.976562	4.1653743	500.0	1.9223882	0.7372158	3.2872844	0.13914953	160000	-2.7008355e-08	1.3923922	-0.008053126	-0.59403396	1.3564423	0.008144278	0.090375006	127.0	210.51118516921997	0.0	0.0	0.0	0.0	0.0
10	13.774914	5.683083	27.794294	4.7635756	500.0	2.7907877	1.1877265	4.875641	-0.12497231	176000	-1.3038516e-08	1.9171853	-0.008583732	-0.5257106	1.3564423	0.007964779	0.09550001	127.0	232.8739995956421	0.0	0.0	0.0	0.0	0.0
11	18.865225	5.394852	30.003233	6.7761908	500.0	3.9253716	1.5266254	6.2573776	0.012746995	192000	-1.6763806e-08	2.5574284	-0.008134067	-0.9903002	1.3564423	0.0052313674	0.07875	127.0	256.2013053894043	0.0	0.0	0.0	0.0	0.0
12	21.0937	6.0419297	34.506813	6.541285	500.0	5.01259	1.9883858	7.8869305	0.19731188	208000	-3.7252903e-08	2.514123	-0.0076362826	-0.6103239	1.3564423	0.006967549	0.064375	127.0	277.9162611961365	0.0	0.0	0.0	0.0	0.0
13	20.251678	9.638918	36.91959	4.5013256	500.0	5.6166186	2.3122175	8.629525	-0.185163	224000	0.0	4.5376005	-0.006913601	-1.8677334	1.3564423	0.005967374	0.0489375	127.0	299.3214490413666	0.0	0.0	0.0	0.0	0.0
14	22.025349	9.347708	39.88772	5.3478293	500.0	5.674855	2.935204	9.870429	-1.3651495	240000	-1.4901161e-08	3.0102003	-0.008004632	-0.35708323	1.3564423	0.005409348	0.0623125	127.0	319.7802381515503	0.0	0.0	0.0	0.0	0.0
15	28.661728	7.373124	40.6632	10.785549	500.0	6.541131	2.9027584	10.356944	-0.8472952	256000	1.4901161e-08	2.8978062	-0.009879781	-0.6488877	1.3564423	0.0076732617	0.0806875	127.0	342.6481020450592	0.0	0.0	0.0	0.0	0.0
16	26.66475	8.818458	41.62207	7.5294175	500.0	7.7467804	2.8403358	10.983426	-0.12190878	272000	-1.4901161e-08	4.9900436	-0.008276645	-1.3109231	1.3564423	0.0067409026	0.06275	127.0	366.7350404262543	0.0	0.0	0.0	0.0	0.0
17	27.34276	9.379352	43.310524	7.9608936	500.0	7.197426	2.2496264	10.051185	1.0822932	288000	0.0	5.378111	-0.007618897	-0.8541621	1.3564423	0.0058733495	0.058	127.0	390.0821831226349	0.0	0.0	0.0	0.0	0.0
18	26.56363	8.173763	43.154182	11.139271	500.0	6.976422	1.9011761	9.292687	1.5695404	304000	0.0	3.714572	-0.007913679	-0.42480078	1.3564423	0.005210665	0.0525625	127.0	411.86771726608276	0.0	0.0	0.0	0.0	0.0
19	26.794746	10.046406	43.709686	7.766802	500.0	6.6032176	1.7378544	9.028041	1.8400692	320000	-1.4901161e-08	4.6052504	-0.0074738697	-0.6619884	1.3564423	0.007064646	0.057125	127.0	432.63481283187866	0.0	0.0	0.0	0.0	0.0
20	32.666153	8.789589	45.72503	10.459333	500.0	6.7551084	1.6848277	9.388789	1.9559438	336000	3.7252903e-09	4.0060263	-0.008395856	-1.0066205	1.3564423	0.0065951147	0.065375	127.0	453.3797390460968	0.0	0.0	0.0	0.0	0.0
21	34.31706	8.312901	46.72359	13.612219	500.0	7.7662983	1.7813021	10.20666	2.0676801	352000	-2.2351742e-08	3.0539274	-0.0087508	-0.58167136	1.3564423	0.005855957	0.065437496	127.0	475.5966646671295	0.0	0.0	0.0	0.0	0.0
22	33.430977	7.73314	46.875355	20.51084	500.0	8.410173	2.075716	10.746951	1.0334862	368000	0.0	2.9253786	-0.006752954	-0.42701712	1.3564423	0.0054840115	0.0474375	127.0	497.2895097732544	0.0	0.0	0.0	0.0	0.0
23	32.54182	8.854741	47.547478	18.337635	500.0	7.9773827	1.990402	10.924592	0.83568174	384000	7.450581e-09	3.0019946	-0.0061606774	-0.17553887	1.3564423	0.004468683	0.045	127.0	520.7054560184479	0.0	0.0	0.0	0.0	0.0
24	32.84443	6.695402	45.179623	20.840319	500.0	7.794836	1.7854354	10.092443	1.5804281	400000	-4.656613e-09	2.246791	-0.0062123556	-0.08826521	1.3564423	0.0058387164	0.0538125	127.0	542.92054271698	0.0	0.0	0.0	0.0	0.0
25	33.78779	8.060294	45.999405	19.4531	500.0	7.94597	1.8224001	10.836271	1.3654256	416000	0.0	2.6649506	-0.007371404	-0.32494006	1.3564423	0.0072947536	0.057875	127.0	565.3578553199768	0.0	0.0	0.0	0.0	0.0
26	35.415794	7.012023	46.54184	22.57815	500.0	8.0495615	1.8698436	11.565111	1.3331636	432000	7.450581e-09	2.2440867	-0.0074979444	-0.24316332	1.3564423	0.0075899	0.0623125	127.0	586.8688788414001	0.0	0.0	0.0	0.0	0.0
27	37.18612	6.57484	47.512997	21.639412	500.0	8.510926	2.0415933	11.550497	1.1024404	448000	2.9802322e-08	1.947186	-0.0077656135	-0.16771	1.3564423	0.006498216	0.0624375	127.0	609.6535518169403	0.0	0.0	0.0	0.0	0.0
28	39.3262	6.231735	49.66995	22.660707	500.0	8.799896	1.9106125	11.043069	1.8176614	464000	-1.1175871e-08	1.6727431	-0.008379073	-0.26348874	1.3564423	0.0056755953	0.07	127.0	632.8241708278656	0.0	0.0	0.0	0.0	0.0
29	37.099888	7.7600284	48.235302	23.31247	500.0	9.025878	2.0737576	11.479761	0.90639645	480000	0.0	2.1507115	-0.008364854	-0.32987577	1.3564423	0.006594734	0.0643125	127.0	656.1552927494049	0.0	0.0	0.0	0.0	0.0
30	37.43735	6.0534797	47.0107	24.369478	500.0	9.016713	2.0464926	11.938822	2.1122165	496000	-7.450581e-09	1.494319	-0.0075444207	-0.20063479	1.3564423	0.006316011	0.056625	127.0	679.5233683586121	0.0	0.0	0.0	0.0	0.0
31	36.00327	7.475311	47.37921	17.424423	500.0	9.020662	2.161084	11.949691	2.325681	512000	0.0	2.1231093	-0.006563405	-0.5623493	1.3564423	0.0038759653	0.0441875	127.0	702.8753080368042	0.0	0.0	0.0	0.0	0.0
