Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.39755118	0.33238345	1.4230486	0.052667473	500.0	0.04460002	0.02194153	0.12232509	-0.042706452	16000	-7.450581e-09	0.006233314	-0.0064723976	-0.0026858738	1.3564423	0.007433547	0.06774999	127.0	26.661666870117188	0.0	0.0	0.0	0.0	0.0
1	0.497495	0.36550868	1.590465	0.063687295	500.0	0.0750103	0.027950596	0.19677839	-0.006271206	32000	-1.1175871e-08	0.005011267	-0.0067361225	-0.0014492283	1.3564423	0.008826798	0.091562495	127.0	51.4714674949646	0.0	0.0	0.0	0.0	0.0
2	0.8696187	0.6228111	2.964339	0.15402101	500.0	0.1067335	0.03936516	0.27208924	0.0026502162	48000	-7.450581e-09	0.013645215	-0.00935784	-0.00552032	1.3564423	0.0091822	0.11475	127.0	77.40357661247253	0.0	0.0	0.0	0.0	0.0
3	1.5418794	1.0039742	5.20798	0.3567115	500.0	0.22203611	0.070228785	0.44537085	0.02648117	64000	-3.3527613e-08	0.038087033	-0.0091142915	-0.016065028	1.3564423	0.008839037	0.091125	127.0	98.59190320968628	0.0	0.0	0.0	0.0	0.0
4	3.4099507	1.9661746	9.056026	0.7000909	500.0	0.5132938	0.13715991	1.0463904	0.09077864	80000	3.259629e-09	0.20019129	-0.008040718	-0.08482241	1.3564423	0.007894456	0.081125	127.0	121.81256794929504	0.0	0.0	0.0	0.0	0.0
5	5.0145264	2.3864741	10.218468	0.8171178	500.0	0.83404523	0.18953879	1.3704271	0.13708937	96000	-3.7252903e-09	0.26299006	-0.0110284425	-0.11969553	1.3564423	0.007556964	0.10393751	127.0	144.76129794120789	0.0	0.0	0.0	0.0	0.0
6	11.25987	5.659073	24.629019	4.158683	500.0	1.4469918	0.4205651	2.6037965	0.18269466	112000	-1.8626451e-08	2.1789622	-0.00969354	-1.0863376	1.3564423	0.0070142476	0.09568749	127.0	172.28651332855225	0.0	0.0	0.0	0.0	0.0
7	16.84642	5.7366977	28.927156	5.832753	500.0	3.1529052	0.9405312	5.2713127	0.10332644	128000	-3.7252903e-09	1.858257	-0.010879945	-0.56430894	1.3564423	0.0072570164	0.087375	127.0	197.61989188194275	0.0	0.0	0.0	0.0	0.0
8	19.73309	4.3441467	35.75459	8.231095	500.0	4.3471365	1.1680969	6.4559326	0.40223575	144000	1.4901161e-08	1.6324747	-0.010692283	-0.30434647	1.3564423	0.0064026127	0.086500004	127.0	224.3067662715912	0.0	0.0	0.0	0.0	0.0
9	22.373575	4.3694725	35.504856	16.800184	500.0	4.932349	0.9724157	6.481585	1.134721	160000	-1.4901161e-08	2.2078857	-0.0077881627	-0.33751604	1.3564423	0.0067494744	0.0665	127.0	248.5052535533905	0.0	0.0	0.0	0.0	0.0
