Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25991523	0.13753024	0.66115713	0.09453861	500.0	0.011672218	0.026419489	0.091181695	-0.047647305	16000	-2.2351742e-08	0.002032692	-0.008081053	-0.0012125388	1.3564423	0.007528732	0.075937495	127.0	22.329033851623535	0.0	0.0	0.0	0.0	0.0
1	0.2991094	0.20993207	1.2068758	0.08338304	500.0	0.048229344	0.021957017	0.111433595	-0.019386092	32000	-1.5832484e-08	0.0014562903	-0.009453267	-0.0004509829	1.3564423	0.010657659	0.1251875	127.0	39.73955941200256	0.0	0.0	0.0	0.0	0.0
2	0.86459535	0.3864486	1.6517979	0.29863408	500.0	0.08865039	0.025898522	0.16547206	0.03121825	48000	-1.1175871e-08	0.010426192	-0.009601468	-0.006139742	1.3564423	0.008189065	0.099125	127.0	63.143285036087036	0.0	0.0	0.0	0.0	0.0
3	1.2340465	0.6105751	3.3810737	0.48771712	500.0	0.20014086	0.048668932	0.3342025	0.04767031	64000	3.7252903e-08	0.016269319	-0.008813365	-0.0050382786	1.3564423	0.0072422842	0.0851875	127.0	81.21307158470154	0.0	0.0	0.0	0.0	0.0
4	1.7568908	1.1121562	5.498918	0.632179	500.0	0.28362438	0.046585314	0.40261585	0.05032826	80000	-7.450581e-09	0.056985535	-0.0072257468	-0.024667632	1.3564423	0.0073287357	0.0764375	127.0	101.10242557525635	0.0	0.0	0.0	0.0	0.0
5	2.5790975	1.3143095	7.4321947	1.1386986	500.0	0.45899445	0.08477363	0.75297326	0.21478139	96000	-1.8626451e-09	0.06389521	-0.010813662	-0.017986337	1.3564423	0.007370878	0.11768749	127.0	121.65373945236206	0.0	0.0	0.0	0.0	0.0
6	5.4598227	2.4206421	12.011793	1.5277308	500.0	0.6979518	0.1607933	1.151299	0.292252	112000	-1.1175871e-08	0.44795746	-0.009596158	-0.2590047	1.3564423	0.0069410773	0.085999995	127.0	141.7192165851593	0.0	0.0	0.0	0.0	0.0
7	9.209747	3.5831792	16.77941	3.3881385	500.0	1.4792078	0.42933702	2.7306898	0.2130466	128000	-1.8626451e-08	1.1373532	-0.008896119	-0.6033441	1.3564423	0.0055611962	0.081	127.0	160.7634255886078	0.0	0.0	0.0	0.0	0.0
8	14.0559635	4.622903	22.621002	4.1640887	500.0	2.471725	0.9118321	4.5928445	0.10922859	144000	1.8626451e-08	2.119804	-0.008567079	-1.1452504	1.3564423	0.0061563714	0.0911875	127.0	181.9473226070404	0.0	0.0	0.0	0.0	0.0
9	18.431444	3.7786143	24.94041	9.114461	500.0	3.5590909	1.3144479	5.8319583	-0.06565061	160000	1.1175871e-08	1.9879718	-0.010547517	-0.9211412	1.3564423	0.008091887	0.1075	127.0	200.94706439971924	0.0	0.0	0.0	0.0	0.0
