Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.27763537	0.21509714	0.90135133	0.05254511	500.0	0.04546144	0.023308828	0.10802683	-0.023501908	16000	5.5879354e-09	0.0028127863	-0.007039406	-0.0014340164	1.3564423	0.007812152	0.078062505	127.0	27.088698387145996	0.0	0.0	0.0	0.0	0.0
1	0.34619352	0.25383717	1.3748225	0.06395951	500.0	0.055647284	0.023306513	0.14306456	0.003112886	32000	7.450581e-09	0.0020649636	-0.007548427	-0.00074777275	1.3564423	0.009322027	0.0985625	127.0	49.74881076812744	0.0	0.0	0.0	0.0	0.0
2	0.7686893	0.49005923	2.2822099	0.19390352	500.0	0.09359734	0.035750583	0.2050415	0.0074652955	48000	-2.9802322e-08	0.008558866	-0.011208342	-0.0038176635	1.3564423	0.009965622	0.1213125	127.0	70.10724020004272	0.0	0.0	0.0	0.0	0.0
3	1.3226088	0.74878204	3.2262163	0.14286555	500.0	0.23552078	0.06802019	0.58665156	0.071330965	64000	-5.9604645e-08	0.023162372	-0.00988714	-0.011671422	1.3564423	0.0088223275	0.0905625	127.0	98.1192319393158	0.0	0.0	0.0	0.0	0.0
4	1.6774726	0.7300101	3.912558	0.71696204	500.0	0.39451542	0.10009519	0.78646225	0.09993405	80000	1.8626451e-08	0.031679876	-0.011460157	-0.011921258	1.3564423	0.009708936	0.1065	127.0	129.28677940368652	0.0	0.0	0.0	0.0	0.0
5	2.3369741	0.95416576	4.3124065	0.714334	500.0	0.42676234	0.07355602	0.6534531	0.19552088	96000	-1.4901161e-08	0.042461105	-0.010732969	-0.013417172	1.3564423	0.0061940793	0.111	127.0	154.29683685302734	0.0	0.0	0.0	0.0	0.0
6	4.745283	2.171279	10.496096	1.4877449	500.0	0.63749206	0.14683257	1.0799809	0.118398845	112000	-1.3038516e-08	0.34315407	-0.008796472	-0.17261322	1.3564423	0.0071150623	0.0805625	127.0	176.88986086845398	0.0	0.0	0.0	0.0	0.0
7	8.540057	3.9522498	18.808052	1.8607092	500.0	1.2151026	0.29339367	2.1419141	0.37226224	128000	2.4214387e-08	1.3470542	-0.008093167	-0.67717695	1.3564423	0.005849598	0.0731875	127.0	196.39556241035461	0.0	0.0	0.0	0.0	0.0
8	14.730753	5.2048693	27.233164	4.803779	500.0	2.2438707	0.7595334	4.0996194	0.44463745	144000	-2.6077032e-08	2.9112687	-0.008150183	-1.6186265	1.3564423	0.0056367293	0.065	127.0	218.8656826019287	0.0	0.0	0.0	0.0	0.0
9	19.446838	6.002133	30.971733	7.305994	500.0	3.4916723	1.0823379	5.548063	0.02556901	160000	0.0	2.7651966	-0.009445439	-1.290587	1.3564423	0.006842285	0.083500005	127.0	242.86989331245422	0.0	0.03125	0.0	0.0	0.0
10	23.350101	4.752088	31.379204	11.057636	500.0	4.912184	1.569007	7.337375	0.1459479	176000	-2.0489097e-08	1.9571607	-0.010499699	-0.5139776	1.3564423	0.007962637	0.0915625	127.0	265.8449070453644	0.0	0.0	0.0	0.0	0.0
11	25.1688	4.0914803	34.399426	17.348562	500.0	5.793666	1.5411713	7.923664	0.3692591	192000	-3.7252903e-08	1.4899702	-0.008973183	-0.113874495	1.3564423	0.005307131	0.065249994	127.0	286.29613637924194	0.0	0.0	0.0	0.0	0.0
12	27.428053	5.9370637	37.60268	14.620933	500.0	6.191553	1.4431162	7.839643	1.3532901	208000	-2.6077032e-08	2.5094552	-0.008391332	-0.23825201	1.3564423	0.0065686814	0.0648125	127.0	308.4854655265808	0.0	0.0	0.0	0.0	0.0
13	30.65916	5.2112684	41.424404	21.79543	500.0	6.525117	1.2063427	7.8162847	2.0577896	224000	-1.1175871e-08	2.323174	-0.009097394	-0.34082213	1.3564423	0.008183373	0.0661875	127.0	331.10755228996277	0.0	0.09375	0.0	0.0	0.0
14	28.608852	5.6296105	39.876144	16.342468	500.0	7.0674148	1.2950336	8.304153	2.1662924	240000	-7.450581e-09	2.1262884	-0.009741047	-0.24950492	1.3564423	0.0081181545	0.0651875	127.0	353.0240812301636	0.0	0.0	0.0	0.0	0.0
15	33.231846	5.2071357	45.469646	21.732466	500.0	6.7700067	1.0595766	7.6712728	2.3744128	256000	1.4901161e-08	2.380115	-0.008642738	-0.49246097	1.3564423	0.0056287525	0.066874996	127.0	375.8423113822937	0.0	0.0625	0.0	0.0	0.0
16	34.826958	4.115184	44.584393	22.295446	500.0	7.474671	0.9681346	8.199266	2.9163988	272000	3.1664968e-08	1.6490533	-0.008882916	-0.16313821	1.3564423	0.0062910495	0.061249997	127.0	399.00448846817017	0.0	0.0	0.0	0.0	0.0
17	35.040916	4.8975654	43.953117	20.95438	500.0	7.81462	1.1019726	8.625641	2.6858997	288000	-1.3038516e-08	1.6314267	-0.008545376	-0.025898902	1.3564423	0.005298812	0.051562503	127.0	420.0819582939148	0.0	0.03125	0.0	0.0	0.0
