Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.27333927	0.20880586	0.83031607	0.048645746	500.0	0.044411946	0.023514068	0.10725631	-0.022680711	16000	-6.519258e-09	0.0027153976	-0.007059385	-0.0013659424	1.3564423	0.00791478	0.0814375	127.0	26.870847463607788	0.0	0.0	0.0	0.0	0.0
1	0.3367071	0.23792365	1.2486721	0.061621618	500.0	0.054168705	0.021998262	0.13217868	0.0035760738	32000	3.7252903e-09	0.0018719999	-0.007465361	-0.0006851049	1.3564423	0.009521306	0.102437496	127.0	48.3791561126709	0.0	0.0	0.0	0.0	0.0
2	0.7562836	0.48278928	2.4038985	0.19793104	500.0	0.09197516	0.034665704	0.2013863	0.006947454	48000	2.4214387e-08	0.008300386	-0.011127297	-0.0037534614	1.3564423	0.00967356	0.117375	127.0	73.22744536399841	0.0	0.0	0.0	0.0	0.0
3	1.3128209	0.7413219	3.1624098	0.14778277	500.0	0.22431116	0.060740665	0.51032025	0.081429616	64000	-3.7252903e-09	0.02098428	-0.010273977	-0.010392178	1.3564423	0.008797713	0.09375	127.0	94.95167469978333	0.0	0.0	0.0	0.0	0.0
4	1.7723229	0.76031464	3.9451845	0.7398741	500.0	0.41205174	0.10730248	0.820667	0.08375768	80000	7.450581e-09	0.034697488	-0.0109837	-0.013243128	1.3564423	0.008921147	0.098	127.0	119.20246958732605	0.0	0.0	0.0	0.0	0.0
5	2.3252113	0.92388934	4.361814	0.68721884	500.0	0.43887684	0.07329785	0.6489618	0.16862485	96000	2.0489097e-08	0.03882515	-0.011368366	-0.012067922	1.3564423	0.0060738176	0.111187495	127.0	141.2754828929901	0.0	0.0	0.0	0.0	0.0
6	5.1986055	2.4043434	11.066174	1.4396158	500.0	0.6434998	0.14719161	1.1022106	0.17816274	112000	3.7252903e-09	0.46018785	-0.008883484	-0.2403751	1.3564423	0.0067230905	0.0804375	127.0	164.14142394065857	0.0	0.0	0.0	0.0	0.0
7	10.035791	4.628954	20.736652	2.2162743	500.0	1.3453069	0.3321323	2.2593582	0.3468432	128000	-3.1664968e-08	2.0092387	-0.0074092597	-1.0706985	1.3564423	0.005401197	0.0631875	127.0	188.00818967819214	0.0	0.0	0.0	0.0	0.0
8	15.438132	5.071697	26.436323	5.2738314	500.0	2.530466	0.8666471	4.376245	0.3450449	144000	9.126961e-08	2.8262987	-0.00783129	-1.5007524	1.3564423	0.005224204	0.065	127.0	212.23515963554382	0.0	0.0	0.0	0.0	0.0
9	20.579178	5.981665	32.25771	8.944802	500.0	3.7527373	1.197767	6.0053325	0.10959061	160000	5.5879354e-08	2.9016495	-0.00893691	-1.297054	1.3564423	0.006198448	0.0779375	127.0	237.2554578781128	0.0	0.0	0.0	0.0	0.0
10	24.229616	4.435483	31.273146	13.355618	500.0	5.137756	1.5928532	7.6517706	0.21254468	176000	3.7252903e-09	1.8585784	-0.009731976	-0.4673774	1.3564423	0.00778654	0.09325	127.0	260.7809748649597	0.0	0.0	0.0	0.0	0.0
11	25.92406	4.5791335	34.211094	16.251234	500.0	6.021326	1.5837562	8.144659	0.63080686	192000	-2.7939677e-09	1.6702976	-0.008547196	-0.11970766	1.3564423	0.0056208093	0.0585	127.0	283.7392418384552	0.0	0.0	0.0	0.0	0.0
12	28.952726	5.9116416	40.468967	17.02663	500.0	6.359267	1.460763	7.9785056	1.485079	208000	-2.6077032e-08	2.3409045	-0.009267646	-0.21271734	1.3564423	0.00629655	0.0675	127.0	305.321738243103	0.0	0.0625	0.0	0.0	0.0
13	30.113249	5.4574656	40.79609	20.763763	500.0	6.8081603	1.3205972	8.25538	1.8131046	224000	-1.4901161e-08	1.9143746	-0.009285253	-0.11808756	1.3564423	0.0076822806	0.059375003	127.0	326.0757579803467	0.0	0.09375	0.0	0.0	0.0
14	30.670141	5.2860484	39.124935	18.47605	500.0	7.0116005	1.2544911	8.345838	1.935734	240000	-1.4901161e-08	1.7535216	-0.009811752	-0.062385254	1.3564423	0.0068607153	0.0700625	127.0	351.1908338069916	0.0	0.03125	0.0	0.0	0.0
15	34.337517	5.145696	41.85641	21.40132	500.0	7.190039	1.1949958	8.237174	2.1047103	256000	2.6077032e-08	2.139656	-0.008691912	-0.35069957	1.3564423	0.004706138	0.065125	127.0	372.28739857673645	0.0	0.0625	0.0	0.0	0.0
16	35.12126	4.401143	42.863857	24.031252	500.0	7.763996	1.0630877	8.606586	2.615605	272000	0.0	1.4441702	-0.007867663	-0.0738851	1.3564423	0.004702254	0.053999998	127.0	395.94601464271545	0.0	0.0	0.0	0.0	0.0
17	34.77067	4.588223	45.188156	23.202751	500.0	7.927211	1.1231629	8.7974	2.6658168	288000	-1.8626451e-08	1.5938643	-0.00785516	-0.058957383	1.3564423	0.0051898947	0.052562498	127.0	422.3154616355896	0.0	0.0	0.0	0.0	0.0
18	35.830353	3.600367	42.85058	28.62577	500.0	7.863634	1.0034415	8.549507	2.990287	304000	-9.313226e-09	1.2274966	-0.0074168965	-0.04241954	1.3564423	0.007874605	0.059437502	127.0	446.5521535873413	0.0	0.0625	0.0	0.0	0.0
19	36.22753	4.468444	47.370228	27.704885	500.0	8.0777235	1.045543	8.749627	2.6585147	320000	1.8626451e-09	1.4881263	-0.007338896	-0.02216335	1.3564423	0.004546266	0.046875	127.0	470.4977216720581	0.0	0.03125	0.0	0.0	0.0
20	39.10984	4.7471013	50.940563	29.382328	500.0	8.13785	1.0461504	8.819393	2.4772232	336000	7.450581e-09	1.7633483	-0.008157574	-0.2779029	1.3564423	0.005075692	0.056375	127.0	496.98393201828003	0.0	0.125	0.0	0.0	0.0
21	40.968037	4.8477125	47.74078	29.64915	500.0	8.645069	1.1454545	9.333706	2.8153794	352000	-1.4901161e-08	1.9126892	-0.008417659	-0.3691543	1.3564423	0.0051253065	0.052624997	127.0	521.1476006507874	0.0	0.09375	0.0	0.0	0.0
