Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.223879	0.15725109	0.720453	0.04967746	500.0	0.03794539	0.025931025	0.109641835	-0.01939839	16000	-3.259629e-09	0.001582749	-0.0076820045	-0.0007127955	1.3564423	0.007437229	0.0761875	127.0	25.348958253860474	0.0	0.0	0.0	0.0	0.0
1	0.29897946	0.22517239	1.2427855	0.062290996	500.0	0.048633624	0.018319273	0.12335028	0.0075983144	32000	-5.5879354e-09	0.0020262105	-0.0072272155	-0.0006845825	1.3564423	0.0091349315	0.0941875	127.0	52.916096448898315	0.0	0.0	0.0	0.0	0.0
2	0.6093794	0.381228	1.9163138	0.13613868	500.0	0.07814723	0.030282142	0.16617022	0.0014945567	48000	4.004687e-08	0.005890953	-0.010141173	-0.0025666011	1.3564423	0.009802076	0.1225625	127.0	75.52625846862793	0.0	0.0	0.0	0.0	0.0
3	1.1026162	0.5486116	2.6256633	0.3439665	500.0	0.17844845	0.04916984	0.35759014	0.031025428	64000	-7.450581e-09	0.012560181	-0.0108183455	-0.004783093	1.3564423	0.0090597905	0.1061875	127.0	100.22986626625061	0.0	0.0	0.0	0.0	0.0
4	1.6598632	0.66236544	3.0417182	0.77600545	500.0	0.33214453	0.065318316	0.5470679	0.10397287	80000	1.1175871e-08	0.02777298	-0.00961531	-0.011109345	1.3564423	0.008018976	0.0853125	127.0	126.34858965873718	0.0	0.0	0.0	0.0	0.0
5	1.9138145	0.9036986	3.9935577	0.58262724	500.0	0.3878213	0.056051183	0.57910496	0.19084637	96000	5.5879354e-09	0.032347713	-0.010280408	-0.01607359	1.3564423	0.0063585537	0.0985625	127.0	150.51737451553345	0.0	0.0	0.0	0.0	0.0
6	4.51439	2.3534691	9.774207	1.0959067	500.0	0.536988	0.14067304	0.9228407	0.13852854	112000	-4.284084e-08	0.3560821	-0.009493453	-0.19477661	1.3564423	0.0071107387	0.095	127.0	175.94147562980652	0.0	0.0	0.0	0.0	0.0
7	8.132728	4.0288577	19.315	1.8168447	500.0	1.3141944	0.3766697	2.225483	0.07726857	128000	-1.8626451e-08	1.0567682	-0.009271946	-0.54093623	1.3564423	0.006342085	0.087	127.0	203.48845076560974	0.0	0.0	0.0	0.0	0.0
8	9.905832	4.57576	19.726728	2.2945678	500.0	2.1814785	0.7723857	4.1930804	0.30630302	144000	-1.4901161e-08	1.0280249	-0.008830979	-0.5444783	1.3564423	0.0063823396	0.083375	127.0	229.15617680549622	0.0	0.0	0.0	0.0	0.0
9	18.291988	6.478904	29.653522	8.041483	500.0	3.0297222	1.1497393	5.3605733	-0.287673	160000	-3.7252903e-09	3.1992464	-0.011235748	-1.7618096	1.3564423	0.0063516395	0.09837501	127.0	254.05145144462585	0.0	0.0	0.0	0.0	0.0
10	23.524754	4.563907	31.754494	15.056521	500.0	4.770329	1.5938175	7.7113705	-0.0021263007	176000	-1.8626451e-08	2.0802348	-0.011977259	-0.8134999	1.3564423	0.008282777	0.109125	127.0	278.50919914245605	0.0	0.0	0.0	0.0	0.0
11	26.054216	5.3989673	37.972057	16.18186	500.0	5.9075704	1.630417	8.117323	0.06452232	192000	7.450581e-09	1.7637346	-0.0095668705	-0.35368782	1.3564423	0.0054364763	0.0741875	127.0	304.77312898635864	0.0	0.0	0.0	0.0	0.0
12	27.13984	5.532813	36.595074	16.416845	500.0	6.4158616	1.7662402	9.003633	0.6824528	208000	1.8626451e-08	1.8150064	-0.009639714	-0.17734016	1.3564423	0.0061830366	0.0675625	127.0	332.66945719718933	0.0	0.0	0.0	0.0	0.0
13	30.654373	4.888634	39.927036	21.272045	500.0	6.69822	1.6829233	9.119391	1.1789876	224000	1.4901161e-08	2.1163893	-0.01097608	-0.5327698	1.3564423	0.008866807	0.09975	127.0	359.39634919166565	0.0	0.0	0.0	0.0	0.0
14	30.127571	7.4133015	42.262043	15.084994	500.0	7.478556	1.7996728	9.41703	0.92033166	240000	7.450581e-09	3.308167	-0.0095478855	-0.38215137	1.3564423	0.006549805	0.06275	127.0	385.7978479862213	0.0	0.0	0.0	0.0	0.0
15	33.349632	5.9242625	44.74605	21.008116	500.0	7.3336425	1.4426047	8.807774	2.0600064	256000	-7.450581e-09	2.6749024	-0.008442473	-0.33733487	1.3564423	0.0069569554	0.0656875	127.0	409.1971881389618	0.0	0.0	0.0	0.0	0.0
16	33.883923	5.5238485	44.339638	20.459072	500.0	7.7472324	1.0884354	8.668569	2.9062195	272000	-1.1175871e-08	2.3395727	-0.0073657613	-0.068573326	1.3564423	0.0058279107	0.055437498	127.0	434.2774863243103	0.0	0.0	0.0	0.0	0.0
17	32.622677	5.132068	45.533607	22.984304	500.0	7.7821965	1.0868245	8.54294	2.7119393	288000	0.0	2.0571074	-0.0072603095	-0.18763727	1.3564423	0.004965055	0.048	127.0	462.8940145969391	0.0	0.0	0.0	0.0	0.0
18	35.284264	4.6142387	43.690804	25.968878	500.0	7.4369426	0.9284785	8.062638	2.9050095	304000	7.450581e-09	1.9110235	-0.0076007633	-0.23245649	1.3564423	0.006707751	0.059625	127.0	494.29877853393555	0.0	0.0	0.0	0.0	0.0
19	35.118214	5.916835	49.758373	23.537083	500.0	7.924121	1.07274	8.552317	2.4813743	320000	-1.8626451e-08	2.1098216	-0.0071698995	-0.028853865	1.3564423	0.004169487	0.055	127.0	526.691187620163	0.0	0.0625	0.0	0.0	0.0
20	38.06413	4.814575	51.825726	27.33188	500.0	7.9285283	0.99995047	8.496221	2.8380213	336000	1.4901161e-08	1.8341955	-0.007837618	-0.2720992	1.3564423	0.0042496454	0.056375	127.0	556.8576657772064	0.0	0.03125	0.0	0.0	0.0
21	40.59408	5.0311084	52.69037	27.565514	500.0	8.423987	1.0932415	8.991887	2.6964462	352000	2.9802322e-08	2.317933	-0.008130876	-0.56712216	1.3564423	0.005593002	0.058125	127.0	586.8910863399506	0.0	0.0	0.0	0.0	0.0
22	39.483658	4.944445	47.763844	25.912098	500.0	9.082342	1.359578	9.84369	2.1207907	368000	1.8626451e-08	1.7555883	-0.007828313	-0.05716184	1.3564423	0.0031495094	0.05475	127.0	614.1036415100098	0.0	0.03125	0.0	0.0	0.0
23	40.93525	4.217694	48.083866	27.665104	500.0	8.927062	1.2103355	9.607163	2.857081	384000	3.7252903e-09	1.3223188	-0.008334786	-0.07878187	1.3564423	0.005723892	0.063187495	127.0	640.0514299869537	0.0	0.0	0.0	0.0	0.0
24	42.186512	5.4953246	50.813877	28.639673	500.0	9.1934805	1.2635725	9.903298	2.8853981	400000	-7.450581e-09	1.7235768	-0.008008266	-0.11780953	1.3564423	0.005989387	0.05325	127.0	665.5717837810516	0.0	0.03125	0.0	0.0	0.0
25	43.11275	5.2682605	51.389977	28.389517	500.0	9.482335	1.3494614	10.2718115	2.9887855	416000	-2.9802322e-08	1.6179423	-0.0082434565	-0.05546929	1.3564423	0.0046184286	0.0511875	127.0	691.9594609737396	0.0	0.0625	0.0	0.0	0.0
26	44.40087	3.926397	50.008083	31.806316	500.0	9.6797085	1.3938652	10.502391	3.4014916	432000	1.4901161e-08	1.1275424	-0.0077678934	-0.13039969	1.3564423	0.0056452053	0.0538125	127.0	721.5499866008759	0.0	0.0	0.0	0.0	0.0
27	46.25358	2.636683	50.276928	39.41969	500.0	9.981299	1.5530566	10.891156	3.2965794	448000	2.4214387e-08	0.73946697	-0.008358415	-0.18433239	1.3564423	0.00426961	0.063625	127.0	749.5645430088043	0.0	0.0625	0.0	0.0	0.0
28	45.301163	4.032772	50.69019	37.636757	500.0	10.397649	1.5609452	11.278659	3.5303774	464000	0.0	0.90349907	-0.008672232	-0.028198147	1.3564423	0.006619554	0.070250005	127.0	775.2496285438538	0.0	0.0	0.0	0.0	0.0
29	46.85722	2.5388267	50.90177	41.396797	500.0	10.287092	1.5390921	11.213046	3.576708	480000	-3.7252903e-09	0.4996884	-0.0074627474	-0.091627434	1.3564423	0.003689452	0.0625	127.0	818.0163259506226	0.0	0.0	0.0	0.0	0.0
