Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20229907	0.17082083	0.7249421	0.029653152	500.0	0.03484174	0.026557012	0.108146906	-0.025570318	16000	-5.5879354e-09	0.001563286	-0.007370893	-0.00069348526	1.3564423	0.007183961	0.07781251	127.0	25.87392258644104	0.0	0.0	0.0	0.0	0.0
1	0.27307978	0.26943853	1.4892249	0.036434665	500.0	0.045235474	0.01859129	0.12249057	-0.0019972995	32000	-2.2351742e-08	0.0024190454	-0.006747173	-0.00072855275	1.3564423	0.009177032	0.095375	127.0	48.34711813926697	0.0	0.0	0.0	0.0	0.0
2	0.52342623	0.4038799	1.8898487	0.09627966	500.0	0.0727339	0.031927615	0.16520822	-0.0061709136	48000	1.3969839e-08	0.0053978735	-0.010021754	-0.0020993652	1.3564423	0.010415512	0.13418749	127.0	71.72252607345581	0.0	0.0	0.0	0.0	0.0
3	0.9770118	0.5869273	2.530614	0.1851307	500.0	0.16781193	0.05515724	0.39280683	0.022150144	64000	-4.8428774e-08	0.012486152	-0.010229198	-0.0053648753	1.3564423	0.008523386	0.101125	127.0	94.68056058883667	0.0	0.0	0.0	0.0	0.0
4	1.4090335	0.77753466	3.3494759	0.4471218	500.0	0.31239212	0.08223864	0.6404296	0.058843777	80000	1.4901161e-08	0.027873477	-0.009606611	-0.011724614	1.3564423	0.008906865	0.0908125	127.0	119.89238905906677	0.0	0.0	0.0	0.0	0.0
5	1.526365	0.8550404	3.6947412	0.33791238	500.0	0.3222873	0.0762644	0.5503865	0.09753096	96000	-9.313226e-09	0.02073251	-0.010317495	-0.009701661	1.3564423	0.006271611	0.10175	127.0	143.90015578269958	0.0	0.0	0.0	0.0	0.0
6	3.5482788	2.1386714	9.405707	0.6179678	500.0	0.43828034	0.16153063	0.89483684	-0.018613892	112000	-3.7252903e-08	0.21635449	-0.008996375	-0.11606644	1.3564423	0.0074975817	0.0913125	127.0	166.90404343605042	0.0	0.0	0.0	0.0	0.0
7	6.4948206	3.6995754	14.763551	1.2604258	500.0	1.0484892	0.35993862	1.9285729	-0.0807027	128000	-1.9557774e-08	0.7644236	-0.008875877	-0.39553556	1.3564423	0.0064066006	0.0935	127.0	190.4691309928894	0.0	0.0	0.0	0.0	0.0
8	7.9278007	4.028703	15.609927	1.7190653	500.0	1.7992344	0.73494816	3.6672535	0.08267302	144000	1.1175871e-08	0.6904909	-0.009603661	-0.3203195	1.3564423	0.0074799154	0.096062504	127.0	213.81681299209595	0.0	0.0	0.0	0.0	0.0
9	14.283717	5.105679	25.033222	6.2599535	500.0	2.538593	0.99037087	4.9162407	-0.58349943	160000	-1.1175871e-08	1.5659242	-0.011465222	-0.77723783	1.3564423	0.006617707	0.10625	127.0	238.8144495487213	0.0	0.0	0.0	0.0	0.0
10	22.81581	12.259806	73.28785	9.180528	500.0	3.8593996	1.2721786	6.3219604	-0.017101157	176000	-2.0489097e-08	9.876239	-0.0070085116	-2.665196	1.3564423	0.0059562894	0.0680625	127.0	261.6904766559601	0.0	0.1875	0.0	0.0	0.0
11	23.2709	11.574982	76.29005	11.5553255	500.0	5.377578	1.6635802	8.754709	-0.6305544	192000	-1.1175871e-08	6.3804245	-0.0076287063	-0.6495913	1.3564423	0.0055839643	0.0656875	127.0	285.3940727710724	0.0	0.09375	0.0	0.0	0.0
12	23.166386	6.438331	38.246197	10.7671	500.0	5.8697968	1.8119124	9.092308	-0.23194137	208000	-1.8626451e-08	1.7928408	-0.0096768085	-0.21281621	1.3564423	0.0078041744	0.074875	127.0	309.6447081565857	0.0	0.0	0.0	0.0	0.0
13	22.58577	7.1496468	36.475956	8.148452	500.0	6.194707	2.009426	9.551979	-0.16811594	224000	1.4901161e-08	2.322514	-0.008840166	-0.5446793	1.3564423	0.007271017	0.0685	127.0	333.3391749858856	0.0	0.03125	0.0	0.0	0.0
14	25.42442	7.032125	36.97838	11.901819	500.0	5.958251	1.9797525	9.435302	-0.55647796	240000	-1.8626451e-08	2.4425278	-0.009701258	-0.370481	1.3564423	0.007471936	0.0670625	127.0	357.3971998691559	0.0	0.0	0.0	0.0	0.0
15	26.726944	5.557687	36.875908	15.255193	500.0	6.540624	1.6898705	9.3297415	0.5111036	256000	1.4901161e-08	2.187623	-0.0085840495	-0.42494154	1.3564423	0.005441718	0.059875	127.0	381.1501908302307	0.0	0.0	0.0	0.0	0.0
16	28.053185	11.560633	82.89491	18.902725	500.0	6.5938163	1.3495961	8.515911	1.0672615	272000	7.450581e-09	6.1244946	-0.006595755	-0.3190941	1.3564423	0.006984792	0.067125	127.0	404.35122537612915	0.0	0.03125	0.0	0.0	0.0
17	28.88773	8.441317	55.959415	16.217014	500.0	6.5320516	1.1932483	8.181772	1.1728672	288000	1.3038516e-08	4.057327	-0.0070434525	-0.30605733	1.3564423	0.0064816116	0.063125	127.0	427.5590023994446	0.0	0.0625	0.0	0.0	0.0
18	29.662071	11.489231	88.40528	21.481289	500.0	6.616671	1.1760277	8.311575	1.0919375	304000	-3.7252903e-09	6.175189	-0.006782865	-0.1998714	1.3564423	0.007888638	0.071	127.0	451.5740203857422	0.0	0.125	0.0	0.0	0.0
19	27.027817	12.052962	84.648575	12.9082985	500.0	6.9528947	1.192839	8.298014	1.3670341	320000	2.9802322e-08	6.786277	-0.0067993104	-0.8176938	1.3564423	0.0057822904	0.0661875	127.0	475.84404468536377	0.0	0.09375	0.0	0.0	0.0
20	27.587698	7.480979	42.487682	16.460098	500.0	6.422334	1.0115294	7.8450336	2.0937724	336000	0.0	2.9182303	-0.007744506	-0.34765297	1.3564423	0.0059240106	0.0580625	127.0	503.2490186691284	0.0	0.03125	0.0	0.0	0.0
21	32.180443	13.500446	77.307465	18.615128	500.0	6.276974	0.87888294	7.5185146	2.6264155	352000	0.0	8.646097	-0.007662384	-1.4237798	1.3564423	0.0076654586	0.06475	127.0	532.1644291877747	0.0	0.09375	0.0	0.0	0.0
22	32.079926	12.128913	84.73953	15.469328	500.0	7.2961855	1.2306601	9.098791	1.7911954	368000	7.450581e-09	5.664903	-0.007763815	-0.74365366	1.3564423	0.005460687	0.0606875	127.0	557.905428647995	0.0	0.0625	0.0	0.0	0.0
23	32.539955	7.799462	41.48698	16.927677	500.0	7.9584765	1.6634226	10.690714	1.0591235	384000	1.8626451e-08	3.4824681	-0.009456801	-0.959554	1.3564423	0.0059363795	0.057875004	127.0	587.3651995658875	0.0	0.15625	0.0	0.0	0.0
24	33.25332	6.862309	44.52944	18.610043	500.0	7.69662	1.5288227	10.274287	1.9672191	400000	0.0	2.1644433	-0.009054894	-0.40267777	1.3564423	0.0067493552	0.0651875	127.0	613.7238357067108	0.0	0.09375	0.0	0.0	0.0
25	33.99349	6.2880926	45.109715	20.373224	500.0	7.990909	1.6710145	10.40256	1.5937573	416000	0.0	2.474853	-0.009809958	-0.32343686	1.3564423	0.0060625975	0.0664375	127.0	640.3751871585846	0.0	0.0625	0.0	0.0	0.0
26	35.94095	11.503732	73.421844	22.02255	500.0	7.7725	1.7467428	10.555868	1.025214	432000	-2.7939677e-09	7.6908464	-0.008002163	-0.4911118	1.3564423	0.00589855	0.0569375	127.0	666.8609867095947	0.0	0.3125	0.0	0.0	0.0
27	38.067905	8.084464	52.219234	18.004364	500.0	8.38608	1.7031184	10.416396	2.4066503	448000	-3.3527613e-08	2.7000196	-0.00961326	-0.7048221	1.3564423	0.007238131	0.058062498	127.0	692.9383208751678	0.0	0.0625	0.0	0.0	0.0
28	40.50202	12.429067	94.55389	25.928831	500.0	8.696673	1.8978585	11.516201	1.9655867	464000	1.8626451e-09	9.166019	-0.007164618	-0.88392186	1.3564423	0.005698668	0.0511875	127.0	716.7997741699219	0.0	0.375	0.0	0.0	0.0
29	35.675377	8.364909	54.570755	17.259825	500.0	9.179549	1.7723502	11.852121	1.7406137	480000	-7.450581e-09	4.0302663	-0.008632912	-1.3736625	1.3564423	0.005665067	0.056625	127.0	741.7644910812378	0.0	0.28125	0.0	0.0	0.0
