Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.14706303	0.10186071	0.50924015	0.021977872	500.0	0.069116026	0.013422571	0.122991085	0.02700349	16000	1.8626451e-08	0.0020250028	-0.0061860112	-0.0015653239	1.3564423	0.006732501	0.061750002	127.0	23.759716033935547	0.0	0.0	0.0	0.0	0.0
1	0.20167464	0.13608696	0.6319478	0.03383585	500.0	0.04092095	0.0122751575	0.08420603	0.0072976574	32000	4.656613e-09	0.00084296067	-0.0076813265	-0.00033483218	1.3564423	0.008789271	0.081562504	127.0	43.829472064971924	0.0	0.0	0.0	0.0	0.0
2	0.35399127	0.18553859	0.8218935	0.050158776	500.0	0.053637397	0.01697203	0.10039149	0.00071231276	48000	-7.450581e-09	0.0011850244	-0.010787502	-0.00056790304	1.3564423	0.009162774	0.10975	127.0	63.88540077209473	0.0	0.0	0.0	0.0	0.0
3	0.52051485	0.20263475	0.9249405	0.14683397	500.0	0.096813574	0.02400183	0.20641531	0.023664866	64000	-1.1175871e-08	0.0018892242	-0.009960987	-0.00073269126	1.3564423	0.007864123	0.087	127.0	86.12912607192993	0.0	0.0	0.0	0.0	0.0
4	0.745438	0.25059646	1.3609009	0.43272427	500.0	0.14644764	0.026006818	0.21898426	0.048799645	80000	7.450581e-09	0.0045155054	-0.009692555	-0.0016470894	1.3564423	0.007514927	0.07925	127.0	107.95746684074402	0.0	0.0	0.0	0.0	0.0
5	1.1166763	0.4238675	2.5129235	0.44422066	500.0	0.17193441	0.025939554	0.24634406	0.090847604	96000	0.0	0.012441804	-0.009957964	-0.0054098857	1.3564423	0.0064847413	0.103	127.0	128.22745776176453	0.0	0.0	0.0	0.0	0.0
6	2.0219908	0.78519773	3.820969	0.721651	500.0	0.27045262	0.05454067	0.49162224	0.10128535	112000	-1.3038516e-08	0.057949908	-0.009421046	-0.03201739	1.3564423	0.006518085	0.08250001	127.0	149.70482683181763	0.0	0.0	0.0	0.0	0.0
7	3.2968984	1.6969396	8.914492	0.9239878	500.0	0.47241023	0.13823971	0.94733936	0.1451669	128000	-3.7252903e-09	0.22944167	-0.0069142934	-0.13533637	1.3564423	0.005189085	0.0595	127.0	172.93940806388855	0.0	0.0	0.0	0.0	0.0
8	4.1972785	2.165777	9.767212	0.9942341	500.0	0.8860454	0.40863124	1.9944367	0.09190425	144000	7.450581e-09	0.22033456	-0.00816259	-0.101872504	1.3564423	0.0065212576	0.098125	127.0	195.4908366203308	0.0	0.0	0.0	0.0	0.0
9	7.646938	3.5898564	16.20634	2.488974	500.0	1.3801091	0.61303943	2.8170376	-0.23297842	160000	-3.7252903e-09	0.8289304	-0.00963281	-0.3395147	1.3564423	0.008000812	0.1090625	127.0	217.36952137947083	0.0	0.0	0.0	0.0	0.0
10	11.943422	4.5484962	21.92489	5.1102133	500.0	2.251639	0.96860117	4.163023	-0.22704075	176000	2.3283064e-08	1.6334859	-0.008103997	-0.72161263	1.3564423	0.0065856185	0.084	127.0	237.03593707084656	0.0	0.0	0.0	0.0	0.0
11	15.066653	5.1384945	27.43621	4.4660625	500.0	3.28389	1.3892204	5.666264	-0.9724385	192000	1.3038516e-08	1.7142217	-0.009142386	-0.44869614	1.3564423	0.006597185	0.075312495	127.0	261.14130115509033	0.0	0.0	0.0	0.0	0.0
12	15.416429	5.5037565	25.76039	3.868385	500.0	4.060471	1.7217344	7.121313	-0.72207224	208000	-7.450581e-09	1.7348981	-0.006478589	-0.6442303	1.3564423	0.006248981	0.049000002	127.0	284.96098923683167	0.0	0.0	0.0	0.0	0.0
