Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.21442793	0.1341991	0.63611853	0.06058769	500.0	0.008970861	0.02617511	0.08835815	-0.046728708	16000	-3.5390258e-08	0.0016208632	-0.007937659	-0.0009265718	1.3564423	0.0074051274	0.0765	127.0	27.458741903305054	0.0	0.0	0.0	0.0	0.0
1	0.22948958	0.18298149	1.0048225	0.040188152	500.0	0.039957453	0.018576134	0.089440845	-0.018435743	32000	3.7252903e-09	0.0010979488	-0.00828639	-0.0003266942	1.3564423	0.010267625	0.11975001	127.0	50.23933553695679	0.0	0.0	0.0	0.0	0.0
2	0.7231231	0.37617964	1.5018178	0.20026724	500.0	0.069646776	0.02182377	0.13280489	0.012076478	48000	6.7055225e-08	0.008880788	-0.00836383	-0.005057802	1.3564423	0.007898515	0.0919375	127.0	70.36550664901733	0.0	0.0	0.0	0.0	0.0
3	1.02792	0.67296445	3.8167953	0.26103324	500.0	0.16062368	0.042286277	0.2768106	0.039947495	64000	0.0	0.015795667	-0.008298123	-0.0053699804	1.3564423	0.006783705	0.086624995	127.0	94.60321593284607	0.0	0.0	0.0	0.0	0.0
4	1.5364208	1.2486451	6.2422166	0.41013414	500.0	0.263594	0.05645105	0.4625032	0.023275666	80000	0.0	0.06262095	-0.006767117	-0.034395345	1.3564423	0.0072059603	0.076562494	127.0	120.21690535545349	0.0	0.0	0.0	0.0	0.0
5	2.0053685	1.4305854	7.2381797	0.53485173	500.0	0.4211317	0.12989469	0.8362403	0.095365524	96000	1.2572855e-08	0.049977485	-0.010157134	-0.017623004	1.3564423	0.0076350137	0.1135	127.0	140.78189992904663	0.0	0.0	0.0	0.0	0.0
6	4.0226765	2.3887558	11.698421	0.543265	500.0	0.55805707	0.23636954	1.146144	-0.11401972	112000	5.5879354e-09	0.2563126	-0.01076171	-0.13000196	1.3564423	0.008447856	0.1113125	127.0	163.00343704223633	0.0	0.0	0.0	0.0	0.0
7	6.8909173	3.1619291	14.85474	2.0966713	500.0	1.2788503	0.49259922	2.6922562	-0.16379844	128000	3.7252903e-09	0.6389646	-0.00972683	-0.30160737	1.3564423	0.0068743955	0.09525	127.0	185.98776960372925	0.0	0.0	0.0	0.0	0.0
8	10.962281	4.6165338	23.434752	2.7734075	500.0	1.9330192	0.7793249	3.5250227	-0.22237734	144000	1.1175871e-08	1.4241484	-0.008730803	-0.84473395	1.3564423	0.006773133	0.09025	127.0	208.88495349884033	0.0	0.0	0.0	0.0	0.0
9	16.847673	5.109459	28.790335	8.07659	500.0	3.0552564	1.1372745	5.4677753	-0.29473886	160000	0.0	2.0662346	-0.010218396	-1.0208008	1.3564423	0.0073689716	0.100625	127.0	237.2081217765808	0.0	0.0	0.0	0.0	0.0
10	19.622545	5.688146	34.510456	9.388294	500.0	4.3022137	1.6230074	8.053564	-0.4142705	176000	5.5879354e-09	1.7398789	-0.010029128	-0.3756276	1.3564423	0.0071720737	0.0869375	127.0	260.10489416122437	0.0	0.0	0.0	0.0	0.0
11	22.293228	6.056525	36.40709	13.047237	500.0	5.190661	1.493394	7.61964	0.113660365	192000	7.450581e-09	1.9426084	-0.008489335	-0.23100434	1.3564423	0.0056486437	0.068625	127.0	283.1263732910156	0.0	0.0	0.0	0.0	0.0
12	26.624285	7.34877	46.406315	15.784679	500.0	5.296781	1.4068033	7.637355	0.41280523	208000	0.0	2.8971057	-0.006605086	-0.9381311	1.3564423	0.0061143385	0.053000003	127.0	305.4881281852722	0.0	0.0	0.0	0.0	0.0
13	26.012444	6.157093	39.978374	15.629473	500.0	6.193119	1.57396	8.874636	0.5175003	224000	-9.313226e-09	2.0802484	-0.009306064	-0.24685249	1.3564423	0.007095039	0.0691875	127.0	331.1329185962677	0.0	0.0	0.0	0.0	0.0
14	26.499685	7.782069	40.14366	12.754435	500.0	6.148551	1.5039825	8.412071	0.70905894	240000	-7.450581e-09	3.0092702	-0.0073851165	-0.35318428	1.3564423	0.006080459	0.05275	127.0	355.59100914001465	0.0	0.0	0.0	0.0	0.0
15	31.034882	6.122419	39.00654	19.645985	500.0	6.243533	1.3225807	8.673349	1.4127474	256000	3.7252903e-09	2.803675	-0.009555107	-0.7240861	1.3564423	0.006879927	0.071812496	127.0	378.7990312576294	0.0	0.0	0.0	0.0	0.0
16	32.374725	6.3972716	43.82847	17.43832	500.0	7.035126	1.3375273	8.626412	1.2985156	272000	2.2351742e-08	2.1277173	-0.008776568	-0.32622826	1.3564423	0.007234777	0.0591875	127.0	402.28127574920654	0.0	0.0	0.0	0.0	0.0
17	30.32324	8.1406555	40.917835	14.603049	500.0	7.331329	1.5430064	9.815819	0.20009238	288000	1.8626451e-08	3.1961703	-0.0073515023	-0.9695262	1.3564423	0.0054134335	0.052125	127.0	429.4510991573334	0.0	0.03125	0.0	0.0	0.0
18	31.763683	5.913522	41.45811	20.948093	500.0	7.3445745	1.5207007	10.143579	0.78720844	304000	0.0	2.238675	-0.007085941	-0.17556098	1.3564423	0.0044207852	0.049187496	127.0	458.20355248451233	0.0	0.0	0.0	0.0	0.0
19	29.908384	8.304672	44.861813	13.379687	500.0	7.3619494	1.6944035	10.384881	1.7923353	320000	7.450581e-09	3.736726	-0.007590932	-0.71325964	1.3564423	0.006418381	0.040625002	127.0	480.38544368743896	0.0	0.0	0.0	0.0	0.0
20	37.58429	18.54271	97.59606	12.854455	500.0	7.0825553	1.3651365	9.434662	0.82773286	336000	-3.7252903e-08	15.194039	-0.0069742636	-2.0349271	1.3564423	0.006680274	0.057375	127.0	502.49132084846497	0.0	0.15625	0.0	0.0	0.0
21	38.492893	16.167126	93.03692	17.399609	500.0	8.350085	1.679011	10.438149	-0.45877057	352000	-3.7252903e-09	11.661329	-0.0072029056	-0.6419116	1.3564423	0.005057611	0.0713125	127.0	525.4935865402222	0.0	0.125	0.0	0.0	0.0
22	33.001823	7.041914	42.976967	14.173629	500.0	8.876435	1.7715727	11.01986	2.3624434	368000	1.4901161e-08	3.598247	-0.0072341114	-1.3117381	1.3564423	0.0044050366	0.052625	127.0	547.1441586017609	0.0	0.0	0.0	0.0	0.0
23	34.99032	5.3695054	44.41713	20.708681	500.0	7.96053	2.0518305	9.992518	-2.261473	384000	7.450581e-09	1.2364761	-0.009776079	-0.08827625	1.3564423	0.007502814	0.0714375	127.0	572.0456097126007	0.0	0.0	0.0	0.0	0.0
24	32.95256	4.8237247	40.71583	20.997566	500.0	8.229154	1.6411197	10.143734	2.0527923	400000	0.0	1.5026729	-0.0075195953	-0.25926661	1.3564423	0.0060702036	0.0553125	127.0	595.6763474941254	0.0	0.0	0.0	0.0	0.0
