Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.14479946	0.10200068	0.5172284	0.022258623	500.0	0.068054594	0.013217779	0.12231214	0.027742915	16000	1.1175871e-08	0.0019790982	-0.0061624334	-0.0015234614	1.3564423	0.00665895	0.0626875	127.0	25.055997371673584	0.0	0.0	0.0	0.0	0.0
1	0.19697452	0.1316599	0.58372366	0.03179334	500.0	0.039912183	0.012041966	0.081963256	0.00709654	32000	-8.381903e-09	0.0008172983	-0.007211837	-0.00032732863	1.3564423	0.008271536	0.077875	127.0	47.09297728538513	0.0	0.0	0.0	0.0	0.0
2	0.32821053	0.17662828	0.84338874	0.049127758	500.0	0.050731692	0.017253863	0.10131926	-1.8589199e-06	48000	-1.8626451e-09	0.0010081244	-0.010549179	-0.00044934725	1.3564423	0.009148242	0.1061875	127.0	75.62805700302124	0.0	0.0	0.0	0.0	0.0
3	0.50288707	0.20986077	0.9809349	0.11280257	500.0	0.089992546	0.023204563	0.17984408	0.007350698	64000	0.0	0.0018150657	-0.00977065	-0.0006912393	1.3564423	0.007896454	0.086125	127.0	101.96167302131653	0.0	0.0	0.0	0.0	0.0
4	0.7262342	0.25052086	1.3368373	0.4087542	500.0	0.14099719	0.026617037	0.21633191	0.049159966	80000	-7.450581e-09	0.0044389274	-0.009836618	-0.0016142845	1.3564423	0.007824764	0.0818125	127.0	125.2850239276886	0.0	0.0	0.0	0.0	0.0
5	1.0868964	0.37331256	2.271333	0.5186047	500.0	0.16687232	0.025229242	0.23532885	0.08794076	96000	4.0978193e-08	0.01056092	-0.010066746	-0.0044297087	1.3564423	0.0063486686	0.101	127.0	148.11944556236267	0.0	0.0	0.0	0.0	0.0
6	1.9049008	0.70689046	3.4805865	0.77134144	500.0	0.25306523	0.046978027	0.43519634	0.0778881	112000	-7.8231096e-08	0.048567273	-0.009441827	-0.026534371	1.3564423	0.0065262765	0.080875	127.0	171.0658438205719	0.0	0.0	0.0	0.0	0.0
7	3.0421066	1.4142313	8.087311	0.8005889	500.0	0.45052862	0.12628205	0.91182137	0.14845315	128000	-5.401671e-08	0.16004874	-0.0071090376	-0.0911034	1.3564423	0.0056965165	0.0639375	127.0	195.6217610836029	0.0	0.0	0.0	0.0	0.0
8	4.4902034	2.2812526	10.702847	1.0774755	500.0	0.8336553	0.3586767	1.676512	0.12022348	144000	3.7252903e-08	0.30434984	-0.007388885	-0.16837081	1.3564423	0.005966126	0.0820625	127.0	222.3187882900238	0.0	0.0	0.0	0.0	0.0
9	7.7891464	3.4804058	16.716406	3.2616477	500.0	1.358541	0.56718206	2.653298	-0.1451837	160000	-7.450581e-09	0.832018	-0.010067054	-0.3619603	1.3564423	0.008061062	0.1060625	127.0	247.5116195678711	0.0	0.0	0.0	0.0	0.0
10	11.523363	4.360171	21.774744	4.6762524	500.0	2.1743093	0.91071683	4.0954237	-0.16363597	176000	1.1175871e-08	1.4154453	-0.0085382555	-0.5319505	1.3564423	0.007592067	0.0939375	127.0	270.74173069000244	0.0	0.0	0.0	0.0	0.0
