Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13646749	0.07473548	0.35207555	0.025962992	500.0	0.06693329	0.014291156	0.12264413	0.023365926	16000	5.5879354e-09	0.0018565021	-0.006899218	-0.0015169752	1.3564423	0.0068560946	0.0660625	127.0	22.394580125808716	0.0	0.0	0.0	0.0	0.0
1	0.14251861	0.09378768	0.33738986	0.029455783	500.0	0.03645862	0.0137450695	0.09449099	-0.0033387318	32000	-9.313226e-10	0.0005502649	-0.007536326	-0.00026241608	1.3564423	0.008212993	0.086375	127.0	43.317567586898804	0.0	0.0	0.0	0.0	0.0
2	0.22399476	0.13396189	0.71510905	0.025076836	500.0	0.040625654	0.015529413	0.09877929	0.0042230487	48000	5.5879354e-09	0.000703329	-0.010086387	-0.0002890278	1.3564423	0.009601248	0.1073125	127.0	61.67387557029724	0.0	0.0	0.0	0.0	0.0
3	0.3649627	0.1883415	0.81360143	0.042341463	500.0	0.061807226	0.01773491	0.12764326	0.011780396	64000	2.0489097e-08	0.0014244842	-0.008017881	-0.0005838369	1.3564423	0.007438264	0.0751875	127.0	83.59833121299744	0.0	0.0	0.0	0.0	0.0
4	0.57034385	0.188316	0.97566134	0.15151905	500.0	0.10433757	0.022012193	0.1603328	0.01405631	80000	-7.450581e-09	0.0026880372	-0.011055795	-0.001010841	1.3564423	0.0084022805	0.09325	127.0	103.62965655326843	0.0	0.0	0.0	0.0	0.0
5	0.7271606	0.26262346	1.4250743	0.397197	500.0	0.12882504	0.027805908	0.20338097	0.05112316	96000	7.450581e-09	0.002563573	-0.012240326	-0.00082235504	1.3564423	0.0074155377	0.103562504	127.0	125.14495301246643	0.0	0.0	0.0	0.0	0.0
6	1.294877	0.4852104	2.5348227	0.5313563	500.0	0.17117155	0.029441373	0.24966218	0.06839888	112000	2.4214387e-08	0.017415095	-0.010599816	-0.008702401	1.3564423	0.0076821595	0.090875	127.0	146.7559633255005	0.0	0.0	0.0	0.0	0.0
7	2.065686	0.62471956	3.4061787	0.6773063	500.0	0.31310567	0.050792895	0.44787705	0.11894895	128000	-2.0489097e-08	0.0321555	-0.00914347	-0.018226787	1.3564423	0.006145644	0.075937495	127.0	168.55465483665466	0.0	0.0	0.0	0.0	0.0
8	2.778943	0.9749941	6.208255	1.0860027	500.0	0.4700205	0.10763085	0.77813023	0.15811564	144000	6.7055225e-08	0.04965332	-0.009325596	-0.029468281	1.3564423	0.0053318795	0.08125	127.0	193.2159378528595	0.0	0.0	0.0	0.0	0.0
9	3.2893136	0.8273948	5.9475565	1.9087224	500.0	0.65014505	0.17261332	1.0837531	0.101507455	160000	-2.2351742e-08	0.04334338	-0.009758549	-0.018704299	1.3564423	0.007837422	0.0904375	127.0	214.45547819137573	0.0	0.0	0.0	0.0	0.0
