Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.22163264	0.13600847	0.6340589	0.06411357	500.0	0.018204289	0.026373535	0.09597221	-0.04222461	16000	1.7695129e-08	0.0015063245	-0.0079338	-0.00079784414	1.3564423	0.0074887853	0.077999994	127.0	22.51028275489807	0.0	0.0	0.0	0.0	0.0
1	0.23388787	0.1851062	1.0284034	0.051836416	500.0	0.04240199	0.018472344	0.09606141	-0.013956014	32000	-5.5879354e-09	0.0011151081	-0.008539321	-0.00035999302	1.3564423	0.010604902	0.1258125	127.0	45.87956881523132	0.0	0.0	0.0	0.0	0.0
2	0.73650897	0.3772344	1.5392282	0.21284181	500.0	0.07206543	0.022270638	0.13794029	0.01889738	48000	-1.4901161e-08	0.00886174	-0.008496851	-0.005095549	1.3564423	0.0078027993	0.0934375	127.0	66.93345046043396	0.0	0.0	0.0	0.0	0.0
3	1.0315111	0.67493296	3.8303494	0.27016723	500.0	0.16351339	0.043413	0.28388146	0.02474416	64000	0.0	0.015961856	-0.00811011	-0.005470411	1.3564423	0.006507339	0.084125005	127.0	86.88708567619324	0.0	0.0	0.0	0.0	0.0
4	1.5110443	1.1670935	5.613288	0.41016442	500.0	0.25226706	0.05632632	0.42384818	0.0038202703	80000	-7.450581e-09	0.0538115	-0.0069964	-0.030008983	1.3564423	0.007447799	0.076812506	127.0	106.9459753036499	0.0	0.0	0.0	0.0	0.0
5	2.1420817	1.4912113	7.464185	0.58059746	500.0	0.42127228	0.124137014	0.7524124	0.09075902	96000	2.9802322e-08	0.056846257	-0.00989964	-0.021292154	1.3564423	0.007084963	0.110937506	127.0	127.12426257133484	0.0	0.0	0.0	0.0	0.0
6	4.348604	2.5672264	12.492704	0.80165374	500.0	0.60480404	0.23805171	1.1853899	0.001186993	112000	3.7252903e-09	0.31578106	-0.010335768	-0.15646395	1.3564423	0.008150493	0.1038125	127.0	147.10776138305664	0.0	0.0	0.0	0.0	0.0
7	6.941906	3.244512	14.816812	2.27628	500.0	1.358292	0.5226598	2.8979607	-0.12294937	128000	1.8626451e-08	0.6579674	-0.009308839	-0.30444688	1.3564423	0.006451614	0.0899375	127.0	167.88681650161743	0.0	0.0	0.0	0.0	0.0
8	10.425808	4.523043	22.507275	2.3208544	500.0	1.9512036	0.8238241	3.8194082	-0.21084975	144000	-3.1664968e-08	1.2799338	-0.008858597	-0.6892015	1.3564423	0.0069232867	0.102937505	127.0	189.57485938072205	0.0	0.0625	0.0	0.0	0.0
9	16.255386	4.692707	24.892647	7.9339056	500.0	2.9968565	1.1255091	5.4465046	-0.27804658	160000	6.7055225e-08	1.8061948	-0.010843204	-0.86136174	1.3564423	0.0073730983	0.103750005	127.0	212.02577447891235	0.0	0.0	0.0	0.0	0.0
