Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.14070538	0.07659693	0.3568742	0.028060129	500.0	0.07371442	0.014953466	0.13001658	0.030970037	16000	-7.450581e-09	0.0022348259	-0.006610016	-0.0018663581	1.3564423	0.0066163	0.06125	127.0	24.554803371429443	0.0	0.0	0.0	0.0	0.0
1	0.15405619	0.10343904	0.41828611	0.031212427	500.0	0.037741415	0.013590121	0.09199617	-0.0020682104	32000	-5.5879354e-09	0.00058930495	-0.0076564765	-0.00028095132	1.3564423	0.008334945	0.082625	127.0	44.554168701171875	0.0	0.0	0.0	0.0	0.0
2	0.23592469	0.13358897	0.68264633	0.028612468	500.0	0.04392006	0.014370976	0.09705602	0.011730079	48000	1.0244548e-08	0.00071396044	-0.010535728	-0.00028517097	1.3564423	0.0097487215	0.109875	127.0	65.59659457206726	0.0	0.0	0.0	0.0	0.0
3	0.38249817	0.19174245	0.853675	0.04890808	500.0	0.065174304	0.017121403	0.13329281	0.018526312	64000	-7.450581e-09	0.001554603	-0.008100004	-0.0006703809	1.3564423	0.0076126307	0.077437505	127.0	86.66791605949402	0.0	0.0	0.0	0.0	0.0
4	0.5738947	0.18408479	0.96422917	0.1669368	500.0	0.10728095	0.020635327	0.15959403	0.022193424	80000	-1.4901161e-08	0.0026889495	-0.010892833	-0.0010334732	1.3564423	0.008281325	0.090625	127.0	109.02469325065613	0.0	0.0	0.0	0.0	0.0
5	0.73247206	0.26734814	1.4281025	0.38643792	500.0	0.12636854	0.027012175	0.1931026	0.054985292	96000	0.0	0.002677585	-0.012394658	-0.00085602864	1.3564423	0.007387414	0.105875	127.0	130.66540551185608	0.0	0.0	0.0	0.0	0.0
6	1.3281888	0.47904655	2.5295684	0.53525734	500.0	0.1724693	0.029494986	0.25428563	0.07353483	112000	-5.5879354e-08	0.018386953	-0.010108067	-0.010073332	1.3564423	0.0073694	0.08475	127.0	151.50016856193542	0.0	0.0	0.0	0.0	0.0
7	2.0144541	0.61210024	3.2114642	0.61263406	500.0	0.3213562	0.053017076	0.5190594	0.11975193	128000	7.450581e-09	0.027255077	-0.009036126	-0.01455724	1.3564423	0.0063996534	0.0755625	127.0	172.7588496208191	0.0	0.0	0.0	0.0	0.0
8	2.8368125	1.0577445	6.239282	0.9908221	500.0	0.46345967	0.105860494	0.75492054	0.1501942	144000	-2.7939677e-08	0.064350925	-0.008768941	-0.0405409	1.3564423	0.006011339	0.090125	127.0	194.3089678287506	0.0	0.0	0.0	0.0	0.0
9	3.1170745	0.65221894	4.201847	1.9070544	500.0	0.6371632	0.16983852	1.0655016	0.035876196	160000	7.450581e-09	0.029307729	-0.010098738	-0.012516761	1.3564423	0.009100434	0.100625	127.0	216.6953673362732	0.0	0.0	0.0	0.0	0.0
