Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25089443	0.23597836	0.89695764	0.028401459	500.0	0.046081763	0.023793874	0.109757096	-0.021985892	16000	0.0	0.002924457	-0.00688916	-0.0013482808	1.3564423	0.007948399	0.08212499	127.0	28.5957453250885	0.0	0.0	0.0	0.0	0.0
1	0.29670003	0.25497824	1.3306425	0.03435124	500.0	0.050729856	0.021559201	0.13334455	0.002620183	32000	-2.7939677e-09	0.0019210433	-0.0068817697	-0.0005915292	1.3564423	0.00939591	0.098562494	127.0	53.40335488319397	0.0	0.0	0.0	0.0	0.0
2	0.6310859	0.5215857	2.5184069	0.13193406	500.0	0.08049303	0.03394983	0.1955661	0.002745103	48000	-4.4703484e-08	0.008026173	-0.010042051	-0.0032793293	1.3564423	0.009842083	0.1186875	127.0	80.86722445487976	0.0	0.0	0.0	0.0	0.0
3	1.0860256	0.73129416	2.9578516	0.09149875	500.0	0.19307153	0.06400339	0.5057803	0.044305414	64000	3.7252903e-09	0.016878866	-0.010097828	-0.01018804	1.3564423	0.00915505	0.0973125	127.0	109.42881798744202	0.0	0.0	0.0	0.0	0.0
4	1.5568947	0.98251647	4.884176	0.38002333	500.0	0.37838987	0.1255859	0.87270045	0.014355224	80000	0.0	0.037537023	-0.010715772	-0.016292654	1.3564423	0.009321658	0.10412501	127.0	137.28647089004517	0.0	0.0	0.0	0.0	0.0
5	1.8411129	1.0094255	4.2819815	0.34537485	500.0	0.37921458	0.11517698	0.71178913	0.024888426	96000	1.9557774e-08	0.027701197	-0.011894148	-0.010330809	1.3564423	0.007001752	0.121374995	127.0	166.1076078414917	0.0	0.0	0.0	0.0	0.0
6	4.040554	2.2298255	9.331008	0.6699025	500.0	0.56410253	0.2094828	1.2261021	-0.010533033	112000	-2.6077032e-08	0.26347375	-0.008952734	-0.12229493	1.3564423	0.007788113	0.087875	127.0	194.83124256134033	0.0	0.0	0.0	0.0	0.0
7	7.599018	4.0491953	15.95043	1.3797274	500.0	1.1661975	0.37831166	2.1449099	-0.052736633	128000	-3.3527613e-08	1.0935701	-0.008512165	-0.55497	1.3564423	0.0061679073	0.082187496	127.0	224.64152097702026	0.0	0.0	0.0	0.0	0.0
8	13.241888	12.6486025	79.443436	3.1872332	500.0	2.0724163	0.8257303	4.4100122	0.13971862	144000	-7.450581e-09	8.708656	-0.006463817	-1.7782767	1.3564423	0.006756207	0.080249995	127.0	254.37293767929077	0.0	0.0625	0.0	0.0	0.0
9	16.318514	7.001394	42.229057	5.638269	500.0	3.619091	1.2183927	6.3247066	-0.53169477	160000	-3.7252903e-09	2.351211	-0.0077866595	-0.32535443	1.3564423	0.0057252105	0.0691875	127.0	283.66004967689514	0.0	0.0625	0.0	0.0	0.0
10	22.294117	13.770086	82.23825	8.5720625	500.0	4.4158616	1.5057193	7.0330496	-0.31093875	176000	3.7252903e-09	9.295118	-0.0068103503	-1.3251792	1.3564423	0.008130728	0.095625	127.0	312.28479075431824	0.0	0.09375	0.0	0.0	0.0
11	22.245384	9.945871	69.82212	8.722175	500.0	5.6687684	2.054159	9.431345	-1.5884885	192000	-7.450581e-09	5.9882054	-0.0069794096	-0.48228222	1.3564423	0.00555283	0.061625004	127.0	337.91364789009094	0.0	0.0625	0.0	0.0	0.0
12	23.083582	6.942589	37.609844	10.751729	500.0	5.9518156	1.8132169	8.94322	0.22250435	208000	-2.9802322e-08	2.2997499	-0.00781006	-0.38697565	1.3564423	0.0070399167	0.061687496	127.0	365.0488612651825	0.0	0.0	0.0	0.0	0.0
13	22.104202	7.1615305	39.15162	9.00822	500.0	5.9875803	1.7663788	8.728684	0.08487947	224000	-1.4901161e-08	2.6629434	-0.008280024	-0.58733636	1.3564423	0.006374741	0.055749997	127.0	402.17845702171326	0.0	0.0	0.0	0.0	0.0
14	23.738382	7.3936996	37.519157	10.640492	500.0	5.7862706	1.577177	8.256542	-0.08624962	240000	-1.4901161e-08	2.4662251	-0.008858632	-0.28294843	1.3564423	0.0077812355	0.06775	127.0	443.8636119365692	0.0	0.0	0.0	0.0	0.0
15	29.206638	5.935088	38.08072	16.37106	500.0	6.032397	1.3128406	8.280964	0.9118932	256000	0.0	2.054234	-0.007992559	-0.62037224	1.3564423	0.0076527447	0.0666875	127.0	477.532178401947	0.0	0.0	0.0	0.0	0.0
16	29.118374	6.7368917	41.697456	16.858974	500.0	6.9575877	1.4175653	9.097092	0.5068823	272000	3.7252903e-09	2.337646	-0.0087350095	-0.22242932	1.3564423	0.006065876	0.061875	127.0	505.9470467567444	0.0	0.0	0.0	0.0	0.0
17	31.362804	6.097072	40.445774	18.379074	500.0	6.9059806	1.2900729	8.39332	1.4451597	288000	1.4901161e-08	1.8488787	-0.0078605525	-0.28699267	1.3564423	0.005594955	0.053875	127.0	533.6290473937988	0.0	0.0625	0.0	0.0	0.0
