Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.058608178	0.071001776	0.39531142	0.0076928595	500.0	0.17878848	0.020410951	0.2421236	0.117896736	16000	-3.7252903e-09	0.018576916	-0.008369801	-0.017582549	1.3564423	0.006005703	0.072625	127.0	18.707408905029297	0.0	0.0	0.0	0.0	0.0
1	0.06463826	0.09337924	0.5054216	0.0035209295	500.0	0.061769944	0.04089925	0.17195144	-0.013900241	32000	-5.401671e-08	0.0013933561	-0.007289032	-0.0009567847	1.3564423	0.0065963073	0.072312504	127.0	35.389179706573486	0.0	0.0	0.0	0.0	0.0
2	0.14861973	0.12889995	0.45690432	0.011365979	500.0	0.05109291	0.035391185	0.1696057	-0.02131231	48000	-1.8626451e-08	0.0008961035	-0.0072929016	-0.00044543474	1.3564423	0.007956234	0.07175	127.0	52.536370277404785	0.0	0.0	0.0	0.0	0.0
3	0.16942634	0.1665024	0.74713063	0.021695867	500.0	0.058919366	0.029916238	0.16005345	0.0026950426	64000	-7.450581e-09	0.0011677449	-0.005986917	-0.00041893387	1.3564423	0.0050685955	0.0669375	127.0	69.83478307723999	0.0	0.0	0.0	0.0	0.0
4	0.19712782	0.13497728	0.5087937	0.04512782	500.0	0.059989765	0.024271388	0.13935792	0.0048733316	80000	0.0	0.0010687846	-0.0057772864	-0.0004495546	1.3564423	0.006251936	0.0596875	127.0	86.4655294418335	0.0	0.0	0.0	0.0	0.0
5	0.323373	0.22212481	0.8321457	0.03986764	500.0	0.066518486	0.023969596	0.14818749	-0.014798723	96000	-1.1175871e-08	0.0027000841	-0.0057602418	-0.000975002	1.3564423	0.007731874	0.056874998	127.0	104.26135492324829	0.0	0.0	0.0	0.0	0.0
6	0.36075985	0.21065189	0.78593296	0.083861664	500.0	0.078631416	0.025470661	0.15332478	0.014330924	112000	5.5879354e-09	0.0023781457	-0.0061294474	-0.00041052175	1.3564423	0.0066791624	0.0606875	127.0	121.54555439949036	0.0	0.0	0.0	0.0	0.0
7	0.5885916	0.47202858	2.2548602	0.08112824	500.0	0.079137936	0.035203647	0.1726757	-0.00089166686	128000	2.2351742e-08	0.012272076	-0.005940229	-0.0039308053	1.3564423	0.0063710026	0.0610625	127.0	139.19979810714722	0.0	0.0	0.0	0.0	0.0
8	0.8248023	0.48503003	2.1918817	0.2240075	500.0	0.14124672	0.05714681	0.30822814	-0.014698887	144000	0.0	0.013246326	-0.007431864	-0.0037462148	1.3564423	0.0055495678	0.07225	127.0	155.74565935134888	0.0	0.0	0.0	0.0	0.0
9	1.563689	0.9455604	4.092562	0.25574896	500.0	0.21517707	0.08657562	0.42460942	-0.06723191	160000	-2.8871e-08	0.06709375	-0.00572721	-0.02136878	1.3564423	0.0046912553	0.061437503	127.0	172.5240683555603	0.0	0.0	0.0	0.0	0.0
10	2.813858	2.835292	17.158052	0.88410217	500.0	0.38051793	0.13814129	0.83596295	-0.10674831	176000	-1.4901161e-08	0.379338	-0.0070002535	-0.13479047	1.3564423	0.008088053	0.08425	127.0	190.28083062171936	0.0	0.0	0.0	0.0	0.0
11	6.6981425	4.1566725	18.7886	2.232315	500.0	0.93157744	0.4266324	2.0881941	-0.45921558	192000	-7.450581e-09	1.234442	-0.010049965	-0.37213367	1.3564423	0.007400322	0.1003125	127.0	208.82717728614807	0.0	0.0	0.0	0.0	0.0
12	14.9191265	6.531529	28.57618	1.782801	500.0	2.028207	0.7964023	4.2978435	-0.5182158	208000	-1.1175871e-08	4.6883173	-0.008181433	-2.5055573	1.3564423	0.00533597	0.0679375	127.0	225.95420026779175	0.0	0.03125	0.0	0.0	0.0
13	11.393492	6.030674	24.598476	2.139653	500.0	3.8755178	1.4815714	6.2305365	-0.9060892	224000	-4.0978193e-08	2.9760485	-0.0064565777	-0.7882526	1.3564423	0.0051599266	0.050125003	127.0	243.25273489952087	0.0	0.0	0.0	0.0	0.0
14	14.247444	7.9572854	30.647945	3.3660543	500.0	3.4398618	1.6409249	6.2422576	-1.1050099	240000	3.7252903e-09	3.0396237	-0.007224345	-0.43286005	1.3564423	0.0055864267	0.056625	127.0	261.6097836494446	0.0	0.0	0.0	0.0	0.0
15	23.440268	7.667698	36.724216	7.2558804	500.0	4.015081	1.5144503	6.2897015	-0.8704951	256000	-4.0978193e-08	5.9722238	-0.009100847	-2.604444	1.3564423	0.0063452246	0.0785	127.0	279.43820452690125	0.0	0.0625	0.0	0.0	0.0
16	24.460732	7.250959	40.633945	10.869472	500.0	5.5951476	2.0349774	8.038913	-1.7059639	272000	1.1175871e-08	3.7143092	-0.007819008	-0.32163987	1.3564423	0.0050881337	0.0614375	127.0	296.8355829715729	0.0	0.125	0.0	0.0	0.0
17	26.762352	8.434666	38.73971	9.2048	500.0	6.174862	1.8543838	8.473759	-0.50372577	288000	1.4901161e-08	4.1363053	-0.008667339	-0.33033133	1.3564423	0.005894762	0.070625	127.0	315.03696608543396	0.0	0.0625	0.0	0.0	0.0
18	28.195484	9.20144	52.67624	8.546552	500.0	6.52818	1.98175	8.718066	-1.0720183	304000	1.8626451e-09	4.8374395	-0.00954752	-0.23824644	1.3564423	0.0051558465	0.071187496	127.0	332.962176322937	0.0	0.15625	0.0	0.0	0.0
19	29.190102	8.0091915	49.23719	10.230488	500.0	7.071247	1.8762758	9.020912	-0.24914259	320000	4.656613e-09	4.634207	-0.007588499	-0.45948872	1.3564423	0.007422588	0.056062497	127.0	350.97038435935974	0.0	0.125	0.0	0.0	0.0
20	34.2444	12.893621	75.027275	11.678721	500.0	7.093873	1.2113595	8.259574	1.6596817	336000	1.1175871e-08	11.037003	-0.007899569	-0.88481	1.3564423	0.005737467	0.071625	127.0	369.4981496334076	0.0	0.1875	0.0	0.0	0.0
21	36.061607	9.876167	55.690594	16.814095	500.0	7.726885	1.6234503	9.093096	0.9066649	352000	-2.2351742e-08	6.3383102	-0.008934068	-0.49947193	1.3564423	0.0065673003	0.0635625	127.0	387.4055383205414	0.0	0.1875	0.0	0.0	0.0
22	38.561802	12.068173	76.42119	21.398016	500.0	8.302081	1.5604239	9.309935	0.79916745	368000	-3.7252903e-09	9.633472	-0.007771463	-0.39084205	1.3564423	0.0080103455	0.068	127.0	405.1198754310608	0.0	0.4375	0.0	0.0	0.0
23	39.051025	17.240686	90.80957	14.479674	500.0	8.918215	1.6429154	9.954192	0.8523315	384000	3.7252903e-09	15.622309	-0.007507276	-0.20760545	1.3564423	0.006587629	0.061437503	127.0	422.97261142730713	0.0	0.3125	0.0	0.0	0.0
24	39.999825	12.029465	80.317924	22.088438	500.0	9.005308	1.7759714	10.095955	0.33704385	400000	-1.4901161e-08	7.7788343	-0.009325301	-0.10817464	1.3564423	0.008441864	0.0861875	127.0	440.9257950782776	0.0	0.15625	0.0	0.0	0.0
25	46.4204	14.280599	85.983925	23.527004	500.0	9.258229	1.6804738	10.329507	1.0205952	416000	-1.1175871e-08	14.024799	-0.008383212	-1.5463828	1.3564423	0.006961444	0.08225	127.0	458.2730088233948	0.0	0.34375	0.0	0.0	0.0
26	42.030518	9.393651	65.481514	25.923897	500.0	10.3962555	1.9197114	11.641115	1.2927712	432000	-7.450581e-09	4.628109	-0.00918679	-0.59104234	1.3564423	0.009015026	0.076749995	127.0	476.0233566761017	0.0	0.28125	0.0	0.0	0.0
27	46.096245	16.11556	97.18024	22.981943	500.0	9.821242	1.7868289	11.175689	1.609993	448000	-3.7252903e-09	15.2694845	-0.008744262	-1.1013951	1.3564423	0.0077609727	0.0764375	127.0	493.94542694091797	0.0	0.40625	0.0	0.0	0.0
28	44.20868	12.156236	85.763756	23.711834	500.0	10.515654	1.8424037	11.860331	0.8324934	464000	-7.450581e-09	8.114784	-0.009518406	-0.6178048	1.3564423	0.0072205453	0.07225	127.0	512.2061111927032	0.0	0.3125	0.0	0.0	0.0
29	54.573635	23.387066	142.18584	34.45462	500.0	10.184076	1.8154292	11.817425	-0.469922	480000	2.9802322e-08	28.514034	-0.0076667313	-4.130041	1.3564423	0.00733015	0.072375	127.0	530.9013376235962	0.0	0.4375	0.0	0.0	0.0
30	50.02427	16.061987	100.01874	33.054165	500.0	11.985675	1.8708371	13.468251	1.3917285	496000	1.8626451e-08	12.642738	-0.007984797	-0.5860451	1.3564423	0.008362051	0.0806875	127.0	548.6279315948486	0.0	0.34375	0.0	0.0	0.0
