Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20562631	0.14150746	0.58816105	0.047497787	500.0	0.059689585	0.018261848	0.13622124	0.0020564906	16000	1.8626451e-09	0.0016489802	-0.0073065944	-0.00084783573	1.3564423	0.006279026	0.0644375	127.0	25.203172206878662	0.0	0.0	0.0	0.0	0.0
1	0.28302166	0.17088503	0.7716831	0.06303354	500.0	0.046897482	0.016429111	0.123338565	-0.001509171	32000	-1.4901161e-08	0.0013993491	-0.0077866963	-0.00052209815	1.3564423	0.008527096	0.0881875	127.0	49.776395082473755	0.0	0.0	0.0	0.0	0.0
2	0.37970647	0.21058975	0.9522888	0.056876905	500.0	0.06293126	0.02167306	0.14186557	0.004066132	48000	-1.4901161e-08	0.0018788916	-0.010162412	-0.0006376243	1.3564423	0.009418074	0.111875	127.0	73.44842481613159	0.0	0.0	0.0	0.0	0.0
3	0.5790955	0.23728867	1.0852352	0.1776702	500.0	0.09197442	0.026245065	0.16130915	0.017792746	64000	1.8626451e-08	0.0030395975	-0.008427986	-0.0011637503	1.3564423	0.007821581	0.082875	127.0	94.81421518325806	0.0	0.0	0.0	0.0	0.0
4	1.0209365	0.6848956	3.5659833	0.40855303	500.0	0.1473032	0.03378168	0.26844665	0.04849956	80000	-1.1175871e-08	0.022298625	-0.0076900483	-0.01352993	1.3564423	0.008478237	0.0919375	127.0	116.61293721199036	0.0	0.0	0.0	0.0	0.0
5	1.4744503	0.8257415	4.368494	0.6164814	500.0	0.30521715	0.11090204	0.7359936	0.02174072	96000	2.9802322e-08	0.020241404	-0.012254829	-0.006983936	1.3564423	0.008744353	0.1203125	127.0	140.5202579498291	0.0	0.0	0.0	0.0	0.0
6	4.3766565	3.180581	9.770349	0.6591356	500.0	0.47208765	0.19425143	1.0292094	0.12069877	112000	-1.1175871e-08	0.67307264	-0.005360735	-0.42319846	1.3564423	0.006332039	0.0589375	127.0	163.5022120475769	0.0	0.0	0.0	0.0	0.0
7	8.267695	5.5038075	21.372349	0.831701	500.0	1.2740246	0.7120004	3.0581353	-0.20680189	128000	2.9802322e-08	1.814985	-0.0070811748	-0.7141879	1.3564423	0.007908211	0.0798125	127.0	187.51998448371887	0.0	0.0	0.0	0.0	0.0
8	13.807631	6.6097503	32.220818	1.9683231	500.0	2.4183154	1.132781	4.438938	-0.16893794	144000	-1.3038516e-08	2.4109635	-0.0070647444	-1.0210689	1.3564423	0.006697676	0.078125	127.0	210.04469919204712	0.0	0.0	0.0	0.0	0.0
9	14.344204	7.1655164	24.71365	1.0702772	500.0	3.4113443	1.6492918	5.9239135	-0.3038575	160000	3.7252903e-09	1.2056426	-0.009086261	-0.15539166	1.3564423	0.007396492	0.083937496	127.0	235.72012948989868	0.0	0.0	0.0	0.0	0.0
10	15.995516	5.0699587	25.08783	1.7026322	500.0	4.5440187	1.9758502	7.0751286	-0.6020273	176000	3.7252903e-09	1.5247345	-0.007764044	-0.282817	1.3564423	0.0051335003	0.058875002	127.0	259.20354533195496	0.0	0.0	0.0	0.0	0.0
11	16.958447	5.054728	28.099693	1.7796359	500.0	4.5686793	1.6477042	6.705721	-0.14506483	192000	-1.4901161e-08	1.8569884	-0.0059527457	-0.30656183	1.3564423	0.00411069	0.044875	127.0	283.14141297340393	0.0	0.0	0.0	0.0	0.0
12	18.142202	4.513517	26.461151	1.3414911	500.0	4.493209	1.4352949	6.1398406	0.28525957	208000	-2.2351742e-08	1.5878993	-0.0072526415	-0.18946177	1.3564423	0.0047296607	0.06075	127.0	309.75482726097107	0.0	0.0	0.0	0.0	0.0
13	19.08195	5.1808906	32.844334	1.2425077	500.0	4.4183826	1.0793891	5.6303954	0.76314265	224000	2.2351742e-08	1.4836404	-0.008148353	-0.08769744	1.3564423	0.006634678	0.0745625	127.0	335.18581795692444	0.0	0.0	0.0	0.0	0.0
14	22.304167	5.2399654	33.871685	10.4611635	500.0	4.6894045	0.8964651	5.607865	0.79405826	240000	7.450581e-09	2.0885134	-0.007910275	-0.24467388	1.3564423	0.005828305	0.06793749	127.0	365.15878772735596	0.0	0.0	0.0	0.0	0.0
15	23.95347	5.267383	41.27291	16.984053	500.0	5.098536	0.7229892	5.7009077	1.1690694	256000	0.0	1.7946289	-0.0077789202	-0.1576042	1.3564423	0.005553115	0.05525	127.0	393.92245864868164	0.0	0.0	0.0	0.0	0.0
