Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.06793989	0.07574263	0.2652044	0.0069642984	500.0	0.19799083	0.017475305	0.259005	0.109397635	16000	3.4086406e-07	0.022906655	-0.0076195495	-0.021785647	1.3564423	0.0048751533	0.0625625	127.0	22.271357774734497	0.0	0.0	0.0	0.0	0.0
1	0.08724951	0.09127927	0.45048848	0.006571294	500.0	0.061871544	0.035770867	0.16024034	-0.05200316	32000	-1.21071935e-08	0.0011574067	-0.007656202	-0.0007929582	1.3564423	0.0068256874	0.0715625	127.0	42.77037763595581	0.0	0.0	0.0	0.0	0.0
2	0.105071776	0.06976381	0.3366446	0.018731993	500.0	0.04856675	0.03258927	0.1462496	-0.043499954	48000	1.6763806e-08	0.0005548076	-0.0077789742	-0.00034172536	1.3564423	0.007944827	0.077375	127.0	63.78144454956055	0.0	0.0	0.0	0.0	0.0
3	0.16296086	0.10572077	0.39489266	0.03534181	500.0	0.050155647	0.028313786	0.13201126	-0.042143486	64000	-2.0489097e-08	0.0006775716	-0.006038003	-0.0002981063	1.3564423	0.0046106046	0.0484375	127.0	84.3714029788971	0.0	0.0	0.0	0.0	0.0
4	0.28902644	0.206729	0.8613842	0.05584461	500.0	0.05955595	0.022161169	0.12832788	-0.03320041	80000	1.8626451e-09	0.002923734	-0.005623851	-0.0011020135	1.3564423	0.006844166	0.0585	127.0	105.42318391799927	0.0	0.0	0.0	0.0	0.0
5	0.32246983	0.18116273	0.7804045	0.1011206	500.0	0.0689946	0.0135174	0.13498609	-0.012247432	96000	3.7252903e-09	0.0019344677	-0.0058973343	-0.00040987064	1.3564423	0.007991012	0.058187503	127.0	127.1954185962677	0.0	0.0	0.0	0.0	0.0
6	0.5226373	0.36955526	1.7305511	0.12304954	500.0	0.07831932	0.022288831	0.15420942	-0.03330313	112000	-3.7252903e-09	0.008502509	-0.005836604	-0.0025582965	1.3564423	0.006870818	0.0603125	127.0	148.30175065994263	0.0	0.0	0.0	0.0	0.0
7	1.0258265	0.7131025	3.7528465	0.19885446	500.0	0.13097294	0.04475337	0.22950447	-0.013206154	128000	-2.2351742e-08	0.0325091	-0.006132326	-0.013595225	1.3564423	0.0065713543	0.0665625	127.0	168.93113327026367	0.0	0.0	0.0	0.0	0.0
8	1.7276802	1.0019778	4.610592	0.5028344	500.0	0.2658723	0.0849634	0.49879932	-0.039773732	144000	-3.7252903e-09	0.07089566	-0.008554526	-0.023506574	1.3564423	0.006558027	0.08481251	127.0	191.60906171798706	0.0	0.0	0.0	0.0	0.0
9	4.631941	2.9904058	14.173975	1.0085299	500.0	0.53143936	0.16313173	0.9481978	-0.04376611	160000	1.3038516e-08	0.7434625	-0.0062910197	-0.30014923	1.3564423	0.004939186	0.063250005	127.0	223.58418917655945	0.0	0.0	0.0	0.0	0.0
