Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.041619796	0.03631675	0.13000487	0.004169571	500.0	0.20163414	0.019589853	0.26307294	0.1395206	16000	-1.0430813e-07	0.024945144	-0.0073728925	-0.023717748	1.3564423	0.0044220383	0.0598125	127.0	22.57622742652893	0.0	0.0	0.0	0.0	0.0
1	0.06429222	0.06304326	0.2644918	0.0066610468	500.0	0.05728779	0.0361742	0.16672467	-0.030768704	32000	-1.8626451e-09	0.0010112363	-0.007351646	-0.0007461415	1.3564423	0.0062236423	0.06825	127.0	42.016820669174194	0.0	0.0	0.0	0.0	0.0
2	0.063618645	0.05775559	0.22894713	0.006139001	500.0	0.040540103	0.032497026	0.14406633	-0.034935497	48000	1.9557774e-08	0.0004580889	-0.009903753	-0.00029776723	1.3564423	0.0085855685	0.0961875	127.0	62.199466705322266	0.0	0.0	0.0	0.0	0.0
3	0.088372566	0.06692626	0.2560502	0.0045465627	500.0	0.04155887	0.030293563	0.12648469	-0.032932892	64000	-1.1175871e-08	0.00045004234	-0.007396821	-0.0002615867	1.3564423	0.005597071	0.0643125	127.0	82.74924421310425	0.0	0.0	0.0	0.0	0.0
4	0.12217098	0.07715674	0.3318068	0.0033498474	500.0	0.044690445	0.026537677	0.12251803	-0.034290027	80000	9.313226e-09	0.0005902971	-0.0063713016	-0.00032247277	1.3564423	0.006079692	0.058562502	127.0	105.73611307144165	0.0	0.0	0.0	0.0	0.0
5	0.16624796	0.103621535	0.5027867	0.007133572	500.0	0.04196854	0.017141618	0.099374965	-0.02672663	96000	-3.7252903e-09	0.00071129116	-0.0050329063	-0.00026480498	1.3564423	0.0069323475	0.0505625	127.0	126.05749440193176	0.0	0.0	0.0	0.0	0.0
6	0.22903182	0.13688396	0.7166434	0.056647964	500.0	0.046327583	0.010476461	0.09003276	-0.024875522	112000	-3.7252903e-09	0.0012350162	-0.006297619	-0.00034021144	1.3564423	0.0062368494	0.051437497	127.0	144.70683217048645	0.0	0.0	0.0	0.0	0.0
7	0.40909111	0.292591	1.4202763	0.09242277	500.0	0.05908814	0.016688433	0.104905084	0.006264288	128000	3.7252903e-08	0.004797332	-0.0054776594	-0.0016250515	1.3564423	0.0061466163	0.052	127.0	165.7374141216278	0.0	0.0	0.0	0.0	0.0
8	0.626822	0.20996353	1.1711271	0.24036144	500.0	0.0970507	0.029520009	0.1694665	-0.014045773	144000	3.7252903e-09	0.004994516	-0.0071013095	-0.0019333707	1.3564423	0.005247294	0.0644375	127.0	186.85688090324402	0.0	0.0	0.0	0.0	0.0
9	1.7450079	1.1595795	4.7107573	0.42565492	500.0	0.17148286	0.047397785	0.29837453	-0.010058651	160000	1.4901161e-08	0.111449346	-0.0051967343	-0.061251394	1.3564423	0.0042097187	0.0438125	127.0	206.66061782836914	0.0	0.0	0.0	0.0	0.0
10	3.0990963	1.9442977	9.961962	0.5906265	500.0	0.45715716	0.13511749	0.9368261	-0.08001037	176000	2.6077032e-08	0.2718622	-0.0075511425	-0.08653626	1.3564423	0.0064779646	0.07425	127.0	228.04586696624756	0.0	0.0	0.0	0.0	0.0
11	6.566611	3.9149053	16.336208	1.7712779	500.0	0.8720497	0.3102315	1.7178396	-0.3110699	192000	-9.313226e-09	1.2124643	-0.0075250836	-0.56179637	1.3564423	0.006519443	0.0713125	127.0	249.44355511665344	0.0	0.0	0.0	0.0	0.0
12	11.20452	4.930752	20.203949	1.0355271	500.0	1.9865907	0.7999291	3.874485	-0.66317844	208000	-7.450581e-09	2.1030207	-0.007294725	-0.89731205	1.3564423	0.004403674	0.071125	127.0	270.58648014068604	0.0	0.0	0.0	0.0	0.0
13	10.926775	6.454133	21.418087	0.7932703	500.0	3.1805336	1.3453969	5.255372	-0.780585	224000	7.450581e-09	2.1128047	-0.006814173	-0.50331265	1.3564423	0.0059969295	0.060937498	127.0	291.4353129863739	0.0	0.0	0.0	0.0	0.0
14	13.710106	6.895987	27.86992	0.6685334	500.0	3.3392453	1.5761786	5.8876257	-2.17601	240000	-3.7252903e-09	2.5507793	-0.008912925	-0.2766848	1.3564423	0.006865056	0.088062495	127.0	312.1851589679718	0.0	0.0	0.0	0.0	0.0
15	18.787632	4.5272064	27.691729	9.8975115	500.0	4.0195217	1.2497617	5.83998	-1.2853749	256000	0.0	2.5168629	-0.007674233	-0.366184	1.3564423	0.006802923	0.081062496	127.0	333.5606474876404	0.0	0.0	0.0	0.0	0.0
16	20.23825	5.794142	36.137974	10.198908	500.0	4.6194057	1.1650535	6.1736393	-0.4138335	272000	3.7252903e-09	3.0152621	-0.0079979375	-0.2909789	1.3564423	0.0071645426	0.0588125	127.0	355.97213864326477	0.0	0.0	0.0	0.0	0.0
17	20.080177	6.104209	32.164883	9.504719	500.0	5.0979385	1.193511	6.3931713	0.9137413	288000	2.4214387e-08	3.1119578	-0.006668982	-0.30158466	1.3564423	0.0063798344	0.060125	127.0	375.29374170303345	0.0	0.0	0.0	0.0	0.0
18	24.169992	5.3756647	38.64608	12.609144	500.0	4.9702373	0.9077024	6.295239	1.4586387	304000	-2.9802322e-08	3.325345	-0.006351738	-0.559837	1.3564423	0.007612939	0.0581875	127.0	398.5011384487152	0.0	0.0	0.0	0.0	0.0
19	23.843727	5.9865866	39.009266	15.312935	500.0	5.512606	0.8756779	6.613058	1.7298172	320000	-1.4901161e-08	2.561901	-0.00592935	-0.3021263	1.3564423	0.0058482382	0.0528125	127.0	418.552122592926	0.0	0.0	0.0	0.0	0.0
20	26.63414	6.7188663	40.637173	16.385975	500.0	5.534217	0.94015324	7.089975	1.5968931	336000	7.450581e-09	2.8332973	-0.007936202	-0.5023754	1.3564423	0.006610547	0.0588125	127.0	439.5257921218872	0.0	0.0	0.0	0.0	0.0
21	28.166262	7.1251903	42.28622	13.591839	500.0	6.0687757	1.1371562	8.244888	1.6864774	352000	-3.3527613e-08	2.8216085	-0.009430773	-0.60215247	1.3564423	0.007201132	0.06918751	127.0	460.0662326812744	0.0	0.0	0.0	0.0	0.0
22	28.81055	7.3408294	40.4553	18.50397	500.0	6.382588	1.2964576	8.169264	2.0163345	368000	-1.4901161e-08	2.3302984	-0.007339505	-0.44821793	1.3564423	0.005391455	0.0540625	127.0	480.62320160865784	0.0	0.0	0.0	0.0	0.0
23	29.15128	8.026242	45.234886	17.015656	500.0	6.240289	1.4411618	8.748272	2.302939	384000	-1.4901161e-08	2.3033972	-0.008939663	-0.5431107	1.3564423	0.006835929	0.07575	127.0	500.99422883987427	0.0	0.0	0.0	0.0	0.0
24	32.82856	7.1342044	44.00269	19.985033	500.0	6.626424	1.5800809	9.178037	1.6050658	400000	0.0	1.9428027	-0.009035568	-0.47631884	1.3564423	0.0064836955	0.0728125	127.0	523.3845899105072	0.0	0.0	0.0	0.0	0.0
25	35.06637	7.661418	45.39534	19.7739	500.0	7.574259	1.6481836	10.97985	2.2127218	416000	-5.5879354e-09	2.6128569	-0.008357691	-0.40480492	1.3564423	0.0054573165	0.064062506	127.0	543.6868538856506	0.0	0.0	0.0	0.0	0.0
26	35.513283	7.165662	46.928627	23.115274	500.0	7.651867	1.5527623	10.014049	2.4050837	432000	-1.4901161e-08	2.0539484	-0.008489903	-0.34298176	1.3564423	0.0051491773	0.059375	127.0	564.1830377578735	0.0	0.0	0.0	0.0	0.0
27	36.38699	7.7960367	45.70897	18.231398	500.0	7.920791	1.627866	10.381967	2.280608	448000	-1.4901161e-08	1.9676663	-0.007775192	-0.37589145	1.3564423	0.005205661	0.055125	127.0	590.4740197658539	0.0	0.0	0.0	0.0	0.0
28	37.844925	7.1168575	45.73654	21.348232	500.0	8.270033	1.7031034	11.156391	1.306546	464000	-1.4901161e-08	2.0984468	-0.008604493	-0.49590904	1.3564423	0.005779309	0.0516875	127.0	615.4807457923889	0.0	0.0	0.0	0.0	0.0
29	40.575752	6.107493	47.58982	18.007322	500.0	8.883337	1.8537204	11.285165	2.1763093	480000	-3.7252903e-09	1.7447183	-0.009265634	-0.24021912	1.3564423	0.005920721	0.07275	127.0	638.6912775039673	0.0	0.0	0.0	0.0	0.0
30	41.375843	6.5456376	48.604076	23.242107	500.0	9.402623	1.8557626	11.762106	3.0580268	496000	0.0	2.1603975	-0.008167263	-0.36512563	1.3564423	0.005575846	0.060875	127.0	661.6161813735962	0.0	0.0	0.0	0.0	0.0
31	41.2937	6.940535	52.541527	26.410492	500.0	9.446514	1.7025845	12.018203	3.443178	512000	-7.450581e-09	2.2266245	-0.009719542	-0.76913893	1.3564423	0.0059392517	0.070250005	127.0	681.7134096622467	0.0	0.0	0.0	0.0	0.0
32	39.608406	8.171496	50.892292	21.290438	500.0	8.731112	2.2525184	12.272931	-4.5346375	528000	-2.2351742e-08	2.6323428	-0.009282571	-1.3084694	1.3564423	0.006153791	0.07062501	127.0	701.6873018741608	0.0	0.0	0.0	0.0	0.0
33	40.797718	8.577718	52.568214	26.356993	500.0	9.11735	2.0388336	13.8674345	2.769983	544000	-1.3038516e-08	2.3207154	-0.011136588	-0.48799655	1.3564423	0.0075919563	0.07075	127.0	723.5036070346832	0.0	0.0	0.0	0.0	0.0
34	44.646523	8.68035	52.355312	26.583086	500.0	9.576591	1.9442289	13.778357	3.8048584	560000	-1.1175871e-08	1.991741	-0.009417381	-0.46800745	1.3564423	0.0073734126	0.062625006	127.0	745.9921503067017	0.0	0.0	0.0	0.0	0.0
35	41.3593	9.857287	53.32258	21.83423	500.0	9.885725	2.4116256	13.827277	-4.261229	576000	-1.8626451e-08	3.8423228	-0.0092788525	-1.495458	1.3564423	0.006374184	0.070875004	127.0	767.799637556076	0.0	0.0	0.0	0.0	0.0
