Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.021493193	0.025619887	0.1361536	0.002821794	500.0	0.18977301	0.018628918	0.26016092	0.13504127	16000	8.195639e-08	0.023216398	-0.007317632	-0.02211557	1.3564423	0.0055252416	0.0651875	127.0	26.864593744277954	0.0	0.0	0.0	0.0	0.0
1	0.038094223	0.044989653	0.2090525	0.0019132915	500.0	0.044132113	0.039033923	0.16599266	-0.028469112	32000	-7.450581e-09	0.00084241224	-0.0080979	-0.0006427559	1.3564423	0.0064820535	0.067	127.0	50.37302231788635	0.0	0.0	0.0	0.0	0.0
2	0.060570948	0.06598526	0.28830037	0.0018868935	500.0	0.037060067	0.032687116	0.13421121	-0.02092837	48000	-1.8626451e-09	0.0004877954	-0.008032729	-0.00028939598	1.3564423	0.0070268717	0.074562505	127.0	73.08162379264832	0.0	0.0	0.0	0.0	0.0
3	0.06349329	0.054791916	0.23256649	0.0015054886	500.0	0.036188018	0.028218271	0.1178896	-0.014787402	64000	-1.4901161e-08	0.0003499965	-0.0071205837	-0.00022831213	1.3564423	0.0054294504	0.061875	127.0	96.86604428291321	0.0	0.0	0.0	0.0	0.0
4	0.09305705	0.07108957	0.27360404	0.0023225672	500.0	0.03434123	0.023932919	0.10826431	-0.012788497	80000	-3.3527613e-08	0.00036334328	-0.0067524826	-0.00017997055	1.3564423	0.0061868904	0.059625	127.0	124.52078795433044	0.0	0.0	0.0	0.0	0.0
5	0.12831637	0.08938173	0.4036165	0.017606482	500.0	0.03652843	0.015668755	0.10181317	-0.0053480156	96000	-7.450581e-09	0.00046075298	-0.0063737505	-0.00014471322	1.3564423	0.007598573	0.0663125	127.0	148.00331902503967	0.0	0.0	0.0	0.0	0.0
6	0.18932116	0.15888433	0.9505037	0.052046653	500.0	0.039443016	0.01164978	0.0805179	-0.0055179	112000	9.313226e-09	0.0014601944	-0.0058557047	-0.0003948488	1.3564423	0.0066871243	0.0569375	127.0	170.82600092887878	0.0	0.0	0.0	0.0	0.0
7	0.31666535	0.17401318	0.8473882	0.08215515	500.0	0.053138964	0.014044468	0.09080445	0.005793497	128000	1.3038516e-08	0.0019691454	-0.007471467	-0.0005922667	1.3564423	0.00667583	0.07125	127.0	193.97403478622437	0.0	0.0	0.0	0.0	0.0
8	0.42785326	0.20027603	1.072845	0.15033866	500.0	0.07215523	0.02121065	0.14131872	0.00066144764	144000	-2.7939677e-09	0.0030390038	-0.007273729	-0.0008038037	1.3564423	0.0056710453	0.072375	127.0	216.75700306892395	0.0	0.0	0.0	0.0	0.0
9	1.4500003	0.94614387	4.3726277	0.22667748	500.0	0.12824677	0.03512704	0.24935552	-0.0047337897	160000	-5.401671e-08	0.079977825	-0.005982927	-0.04383828	1.3564423	0.0049810475	0.0508125	127.0	243.01085758209229	0.0	0.0	0.0	0.0	0.0
10	3.2758155	2.191651	9.861913	0.30779418	500.0	0.38265917	0.10251842	0.675214	-0.16886476	176000	2.6077032e-08	0.39519417	-0.0072224056	-0.15199994	1.3564423	0.0073355366	0.074562505	127.0	266.56437969207764	0.0	0.0	0.0	0.0	0.0
11	6.957118	3.9436164	16.919903	0.5378847	500.0	0.81898904	0.27871966	1.4635643	-0.5327937	192000	2.2351742e-08	1.6652299	-0.0061913105	-0.7245849	1.3564423	0.0055932375	0.05725	127.0	290.43065190315247	0.0	0.0	0.0	0.0	0.0
12	12.120022	4.4885154	21.137531	3.440402	500.0	1.7616707	0.7116913	3.0592127	-0.85072446	208000	-3.7252903e-09	2.9926758	-0.0059286337	-1.5121788	1.3564423	0.004720127	0.051250003	127.0	316.4675028324127	0.0	0.0625	0.0	0.0	0.0
