Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.034610823	0.037392028	0.1599789	0.004584206	500.0	0.18592362	0.018367706	0.25059223	0.13240181	16000	1.4901161e-08	0.021480776	-0.008385793	-0.02049012	1.3564423	0.0050752014	0.074499995	127.0	21.432133436203003	0.0	0.0	0.0	0.0	0.0
1	0.05679801	0.05015642	0.24565215	0.0072078956	500.0	0.05694179	0.035181165	0.15109251	-0.011436567	32000	2.9802322e-08	0.0010557809	-0.006801779	-0.0008188881	1.3564423	0.0062526152	0.062562495	127.0	41.1872124671936	0.0	0.0	0.0	0.0	0.0
2	0.07094978	0.0403698	0.19725424	0.014119159	500.0	0.04166093	0.030952739	0.13769023	-0.014794439	48000	2.2351742e-08	0.00046403465	-0.0070291823	-0.00032663328	1.3564423	0.007228551	0.066625	127.0	60.72627139091492	0.0	0.0	0.0	0.0	0.0
3	0.092678264	0.0621927	0.22945055	0.013671562	500.0	0.039063673	0.025254996	0.114880264	-0.0049043335	64000	2.142042e-08	0.00033425709	-0.006693188	-0.00020396059	1.3564423	0.0053450977	0.062562495	127.0	80.21896839141846	0.0	0.0	0.0	0.0	0.0
4	0.13542499	0.09388282	0.3806065	0.005837928	500.0	0.041033104	0.023011884	0.111506835	0.0016921051	80000	0.0	0.00065604656	-0.0064674504	-0.00029669114	1.3564423	0.0064236782	0.062625	127.0	100.58604288101196	0.0	0.0	0.0	0.0	0.0
5	0.16977698	0.09153597	0.42893952	0.032149266	500.0	0.041963737	0.012927559	0.1005705	-0.00037262216	96000	1.4901161e-08	0.00059595425	-0.0059547247	-0.0001957741	1.3564423	0.007780851	0.060625	127.0	121.01940870285034	0.0	0.0	0.0	0.0	0.0
6	0.24729724	0.14072454	0.59990734	0.062251434	500.0	0.047718428	0.009701879	0.08043021	0.0037327074	112000	2.0489097e-08	0.0014539848	-0.005686818	-0.00044961632	1.3564423	0.0063060485	0.0495625	127.0	140.20349884033203	0.0	0.0	0.0	0.0	0.0
7	0.40569395	0.23773843	1.1414963	0.11335378	500.0	0.05977677	0.018155888	0.10936203	0.017156292	128000	1.4901161e-08	0.0039315084	-0.005943195	-0.0013149078	1.3564423	0.0064488794	0.0594375	127.0	159.6511468887329	0.0	0.0	0.0	0.0	0.0
8	0.61073726	0.30153847	1.5259087	0.21476865	500.0	0.09258329	0.030700136	0.17073606	-0.0037019365	144000	-2.2351742e-08	0.0075519676	-0.0069012167	-0.0021849624	1.3564423	0.005271874	0.06425	127.0	177.87730765342712	0.0	0.0	0.0	0.0	0.0
9	1.4842236	0.90631944	4.0997868	0.3026538	500.0	0.15864077	0.053567495	0.25954825	-0.020282386	160000	1.3038516e-08	0.07649346	-0.005683303	-0.030748934	1.3564423	0.0047716927	0.0564375	127.0	198.9463930130005	0.0	0.0	0.0	0.0	0.0
10	3.1888428	2.2279937	10.128005	0.7886545	500.0	0.37240985	0.11363606	0.7364284	-0.026047528	176000	3.3527613e-08	0.37385717	-0.0067720884	-0.17972505	1.3564423	0.0069887093	0.06568751	127.0	219.33700394630432	0.0	0.0	0.0	0.0	0.0
11	6.4814487	3.8044324	20.89901	1.7036753	500.0	0.8937922	0.3316635	1.9563708	-0.29916176	192000	2.2351742e-08	1.1375192	-0.010770394	-0.4834444	1.3564423	0.008429006	0.105875	127.0	239.26788210868835	0.0	0.0	0.0	0.0	0.0
12	11.564744	4.2600055	21.455357	3.3285863	500.0	2.3305538	0.9047174	4.464913	-0.36472464	208000	-2.6077032e-08	2.1075597	-0.008923316	-0.6693405	1.3564423	0.006466944	0.089	127.0	261.84852838516235	0.0	0.0	0.0	0.0	0.0
13	7.0620613	5.170704	18.424255	0.14860585	500.0	3.2805765	1.4349365	5.3517885	-0.27385777	224000	6.7055225e-08	2.8199058	-0.005471252	-1.539875	1.3564423	0.0037752166	0.0341875	127.0	282.96660685539246	0.0	0.0	0.0	0.0	0.0
14	9.561578	5.2094884	17.853012	0.14482714	500.0	2.3813388	1.385897	4.756967	-1.0013552	240000	-3.7252903e-09	1.5401442	-0.008230139	-0.30902904	1.3564423	0.005605339	0.06525	127.0	302.91952538490295	0.0	0.0	0.0	0.0	0.0
15	15.82999	4.993678	28.7735	7.3633504	500.0	2.9371526	1.3506583	5.08462	-0.94025695	256000	-7.450581e-09	2.3077633	-0.009697458	-0.9932956	1.3564423	0.007115652	0.08575	127.0	323.93625235557556	0.0	0.0	0.0	0.0	0.0
16	13.966462	3.7441695	19.185299	4.276536	500.0	4.2083154	1.6412688	6.245094	-0.92477095	272000	3.7252903e-09	2.3664412	-0.007480695	-0.75381887	1.3564423	0.006661186	0.0548125	127.0	346.0066764354706	0.0	0.03125	0.0	0.0	0.0
17	17.138166	4.9896283	25.633827	9.201478	500.0	3.8338945	0.9944495	5.2339883	0.5533847	288000	0.0	2.598509	-0.0073417407	-0.3183421	1.3564423	0.0070179356	0.0633125	127.0	365.73084449768066	0.0	0.0625	0.0	0.0	0.0
18	19.89932	8.364154	52.892014	8.498864	500.0	4.1352177	0.708767	4.981925	1.1183891	304000	3.7252903e-09	5.390801	-0.007514769	-0.5430062	1.3564423	0.0072156847	0.0624375	127.0	388.483900308609	0.0	0.1875	0.0	0.0	0.0
19	20.311142	7.776957	46.700718	7.4934716	500.0	4.5157723	0.61781824	5.6759562	1.5549079	320000	-1.4901161e-08	3.7456217	-0.0071694655	-0.5232868	1.3564423	0.0057378504	0.063125	127.0	407.86583065986633	0.0	0.03125	0.0	0.0	0.0
20	21.389536	4.429654	31.037354	13.111356	500.0	4.782136	0.6784383	6.084947	1.7336955	336000	-1.8626451e-09	2.192471	-0.007966603	-0.4014698	1.3564423	0.0072717816	0.067875	127.0	428.43905377388	0.0	0.09375	0.0	0.0	0.0
21	25.689775	5.482256	37.452686	17.586237	500.0	4.940451	0.88349473	6.4644637	1.0818826	352000	3.7252903e-08	2.8674495	-0.008576276	-0.816502	1.3564423	0.005236733	0.064875	127.0	450.4885096549988	0.0	0.25	0.0	0.0	0.0
22	24.691858	8.619887	56.014553	15.999413	500.0	5.727801	1.0213968	7.4057384	0.7963013	368000	1.4901161e-08	4.0424485	-0.0062589543	-0.31697607	1.3564423	0.006661838	0.060624998	127.0	469.5786008834839	0.0	0.21875	0.0	0.0	0.0
23	28.11641	9.136311	47.237343	12.740067	500.0	5.816953	0.94832474	7.503051	1.0099629	384000	7.450581e-09	5.0648713	-0.008092043	-0.8235129	1.3564423	0.005528804	0.0636875	127.0	490.53803610801697	0.0	0.21875	0.0	0.0	0.0
24	28.460533	9.2346525	63.344444	19.003376	500.0	6.1371484	1.0976326	8.328063	2.1237772	400000	-1.1175871e-08	4.16072	-0.008357534	-0.4264014	1.3564423	0.008332001	0.079875	127.0	510.6823139190674	0.0	0.34375	0.0	0.0	0.0
25	29.052364	6.204203	39.27132	16.260168	500.0	6.428108	1.2479215	8.554019	2.2845755	416000	-7.450581e-09	2.5467992	-0.0094930865	-0.2666603	1.3564423	0.0064359573	0.06981249	127.0	532.3794951438904	0.0	0.1875	0.0	0.0	0.0
26	31.003202	8.130783	60.80684	14.817646	500.0	6.5066047	1.0737381	8.255422	2.8859322	432000	-7.450581e-09	4.132388	-0.007672663	-0.6229468	1.3564423	0.0063034752	0.0684375	127.0	553.7174139022827	0.0	0.3125	0.0	0.0	0.0
27	30.47737	7.2442083	44.075207	13.918317	500.0	6.5940037	1.3653692	9.003055	3.070576	448000	1.4901161e-08	2.6241255	-0.008680648	-0.40580547	1.3564423	0.0054306244	0.0626875	127.0	573.6870818138123	0.0	0.1875	0.0	0.0	0.0
