Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.022202883	0.024689956	0.1097105	0.0018804722	500.0	0.18829092	0.019738244	0.25710547	0.12590405	16000	-2.0489097e-07	0.022758383	-0.0073314384	-0.021680515	1.3564423	0.0053969193	0.0643125	127.0	22.669245958328247	0.0	0.0	0.0	0.0	0.0
1	0.03333506	0.03510018	0.15093975	0.0025000677	500.0	0.04574219	0.03730965	0.16155384	-0.018489607	32000	9.313226e-09	0.00085844495	-0.007876854	-0.0006704703	1.3564423	0.006336051	0.068124995	127.0	41.68447232246399	0.0	0.0	0.0	0.0	0.0
2	0.045288328	0.035569802	0.16120815	0.0025011608	500.0	0.03607963	0.032439385	0.13595846	-0.021782264	48000	-1.1175871e-08	0.00044555918	-0.007896999	-0.00031006394	1.3564423	0.006412209	0.0705	127.0	75.27481269836426	0.0	0.0	0.0	0.0	0.0
3	0.048939914	0.037857715	0.14203228	0.0033041236	500.0	0.034031067	0.026977316	0.11074403	-0.014259158	64000	1.8626451e-08	0.00032894703	-0.007507785	-0.00023587483	1.3564423	0.0057941857	0.0675	127.0	107.76769685745239	0.0	0.0	0.0	0.0	0.0
4	0.07087668	0.05119798	0.20461874	0.0031691738	500.0	0.03184689	0.02322964	0.103507966	-0.0046544224	80000	5.5879354e-09	0.0003013602	-0.0075466856	-0.00016879836	1.3564423	0.005974598	0.0660625	127.0	130.2190704345703	0.0	0.0	0.0	0.0	0.0
5	0.08374291	0.05375881	0.24915221	0.0053992877	500.0	0.02914922	0.015584446	0.09751188	-0.004139174	96000	-1.8626451e-08	0.0002137048	-0.007021917	-9.827996e-05	1.3564423	0.0076509714	0.069749996	127.0	150.55470252037048	0.0	0.0	0.0	0.0	0.0
6	0.11240204	0.061968032	0.27151176	0.035342347	500.0	0.033078574	0.013958683	0.08864063	-0.0066983476	112000	9.313226e-10	0.00036138954	-0.006025525	-0.0001376329	1.3564423	0.0052125147	0.047562502	127.0	173.92171931266785	0.0	0.0	0.0	0.0	0.0
7	0.15337145	0.07565977	0.35148782	0.042561363	500.0	0.033067107	0.008508517	0.069390774	0.0017688759	128000	1.8626451e-09	0.00042684248	-0.0068764742	-0.00012665696	1.3564423	0.006773676	0.0635625	127.0	193.64490342140198	0.0	0.0	0.0	0.0	0.0
8	0.20590435	0.07599056	0.4044519	0.09020921	500.0	0.040849265	0.009165992	0.071073875	-0.007401511	144000	-9.313226e-09	0.0006869809	-0.0063275453	-0.00019432884	1.3564423	0.0045266715	0.0515625	127.0	212.97642827033997	0.0	0.0	0.0	0.0	0.0
9	0.34255967	0.16830416	0.875254	0.11259207	500.0	0.05357245	0.01832023	0.09613143	0.00866745	160000	-1.8626451e-08	0.0021167332	-0.006339458	-0.00073388166	1.3564423	0.0040537054	0.0513125	127.0	232.68711709976196	0.0	0.0	0.0	0.0	0.0
10	0.48953125	0.3292013	1.8640481	0.11356417	500.0	0.072074264	0.027275033	0.15066978	0.0022915825	176000	1.1175871e-08	0.006400526	-0.0058468585	-0.002500512	1.3564423	0.006966155	0.0640625	127.0	253.3265027999878	0.0	0.0	0.0	0.0	0.0
11	0.71575356	0.3780199	1.685369	0.1685925	500.0	0.122256085	0.056398787	0.32146826	-0.060160473	192000	-1.6763806e-08	0.011136301	-0.009142749	-0.0034295747	1.3564423	0.007187563	0.09125	127.0	274.52680802345276	0.0	0.0	0.0	0.0	0.0
12	1.4416776	1.2211077	5.281824	0.045202617	500.0	0.2343125	0.09072517	0.49181223	-0.08438489	208000	0.0	0.10573808	-0.0050815432	-0.038599588	1.3564423	0.004767202	0.046187498	127.0	295.40513825416565	0.0	0.0	0.0	0.0	0.0
13	2.8189526	2.7201602	10.216732	0.06008039	500.0	0.38240808	0.2329766	0.9982875	-0.3554547	224000	1.8626451e-08	0.42662543	-0.0059111705	-0.16211364	1.3564423	0.006694122	0.090812504	127.0	315.748318195343	0.0	0.0	0.0	0.0	0.0
14	5.2105217	3.5351696	14.468422	0.76287436	500.0	0.8897883	0.5602211	2.1881416	-0.8279425	240000	-3.3527613e-08	0.7973542	-0.007316094	-0.25040835	1.3564423	0.008267063	0.0803125	127.0	336.39431858062744	0.0	0.0	0.0	0.0	0.0
15	9.795069	7.6280823	33.847794	0.06193055	500.0	1.7506304	0.9075465	4.0301523	-0.7578315	256000	7.450581e-09	3.2824051	-0.0062086573	-1.0589386	1.3564423	0.005755651	0.08068749	127.0	356.2964277267456	0.0	0.09375	0.0	0.0	0.0
16	11.418973	7.450511	39.2438	0.25048035	500.0	2.8372617	1.5589556	6.2453895	-2.7008321	272000	1.1175871e-08	2.6536846	-0.008532902	-0.2791965	1.3564423	0.007171344	0.077	127.0	379.8167917728424	0.0	0.09375	0.0	0.0	0.0
17	11.562424	6.825031	33.50413	1.1179742	500.0	3.200192	2.0538535	7.3115015	-1.9823505	288000	-5.5879354e-09	1.602026	-0.009807935	-0.5370568	1.3564423	0.0065869335	0.073125005	127.0	402.2099812030792	0.0	0.0625	0.0	0.0	0.0
18	14.326009	7.7291765	46.87852	0.43386567	500.0	3.5864263	1.9414917	6.679608	-1.0760559	304000	7.450581e-09	2.5922518	-0.0066335374	-0.14463909	1.3564423	0.006410827	0.0635	127.0	423.6869571208954	0.0	0.0625	0.0	0.0	0.0
19	13.670946	6.2178984	33.200935	3.039263	500.0	4.0660505	1.8364539	7.1171756	-0.31967503	320000	-7.450581e-09	2.3109345	-0.005960221	-0.45049673	1.3564423	0.00399255	0.039	127.0	444.7265555858612	0.0	0.09375	0.0	0.0	0.0
20	23.692371	20.514713	81.122765	2.6485412	500.0	3.7257428	1.422977	6.452286	-0.0019865725	336000	2.0489097e-08	22.52807	-0.007338247	-4.5198154	1.3564423	0.007275845	0.073874995	127.0	465.8256165981293	0.0	0.34375	0.0	0.0	0.0
21	17.878582	11.629666	65.57596	3.732391	500.0	5.5112658	2.2700987	9.593658	-0.27670798	352000	3.9115548e-08	7.35652	-0.00591802	-1.3806176	1.3564423	0.004780383	0.04325	127.0	487.7275137901306	0.0	0.09375	0.0	0.0	0.0
22	14.339125	3.2191167	20.143738	2.2625716	500.0	5.037668	1.8138149	8.310464	-0.32131097	368000	-1.4901161e-08	3.105753	-0.0068629053	-2.2655888	1.3564423	0.006394935	0.054437496	127.0	509.0713610649109	0.0	0.0	0.0	0.0	0.0
23	18.940765	12.513149	66.64509	3.747503	500.0	3.9750738	1.1022991	7.0707893	0.5343186	384000	7.450581e-09	7.327121	-0.00687557	-1.0925355	1.3564423	0.008060889	0.0828125	127.0	532.7289726734161	0.0	0.09375	0.0	0.0	0.0
24	20.549644	14.233421	65.58047	3.1271172	500.0	4.3347197	1.5472921	7.925674	-0.9691372	400000	1.8626451e-09	10.28307	-0.006824036	-0.728964	1.3564423	0.0061937952	0.0639375	127.0	553.961897611618	0.0	0.25	0.0	0.0	0.0
25	20.712597	11.904622	55.8832	0.5895077	500.0	4.741948	1.4520224	7.8721237	-0.048431907	416000	2.0489097e-08	7.5815134	-0.00768887	-0.8012841	1.3564423	0.008052383	0.073562495	127.0	574.3019850254059	0.0	0.125	0.0	0.0	0.0
26	21.425758	9.877163	66.38136	5.868825	500.0	5.1519327	1.6356707	8.696363	-1.0837377	432000	-1.1175871e-08	5.5006275	-0.006981693	-0.18903336	1.3564423	0.004592571	0.0541875	127.0	595.7584578990936	0.0	0.09375	0.0	0.0	0.0
27	21.59161	9.949285	64.73664	13.457007	500.0	5.224746	1.5716918	8.419742	-0.96328765	448000	7.450581e-09	4.8665133	-0.007486507	-0.32885695	1.3564423	0.005309677	0.0634375	127.0	617.0201966762543	0.0	0.09375	0.0	0.0	0.0
28	24.035772	13.757058	82.13832	3.8284636	500.0	5.43115	1.7225313	9.290474	-0.97420806	464000	1.6763806e-08	9.243637	-0.0066298703	-0.74249864	1.3564423	0.006893982	0.067562506	127.0	637.5742287635803	0.0	0.28125	0.0	0.0	0.0
29	22.463087	14.173281	96.99076	11.23191	500.0	6.0286026	1.6434233	8.994385	-0.5982681	480000	1.4901161e-08	9.628782	-0.0069694333	-0.73546827	1.3564423	0.006065492	0.06568751	127.0	658.7364387512207	0.0	0.15625	0.0	0.0	0.0
30	27.775537	21.529018	97.533745	15.458306	500.0	5.6433077	1.395507	8.420541	-0.79073	496000	1.4901161e-08	20.698095	-0.005947867	-1.5800984	1.3564423	0.0068881386	0.054875	127.0	678.8064770698547	0.0	0.21875	0.0	0.0	0.0
31	23.397655	15.082898	82.07926	0.7454841	500.0	5.794455	1.9024007	8.796557	-1.2829232	512000	1.4901161e-08	10.001417	-0.008010797	-0.7316122	1.3564423	0.0054230597	0.0553125	127.0	699.5278708934784	0.0	0.21875	0.0	0.0	0.0
32	37.383602	27.252718	98.43333	0.94298285	500.0	6.0343914	1.7406691	9.498048	-1.3101668	528000	0.0	38.43036	-0.0060243583	-8.297057	1.3564423	0.0066487016	0.0523125	127.0	721.9563591480255	0.0	0.53125	0.0	0.0	0.0
33	25.29948	17.501059	106.41463	14.336572	500.0	8.356305	2.5275266	11.644436	-3.3763433	544000	-1.1175871e-08	19.895596	-0.0077965027	-5.416051	1.3564423	0.005850127	0.058624998	127.0	744.9839437007904	0.0	0.15625	0.0	0.0	0.0
34	22.414925	12.467822	67.73952	10.097372	500.0	6.629441	1.8611926	8.957332	0.09592874	560000	1.1175871e-08	10.183154	-0.007742147	-1.8440673	1.3564423	0.006717081	0.072625004	127.0	766.8460385799408	0.0	0.125	0.0	0.0	0.0
