Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.042406514	0.041777264	0.23570727	0.008071913	500.0	0.17704593	0.020041281	0.2385467	0.11827624	16000	-8.195639e-08	0.018759988	-0.008452268	-0.017834	1.3564423	0.0058531854	0.073125005	127.0	27.121828079223633	0.0	0.0	0.0	0.0	0.0
1	0.04476133	0.051802985	0.27814093	0.003961754	500.0	0.05942312	0.040789794	0.16744131	-0.014679501	32000	-3.3527613e-08	0.001266061	-0.0073448326	-0.0009666013	1.3564423	0.0062736245	0.0686875	127.0	48.994256019592285	0.0	0.0	0.0	0.0	0.0
2	0.089748204	0.067647696	0.24230224	0.010254287	500.0	0.0457272	0.035438858	0.16347015	-0.022145197	48000	0.0	0.0006049881	-0.007096404	-0.00038757033	1.3564423	0.0074766707	0.06575	127.0	70.9957263469696	0.0	0.0	0.0	0.0	0.0
3	0.101548925	0.08389965	0.36459404	0.020193713	500.0	0.046973456	0.029823786	0.14572835	-0.0036953278	64000	-3.3527613e-08	0.00053171767	-0.0065012896	-0.00029173464	1.3564423	0.0044912687	0.062625	127.0	93.42591905593872	0.0	0.0	0.0	0.0	0.0
4	0.11179169	0.0650234	0.27167752	0.026749242	500.0	0.04552285	0.02627009	0.13066295	0.003022205	80000	0.0	0.0004741657	-0.006103815	-0.00027152247	1.3564423	0.0056846915	0.0605625	127.0	117.22755312919617	0.0	0.0	0.0	0.0	0.0
5	0.17006165	0.103356056	0.3832254	0.027520908	500.0	0.047546577	0.022490617	0.14179362	-0.011446729	96000	1.1175871e-08	0.00080106873	-0.006445638	-0.00035828064	1.3564423	0.0074514877	0.058	127.0	140.70317697525024	0.0	0.0	0.0	0.0	0.0
6	0.18825215	0.100107536	0.41889846	0.049324505	500.0	0.053796228	0.017763808	0.13351095	0.007485859	112000	7.450581e-09	0.0007413083	-0.0065556327	-0.00022003095	1.3564423	0.0063636955	0.0594375	127.0	164.87003707885742	0.0	0.0	0.0	0.0	0.0
7	0.2695392	0.21036205	1.0660222	0.05421536	500.0	0.05075015	0.017535497	0.12963463	0.009122089	128000	4.8428774e-08	0.0024869242	-0.006157629	-0.00066585327	1.3564423	0.0066534756	0.059750002	127.0	187.27651071548462	0.0	0.0	0.0	0.0	0.0
8	0.3668218	0.17657925	0.8295229	0.1276985	500.0	0.07367575	0.021829668	0.14438999	0.0046564117	144000	-3.7252903e-09	0.002292902	-0.006713817	-0.0005730585	1.3564423	0.00534424	0.065937504	127.0	208.15359234809875	0.0	0.0	0.0	0.0	0.0
9	0.61994684	0.3832766	1.8398969	0.14785996	500.0	0.09652141	0.033786938	0.18679306	0.0011880398	160000	0.0	0.011738552	-0.004871088	-0.003371215	1.3564423	0.00416937	0.0508125	127.0	229.233154296875	0.0	0.0	0.0	0.0	0.0
10	0.9646976	0.8745365	4.9650927	0.32943717	500.0	0.15030566	0.06187527	0.32349163	-0.014469463	176000	0.0	0.040238973	-0.005940311	-0.013548275	1.3564423	0.0072431657	0.068875	127.0	251.23343920707703	0.0	0.0	0.0	0.0	0.0
11	1.9108264	1.1518255	4.8809896	0.52841234	500.0	0.30696344	0.15554327	0.7790241	-0.08078763	192000	-1.3969839e-08	0.089418784	-0.009777725	-0.022506392	1.3564423	0.007852852	0.1075625	127.0	272.23651361465454	0.0	0.0	0.0	0.0	0.0
12	5.40871	3.8650198	15.321621	1.3790711	500.0	0.64013404	0.26979357	1.7695116	-0.060975023	208000	-3.7252903e-08	1.0067847	-0.0070675006	-0.49326995	1.3564423	0.0054815775	0.0720625	127.0	295.48997712135315	0.0	0.0	0.0	0.0	0.0
13	9.8267975	4.5536537	22.629288	2.552849	500.0	1.6714112	0.7301109	3.817887	-0.43714032	224000	7.450581e-09	1.9612923	-0.006337885	-0.6963598	1.3564423	0.0068001226	0.0695	127.0	320.73273634910583	0.0	0.03125	0.0	0.0	0.0
14	9.302627	5.1361904	18.812656	0.8656734	500.0	2.723288	1.2053728	4.9304485	-0.7571512	240000	-3.7252903e-09	1.7054281	-0.007327363	-0.31139165	1.3564423	0.0065914444	0.0548125	127.0	344.44292163848877	0.0	0.0625	0.0	0.0	0.0
15	12.444328	7.0019984	38.113136	0.9174852	500.0	2.674481	1.1255832	4.460998	-0.8276977	256000	-1.1175871e-08	2.50323	-0.008827748	-0.7295873	1.3564423	0.0075714383	0.08375	127.0	367.3421468734741	0.0	0.03125	0.0	0.0	0.0
16	15.543306	6.704065	43.332565	5.427056	500.0	3.6461253	1.7774178	6.6420765	-2.2359962	272000	7.450581e-09	2.502366	-0.008094819	-0.3787017	1.3564423	0.0050905235	0.062124997	127.0	398.0132522583008	0.0	0.0625	0.0	0.0	0.0
17	16.918587	6.1631207	25.893261	3.9030912	500.0	4.277766	1.6011485	6.5318403	-0.5275595	288000	-7.450581e-09	2.6016164	-0.0059956256	-0.47785032	1.3564423	0.0057311957	0.0478125	127.0	428.45432138442993	0.0	0.0	0.0	0.0	0.0
18	16.605667	5.691504	24.252266	3.0938258	500.0	4.3543205	1.4529294	6.3711514	-0.371434	304000	-9.313226e-09	2.2197545	-0.008641303	-0.34437576	1.3564423	0.0060663056	0.066687495	127.0	459.02552342414856	0.0	0.0	0.0	0.0	0.0
19	21.056505	9.594287	60.843998	4.863267	500.0	4.567997	1.3311656	6.574936	0.67513543	320000	1.4901161e-08	4.766938	-0.007483806	-0.6638174	1.3564423	0.006670064	0.070999995	127.0	480.0481629371643	0.0	0.03125	0.0	0.0	0.0
20	21.87359	8.053968	49.757034	7.7662997	500.0	5.220948	1.1214031	7.272672	1.1027989	336000	-7.450581e-09	3.653693	-0.006350921	-0.32764655	1.3564423	0.005191173	0.0588125	127.0	503.07734513282776	0.0	0.0625	0.0	0.0	0.0
21	21.588673	9.482175	49.863335	9.576472	500.0	5.048135	1.2552488	6.87022	0.6801279	352000	1.4901161e-08	4.1541567	-0.0085927015	-0.6070747	1.3564423	0.0064940937	0.0649375	127.0	525.9492509365082	0.0	0.09375	0.0	0.0	0.0
22	21.983093	8.168443	45.66755	11.37857	500.0	4.9158664	1.3244064	7.31402	-0.6856808	368000	-1.8626451e-08	2.9462028	-0.008120623	-0.58818805	1.3564423	0.007682088	0.071875	127.0	548.47199177742	0.0	0.03125	0.0	0.0	0.0
23	23.13493	7.9248347	36.694794	11.516243	500.0	5.5456495	1.5116823	8.051475	0.25734663	384000	-7.450581e-09	2.785263	-0.008438119	-0.63826597	1.3564423	0.007984748	0.06225	127.0	570.505862236023	0.0	0.0	0.0	0.0	0.0
24	25.176592	8.764755	63.651634	14.35397	500.0	5.597728	1.4344075	8.169404	0.45190585	400000	1.4901161e-08	4.4143295	-0.008998853	-0.57243395	1.3564423	0.008936648	0.080249995	127.0	593.3135478496552	0.0	0.0625	0.0	0.0	0.0
25	25.739782	4.583074	37.832436	18.7662	500.0	6.013424	1.4007739	8.141439	0.77254266	416000	-2.0489097e-08	1.4087168	-0.008893574	-0.15413514	1.3564423	0.0063616955	0.0653125	127.0	616.8384020328522	0.0	0.0	0.0	0.0	0.0
26	27.008593	5.726721	37.564198	16.543015	500.0	6.085127	1.3653613	8.043646	1.0305424	432000	0.0	2.2409809	-0.0068913503	-0.34867942	1.3564423	0.0048051286	0.04975	127.0	637.7937927246094	0.0	0.0	0.0	0.0	0.0
27	28.176167	5.3002806	39.450104	18.360624	500.0	6.3027596	1.3899908	7.702574	1.085328	448000	0.0	1.6933084	-0.00882614	-0.15972003	1.3564423	0.0058092335	0.068812504	127.0	659.702125787735	0.0	0.0	0.0	0.0	0.0
28	28.293564	5.940189	40.92595	15.979522	500.0	6.707393	1.5973793	8.233416	1.3458259	464000	0.0	1.8765752	-0.0072166133	-0.16907676	1.3564423	0.0048360513	0.0405	127.0	682.0640091896057	0.0	0.0625	0.0	0.0	0.0
29	31.311956	4.8309927	38.94363	21.747448	500.0	6.6201777	1.602075	8.3572	1.2491415	480000	5.5879354e-09	1.6064023	-0.00890803	-0.3840383	1.3564423	0.006019775	0.06506251	127.0	706.991780757904	0.0	0.0	0.0	0.0	0.0
30	30.940392	4.987779	38.5816	19.077929	500.0	7.219628	1.598696	8.790407	1.9491652	496000	7.450581e-09	1.4719154	-0.0070958985	-0.12570275	1.3564423	0.0053152307	0.0499375	127.0	728.7605323791504	0.0	0.0	0.0	0.0	0.0
31	32.835922	7.3556724	65.63285	21.639475	500.0	7.240915	1.6814109	9.034385	2.0328732	512000	7.450581e-09	2.5928812	-0.0058542946	-0.34332943	1.3564423	0.005544165	0.0466875	127.0	752.3074712753296	0.0	0.09375	0.0	0.0	0.0
32	33.400543	4.6430936	40.46703	19.290575	500.0	7.7268414	1.824596	10.084546	2.040315	528000	1.1175871e-08	1.1010505	-0.007817063	-0.07276985	1.3564423	0.0052096974	0.0536875	127.0	776.7469770908356	0.0	0.03125	0.0	0.0	0.0
33	34.934696	3.60749	40.755737	24.50661	500.0	7.8696465	1.7350627	9.941228	2.5249624	544000	7.450581e-09	0.95054054	-0.008044358	-0.10981108	1.3564423	0.007911859	0.0615	127.0	801.102432012558	0.0	0.0	0.0	0.0	0.0
34	35.336105	3.3867438	41.591747	22.548409	500.0	8.18932	1.6993781	9.824902	2.8260338	560000	0.0	0.77546203	-0.0075293654	-0.12589285	1.3564423	0.0054165805	0.056125	127.0	827.2540626525879	0.0	0.0	0.0	0.0	0.0
35	36.00082	3.7876465	41.013653	27.452099	500.0	8.283781	1.898869	10.014544	2.6580088	576000	-2.9802322e-08	0.89695454	-0.009902911	-0.11251168	1.3564423	0.0076148896	0.087375	127.0	850.5988776683807	0.0	0.0	0.0	0.0	0.0
36	36.839188	3.8052425	43.591858	25.918655	500.0	8.336905	1.7104391	9.780929	2.9034748	592000	1.1175871e-08	0.81700116	-0.00793838	-0.15863736	1.3564423	0.005328498	0.0554375	127.0	873.4287223815918	0.0	0.03125	0.0	0.0	0.0
37	38.095154	4.051196	47.728912	24.14665	500.0	8.544138	1.7810887	10.497528	2.789007	608000	2.2351742e-08	0.9456939	-0.010085439	-0.17844118	1.3564423	0.0069988905	0.0765	127.0	895.8703529834747	0.0	0.03125	0.0	0.0	0.0
38	39.52294	3.190135	43.82282	27.227888	500.0	8.846141	1.6629364	10.306771	3.25643	624000	0.0	0.554808	-0.0092924	-0.051941946	1.3564423	0.006914561	0.07175	127.0	917.9207406044006	0.0	0.0	0.0	0.0	0.0
39	39.508026	5.05707	44.075108	18.528978	500.0	8.952947	1.6087707	10.4501505	3.5055578	640000	-5.5879354e-09	1.0211129	-0.008065432	-0.27418026	1.3564423	0.005990509	0.06325	127.0	941.1730713844299	0.0	0.0625	0.0	0.0	0.0
40	39.396523	4.762461	44.16777	25.241037	500.0	8.841567	1.6421994	11.018826	3.4957826	656000	1.1175871e-08	1.3622321	-0.009366546	-0.31417727	1.3564423	0.008409601	0.0674375	127.0	963.8955216407776	0.0	0.0625	0.0	0.0	0.0
41	42.396553	5.546986	67.54554	35.129833	500.0	9.115655	1.694807	10.870896	3.368568	672000	-1.4901161e-08	2.5430713	-0.007786533	-0.76102704	1.3564423	0.0074667796	0.069625005	127.0	985.8284571170807	0.0	0.1875	0.0	0.0	0.0
42	40.244217	5.003684	47.250908	23.248741	500.0	9.618866	1.7378434	11.345591	3.884615	688000	-1.1175871e-08	1.2884761	-0.010674565	-0.34855253	1.3564423	0.008841878	0.0779375	127.0	1010.6885621547699	0.0	0.0	0.0	0.0	0.0
43	43.152603	3.7742414	52.11304	30.408016	500.0	9.327225	1.7178917	11.16337	3.0469341	704000	1.4901161e-08	1.1604139	-0.008174291	-0.33095562	1.3564423	0.005754144	0.06425001	127.0	1033.735154390335	0.0	0.125	0.0	0.0	0.0
44	41.549408	6.922304	49.10691	16.017994	500.0	9.80714	1.7430167	11.276946	3.582723	720000	-1.8626451e-08	2.1168194	-0.009038804	-0.56819504	1.3564423	0.0076939855	0.068312496	127.0	1058.7240250110626	0.0	0.09375	0.0	0.0	0.0
45	43.576782	8.441628	81.26813	28.72959	500.0	9.635084	1.8346338	11.6731615	2.622761	736000	1.4901161e-08	4.4483767	-0.008966853	-0.913254	1.3564423	0.006432865	0.06362499	127.0	1081.857174396515	0.0	0.0625	0.0	0.0	0.0
46	44.243668	6.2012005	52.32423	15.661377	500.0	9.981941	1.8676703	11.77564	2.7109625	752000	0.0	1.6691804	-0.008820636	-0.45399168	1.3564423	0.0068986784	0.068312496	127.0	1105.1001634597778	0.0	0.15625	0.0	0.0	0.0
47	41.209957	8.343846	49.033455	13.503668	500.0	10.100535	1.8634862	11.683954	3.2761164	768000	-4.656613e-08	2.6174498	-0.008806918	-1.105325	1.3564423	0.007004353	0.0566875	127.0	1127.0661296844482	0.0	0.15625	0.0	0.0	0.0
48	43.83234	6.928928	53.256573	18.235239	500.0	9.80887	1.8261112	11.776728	2.0280495	784000	-7.450581e-09	2.3328493	-0.008624971	-0.5974398	1.3564423	0.005330038	0.059875	127.0	1150.371435880661	0.0	0.25	0.0	0.0	0.0
49	44.321426	5.9879794	49.57365	23.924252	500.0	10.05303	2.025256	12.2663355	3.115733	800000	1.3969839e-08	1.3963206	-0.0093145	-0.30522192	1.3564423	0.0072173616	0.0665625	127.0	1173.431393146515	0.0	0.125	0.0	0.0	0.0
50	47.940674	7.856712	78.62795	37.20853	500.0	10.295702	1.8659334	12.300899	3.8480017	816000	-1.4901161e-08	3.5800784	-0.0079460265	-0.6847565	1.3564423	0.005288353	0.0735	127.0	1197.2666268348694	0.0	0.25	0.0	0.0	0.0
51	45.870506	9.455711	80.97424	23.417988	500.0	10.778287	1.8612437	12.60858	3.78697	832000	7.450581e-09	4.131568	-0.008002512	-0.6061477	1.3564423	0.0062570376	0.058375	127.0	1220.3063111305237	0.0	0.25	0.0	0.0	0.0
52	43.13244	10.08176	78.2104	15.899905	500.0	10.374959	2.0251849	12.978224	4.688793	848000	-2.7939677e-09	4.392028	-0.009226601	-0.76725423	1.3564423	0.00833856	0.083000004	127.0	1244.584815979004	0.0	0.0625	0.0	0.0	0.0
53	45.66266	8.95824	80.09679	21.784351	500.0	10.132348	2.052573	13.013519	3.9445047	864000	0.0	4.194901	-0.008408457	-0.81203544	1.3564423	0.0058668964	0.0555625	127.0	1269.1100628376007	0.0	0.15625	0.0	0.0	0.0
54	41.852966	9.283018	54.892796	19.186882	500.0	10.419635	2.0489874	13.117063	3.3913457	880000	-7.450581e-09	3.6831203	-0.009336587	-1.3923461	1.3564423	0.0072219064	0.062	127.0	1292.8094971179962	0.0	0.3125	0.0	0.0	0.0
