Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.037089463	0.037944093	0.14024192	0.0042308224	500.0	0.19286925	0.016367812	0.2426691	0.1377544	16000	4.7311187e-07	0.023067322	-0.0070237042	-0.02204153	1.3564423	0.004943207	0.060625	127.0	23.186245441436768	0.0	0.0	0.0	0.0	0.0
1	0.043591738	0.03910031	0.15729223	0.0037677875	500.0	0.0550999	0.035609066	0.15649374	-0.016280558	32000	7.450581e-09	0.0010420867	-0.0065921443	-0.0008243991	1.3564423	0.0060118977	0.060062498	127.0	43.417253494262695	0.0	0.0	0.0	0.0	0.0
2	0.040589422	0.029244246	0.1313436	0.0088805845	500.0	0.036437564	0.030532142	0.11735205	-0.02212253	48000	1.21071935e-08	0.000415453	-0.0073584765	-0.0002987687	1.3564423	0.0073328447	0.070250005	127.0	64.23311233520508	0.0	0.0	0.0	0.0	0.0
3	0.048256643	0.034064393	0.13288337	0.0077906423	500.0	0.0328288	0.026112463	0.121060506	-0.011364853	64000	2.6077032e-08	0.0002471414	-0.0074234568	-0.00017455422	1.3564423	0.005484399	0.068375	127.0	85.59324502944946	0.0	0.0	0.0	0.0	0.0
4	0.05997832	0.04245249	0.1421708	0.00465553	500.0	0.025788708	0.019595338	0.09534679	-0.003306482	80000	0.0	0.00014312397	-0.006697292	-9.1313865e-05	1.3564423	0.0051529994	0.060562503	127.0	106.00329852104187	0.0	0.0	0.0	0.0	0.0
5	0.041730944	0.026361756	0.14096577	0.009025805	500.0	0.020711746	0.018535063	0.10065505	-0.005943913	96000	-2.9802322e-08	8.689205e-05	-0.008431176	-5.441618e-05	1.3564423	0.0076387543	0.07925	127.0	127.27934551239014	0.0	0.0	0.0	0.0	0.0
6	0.052983023	0.049510624	0.22275585	0.011169361	500.0	0.02062403	0.018855816	0.10443885	-0.0014125854	112000	1.4901161e-08	9.152405e-05	-0.008155879	-3.8824623e-05	1.3564423	0.005975254	0.0699375	127.0	149.0769453048706	0.0	0.0	0.0	0.0	0.0
7	0.061131757	0.04517383	0.17744695	0.011293846	500.0	0.021884384	0.016095543	0.09601557	-0.0012223646	128000	3.7252903e-09	7.1303955e-05	-0.007578828	-2.6023314e-05	1.3564423	0.007227508	0.071	127.0	169.90583109855652	0.0	0.0	0.0	0.0	0.0
8	0.08412823	0.06856538	0.27411214	0.016911516	500.0	0.022496525	0.012255863	0.09109781	-0.0029358417	144000	0.0	0.00014023208	-0.0062811095	-2.3330484e-05	1.3564423	0.0052746106	0.060125	127.0	190.65040278434753	0.0	0.0	0.0	0.0	0.0
9	0.11294881	0.090530746	0.3591861	0.022086427	500.0	0.025698548	0.010629456	0.082396105	-0.0021332242	160000	2.2351742e-08	0.00018603052	-0.0067446064	-4.5284964e-05	1.3564423	0.0043956838	0.0606875	127.0	211.77392840385437	0.0	0.0	0.0	0.0	0.0
10	0.14308023	0.09985532	0.41816297	0.027748547	500.0	0.0301865	0.0117436545	0.08749675	0.004062146	176000	-7.450581e-09	0.00024302129	-0.0063129934	-6.200091e-05	1.3564423	0.0068867784	0.059249997	127.0	232.5664782524109	0.0	0.0	0.0	0.0	0.0
11	0.17872871	0.17538893	0.7692147	0.0067691444	500.0	0.032801904	0.014176397	0.09191856	-0.00952019	192000	1.4901161e-08	0.0011273532	-0.0047514853	-0.0003609962	1.3564423	0.0059747705	0.0591875	127.0	254.11553382873535	0.0	0.0	0.0	0.0	0.0
12	0.2357789	0.19988436	0.7637665	0.034747206	500.0	0.04773497	0.022063592	0.10478197	-0.01573666	208000	-3.7252903e-09	0.00123216	-0.0051527545	-0.00031912752	1.3564423	0.0053071235	0.0576875	127.0	275.88286328315735	0.0	0.0	0.0	0.0	0.0
13	0.246207	0.2129849	0.77898467	0.03528063	500.0	0.0644106	0.033181537	0.14760095	-0.023783129	224000	-7.450581e-09	0.0012356385	-0.005829806	-0.00033024323	1.3564423	0.005581203	0.0559375	127.0	296.3586571216583	0.0	0.0	0.0	0.0	0.0
14	0.22717854	0.22240636	1.1231171	0.053100888	500.0	0.05901213	0.036956135	0.1573054	-0.058628887	240000	3.7252903e-09	0.0024283216	-0.004973046	-0.00046023433	1.3564423	0.0055569834	0.046375003	127.0	318.28887701034546	0.0	0.0	0.0	0.0	0.0
15	0.3975001	0.2088918	0.88061255	0.038439143	500.0	0.067637324	0.041431062	0.17575969	-0.081134215	256000	-1.1175871e-08	0.0035864646	-0.004756226	-0.0010106914	1.3564423	0.006315408	0.074750006	127.0	340.5797233581543	0.0	0.0	0.0	0.0	0.0
16	0.45914316	0.27187848	1.2691461	0.08596461	500.0	0.080635265	0.059951104	0.20924076	-0.113403484	272000	0.0	0.0060170162	-0.005238119	-0.0013186432	1.3564423	0.0064041093	0.0546875	127.0	360.7148892879486	0.0	0.0	0.0	0.0	0.0
17	0.5490836	0.42255172	1.634199	0.06225573	500.0	0.10725381	0.079955295	0.3455291	-0.11259156	288000	-9.313226e-09	0.013640438	-0.004297413	-0.0041482863	1.3564423	0.0057584355	0.047250003	127.0	382.104514837265	0.0	0.0	0.0	0.0	0.0
18	0.6391083	0.35090917	1.299371	0.044828217	500.0	0.13965207	0.12155011	0.49696073	-0.26611504	304000	3.259629e-09	0.010595169	-0.0059273136	-0.0017018314	1.3564423	0.006070317	0.0605625	127.0	402.4287202358246	0.0	0.0	0.0	0.0	0.0
19	0.92161417	0.72952497	3.3417308	0.07606346	500.0	0.15946998	0.12681992	0.5143547	-0.20682728	320000	-1.8626451e-09	0.039012622	-0.003983096	-0.008573053	1.3564423	0.0049531097	0.039437503	127.0	424.28923988342285	0.0	0.0	0.0	0.0	0.0
20	1.2568697	0.7324444	3.3439164	0.093245074	500.0	0.22259821	0.20184073	0.82421035	-0.44892117	336000	-1.8626451e-08	0.040111586	-0.005960236	-0.008519871	1.3564423	0.0061714975	0.069875	127.0	445.818635225296	0.0	0.0	0.0	0.0	0.0
21	1.1315641	1.072476	5.2996116	0.056949954	500.0	0.30484644	0.26177225	0.97767365	-0.31230593	352000	2.9802322e-08	0.08656188	-0.005959665	-0.01883301	1.3564423	0.006748964	0.06575	127.0	466.61791014671326	0.0	0.0	0.0	0.0	0.0
22	1.2245983	0.8686066	3.0727308	0.03761368	500.0	0.36536357	0.26796916	1.1378105	-0.27118245	368000	2.2351742e-08	0.07143788	-0.005660862	-0.021821018	1.3564423	0.0055650575	0.056187503	127.0	487.5522439479828	0.0	0.0	0.0	0.0	0.0
23	1.4976969	0.85911727	3.7070153	0.36387438	500.0	0.35176507	0.24440676	0.98510474	-0.2979673	384000	0.0	0.06631458	-0.00510079	-0.013458323	1.3564423	0.0057908194	0.0529375	127.0	508.5224392414093	0.0	0.0	0.0	0.0	0.0
24	1.762911	1.4187212	5.6635685	0.070087574	500.0	0.38305077	0.28076804	1.1794487	-0.27585888	400000	0.0	0.15501213	-0.0059233904	-0.044298872	1.3564423	0.0066169295	0.072749995	127.0	530.9082646369934	0.0	0.0	0.0	0.0	0.0
25	1.7024667	1.5639482	5.599364	0.030125758	500.0	0.40326715	0.29194364	1.1518718	-0.6178381	416000	3.7252903e-09	0.12518576	-0.0063905627	-0.031421453	1.3564423	0.005946338	0.0705	127.0	552.8257472515106	0.0	0.0	0.0	0.0	0.0
26	1.8413092	1.6118321	5.415022	0.051254377	500.0	0.4915315	0.37656787	1.4397488	-0.7073006	432000	0.0	0.13792649	-0.006005518	-0.03954748	1.3564423	0.005696575	0.067	127.0	573.9081151485443	0.0	0.0	0.0	0.0	0.0
27	3.2882566	2.4129407	9.807883	0.02412923	500.0	0.50666535	0.4579292	1.5511013	-0.97369933	448000	1.0244548e-08	0.32064962	-0.008220474	-0.09318904	1.3564423	0.007371573	0.1034375	127.0	594.5306055545807	0.0	0.0	0.0	0.0	0.0
28	3.5892625	2.3764808	9.655447	0.69615805	500.0	1.0036576	0.7323089	2.7523096	-0.71482384	464000	1.3038516e-08	0.4603904	-0.007541629	-0.18225539	1.3564423	0.004888605	0.0639375	127.0	615.1277210712433	0.0	0.0	0.0	0.0	0.0
29	2.9942327	2.6676686	9.743899	0.1706915	500.0	0.8613677	0.6505553	2.3913102	-0.7251385	480000	1.6763806e-08	0.38059366	-0.009720791	-0.085632	1.3564423	0.007340837	0.0799375	127.0	636.0587940216064	0.0	0.0	0.0	0.0	0.0
30	5.8720903	2.4379017	12.250224	0.87337446	500.0	0.90167886	0.73592925	3.0908751	-0.6569998	496000	-4.0978193e-08	0.8287994	-0.008880677	-0.45882064	1.3564423	0.007069531	0.08475	127.0	658.1111743450165	0.0	0.0	0.0	0.0	0.0
