Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.0288712	1.0693123	5.7362084	0.16577889	500.0	0.10944257	0.013396374	0.13707276	0.06842165	16000	-7.450581e-09	0.068028994	-0.0037081214	-0.017134886	1.3475134	0.0055975076	0.04975	127.0	22.767025470733643	0.0	0.0	0.0	0.0	0.0
1	1.3266281	0.88203067	3.5971913	0.21559258	500.0	0.24286577	0.0602583	0.38574874	0.06725482	32000	-3.5390258e-08	0.044897184	-0.0063471016	-0.009385898	1.3475134	0.0056860913	0.0543125	127.0	44.50023651123047	0.0	0.0	0.0	0.0	0.0
2	2.0486906	1.3248671	5.2775702	0.14592752	500.0	0.3346836	0.09139833	0.53588486	0.112050995	48000	0.0	0.11511439	-0.0043923045	-0.040695097	1.3475134	0.0042822915	0.046125002	127.0	64.08208227157593	0.0	0.0	0.0	0.0	0.0
3	5.076539	4.6481853	18.185385	0.2834221	500.0	0.5378246	0.20411369	0.97746104	0.03240762	64000	4.4703484e-08	1.5410827	-0.0058447067	-0.6750378	1.3475134	0.0057466486	0.05525	127.0	84.48635077476501	0.0	0.0	0.0	0.0	0.0
4	5.637453	4.0974355	15.1464815	0.8564922	500.0	1.3688816	0.5634899	2.8156047	-0.30725193	80000	-1.4901161e-08	1.0075572	-0.0069364863	-0.3384823	1.3475134	0.0077962764	0.08068751	127.0	106.18835997581482	0.0	0.0	0.0	0.0	0.0
5	6.57708	4.0900908	18.256365	1.4088477	500.0	1.7609895	0.9423616	3.7466295	-0.35470834	96000	-1.8626451e-09	0.74990714	-0.007415535	-0.15537058	1.3475134	0.005451656	0.072625	127.0	127.33815026283264	0.0	0.0	0.0	0.0	0.0
6	15.345554	7.151155	29.354103	4.617804	500.0	2.3617213	1.1998953	4.7255964	-0.60932374	112000	-2.2351742e-08	4.947478	-0.0061044884	-2.201585	1.3475134	0.0071242834	0.0693125	127.0	149.40312266349792	0.0	0.0	0.0	0.0	0.0
7	21.66444	6.315252	40.17119	6.525226	500.0	4.2293983	1.7495214	6.7704873	-0.573622	128000	-1.8626451e-08	4.5898666	-0.0066685034	-1.7552965	1.3475134	0.005651025	0.066750005	127.0	171.6992700099945	0.0	0.125	0.0	0.0	0.0
8	21.026957	6.949003	35.906597	7.2004356	500.0	5.4439545	2.3464544	8.673839	-1.1844566	144000	1.8626451e-08	3.8098893	-0.0073858374	-0.24416506	1.3475134	0.0069408356	0.0600625	127.0	195.15809202194214	0.0	0.0	0.0	0.0	0.0
9	24.71018	8.60381	46.850803	10.75824	500.0	5.838792	2.2919002	8.465873	-0.85873437	160000	3.7252903e-09	5.202547	-0.0069215233	-0.43335944	1.3475134	0.0049190256	0.0508125	127.0	217.68512630462646	0.0	0.125	0.0	0.0	0.0
10	25.634401	7.5734057	37.38554	8.870006	500.0	6.313518	2.2511892	8.715984	-0.38814378	176000	2.9802322e-08	4.7427826	-0.0064111752	-0.14904363	1.3475134	0.0049662148	0.045875	127.0	239.27544045448303	0.0	0.03125	0.0	0.0	0.0
11	25.872368	7.717452	40.12619	12.286025	500.0	6.5988593	2.1569726	8.75781	-0.3805129	192000	0.0	5.6607203	-0.005972323	-0.284518	1.3475134	0.004936621	0.045625	127.0	261.1971092224121	0.0	0.0	0.0	0.0	0.0
12	27.085598	9.236484	42.39563	9.746425	500.0	6.5540566	1.8926765	8.320316	0.55041397	208000	2.9802322e-08	6.400072	-0.0070149703	-0.1011274	1.3475134	0.005829087	0.058187503	127.0	281.9622836112976	0.0	0.15625	0.0	0.0	0.0
13	28.563522	10.24454	57.903404	8.779002	500.0	6.7076426	1.862642	8.356187	0.73517346	224000	-9.313226e-09	7.491697	-0.006632425	-0.17001033	1.3475134	0.0067840945	0.0588125	127.0	303.58935737609863	0.0	0.15625	0.0	0.0	0.0
14	30.581354	11.228363	58.97425	13.468654	500.0	6.886708	1.8198547	8.46093	0.7380728	240000	0.0	7.2222066	-0.006577939	-1.155216	1.3475134	0.005282632	0.051375	127.0	325.7903661727905	0.0	0.125	0.0	0.0	0.0
15	33.863045	12.993558	87.694954	17.322592	500.0	7.3140273	2.0506191	9.603579	0.8988984	256000	-7.450581e-09	10.37038	-0.006310564	-1.2111033	1.3475134	0.006006204	0.0474375	127.0	347.17699909210205	0.0	0.21875	0.0	0.0	0.0
16	31.8171	8.551358	47.053963	13.758156	500.0	8.243587	2.3417735	10.985728	1.2345145	272000	1.3038516e-08	4.6818867	-0.0071511227	-0.7096026	1.3475134	0.0068422565	0.0665	127.0	371.30049324035645	0.0	0.09375	0.0	0.0	0.0
