Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.24987267	0.15893582	0.77677006	0.06438434	500.0	0.12392599	0.031015864	0.15193123	0.02707868	16000	-1.0058284e-07	0.0050975876	-0.0074692024	-0.0040614977	1.3475134	0.0052704173	0.0661875	127.0	20.36269760131836	0.0	0.0	0.0	0.0	0.0
1	0.29443222	0.16934043	0.7866542	0.07141613	500.0	0.08351831	0.023606502	0.15840909	0.019458838	32000	1.1175871e-08	0.0014472418	-0.008887661	-0.0005263224	1.3475134	0.00717547	0.095375	127.0	38.715898275375366	0.0	0.0	0.0	0.0	0.0
2	0.4238165	0.21401566	1.0067705	0.06570303	500.0	0.09904824	0.03511064	0.19332546	0.024390519	48000	7.450581e-09	0.0023546452	-0.007580448	-0.0009648596	1.3475134	0.0056090867	0.085999995	127.0	55.24649405479431	0.0	0.0	0.0	0.0	0.0
3	0.8633654	0.34430686	1.7426171	0.250616	500.0	0.12779757	0.04061775	0.24271387	0.014707215	64000	-5.401671e-08	0.010415471	-0.008437207	-0.0053529474	1.3475134	0.00741522	0.082499996	127.0	71.44718194007874	0.0	0.0	0.0	0.0	0.0
4	1.1942997	0.5222322	2.9026673	0.56745934	500.0	0.22818293	0.070715554	0.41275036	0.015608028	80000	-1.1175871e-08	0.015463278	-0.0074551147	-0.005963887	1.3475134	0.0070496006	0.07425	127.0	89.13157749176025	0.0	0.0	0.0	0.0	0.0
5	1.6754364	0.8143039	3.6454747	0.6264656	500.0	0.32829833	0.10219627	0.57913893	0.04124005	96000	-1.4901161e-08	0.03404259	-0.0073691565	-0.011194412	1.3475134	0.0062225834	0.0709375	127.0	107.08496284484863	0.0	0.0	0.0	0.0	0.0
6	1.8485262	0.8953574	5.626659	0.61731035	500.0	0.43595192	0.15410691	0.94918907	0.0558056	112000	1.8626451e-09	0.03729124	-0.0066508213	-0.009664692	1.3475134	0.008420887	0.095	127.0	125.39002084732056	0.0	0.0	0.0	0.0	0.0
7	2.1023076	1.2036815	5.796997	0.34159184	500.0	0.6117643	0.27990866	1.409318	-0.09204663	128000	-5.5879354e-09	0.05129825	-0.0068810615	-0.019531537	1.3475134	0.005258517	0.046812497	127.0	143.69893550872803	0.0	0.0	0.0	0.0	0.0
8	2.763862	2.186877	9.788102	0.5211294	500.0	0.56453097	0.29866958	1.3937222	-0.2067004	144000	7.450581e-09	0.23190637	-0.0046755066	-0.09370807	1.3475134	0.0040045762	0.04725	127.0	161.02994084358215	0.0	0.0	0.0	0.0	0.0
9	3.106612	2.9765828	15.521677	0.5214462	500.0	0.75187534	0.48555464	2.0198286	-0.51113707	160000	-1.4901161e-08	0.33529413	-0.004705034	-0.07799396	1.3475134	0.005464088	0.0474375	127.0	178.72447443008423	0.0	0.0	0.0	0.0	0.0
