Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.0149674	1.0382215	5.498699	0.1709679	500.0	0.11002868	0.013527297	0.137803	0.06842264	16000	-7.450581e-09	0.063814305	-0.0037527916	-0.016164571	1.3475134	0.0056217653	0.049937498	127.0	21.73614811897278	0.0	0.0	0.0	0.0	0.0
1	1.3206321	0.88935274	3.7549613	0.23154566	500.0	0.24001525	0.05844885	0.38476434	0.071042046	32000	-2.0489097e-08	0.04542502	-0.0061063804	-0.009579884	1.3475134	0.0055973614	0.0555625	127.0	39.8624222278595	0.0	0.0	0.0	0.0	0.0
2	2.0491543	1.3068131	4.9851456	0.14751108	500.0	0.33262244	0.09102244	0.5425004	0.11278605	48000	-2.9802322e-08	0.11543509	-0.0044594137	-0.042507686	1.3475134	0.0045215623	0.0485625	127.0	58.954522132873535	0.0	0.0	0.0	0.0	0.0
3	5.1496935	4.748321	18.735672	0.20982473	500.0	0.53930783	0.2071012	0.9864464	0.032823615	64000	2.2351742e-08	1.6214548	-0.005946806	-0.7065534	1.3475134	0.005751208	0.052562498	127.0	77.39048147201538	0.0	0.0	0.0	0.0	0.0
4	5.4517827	3.9877305	17.120651	0.87309253	500.0	1.4045732	0.5915685	2.7733076	-0.2224801	80000	-2.9802322e-08	0.8852006	-0.0073083136	-0.26918036	1.3475134	0.0081070075	0.0886875	127.0	98.31708359718323	0.0	0.0	0.0	0.0	0.0
5	6.564808	4.334627	19.474031	1.3016086	500.0	1.7669011	0.9666044	3.4185188	-0.43806	96000	1.3038516e-08	0.83820903	-0.0071856333	-0.20259184	1.3475134	0.0046780035	0.06375	127.0	116.98434329032898	0.0	0.0	0.0	0.0	0.0
6	14.1161	7.743963	31.370035	3.3375592	500.0	2.3097007	1.2094464	4.62534	-0.5278561	112000	-2.9802322e-08	4.4830794	-0.0056679486	-1.7635347	1.3475134	0.0070292563	0.0730625	127.0	135.8176610469818	0.0	0.0	0.0	0.0	0.0
7	21.201468	7.235494	41.264046	5.293298	500.0	4.05174	1.7724118	6.707308	-0.7296158	128000	-4.4703484e-08	4.951427	-0.007477421	-1.842368	1.3475134	0.0071800817	0.078999996	127.0	155.3899688720703	0.0	0.0	0.0	0.0	0.0
8	20.830593	7.034442	36.00903	7.1437964	500.0	5.503295	2.2315574	8.528048	-0.98865366	144000	7.450581e-09	3.7057772	-0.0073028486	-0.18806046	1.3475134	0.0070844	0.0599375	127.0	174.900000333786	0.0	0.0	0.0	0.0	0.0
9	23.595432	8.378385	41.22016	9.947279	500.0	5.79893	2.3189895	8.464942	-1.0038928	160000	3.7252903e-09	4.87006	-0.0066154804	-0.35572964	1.3475134	0.0051371455	0.0523125	127.0	195.3636293411255	0.0	0.09375	0.0	0.0	0.0
10	23.881098	6.652552	36.942616	9.182651	500.0	6.091506	2.152611	8.458757	-0.5051061	176000	-2.9802322e-08	4.100233	-0.0061741653	-0.16959989	1.3475134	0.0039435774	0.0371875	127.0	216.0374138355255	0.0	0.03125	0.0	0.0	0.0
11	24.156136	8.343392	40.145912	9.826352	500.0	6.221252	1.9610689	8.174444	-0.14517906	192000	1.4901161e-08	5.884852	-0.0068279267	-0.36121026	1.3475134	0.0049189134	0.0505	127.0	236.92733097076416	0.0	0.0	0.0	0.0	0.0
12	25.567722	9.832868	44.431232	8.980099	500.0	6.077997	1.674358	7.739316	0.3433629	208000	-1.1175871e-08	6.698226	-0.006069117	-0.16089295	1.3475134	0.005063303	0.0448125	127.0	255.53257131576538	0.0	0.0625	0.0	0.0	0.0
