Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.23839846	0.11959569	0.58833086	0.08008367	500.0	0.006891524	0.029238347	0.09207946	-0.066598594	16000	-1.8626451e-08	0.0022477328	-0.009351926	-0.0014938116	1.3564423	0.008576276	0.0891875	127.0	25.07986307144165	0.0	0.0	0.0	0.0	0.0
1	0.28592765	0.17536367	1.0319984	0.09081224	500.0	0.048938777	0.017275466	0.1191472	0.008441936	32000	-1.3038516e-08	0.001500455	-0.008118169	-0.00048567686	1.3564423	0.00993799	0.104875	127.0	46.16855502128601	0.0	0.0	0.0	0.0	0.0
2	0.64775085	0.28540978	1.2125269	0.23196296	500.0	0.071868375	0.017483365	0.13515498	0.021991968	48000	3.3527613e-08	0.006791766	-0.0079006925	-0.0037415596	1.3564423	0.007127541	0.081750005	127.0	67.75113606452942	0.0	0.0	0.0	0.0	0.0
3	0.84470797	0.39629248	1.8344488	0.25203773	500.0	0.1310686	0.048862994	0.25814608	-0.015230838	64000	0.0	0.007759285	-0.008946642	-0.0023689875	1.3564423	0.007991243	0.094	127.0	88.12885928153992	0.0	0.0	0.0	0.0	0.0
4	1.5083938	0.79809153	3.852037	0.5650647	500.0	0.19273615	0.04917592	0.3188396	-0.035749845	80000	2.2351742e-08	0.032928064	-0.009124418	-0.018150017	1.3564423	0.008396181	0.093624994	127.0	111.14821195602417	0.0	0.0	0.0	0.0	0.0
5	3.1816864	1.6442297	8.119148	1.2851981	500.0	0.41257018	0.083785705	0.66553724	0.10072163	96000	3.3527613e-08	0.15031645	-0.009735726	-0.0674732	1.3564423	0.007047428	0.094624996	127.0	134.42634773254395	0.0	0.0	0.0	0.0	0.0
6	6.7470994	3.416677	14.534012	1.3388187	500.0	0.82706916	0.1863521	1.4589783	0.25575057	112000	-1.071021e-08	0.8871801	-0.008623442	-0.44881624	1.3564423	0.0072873384	0.086875	127.0	158.51090908050537	0.0	0.0	0.0	0.0	0.0
7	12.391945	6.018619	28.652098	3.133705	500.0	1.7996627	0.49050257	3.1785834	0.15742128	128000	0.0	2.8167331	-0.00917949	-1.4065573	1.3564423	0.005441598	0.0749375	127.0	181.13698768615723	0.0	0.0	0.0	0.0	0.0
8	18.579145	4.489857	27.472034	8.694708	500.0	3.2686653	1.07935	5.5435677	0.20053333	144000	6.7055225e-08	2.6901908	-0.0115772365	-1.3412158	1.3564423	0.0073417104	0.097875	127.0	203.56241631507874	0.0	0.0	0.0	0.0	0.0
9	22.286612	5.6840034	38.85764	11.076653	500.0	4.718878	1.3750454	6.853388	0.5818821	160000	-2.6077032e-08	2.4305432	-0.0098183835	-0.66839784	1.3564423	0.006748155	0.0884375	127.0	228.58909845352173	0.0	0.0	0.0	0.0	0.0
10	22.407581	4.934062	33.6549	12.607503	500.0	5.7335587	1.7050856	7.8080244	0.49415213	176000	7.450581e-09	1.8332753	-0.008154107	-0.31104624	1.3564423	0.007137536	0.0625625	127.0	251.66954231262207	0.0	0.0	0.0	0.0	0.0
