Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.60864735	0.46334407	1.792555	0.09184696	500.0	0.0846055	0.011669117	0.1095256	0.0398783	16000	-1.1175871e-08	0.011004832	-0.0050778687	-0.003674576	1.3475134	0.0051989635	0.049000002	127.0	25.89618468284607	0.0	0.0	0.0	0.0	0.0
1	0.8254573	1.0925077	5.8637986	0.06495034	500.0	0.14632274	0.0316712	0.2397886	0.04399188	32000	-2.9802322e-08	0.049860217	-0.0050805863	-0.015074596	1.3475134	0.005196036	0.0575625	127.0	47.770339488983154	0.0	0.0	0.0	0.0	0.0
2	0.9914411	0.9696674	4.380886	0.0807354	500.0	0.23586859	0.08476196	0.45595714	0.011730976	48000	1.8626451e-08	0.030316584	-0.0073122177	-0.010758273	1.3475134	0.007233414	0.090625	127.0	68.17037606239319	0.0	0.0	0.0	0.0	0.0
3	3.385217	2.359631	10.807103	0.4154731	500.0	0.372643	0.17131594	0.852637	-0.06742149	64000	2.9802322e-08	0.3806955	-0.0062299185	-0.20517173	1.3475134	0.0055092135	0.06025	127.0	89.1560926437378	0.0	0.0	0.0	0.0	0.0
4	5.59175	4.9365377	18.20997	0.46120784	500.0	0.90479165	0.42769083	1.9604897	-0.224415	80000	1.4901161e-08	1.2232693	-0.0051732804	-0.57012606	1.3475134	0.0065739886	0.0635625	127.0	112.45929169654846	0.0	0.0	0.0	0.0	0.0
5	11.592701	7.6606164	29.276356	1.4857962	500.0	1.6820086	0.9332831	3.650865	-0.5882181	96000	0.0	4.0433116	-0.0075848754	-1.8070078	1.3475134	0.007587459	0.0904375	127.0	135.03939294815063	0.0	0.0	0.0	0.0	0.0
6	14.048391	5.1696587	23.760546	5.10788	500.0	3.2744703	1.6358074	6.005672	-1.1942109	112000	2.2351742e-08	2.254426	-0.0072225826	-0.6206567	1.3475134	0.0057225944	0.079625	127.0	157.07217478752136	0.0	0.0	0.0	0.0	0.0
7	15.282761	7.2969036	29.443825	1.8609816	500.0	4.1058416	2.088719	7.1873035	-1.6510481	128000	-7.450581e-09	3.052494	-0.007015027	-0.4086626	1.3475134	0.006033067	0.0548125	127.0	180.646094083786	0.0	0.0	0.0	0.0	0.0
8	19.475368	6.2166386	33.88473	6.4964514	500.0	4.4254527	2.0641453	7.2835016	-1.6407009	144000	-2.9802322e-08	3.2226877	-0.0073417877	-0.6099479	1.3475134	0.0059180805	0.066125005	127.0	204.070627450943	0.0	0.0	0.0	0.0	0.0
9	21.426998	7.4186234	39.302635	9.796888	500.0	5.283974	2.2243102	7.949419	-1.1169986	160000	2.2351742e-08	3.2849627	-0.0071898056	-0.38568702	1.3475134	0.0058702137	0.05575	127.0	225.4067897796631	0.0	0.0625	0.0	0.0	0.0
10	26.012142	10.214712	69.15701	14.472444	500.0	5.7364745	2.149428	8.778916	-0.8384437	176000	2.6077032e-08	7.990019	-0.0063097347	-0.7412809	1.3475134	0.0077043483	0.06625	127.0	249.3535361289978	0.0	0.15625	0.0	0.0	0.0
11	28.503834	10.854427	72.50398	12.566941	500.0	6.8563623	2.075104	8.904471	-0.20117813	192000	1.4901161e-08	6.557319	-0.006867317	-0.15577237	1.3475134	0.0052383235	0.051	127.0	272.48285698890686	0.0	0.03125	0.0	0.0	0.0
12	26.84134	7.291272	42.688324	15.861485	500.0	6.9444766	2.189275	9.270953	0.16439569	208000	1.4901161e-08	3.8774667	-0.0071491827	-0.12296596	1.3475134	0.005640058	0.0555625	127.0	296.1965551376343	0.0	0.09375	0.0	0.0	0.0
13	30.139156	8.269692	48.387165	13.644973	500.0	6.8744516	2.1307733	8.990536	0.092430614	224000	9.313226e-09	4.8277245	-0.00748598	-0.35767215	1.3475134	0.0067613567	0.0634375	127.0	317.06589245796204	0.0	0.21875	0.0	0.0	0.0
14	28.743378	7.6692576	43.4679	14.014917	500.0	7.3862605	2.0508099	9.056177	0.4031162	240000	-1.4901161e-08	4.1465855	-0.0055618994	-0.15677845	1.3475134	0.004156275	0.030812498	127.0	338.6089413166046	0.0	0.125	0.0	0.0	0.0
15	30.06115	7.267494	49.441936	13.049721	500.0	7.134697	1.9551815	8.659545	0.43861818	256000	-1.8626451e-09	3.9669862	-0.0062872446	-0.07868649	1.3475134	0.006269403	0.046375	127.0	363.32403779029846	0.0	0.0625	0.0	0.0	0.0
16	33.585823	5.838049	45.15624	22.66437	500.0	7.3026824	1.8995308	8.741037	0.5024271	272000	2.9802322e-08	3.6108456	-0.0069456245	-0.5792081	1.3475134	0.0059852013	0.049875	127.0	388.06586170196533	0.0	0.25	0.0	0.0	0.0
17	33.60067	6.6805577	52.192066	21.03349	500.0	7.9367385	2.220626	9.6507635	0.12748376	288000	2.7939677e-08	3.716188	-0.008256899	-0.28571165	1.3475134	0.008454233	0.066750005	127.0	411.41479754447937	0.0	0.25	0.0	0.0	0.0
18	33.414368	9.257314	53.983944	17.962605	500.0	8.016423	2.4119005	10.269831	0.07715358	304000	-7.450581e-09	5.1129365	-0.006930566	-0.33318037	1.3475134	0.0068887374	0.05675	127.0	433.79287099838257	0.0	0.15625	0.0	0.0	0.0
19	33.20153	9.091016	53.518818	19.59936	500.0	8.258672	2.365928	10.79288	1.2187841	320000	2.4214387e-08	4.968301	-0.0073677255	-0.58543575	1.3475134	0.0049365284	0.0468125	127.0	456.6762776374817	0.0	0.125	0.0	0.0	0.0
