Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.24832037	0.15615915	0.803659	0.07155155	500.0	0.12080226	0.031257372	0.14948241	0.02236171	16000	-1.8626451e-08	0.0048390497	-0.0075119464	-0.0038234387	1.3475134	0.0051308833	0.066	127.0	28.5604510307312	0.0	0.0	0.0	0.0	0.0
1	0.29599833	0.16836706	0.81863886	0.071162745	500.0	0.08362755	0.023300664	0.159713	0.020828195	32000	-1.1175871e-08	0.0014808263	-0.008574546	-0.0005400925	1.3475134	0.0067341593	0.0920625	127.0	46.55869460105896	0.0	0.0	0.0	0.0	0.0
2	0.43516183	0.21950242	1.0518439	0.065643005	500.0	0.09789433	0.034131322	0.18446834	0.025478736	48000	7.450581e-09	0.0025652407	-0.0073845345	-0.001062039	1.3475134	0.0057603526	0.086624995	127.0	65.77036905288696	0.0	0.0	0.0	0.0	0.0
3	0.92179334	0.36485654	1.8667219	0.25537044	500.0	0.13126987	0.04065257	0.23458284	0.012076139	64000	2.6077032e-08	0.012439523	-0.007851398	-0.006373915	1.3475134	0.0067516	0.074	127.0	87.48153901100159	0.0	0.0	0.0	0.0	0.0
4	1.2155786	0.521086	2.924416	0.5512988	500.0	0.22742188	0.06348942	0.37288874	0.01588253	80000	-1.1175871e-08	0.01579076	-0.0073953974	-0.0059516868	1.3475134	0.0069303983	0.074750006	127.0	107.32621669769287	0.0	0.0	0.0	0.0	0.0
5	1.7519139	0.7890014	3.7402463	0.6257879	500.0	0.33010834	0.0986332	0.5702014	0.04472722	96000	-2.9802322e-08	0.035092562	-0.0070564374	-0.011894962	1.3475134	0.006960678	0.0703125	127.0	129.0091655254364	0.0	0.0	0.0	0.0	0.0
6	1.995065	0.9466811	5.6916103	0.66955745	500.0	0.45031005	0.15332434	0.98067683	0.082690135	112000	1.8626451e-08	0.04751268	-0.0061679804	-0.0152568035	1.3475134	0.007341111	0.0778125	127.0	149.31718015670776	0.0	0.0	0.0	0.0	0.0
7	2.0980663	1.1012958	5.348777	0.33204708	500.0	0.6130895	0.2663746	1.5225716	-0.09043664	128000	0.0	0.051159546	-0.0063402914	-0.018219814	1.3475134	0.0061383992	0.0526875	127.0	169.5861096382141	0.0	0.0	0.0	0.0	0.0
8	2.7098675	2.1196861	9.783979	0.6807179	500.0	0.5867042	0.28452808	1.4029962	-0.18062115	144000	9.313226e-10	0.2233926	-0.00506765	-0.0675798	1.3475134	0.005596085	0.060687497	127.0	189.28015089035034	0.0	0.0	0.0	0.0	0.0
9	3.062715	2.8529496	16.10048	0.5501281	500.0	0.72737545	0.4662499	2.375071	-0.54197687	160000	7.450581e-09	0.3394578	-0.0052660704	-0.058703948	1.3475134	0.005828581	0.046937503	127.0	209.5467984676361	0.0	0.0	0.0	0.0	0.0
10	2.9811082	2.3862684	11.943806	0.44268325	500.0	0.79793644	0.570731	3.0336607	-0.8788309	176000	1.1641532e-08	0.19295774	-0.0056230477	-0.037270505	1.3475134	0.0053079566	0.046125002	127.0	230.00013661384583	0.0	0.0	0.0	0.0	0.0
11	3.555901	3.5792887	14.767653	0.40508416	500.0	0.9115425	0.6054495	3.026867	-0.72858477	192000	-7.450581e-09	0.30717117	-0.005032953	-0.09352757	1.3475134	0.0050864806	0.0414375	127.0	251.86610221862793	0.0	0.0	0.0	0.0	0.0
12	4.529458	4.2070584	17.677172	0.6380066	500.0	1.0678259	0.9302066	3.9519484	-0.5724776	208000	-7.450581e-09	0.4789238	-0.005572657	-0.06940323	1.3475134	0.004798876	0.050499998	127.0	272.215279340744	0.0	0.0	0.0	0.0	0.0
13	5.131997	3.0388584	11.995674	1.0055178	500.0	1.9426234	1.3352399	5.2743783	-0.8093472	224000	0.0	0.6074822	-0.006226734	-0.2597909	1.3475134	0.005313524	0.053875	127.0	294.50712847709656	0.0	0.0	0.0	0.0	0.0
14	5.6179743	3.4740038	15.977146	0.7027134	500.0	1.8883274	1.1380131	4.2836466	-0.57431674	240000	-1.4901161e-08	0.71060884	-0.006437334	-0.2119868	1.3475134	0.0051052934	0.053375	127.0	315.17406964302063	0.0	0.0	0.0	0.0	0.0
15	4.5556965	2.5677154	11.355207	0.30119815	500.0	1.6130073	0.9517239	3.6967318	-0.5128601	256000	1.4901161e-08	0.38341397	-0.005871385	-0.16555277	1.3475134	0.004826721	0.050750002	127.0	337.5014853477478	0.0	0.0	0.0	0.0	0.0
16	5.736012	4.3260026	18.87591	1.211313	500.0	1.5328428	0.82364285	3.5845544	-0.32813138	272000	1.1175871e-08	0.6049667	-0.0059348275	-0.07441256	1.3475134	0.006009633	0.058249995	127.0	361.10897421836853	0.0	0.0	0.0	0.0	0.0
17	6.674812	4.3773937	15.4464655	1.2821962	500.0	1.5522491	0.85928315	3.507119	-0.449255	288000	-1.1175871e-08	0.56590116	-0.0071145208	-0.08096076	1.3475134	0.0061497446	0.0565	127.0	382.4202058315277	0.0	0.0	0.0	0.0	0.0
18	8.566965	6.021386	25.981237	0.92968494	500.0	1.5732673	0.82818073	3.332102	-0.6578296	304000	1.8626451e-08	1.3015982	-0.006326182	-0.35734865	1.3475134	0.0054010875	0.054437503	127.0	404.1432795524597	0.0	0.0	0.0	0.0	0.0
19	10.70759	6.29714	27.792507	1.1688881	500.0	1.9104989	1.238707	4.7776885	-0.8452602	320000	9.313226e-09	1.7465378	-0.005901343	-0.6320268	1.3475134	0.003950184	0.0494375	127.0	424.26381850242615	0.0	0.0	0.0	0.0	0.0
20	12.2245865	4.3526235	19.616524	2.2300167	500.0	3.2543023	1.3455454	5.8146825	-0.64260864	336000	-1.1175871e-08	0.9551682	-0.008037414	-0.08438338	1.3475134	0.005432887	0.0633125	127.0	445.62600326538086	0.0	0.0	0.0	0.0	0.0
21	14.89175	4.8808975	21.59926	0.70142996	500.0	3.2673652	1.3135011	5.388517	-0.6449508	352000	1.3038516e-08	1.3763434	-0.005238236	-0.24487704	1.3475134	0.0046668365	0.0485625	127.0	470.3721036911011	0.0	0.0	0.0	0.0	0.0
22	16.553392	5.7803354	27.327234	0.7884785	500.0	3.489713	1.4186506	5.764125	-0.7063364	368000	-1.3038516e-08	1.5398831	-0.0067109712	-0.37119147	1.3475134	0.005954914	0.0524375	127.0	493.0088953971863	0.0	0.0	0.0	0.0	0.0
23	17.42974	6.513515	31.348864	1.5851614	500.0	3.9662166	1.4532683	6.149478	-0.6149189	384000	0.0	2.0525014	-0.006881782	-0.28652945	1.3475134	0.005185817	0.051875003	127.0	515.3682868480682	0.0	0.0	0.0	0.0	0.0
24	18.156	7.9541183	30.009771	0.5872699	500.0	3.8921113	1.7195418	6.670582	-1.1970618	400000	2.9802322e-08	2.310199	-0.0068983827	-0.39463085	1.3475134	0.004508002	0.03925	127.0	540.2706632614136	0.0	0.0	0.0	0.0	0.0
