Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.25795197	0.16226752	0.75620806	0.06563276	500.0	0.12332179	0.031265985	0.15287116	0.023729801	16000	-1.8626451e-08	0.004957447	-0.0072698286	-0.0038852496	1.3475134	0.00533193	0.0628125	127.0	25.239888191223145	0.0	0.0	0.0	0.0	0.0
1	0.35807702	0.34877264	2.0521352	0.073318556	500.0	0.087468594	0.02534692	0.16915531	0.020307168	32000	1.4901161e-08	0.005461327	-0.006571219	-0.0013953191	1.3475134	0.006649476	0.09025	127.0	46.29880237579346	0.0	0.0	0.0	0.0	0.0
2	0.5535967	0.3688649	1.7323041	0.07443256	500.0	0.11918471	0.042405684	0.22017267	0.020458646	48000	1.4901161e-08	0.0067466386	-0.0075437417	-0.0025581052	1.3475134	0.006865253	0.0998125	127.0	67.70723748207092	0.0	0.0	0.0	0.0	0.0
3	1.7501637	0.8884759	4.1968703	0.26310402	500.0	0.19410041	0.0834253	0.39012605	-0.004661441	64000	-7.450581e-09	0.090443514	-0.0056823776	-0.05478103	1.3475134	0.005564426	0.060999997	127.0	89.88192629814148	0.0	0.0	0.0	0.0	0.0
4	2.5912852	1.8668888	7.499618	0.4722905	500.0	0.44277865	0.19741768	0.9057144	-0.020463318	80000	-2.2351742e-08	0.23152238	-0.0055819955	-0.09416972	1.3475134	0.008111989	0.08275	127.0	111.53727126121521	0.0	0.0	0.0	0.0	0.0
5	4.1159153	3.6057236	15.421046	0.6414055	500.0	0.77947557	0.4071962	1.6893957	-0.15792936	96000	2.2351742e-08	0.69360554	-0.004988774	-0.21251833	1.3475134	0.006469312	0.08	127.0	134.07605051994324	0.0	0.0	0.0	0.0	0.0
6	7.78928	6.010743	26.722008	0.6143054	500.0	1.3493197	0.82963896	3.1573384	-0.43952203	112000	3.7252903e-09	2.0869036	-0.0061928513	-0.8688365	1.3475134	0.008186823	0.0871875	127.0	157.0796058177948	0.0	0.0	0.0	0.0	0.0
7	7.4937773	5.581372	19.330853	0.22619464	500.0	2.397755	1.6638062	6.0390353	-1.1596873	128000	4.656613e-09	1.3696494	-0.008168777	-0.22767879	1.3475134	0.006811953	0.068124995	127.0	179.7115819454193	0.0	0.0	0.0	0.0	0.0
8	10.024477	6.1308904	24.365496	0.6418903	500.0	2.8271601	1.8216387	6.0850587	-1.1036847	144000	0.0	1.8751584	-0.0070022503	-0.27146173	1.3475134	0.0060786423	0.0616875	127.0	200.8311378955841	0.0	0.0	0.0	0.0	0.0
9	10.40342	8.131965	33.90757	1.6045346	500.0	3.1122022	1.976352	6.4665833	-0.944592	160000	0.0	2.3718894	-0.0074950145	-0.33607322	1.3475134	0.0073257107	0.068875	127.0	223.06507968902588	0.0	0.0	0.0	0.0	0.0
10	12.711793	7.363458	27.125662	1.6772249	500.0	3.6624188	1.9932746	6.8694315	-1.087053	176000	2.9802322e-08	2.8762727	-0.008040276	-0.42274523	1.3475134	0.008208777	0.074562505	127.0	245.8465015888214	0.0	0.0	0.0	0.0	0.0
11	17.908615	8.717397	36.616753	2.0433304	500.0	4.0014224	1.9624194	6.980943	-0.6588832	192000	1.4901161e-08	3.4279938	-0.0068366937	-0.9925711	1.3475134	0.0057560448	0.066625	127.0	269.6347551345825	0.0	0.0	0.0	0.0	0.0
