Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.3151508	0.18502556	0.8872896	0.083044715	500.0	0.12450934	0.031356737	0.15401775	0.025255479	16000	-3.7252903e-09	0.0044588344	-0.007854477	-0.00309591	1.3475134	0.005351361	0.06325	127.0	26.42241621017456	0.0	0.0	0.0	0.0	0.0
1	0.4368169	0.30853394	1.815808	0.13514444	500.0	0.09830856	0.02944169	0.18668038	-0.018979684	32000	-7.450581e-09	0.0046931244	-0.007070097	-0.0016523866	1.3475134	0.006992756	0.093187496	127.0	47.30603289604187	0.0	0.0	0.0	0.0	0.0
2	0.74940574	0.4667127	2.3451009	0.13265808	500.0	0.14235364	0.04908214	0.2642616	-0.041351035	48000	1.4901161e-08	0.012483679	-0.00669946	-0.005708296	1.3475134	0.0068870154	0.08831251	127.0	68.33921790122986	0.0	0.0	0.0	0.0	0.0
3	2.2545185	1.0331508	4.3905506	0.40155017	500.0	0.2492172	0.10112276	0.5001999	-0.073254906	64000	-3.7252903e-09	0.14659722	-0.005785526	-0.092623636	1.3475134	0.005852479	0.062625	127.0	92.65272903442383	0.0	0.0	0.0	0.0	0.0
4	3.5731897	2.5247207	9.591219	0.85010725	500.0	0.5650284	0.25889006	1.2116915	-0.15832976	80000	-1.8626451e-08	0.47084588	-0.0054924935	-0.21121065	1.3475134	0.007859493	0.077875	127.0	116.26035809516907	0.0	0.0	0.0	0.0	0.0
5	5.154933	3.7496595	16.235212	1.1349509	500.0	1.0504878	0.5836957	2.3841128	-0.43872648	96000	-7.450581e-09	0.703619	-0.0059778015	-0.2382606	1.3475134	0.0062773414	0.080874994	127.0	137.8655982017517	0.0	0.0	0.0	0.0	0.0
6	10.235544	5.658883	25.383368	1.8026682	500.0	1.775372	1.082964	4.118576	-0.5539301	112000	2.2351742e-08	2.2115433	-0.0065703173	-0.8817172	1.3475134	0.0072437827	0.080937505	127.0	161.1915762424469	0.0	0.0	0.0	0.0	0.0
7	9.889595	5.174551	23.003065	0.5379857	500.0	3.0329583	1.6866047	6.06661	-0.86632216	128000	3.7252903e-09	1.3866913	-0.00785855	-0.17727149	1.3475134	0.0061422125	0.05575	127.0	187.00502181053162	0.0	0.0	0.0	0.0	0.0
8	13.649654	4.745399	22.853958	1.187275	500.0	3.1831038	1.6297125	5.6858273	-0.7414967	144000	7.450581e-09	1.7546227	-0.0074656755	-0.39022088	1.3475134	0.00708632	0.0743125	127.0	210.17606019973755	0.0	0.0	0.0	0.0	0.0
9	14.00602	6.252561	36.2307	6.3238406	500.0	3.747626	1.7167659	6.383613	-0.36605686	160000	9.313226e-09	1.9013063	-0.0069860346	-0.16319712	1.3475134	0.006800637	0.06475	127.0	232.01353764533997	0.0	0.0	0.0	0.0	0.0
10	17.181269	7.1509066	34.00106	2.4096453	500.0	4.091544	1.6825429	6.2930603	-0.33123243	176000	-1.4901161e-08	2.8398712	-0.0062569287	-0.54799926	1.3475134	0.007128586	0.054	127.0	253.85517740249634	0.0	0.0	0.0	0.0	0.0
