Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.7835866	0.5200851	2.390259	0.18042873	500.0	0.08718996	0.01239346	0.15755787	-0.002521515	16000	-1.4901161e-08	0.017537078	-0.0053855604	-0.006466492	1.3475134	0.0051410566	0.053437497	127.0	38.85747051239014	0.0	0.0	0.0	0.0	0.0
1	1.1264247	1.2378832	6.8864646	0.13121575	500.0	0.1757921	0.03268753	0.25401458	0.05714895	32000	1.4901161e-08	0.071716614	-0.005045819	-0.016399179	1.3475134	0.0056745717	0.06	127.0	76.22175669670105	0.0	0.0	0.0	0.0	0.0
2	1.6742952	1.3180109	5.9585047	0.19580948	500.0	0.29394466	0.08064307	0.51322496	0.04601705	48000	1.4901161e-08	0.08634947	-0.0058000833	-0.028532803	1.3475134	0.0066051274	0.0679375	127.0	115.73941898345947	0.0	0.0	0.0	0.0	0.0
3	5.1060047	2.7914524	11.016102	0.961103	500.0	0.49865592	0.19321752	0.9606466	-0.07532458	64000	2.6077032e-08	0.8670021	-0.005672301	-0.49633026	1.3475134	0.0043472936	0.042499997	127.0	154.4784550666809	0.0	0.0	0.0	0.0	0.0
4	7.380223	4.891383	18.739471	0.9146842	500.0	1.236288	0.49537298	2.3438523	-0.21266761	80000	7.450581e-09	1.4928682	-0.005227823	-0.64267963	1.3475134	0.0068828724	0.060687497	127.0	192.06029176712036	0.0	0.0	0.0	0.0	0.0
5	13.271047	6.2633047	26.26151	2.6795926	500.0	2.0907035	0.9928665	4.000864	-0.64694065	96000	3.7252903e-09	3.2849553	-0.0076007326	-1.5216042	1.3475134	0.0066094575	0.0821875	127.0	229.18317890167236	0.0	0.0	0.0	0.0	0.0
6	16.663734	3.8731503	26.873178	9.906394	500.0	3.6402032	1.6038034	6.028944	-0.68425435	112000	7.450581e-09	1.7997513	-0.0070291944	-0.6238849	1.3475134	0.0055670533	0.07399999	127.0	268.03776502609253	0.0	0.0	0.0	0.0	0.0
7	16.840809	5.6871815	31.57332	3.2610393	500.0	4.6141996	1.9616969	7.1164093	-0.66665304	128000	-1.1175871e-08	2.1620262	-0.0070199156	-0.15580401	1.3475134	0.0056408606	0.056374997	127.0	316.10511660575867	0.0	0.0	0.0	0.0	0.0
8	19.227272	4.7592797	30.409088	9.341993	500.0	4.634387	1.8072451	6.815859	-0.4385482	144000	-9.313226e-09	1.8988698	-0.007647556	-0.1741293	1.3475134	0.007394243	0.070625	127.0	356.25612616539	0.0	0.0	0.0	0.0	0.0
9	20.606522	5.3056536	33.266415	11.242548	500.0	5.138468	1.8080599	7.1097274	0.01966989	160000	-7.450581e-09	2.3361225	-0.0063484525	-0.1867342	1.3475134	0.005419071	0.0454375	127.0	385.4243597984314	0.0	0.0	0.0	0.0	0.0
